,BV号,情感指数
1,BV12h411k7jU.csv,0.5793
2,BV12o4y1972t.csv,0.6514
3,BV12r4y1K7oR.csv,0.6114
4,BV12X4y1N7gy.csv,0.5458
5,BV14V41187oy.csv,0.6571
6,BV14X4y157JY.csv,0.5265
7,BV1554y147M7.csv,0.6691
8,BV15A411g764.csv,0.6087
9,BV16541177Lr.csv,0.4906
10,BV16K4y1W74J.csv,0.4841
11,BV16N411d7GY.csv,0.4712
12,BV16N411X7ZV.csv,0.5805
13,BV16t4y1r7ie.csv,0.6352
14,BV18N411o79K.csv,0.5468
15,BV18V411B7gM.csv,0.6383
16,BV19y4y1n7HK.csv,0.5668
17,BV19z4y127ca.csv,0.5652
18,BV1a541177MC.csv,0.5306
19,BV1bN411d7zx.csv,0.6232
20,BV1Br4y1T7dg.csv,0.5737
21,BV1bV411q7Tb.csv,0.6152
22,BV1by4y127u5.csv,0.5192
23,BV1C5411n7VG.csv,0.6318
24,BV1cf4y1r7r7.csv,0.5776
25,BV1Ct4y1B7zr.csv,0.6228
26,BV1cU4y1s7ty.csv,0.3068
27,BV1D5411n7bJ.csv,0.6723
28,BV1D5411n7hq.csv,0.5952
29,BV1Da4y1n7SZ.csv,0.5763
30,BV1df4y1k75K.csv,0.6506
31,BV1e54y1s7AC.csv,0.5843
32,BV1E54y1s7r8.csv,0.5274
33,BV1E54y1W74e.csv,0.6078
34,BV1eK4y1p7FR.csv,0.6426
35,BV1Eo4y197CD.csv,0.6059
36,BV1er4y1A72Q.csv,0.6733
37,BV1er4y1P7aK.csv,0.6138
38,BV1ey4y1m7zB.csv,0.6356
39,BV1f5411E7v3.csv,0.4577
40,BV1FT4y1K78Z.csv,0.5662
41,BV1fv411W7Qm.csv,0.5359
42,BV1GK4y1W7Qc.csv,0.6012
43,BV1Gr4y1A7w7.csv,0.5323
44,BV1GU4y1s72K.csv,0.5658
45,BV1gz4y167aC.csv,0.6041
46,BV1hN411o7tt.csv,0.6729
47,BV1iT4y1T74m.csv,0.5651
48,BV1iv411W7rU.csv,0.5485
49,BV1Jy4y1H7wb.csv,0.5627
50,BV1KK4y1H7jP.csv,0.6608
51,BV1LX4y157uK.csv,0.5193
52,BV1m5411n77w.csv,0.4815
53,BV1MA411u7Yb.csv,0.7119
54,BV1mh411C7SW.csv,0.6624
55,BV1mN411d7cw.csv,0.5647
56,BV1mp4y1p7CJ.csv,0.4705
57,BV1n541177jb.csv,0.6873
58,BV1ny4y1Y7mf.csv,0.6032
59,BV1ov4y1f7Cq.csv,0.5983
60,BV1oX4y1P73P.csv,0.6106
61,BV1pU4y147iU.csv,0.5861
62,BV1pX4y1K7MV.csv,0.5458
63,BV1py4y1n7b6.csv,0.7428
64,BV1QT4y1N7Fo.csv,0.5945
65,BV1qU4y1W766.csv,0.5919
66,BV1QX4y157mJ.csv,0.5528
67,BV1Qy4y1176T.csv,0.6666
68,BV1qy4y1J7S5.csv,0.6111
69,BV1r5411E77G.csv,0.7043
70,BV1RV411476e.csv,0.4196
71,BV1s54y1x75L.csv,0.5605
72,BV1sr4y1P7P7.csv,0.6609
73,BV1sV41187dX.csv,0.6683
74,BV1Sy4y1H7oi.csv,0.5984
75,BV1To4y1o7v1.csv,0.5927
76,BV1Tp4y1p71B.csv,0.7894
77,BV1Tv41147cF.csv,0.5754
78,BV1u5411J7TE.csv,0.579
79,BV1Ut4y1B7TU.csv,0.6198
80,BV1vX4y1P7rW.csv,0.5303
81,BV1Vz4y1U7tg.csv,0.6872
82,BV1WK4y1p7VS.csv,0.5235
83,BV1Wv4y1f7n1.csv,0.5677
84,BV1xK4y1W7ZF.csv,0.638
85,BV1xN411o7zi.csv,0.6281
86,BV1Xo4y197jx.csv,0.5403
87,BV1xt4y167Vo.csv,0.5764
88,BV1xy4y1n7cc.csv,0.4864
89,BV1Xy4y1Y7q4.csv,0.669
90,BV1yf4y1z7eh.csv,0.7163
91,BV1Yo4y1d7uh.csv,0.6082
92,BV1Yp4y1x7jf.csv,0.592
93,BV1Yv411W7Br.csv,0.5215
94,BV1zA411M7vf.csv,0.5768
95,BV1zf4y1r7yk.csv,0.5469
96,BV1Zh411y7eU.csv,0.5191
97,BV1ZU4y1x7Dd.csv,0.6593
98,BV1Zy4y127FE.csv,0.6896
99,BV11t4y1z7Tz.csv,0.6648
100,BV12X4y1K7Bz.csv,0.6597
101,BV13N411d7dq.csv,0.6539
102,BV13p4y1H7F4.csv,0.8436
103,BV13T4y1N7vi.csv,0.569
104,BV14T4y1P7Ca.csv,0.5867
105,BV14y4y1m7Gp.csv,0.8303
106,BV155411J7o6.csv,0.6348
107,BV15K4y1n7Vj.csv,0.4076
108,BV15V411i7HG.csv,0.7304
109,BV15X4y1K7o2.csv,0.5584
110,BV16K4y1p7XY.csv,0.6104
111,BV17y4y1Y7HH.csv,0.523
112,BV1ap4y1x7xP.csv,0.6969
113,BV1AT4y1K7Pr.csv,0.4954
114,BV1B5411N7QT.csv,0.8317
115,BV1bf4y1y73B.csv,0.5439
116,BV1By4y117Fd.csv,0.435
117,BV1cf4y167ZD.csv,0.454
118,BV1cf4y1k7Ab.csv,0.6928
119,BV1D5411J7d1.csv,0.4939
120,BV1dr4y1P7iF.csv,0.6607
121,BV1eo4y1d7K6.csv,0.6245
122,BV1EU4y1s7qx.csv,0.5571
123,BV1EV411t7Qd.csv,0.5559
124,BV1FA411g7Me.csv,0.5241
125,BV1FN411R7mN.csv,0.6103
126,BV1fV411479u.csv,0.6072
127,BV1g54y1s7sV.csv,0.6471
128,BV1gU4y1W7q1.csv,0.5547
129,BV1gX4y1T7Ci.csv,0.5725
130,BV1Gy4y1v7uE.csv,0.4203
131,BV1hN411o7ie.csv,0.5042
132,BV1iv411e7rN.csv,0.8505
133,BV1j541177M9.csv,0.5739
