,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,139.96700,滚动弹幕,25,0xffffff,0,cd7cc044,44903685260050437,寒假过后，我还是个弟弟
2,46.64300,滚动弹幕,25,0xffffff,0,85fda76f,46620349724884997,我想静静
3,22.73600,滚动弹幕,25,0xffffff,0,a499db3f,46537499743354885,下载一个小站雅思就可以了
4,149.14000,滚动弹幕,25,0xffffff,0,d5ffdaa0,46509109333196803,1小时不够
5,147.62800,滚动弹幕,25,0xffffff,0,7da0ea6e,46440321446838279,起码三小时
6,145.72600,滚动弹幕,25,0xffffff,0,d96e449b,46440081621254149,1个小时？我觉得我要2个小时以上
7,145.84500,滚动弹幕,25,0xffffff,0,75ecea96,46436132935172101,五分钟一小时
8,149.55900,滚动弹幕,25,0xffffff,0,a63e85b5,46235884785238019,爱了
9,23.93900,滚动弹幕,25,0xffffff,0,d996d9ef,46176010947788803,dictation有听力的意思
10,147.78200,滚动弹幕,25,0xffffff,0,59776243,46142038939795463,弟弟竟在我身边
11,23.31100,滚动弹幕,25,0xffffff,0,59776243,46141981564338183,我想静静
12,19.49900,滚动弹幕,25,0xffffff,0,f364da70,46108565887254531,我想静静
13,97.20800,滚动弹幕,25,0xffffff,0,80ea16f0,46106182315671559,好了 看到这里 我走了。。
14,48.04300,滚动弹幕,25,0xffffff,0,80ea16f0,46106156535906311,不感兴趣。关闭！
15,154.00000,滚动弹幕,25,0xffffff,0,d2de302e,46104054003662855,这何止一小时
16,152.13500,滚动弹幕,25,0xffffff,0,22a1d5b6,46085650936496133,惊寒假结束了才看到
17,98.31600,滚动弹幕,25,0xffffff,0,f79e6d41,46082379399823367,喜欢这个小肉手诶
18,147.41700,滚动弹幕,25,0xffffff,0,de6c195e,46080237094043651,小手好可爱
19,20.40400,滚动弹幕,25,0xffffff,0,1b020802,46079670611869703,逆向法英语学习
20,112.14400,滚动弹幕,25,0xa0ea,0,4299f5ea,46069741604306951,买了苹果iPhone12 森海塞尔耳机 百利金M600 国誉的本 终于可以开始练习了
21,80.06200,滚动弹幕,25,0xffffff,0,b276fb43,46067894370435077,这不就是专四的考试内容吗
22,105.87300,滚动弹幕,25,0xffffff,0,7aee6500,46065596102606853,哈哈哈全篇空白
23,57.31100,滚动弹幕,25,0xffffff,0,74e13a5a,46063454656659459,这个声音好像hanser
24,117.57900,滚动弹幕,25,0xffffff,0,f1e0d689,46062772929691653,这笔的色系我几乎攒齐了
25,102.89900,滚动弹幕,25,0xffffff,0,f1e0d689,46062754520367111,同款 点石 家的笔
26,77.80100,滚动弹幕,25,0xffffff,0,7446cd94,46062499940794375,我一句都写不出来怎么解
27,151.85800,滚动弹幕,25,0xffffff,0,dfb9588c,46062144241795075,可是寒假刚过完才看到呢
28,10.54000,滚动弹幕,25,0xffffff,0,68325a1d,46058260790771717,应该对这玩意感兴趣，不然没用
29,110.52000,滚动弹幕,25,0xffffff,0,dd14538f,46043970670690311,算了我不配
30,17.50000,滚动弹幕,25,0xffffff,0,dd14538f,46043812526030851,很好，寒假刚结束
