,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,32.27700,滚动弹幕,25,0xffffff,0,ddf5bc3,46654611949355015,这个很难吗？
2,4.78800,滚动弹幕,25,0xffffff,0,ddf5bc3,46654591257280519,"im out there doing what, handing out flyers and"
3,44.59400,滚动弹幕,25,0xffffff,0,66a410f4,46382522291453959,好绕口
4,2.25400,滚动弹幕,25,0xffffff,0,45b1e158,45868882049630211,牛逼
5,3.55900,滚动弹幕,25,0xffffff,0,a7063d7d,45395352474353669,听到了am和fly
6,9.02100,滚动弹幕,25,0xffffff,0,d65ea195,45004575001804807,你放中文我都不一定听清楚
7,9.40200,滚动弹幕,25,0xffffff,0,a19c1905,45003710341316611,毛啥来着？
8,30.06800,滚动弹幕,25,0xffffff,0,eedb17f4,44987477439021061,爱喵
9,9.87100,滚动弹幕,25,0xffffff,0,5b5fd274,44973110813261829,办公室！
10,3.73200,滚动弹幕,25,0xffffff,0,cb8ea4d7,44940175688073223,啊
11,0.00000,滚动弹幕,25,0xffffff,0,cb8ea4d7,44940170201923591,a
12,15.91300,滚动弹幕,25,0xffffff,0,a571f3d9,44937008218374147,？？？？？我不行
13,13.15100,滚动弹幕,25,0xffffff,0,c15f417d,44929609556295683,别凡了别凡了
14,6.75000,滚动弹幕,25,0xffffff,0,2b215305,44907014924533763,听懂了 走了
15,27.14000,滚动弹幕,25,0xffffff,0,632e8751,44905710022033411,封面是泰勒斯威夫特？？你可笑死我了
16,31.49700,滚动弹幕,25,0xffffff,0,1f676812,44904145297604611,弹幕人均8级
17,30.60800,滚动弹幕,25,0xffffff,0,5d08e949,44899055335112711,啊这……高三英语听力……
18,26.35900,滚动弹幕,25,0xffffff,0,daa4cd23,44898734302035975,法国人吞音
19,49.15900,滚动弹幕,25,0xffffff,0,277c6f8,44895592573304839,弹幕666
20,7.95900,滚动弹幕,25,0xffffff,0,99e9374b,44890717340827653,只听到了Flyers and posters，其中Flyers没听懂...
21,20.93000,滚动弹幕,25,0xffffff,0,8fbbd16a,44889612024283143,封面是谁啊
22,72.61900,滚动弹幕,25,0xffffff,0,622b451d,44872711995916293,"没那么复杂，听得多自然就习惯了，哪怕你是英语渣(﹁""﹁)"
23,58.56300,滚动弹幕,25,0xffffff,0,ffe13011,44871978073456647,同声传译+8.5分以上
24,73.45700,滚动弹幕,25,0xffffff,0,20df237,44848403752419333,连读太多了哈
25,53.46700,滚动弹幕,25,0xffffff,0,4074bebc,44844731138572291,土生土长米国人无压力
26,25.38700,滚动弹幕,25,0xffffff,0,c25c1e7d,44834067979436037,老师的声音真好听
27,70.30300,滚动弹幕,25,0xffffff,0,c25c1e7d,44834060907315207,老师的声音很好听
28,49.74600,滚动弹幕,25,0xffffff,0,38687131,44817256989851655,是节奏的问题
29,40.53000,滚动弹幕,25,0xffffff,0,fd50b200,44815210950688773,啊喵
30,84.47500,滚动弹幕,25,0xffffff,0,281ebaab,44810793160540167,我也是看封面进来的
31,4.53000,滚动弹幕,25,0xffffff,0,39deeac6,44809026292154373,学会了
