,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,17.69900,滚动弹幕,25,0xffffff,0,e9e0a1fe,46626978439102469,郭冬临的英语真好！
2,91.37100,滚动弹幕,25,0xffffff,0,be87ff1f,46534265648709635,可爱的老林
3,118.78700,滚动弹幕,25,0xffffff,0,7877fae4,46519605295841285,太可爱了
4,90.16800,顶端弹幕,25,0xfe0302,0,19a268d2,46444162037317637,这学校安安开的哈哈哈哈
5,129.86000,滚动弹幕,25,0xffffff,0,999812d2,46358278358695943,哈哈哈哈哈哈
6,64.48600,滚动弹幕,25,0xffffff,0,b03b1a33,46350572514181125,学校课本英式语法，美式单词，英式美式穿插的发音。。。
7,9.58500,滚动弹幕,25,0x683a7b,0,a62a4b09,46349769170223111,啊啊啊啊啊啊老公
8,3.15900,滚动弹幕,25,0xffffff,0,7db7746c,46349374572724227,郭冬临
9,110.43300,滚动弹幕,25,0xffffff,0,13ba632b,46292984746999813,教材是英式英语+强行美式发音，高中以后就知道了，很恶心，跟老师说老师又不信，就让我听磁带听教材
10,34.87900,滚动弹幕,25,0xffffff,0,6819e588,46232311175315463,但是德约赢了
11,85.86700,滚动弹幕,25,0xffffff,0,2d880ed8,46203182029733893,Anglo-Chinese 都是有钱人的孩子去的
12,130.36500,滚动弹幕,25,0xffffff,0,95998546,46194022341410821,哈哈哈哈哈哈哈
13,14.29900,滚动弹幕,25,0xffffff,0,b7e7040,46083659278581767,停在了奇怪的地方
14,21.19700,滚动弹幕,25,0xffffff,0,c3bb2c6a,45946314403348485,Singapore
15,4.46500,滚动弹幕,25,0xffffff,0,c8404d96,45850976191512581,郭冬临
16,43.91500,滚动弹幕,25,0xffffff,0,c7d2ad95,45846060487147591,好像新加坡
17,127.83000,滚动弹幕,25,0xffffff,0,4f12905,45820737702330373,哈哈哈哈哈梦幻联动
18,52.62500,滚动弹幕,25,0xffffff,0,8886df69,45792358735806467,费德勒啊！！！
19,43.92000,滚动弹幕,25,0xffffff,0,8886df69,45792354189705223,啊啊啊老费！！
20,120.21200,滚动弹幕,25,0xffffff,0,1f406bea,45790871178182663,吗责发克
21,99.25900,滚动弹幕,25,0xffffff,0,fc99592c,45761992339226627,是福建不是客家啦嘻嘻
22,120.02700,顶端弹幕,25,0xe70012,0,bc325741,45760012841648135,咚嘟呔～
23,57.21400,滚动弹幕,25,0xe70012,0,d3f19361,45725206693543939,原来我是学英式的
24,49.59600,顶端弹幕,25,0xffffff,0,a9a7f73d,45723097070305283, gotta
25,42.86400,顶端弹幕,25,0xffffff,0,a9a7f73d,45723071583617027,gonna
