,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,28.88600,滚动弹幕,25,0xffffff,0,15bfce23,45270174410997763,I need Chinese
2,7.45900,滚动弹幕,25,0xffffff,0,55b7db8f,45211248466853893,哇哇哇真的神奇
3,31.91300,滚动弹幕,25,0xffffff,0,d7149ce7,45210137972965381,很娘的感觉
4,19.11100,滚动弹幕,25,0xffffff,0,5026d47c,45200172499075079,哈哈哈哈哈噢耶可可爱爱
5,10.30200,滚动弹幕,25,0xffffff,0,6949cdee,45125521069572101,你怎么不去打CSGO？（doge）
6,18.83800,滚动弹幕,25,0xffffff,0,1a4f93f7,45095684764860421,朋友来了有好酒
7,26.95900,滚动弹幕,25,0xffffff,0,d0e65fd4,45086808275943493,I learn english
8,17.44200,滚动弹幕,25,0xffffff,0,8edcf80d,45083518101356547,哈哈哈哈哈哈哈
9,84.96000,滚动弹幕,25,0xffffff,0,e93c6996,45079519645138951,众所周知，这是学习网站
10,34.03700,滚动弹幕,25,0xffffff,0,f29e02f0,45073556276510725,哇，来b站啦！
11,8.65600,滚动弹幕,25,0xffffff,0,4395d27f,45062790152978439,梅西？
12,8.42500,滚动弹幕,25,0xffffff,0,7079f6a7,45035731186876423,表情好刻意…
13,20.23200,滚动弹幕,25,0xffffff,0,1504116b,45031660263047175,give me your Wechart
14,6.45600,滚动弹幕,25,0xffffff,0,53f7bcf0,45022716714549251,娜塔莎
15,10.15400,滚动弹幕,25,0xffffff,0,96039600,45019749671763975,卧槽
16,5.16000,滚动弹幕,25,0xffffff,0,88c0d55a,44996807541915715,是你啊
17,6.46200,滚动弹幕,25,0xffffff,0,5768725b,44996179938246661,eason
18,40.71000,滚动弹幕,25,0xffffff,0,11944bb8,44993801132965893,好耶
19,39.62300,滚动弹幕,25,0xffffff,0,31e85d0d,44993620923645959,捞
20,35.46200,滚动弹幕,25,0xffffff,0,31e85d0d,44993618742083587,你
21,31.66400,滚动弹幕,25,0xffffff,0,31e85d0d,44993615543402503,识
22,2.77400,滚动弹幕,25,0xffffff,0,fa07acbd,44985789657907203,吃灰
23,51.70800,滚动弹幕,25,0xffffff,0,e7185a79,44956764943155207,happy boy
24,28.67900,滚动弹幕,25,0xffffff,0,e7185a79,44956752866705411,hello
25,15.27300,滚动弹幕,25,0xffffff,0,e7185a79,44956745850159107,你好
26,14.53000,滚动弹幕,25,0xffffff,0,e21c1a2b,44951818960633859,我以为是梅西了
27,72.73700,滚动弹幕,25,0xffffff,0,ba744a8b,44941712018636803,welcome to come here learning Chinese
28,11.79400,滚动弹幕,25,0xffffff,0,87c1d20f,44941667172089863,哦~ye~
29,14.99600,滚动弹幕,25,0xffffff,0,4c9002e4,44937114080509955,老憨了hhh
30,17.09700,滚动弹幕,25,0xffffff,0,8c46ac62,44929947833204739,哈哈哈哈
31,14.63300,滚动弹幕,25,0xffffff,0,503a0c89,44923814614138887,哈哈哈哈哈好可爱
32,50.22300,滚动弹幕,25,0xffffff,0,7e432992,44917764018143239,老美口音啊
33,21.30100,滚动弹幕,25,0xffffff,0,34b2f141,44911377785552903,你好啊啊啊啊
34,19.22700,滚动弹幕,25,0xffffff,0,513fc7c,44909859334258693,鬼畜区新秀
35,12.60700,滚动弹幕,25,0xffffff,0,513fc7c,44909855413633031,大哥大嫂过年好
