,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,122.79500,滚动弹幕,25,0xffffff,0,19d35400,46631000599429123,哈
2,4.81900,滚动弹幕,25,0xffffff,0,76055aa1,46532666391003143,我们都用Mr和Mrs的……
3,0.13100,滚动弹幕,25,0xffffff,0,3bd54efd,46448600455053317,三sai
4,118.40300,滚动弹幕,25,0xffffff,0,5d234b3,45232336774627335,都直接叫professor啊
5,84.53900,滚动弹幕,25,0xffffff,0,c1a0dce7,45223714508767237,professor 斯内普
6,96.34600,滚动弹幕,25,0xffffff,0,cdc34528,45222679219273735,doctor who
7,55.18800,滚动弹幕,25,0xffffff,0,bcd9897a,45216900092788739,谁要当我的Mr Q
8,63.89200,滚动弹幕,25,0xffffff,0,6fb0347,45211936620544005,我是忘了名字时就叫sir
9,15.29900,滚动弹幕,25,0xffffff,0,caaee92b,45210884205707269,叫sense？
10,32.62600,顶端弹幕,25,0xe70012,0,c4f6278a,45210608382509059,没带就是没写！
11,25.07800,滚动弹幕,25,0xffffff,0,deb5e8fa,45202803076890629,professor
12,1.13900,滚动弹幕,25,0xfef102,0,eee288d9,45193098111221763,三塞
13,11.46000,滚动弹幕,25,0xffffff,0,49114701,45188248903876611,sensei
14,88.23000,滚动弹幕,25,0xffffff,0,a4416c46,45180041247064069,哈利波特看多就会了
15,31.29900,滚动弹幕,25,0xffffff,0,b358d72f,45177377703591941,我们老师就让我们叫她miss wu
16,126.92000,滚动弹幕,25,0xffffff,0,9180d85d,45170591375294471,后面没有了，真的
17,12.73900,滚动弹幕,25,0xffffff,0,b40a82d7,45168984332959749,miss
18,18.89900,滚动弹幕,25,0xffffff,0,add74a93,45165472592691203,teacherma
19,86.61100,滚动弹幕,25,0xffffff,0,8286c46d,45156533515321349,professor bai
20,39.24300,滚动弹幕,25,0xffffff,0,8286c46d,45156500814430211,professor bai
21,22.29300,滚动弹幕,25,0xffffff,0,8286c46d,45156486606225411,professor～
22,76.56900,滚动弹幕,25,0xffffff,0,5492c228,45149148956065799,西洋菜: doctor king
23,50.97800,滚动弹幕,25,0xffffff,0,1ac5263a,45136724049264647,Dr.？
24,10.76600,滚动弹幕,25,0xffffff,0,1ac5263a,45136702971314179,sir？
25,74.58000,滚动弹幕,25,0xffffff,0,7268347d,45132867517808643,回老家上学，英语课上课Good Morning teacher当时整的我一愣
26,76.70800,滚动弹幕,25,0xe70012,0,f96e532b,45128256821133315,哈迷狂喜
27,0.35700,滚动弹幕,25,0xffffff,0,1546752a,45127454273568771,好的teacher，没问题teacher
28,87.43700,滚动弹幕,25,0xffffff,0,b40356ae,45122155294752771,用的多了，你们会习惯的。不然你们怎么不去纠正美式英语？
29,3.00800,滚动弹幕,25,0xffffff,0,27458549,45090683801305091,我们中国喜欢怎么说就怎么说，一个劲说你们怎么说怎么说，这是是中国，老师愿意听，我们愿意说
30,9.39100,滚动弹幕,25,0xffffff,0,d3f9abf2,45089333318254597,tutor
31,53.35200,滚动弹幕,25,0xffffff,0,f6154336,45080173365166083,我一看着老师第一反应是，sensei……
32,91.96600,滚动弹幕,25,0xffffff,0,a214beba,45080076597854211,x教授不就是直接叫的professor吗
33,69.47000,滚动弹幕,25,0xffffff,0,913192a8,45076780831735811,我们启蒙就是「good morning，teacher」
34,9.41900,滚动弹幕,25,0xffffff,0,401fe30f,45076645465817093,老师儿~
35,134.80400,滚动弹幕,25,0xffffff,0,99ff937b,45072339836076035,Teacher 就是教师，所以我们如果叫谁谁谁李教师，确实很怪
36,12.78800,滚动弹幕,25,0xffffff,0,bfe076af,45044676850352131,madam
37,0.00000,顶端弹幕,25,0xe70012,0,e9faf5,45042843718778883,叫三塞（doge）
38,45.09900,滚动弹幕,25,0xffffff,0,186872b5,45041192593260549,Mr.Ass
39,8.47900,滚动弹幕,25,0xffffff,0,186872b5,45041167870984197,三塞
40,33.49900,滚动弹幕,25,0xffffff,0,971c41f8,45037572126670853,先生，也有老师意思
41,161.19700,滚动弹幕,25,0xffffff,0,2f24c673,45033095860060165,好耶!
42,130.05900,滚动弹幕,25,0xffffff,0,2f24c673,45033077204320263,手机屏幕映出来的人好美哦
43,133.54400,滚动弹幕,25,0xffffff,0,cee65479,45030999160520709,再见山姆teacher
44,21.47600,滚动弹幕,25,0xffffff,0,1e5c2624,45019823485222917,叫 森森
45,128.48100,滚动弹幕,25,0xffffff,0,12d250b4,45004426350428167,哈哈哈比心好可爱呀
46,85.37900,滚动弹幕,25,0xffffff,0,707c4a87,45003699921092613,Doctor Ross
