,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,124.00900,滚动弹幕,25,0xffffff,0,26691fa0,46674229180497927,买买买给她买！
2,42.85700,滚动弹幕,25,0xffffff,0,8f85790,46625889588346887,だいじょうぶ
3,159.91100,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597819215118339,大丈夫
4,151.10100,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597781121400837,そうで
5,148.41300,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597773653442565,そう
6,143.86900,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597759156355075,助け
7,143.86900,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597738578051079,たすけれ
8,38.84500,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597605169299459,へんたいへんたい
9,37.30900,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597589128183813,バカ
10,25.78900,滚动弹幕,25,0xf0ab2a,0,af9732d9,46597576185085955,おはよう
11,6.37500,滚动弹幕,25,0xffffff,0,af9732d9,46597504561053701,ダーリン
12,7.84700,滚动弹幕,25,0xffffff,0,af9732d9,46597493334474757,ダーリン
13,34.54500,滚动弹幕,25,0xffffff,0,15b16c7b,46585455595487301,おやすみ
14,25.80500,滚动弹幕,25,0xffffff,0,15b16c7b,46585437846765571,おはよう
15,10.19900,滚动弹幕,25,0xe2027f,0,db876cf4,46580819721453571,02！！！！！！！
16,78.80400,滚动弹幕,25,0xffffff,0,954f5cb4,46578004598456323,かわいい
17,75.96800,滚动弹幕,25,0xffffff,0,954f5cb4,46577995470602247,ドキドキする
18,74.96400,滚动弹幕,25,0xffffff,0,954f5cb4,46577976047828999,やばい
19,72.91600,滚动弹幕,25,0xffffff,0,954f5cb4,46577964824920067,あぃがとう
20,71.86200,滚动弹幕,25,0xffffff,0,954f5cb4,46577930591535107,もんだいない
21,71.76400,滚动弹幕,25,0xffffff,0,954f5cb4,46577908433027077,もんだ
22,71.46500,滚动弹幕,25,0xffffff,0,954f5cb4,46577892089397253,もんだlない
23,21.92700,滚动弹幕,25,0xffffff,0,d53d18c1,46535286193127431,菊次郎在日本的夏天
24,76.99600,滚动弹幕,25,0xffffff,0,41865959,46534078770446343,do ki do wa， ya bai 眼神躲不掉
25,39.74900,滚动弹幕,25,0xffffff,0,41865959,46533298801344519,滚进我的收藏夹吧
26,200.98000,滚动弹幕,25,0xffffff,0,a6b73f2a,46496814572503047,阿姨洗铁路
27,41.71900,滚动弹幕,25,0xffffff,0,c75480a1,46492741510627335,噢死瓦力
28,61.07300,顶端弹幕,25,0xe70012,0,bfd39247,46492624770564103,一袋米要扛几楼
29,118.85500,滚动弹幕,25,0xffffff,0,e6674da,46492537074483207,笑容突然消失
30,123.49900,滚动弹幕,25,0xffffff,0,a4a4dd21,46491294722686981,啊咧咧，哦嗄西索
31,43.13900,滚动弹幕,25,0xffffff,0,a4a4dd21,46491235281010693,钉宫
32,119.02100,滚动弹幕,25,0xffffff,0,b7a48df8,46448931588538373,吃灰吧
33,65.51100,滚动弹幕,25,0xffffff,0,769e4c9e,46440332337348613,真的。
34,193.27200,滚动弹幕,25,0xffffff,0,e10cc6f5,46438074430259207,哈婆娘（四川话）
35,117.35600,滚动弹幕,25,0xffffff,0,2c6a40df,46434158776418309,哈哈哈一直在跟读，到这里笑死我了
36,54.59000,滚动弹幕,25,0xffffff,0,efc24aad,46428188380758021,炼狱桑
37,75.93900,顶端弹幕,25,0xffffff,0,8d615736,46403003259289603,你滴，大大滴好
38,57.40200,顶端弹幕,25,0xffffff,0,8d615736,46402993505959943,你滴，大大滴花菇凉
39,45.55500,顶端弹幕,25,0xffffff,0,8d615736,46402987290525701,你滴，什么滴干活
40,158.20700,滚动弹幕,25,0xffffff,0,37e2c6f4,46397927884062723,天气之子片尾
41,14.14000,滚动弹幕,25,0xffffff,0,d2a8f245,46385939210567685,いいですよ
42,38.30900,滚动弹幕,25,0xffffff,0,5477e8f7,46369188154441735,喵内
43,133.14700,顶端弹幕,25,0xffffff,0,b4e9354f,46368354236104707,いいゆめをみてね
44,6.71100,滚动弹幕,25,0xffffff,0,2e14bdae,46355503944040455,3
45,61.62400,滚动弹幕,25,0xffffff,0,c2e71f39,46351820632096771,主要是口音很日本
46,39.75000,滚动弹幕,25,0xffffff,0,2aac0460,46345336025251843,塞高你high铁鸭子哒！
47,20.21700,滚动弹幕,25,0xffffff,0,562d8e07,46320578182774791,不看字幕的话 每句话都超级熟悉就是不知道是什么意思lol
