,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,103.41200,滚动弹幕,25,0xffffff,0,8acc2004,46655106150039559,a方＋b方=c方
2,117.58400,滚动弹幕,25,0xffffff,0,7d915601,46646903881334791,我已经打了三个哈气了
3,31.42400,滚动弹幕,25,0xffffff,0,c3b31d94,46635027290128389,研一的我半夜两点听的津津有味
4,179.65500,滚动弹幕,25,0xffffff,0,34002f40,46627268348870663,CAD直接画了
5,212.18600,滚动弹幕,25,0xffffff,0,e590085,46626634629906439,用计算机解个方程他不香吗
6,13.77900,滚动弹幕,25,0xffffff,0,24e706fd,46625850819870727,旋转做这个，没手也行
7,8.01900,滚动弹幕,25,0xffffff,0,24e706fd,46625835403706373,旋转
8,214.44500,滚动弹幕,25,0xffffff,0,eb9222f2,46624212699840517,大学生都不会的东西让初中生去学，真残忍
9,198.63900,滚动弹幕,25,0xffffff,0,113ff13e,46610833121738759,初中都搞竞赛了余弦定理还能不知道吗
10,146.83400,滚动弹幕,25,0xffffff,0,c0c95bd1,46586684701671431,余弦定理不得了
11,169.59700,滚动弹幕,25,0xe2027f,0,755aa898,46582075362377735,解出来不就行了吗，我看谁还会给错
12,132.69000,滚动弹幕,25,0xe2027f,0,755aa898,46582030924251139,余弦定理妙算
13,140.25200,滚动弹幕,25,0xffffff,0,ad4e8255,46580960123682819,不是初中学余弦定理了吗 我记不得了
14,182.79000,滚动弹幕,25,0xffffff,0,c01d6400,46579489737015301,学费了
15,63.56300,滚动弹幕,25,0xffffff,0,d073e015,46579088143417351,阿巴 阿巴 阿巴
16,190.43400,滚动弹幕,25,0xffffff,0,6dff70f,46576673488371717,我用CAD画好了
17,150.53900,滚动弹幕,25,0xffffff,0,744892a7,46555870267441159,可以用小学二年级就学过分余弦定理
18,161.00000,滚动弹幕,25,0xffffff,0,6c293b7e,46541315543924743,卧槽！会了！
19,35.02500,滚动弹幕,25,0xffffff,0,53eb6cbe,46539376031170565,81
20,109.74600,滚动弹幕,25,0xffffff,0,c4d3e49e,46535983469953027,wr
21,189.42700,滚动弹幕,25,0xffffff,0,c4decb47,46534345347825671,小学的题
22,160.91500,滚动弹幕,25,0xffffff,0,d2a5ed8a,46533179033518083,初中生说nm余弦定理
23,113.47600,滚动弹幕,25,0xffffff,0,f0f608af,46526391657168901,这个有点难
24,165.73900,滚动弹幕,25,0xffffff,0,e2d2fa72,46513702482477061,可是也没人说这是初中题阿
25,146.29400,滚动弹幕,25,0xffffff,0,c83f9f7d,46499059883048967,不用延长啊，直接90度三角和45三角算就行了
26,76.23100,滚动弹幕,25,0xffffff,0,b494a64f,46492973180387335,困了
27,161.21800,滚动弹幕,25,0xffffff,0,72e28ca3,46492451912286211,初三要学啊。（浙江的）
28,212.13200,滚动弹幕,25,0xffffff,0,a6a174f1,46491204231626755,要是高中方法直接连对角线，上向量，不用余弦定理
29,26.27500,滚动弹幕,25,0xffffff,0,57d7476f,46491055159246853,旋转
30,210.27700,滚动弹幕,25,0xffffff,0,91f9992e,46488491077926919,现在才懂hhh
31,10.18500,滚动弹幕,25,0xffffff,0,af5dd75f,46487659221090311,旋转
32,14.84300,顶端弹幕,25,0xe70012,0,7fdd79fa,46485690413219845,勾股定理
33,11.76800,滚动弹幕,25,0xffffff,0,3f6e01d2,46484924198813701,勾股定理吗？
34,91.52400,滚动弹幕,25,0xffffff,0,28053c2d,46476660397047813,我竟然回忆起来了
35,179.69000,滚动弹幕,25,0xffffff,0,28f57219,46474230369878023,初中有余弦但是中考不准用而我那年就是
36,122.11600,滚动弹幕,25,0xffffff,0,5f9d9375,46473912699060227,挺简单的
37,92.75700,滚动弹幕,25,0xffffff,0,3be7b3de,46469155545153541,我擦，看不出什么了
38,68.79000,滚动弹幕,25,0xffffff,0,9e50f6e5,46464561518739459,我已经困了
39,209.38400,滚动弹幕,25,0xffffff,0,5fba5ed6,46452585697116167,老师，我悟了
40,193.90700,滚动弹幕,25,0xffffff,0,e1c3c395,46447627967922179,妈耶，啥都不记得了
41,194.89800,滚动弹幕,25,0xffffff,0,6e1291eb,46447383033151491,突然对数学又有兴趣了，妙。
42,18.07900,顶端弹幕,25,0xe70012,0,f4e3ecc6,46447322707525637,余弦定理
43,205.26700,滚动弹幕,25,0xffffff,0,1dac6d44,46443441455366149,秒
44,42.85900,滚动弹幕,25,0xffffff,0,98d66d76,46437438334173189,正弦定理
45,28.44800,滚动弹幕,25,0xffffff,0,1affcd65,46434937911377927,我选择用尺子量
46,88.61700,滚动弹幕,25,0xffffff,0,a657bc5e,46433925068750853,能求，跪着求
47,212.01700,滚动弹幕,25,0xffffff,0,da128a77,46433402099335173,费劲啊
48,189.99600,滚动弹幕,25,0xffffff,0,7f4b697b,46432783253897221,明白了明白了
49,166.59900,滚动弹幕,25,0xffffff,0,dc691258,46431622979387397,你家初中有余弦是吧
50,171.11200,滚动弹幕,25,0xffffff,0,eecd20f0,46429948020785157,初中就有余弦了
51,139.89900,滚动弹幕,25,0xffffff,0,dbca6d6c,46429809434165255,余弦定理的，那是高中知识，这是讲初中的题
52,180.18900,滚动弹幕,25,0xffffff,0,9d37a123,46429145368363015,初三有的
53,179.12700,滚动弹幕,25,0xffffff,0,79414fec,46429077924478981,高中三角函数暴力破解……
54,115.08000,滚动弹幕,25,0xffffff,0,60ed6b35,46428071561003013,大二已经看不懂了
55,216.21900,滚动弹幕,25,0xffffff,0,3f7982c1,46427419053129735,好家伙，听课都没那么认真过
56,80.11700,顶端弹幕,25,0x84c0cb,0,55e00f68,46425651960872965,是勾股吧，两个直角边的平方和等于斜边平方
57,117.00000,滚动弹幕,25,0xffffff,0,2350c92c,46425452427345927,好浪费时间
58,23.53800,滚动弹幕,25,0xffffff,0,e73502b9,46423361229160455,4+7+9牛牛
59,96.29800,滚动弹幕,25,0xffffff,0,a8341301,46419091684589573,哦，原来我已经到了能一下子想出辅助线和旋转了吗
60,62.49900,滚动弹幕,25,0xffffff,0,a8c52541,46415208712765447,谢谢老师，我睡了个好觉………
61,158.66900,滚动弹幕,25,0xffffff,0,cf34cb36,46401373744398341,初中哪有余弦定理
62,159.37900,滚动弹幕,25,0xffffff,0,1ea29ac9,46398509920813059,初中三角函数
63,77.09900,滚动弹幕,25,0xffffff,0,1ea29ac9,46398459339079687,勾股定理
64,101.35600,滚动弹幕,25,0xffffff,0,e47fc855,46398229403664389,妙啊
65,156.73300,顶端弹幕,25,0xfef102,0,fec7ca5b,46396358590464003,初中懂nm的余弦定理
66,142.11800,滚动弹幕,25,0xffffff,0,d5f6bffb,46393037385367559,余弦定理
67,29.19900,滚动弹幕,25,0xffffff,0,3053845a,46391326589059079,毕氏定理
68,9.37900,滚动弹幕,25,0xffffff,0,95699898,46390844345286661,建系它不香吗
69,219.06600,滚动弹幕,25,0xffffff,0,be9e0b81,46390577947213827,我不是这么求的
70,84.07900,滚动弹幕,25,0xe70012,0,9f24bff5,46390125946470405,两个余弦定理的你试试？两条方程3个未知数你给我解一个？
71,96.10300,滚动弹幕,25,0xffffff,0,e28be35a,46388423711260679,看不懂
72,153.72200,滚动弹幕,25,0xffffff,0,de9520f1,46386483453493251,勾股定理
73,167.57900,滚动弹幕,25,0xffffff,0,66cb4b74,46375312174874631,竞赛啊，肯定不能用你当前在书本上学到的知识啊，要不然都知道还竞什么啊
74,152.13100,滚动弹幕,25,0xffffff,0,420802bc,46354114631172099,余弦定理就行了
75,47.22300,滚动弹幕,25,0xffffff,0,1f152034,46343612750888963,尺子一量，做个比例就出来了
76,88.65900,滚动弹幕,25,0xffffff,0,1dcf3489,46338108828942343,完了，怎么看怎么立体。
77,122.55100,滚动弹幕,25,0xffffff,0,318ae43e,46336180485095431,开始困了 效果很好
78,9.31900,滚动弹幕,25,0xffffff,0,15b65a60,46322189415219203,一脸懵逼，有的时候还是一脸懵逼
79,201.54000,滚动弹幕,25,0xffffff,0,478c15ab,46318073227509765,忘记了
80,125.51700,滚动弹幕,25,0xffffff,0,36635e9a,46316364176556037,好的我迷糊了
81,15.93900,滚动弹幕,25,0xffffff,0,19e527a0,46315164947447811,做辅助线，让一个三角形旋转
82,0.00000,滚动弹幕,25,0xffffff,0,80e59b68,46313579495292931,纯粹教了一个固定模式
83,214.89200,滚动弹幕,25,0xffffff,0,80e59b68,46313562400358405,解题没有逻辑呀，为什么这么求呢
84,148.94500,滚动弹幕,25,0xffffff,0,bdaff8,46313048867602437,还没学余弦定理
85,118.83400,滚动弹幕,25,0xffffff,0,d9d91575,46312245084291077,你们在说什么啊？
86,4.16600,滚动弹幕,25,0xffffff,0,a28978fc,46310899486556165,我电脑上软件一点就计算出来了
87,177.36800,滚动弹幕,25,0xffffff,0,e99be956,46310635048271875,懂了
88,169.79700,滚动弹幕,25,0xffffff,0,f7679d50,46310101136965639,厉害
89,184.64800,滚动弹幕,25,0xffffff,0,971ef3f3,46309832947924995,大学的我也忘了余弦定理
90,220.62100,滚动弹幕,25,0xffffff,0,145f4b05,46308456137228295,我竟然听懂了
91,182.60900,滚动弹幕,25,0xffffff,0,61b7889b,46308293028085767,懂了
92,118.60100,滚动弹幕,25,0xffffff,0,2fcc9104,46308196615716871,听不懂了
93,65.08800,滚动弹幕,25,0xffffff,0,f64f8c4a,46307658894409733,这种题很难听懂吗？年轻人也太废了吧？
94,103.42700,滚动弹幕,25,0xffffff,0,50be51ca,46301232708976645,是不是有点多余了？
95,146.74600,滚动弹幕,25,0xffffff,0,53f884b4,46295419847180291,余弦定理
96,143.07100,滚动弹幕,25,0xffffff,0,3eb925ca,46294241227309061,我能直接用尺子量吗？
97,49.28100,滚动弹幕,25,0xffffff,0,9e51a75f,46286201590644739,别卖弄了，超纲内容！
98,86.36900,滚动弹幕,25,0xffffff,0,e26e7863,46284907862294531,根号？
99,5.03800,滚动弹幕,25,0xffffff,0,11e3bf54,46284756079869957,学会了
100,177.19900,滚动弹幕,25,0xffffff,0,cfa1168d,46272068449206277,懂了
101,201.13000,滚动弹幕,25,0xffffff,0,52b6ac,46271843316793351,6666
102,173.01600,滚动弹幕,25,0xffffff,0,54a2a604,46262122905075717,直接余弦定理就出了边长
103,10.11700,滚动弹幕,25,0xffffff,0,617a6985,46261982753456135,来啦
