,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,92.06500,顶端弹幕,25,0xe70012,0,7a745ed,45275430986448899,《人传人现象》
2,265.82300,滚动弹幕,18,0xffffff,0,4db17c71,45249137606131715,王境泽：就因为我吃了一婉碗饭，你们黑了我4年。
3,3.79000,底端弹幕,25,0x84c0cb,0,1463c47d,45224632961728519,请问是按哪只手的大拇指[doge]
4,142.91000,滚动弹幕,25,0xffffff,0,f938e9eb,45154843512799235,突然日语课
5,121.95700,滚动弹幕,25,0xffffff,0,b82a06f4,45084742868533251,还有答应了写文却没有更（肥美多汁的鸽子嘴角翘起）
6,54.40500,滚动弹幕,25,0xffffff,0,b900ead2,46351817904226309,复读机
7,47.77900,滚动弹幕,25,0xffffff,0,fe3d6a1f,46347868413886469,复读机
8,52.95800,滚动弹幕,25,0xffffff,0,7d41aa0a,46342516539129859,2333
9,44.86500,滚动弹幕,25,0xffffff,0,6007c98,46308906517397507,啊这我一直以为是无限的xp和沙雕
10,45.47200,滚动弹幕,25,0xffffff,0,1ad1d2fd,46306764292358149,复读机
11,16.73900,滚动弹幕,25,0xffffff,0,d96cd3e1,46294127906127879,下次一定
12,52.80000,滚动弹幕,25,0xffffff,0,2bf1015c,46284890161283075,cb
13,39.23500,滚动弹幕,25,0xffffff,0,2bf1015c,46284882982731779,芜湖
14,14.46900,滚动弹幕,25,0xffffff,0,e9c03774,46282154168549381,不信谣
15,47.81900,滚动弹幕,25,0xffffff,0,d69058f3,46271728689086469,鸽子
16,89.15800,滚动弹幕,25,0xffffff,0,6a8cdcda,46264505702809603,斯巴拉西
17,56.93200,滚动弹幕,25,0xffffff,0,48ad24c7,46260503686152195,白嫖
18,54.67300,滚动弹幕,25,0xffffff,0,cc266a4a,46259152348512259,草
19,53.81300,滚动弹幕,25,0xffffff,0,15b6be32,46256007618232325,复读机
20,14.04000,滚动弹幕,25,0xffffff,0,430abb49,46250348201377797,下次一定
21,99.63900,滚动弹幕,25,0xffffff,0,60149790,46248230560202759,哈哈哈哈哈
22,43.81900,滚动弹幕,25,0xffffff,0,60500646,46243318544728069,你打篮球像蔡徐坤
23,127.82200,滚动弹幕,25,0xffffff,0,513bcddf,46226170893041669,水乌龟
24,22.21900,滚动弹幕,25,0xffffff,0,3a9a1c,46223491520790533,帝骑，永远的神
25,23.23600,滚动弹幕,25,0xffffff,0,7246ecd6,46222851741057027,手语up
26,113.99200,滚动弹幕,25,0xffffff,0,7a5e475e,46220618678403079,割
27,146.22500,滚动弹幕,25,0xe70012,0,f6a5677f,46217280259883015,我tmd不是来学日语的
28,49.85900,滚动弹幕,25,0xe70012,0,f6a5677f,46217215891996679,复读机
29,31.85900,滚动弹幕,25,0xffffff,0,fecd2c6,46213404106948613,哼，哼，哼啊啊啊啊啊啊啊啊啊啊啊啊啊啊
30,57.44400,滚动弹幕,25,0xffffff,0,4628e5fc,46211711954321413,下次一定
31,39.83000,滚动弹幕,25,0xa0ea,0,39da5c96,46210202455244807,比博燃
32,50.25900,滚动弹幕,25,0xffffff,0,598e0e83,46209169620467717,鸽了，复读机，真香
33,51.32200,滚动弹幕,25,0xffffff,0,ecfd80f6,46196250195787783,白嫖
34,55.21000,滚动弹幕,25,0xffffff,0,adacca6a,46191007486705667,白嫖
35,43.74600,滚动弹幕,25,0xffffff,0,ebdf6dc4,46189725212475395,人类的本质是复读机
36,79.37300,滚动弹幕,25,0xffffff,0,8e7597a9,46187161228673027,俺也一样
37,53.22300,滚动弹幕,25,0xffffff,0,26f3e4c1,46183271120764935,真香
38,271.73000,滚动弹幕,25,0xffffff,0,81383380,46182111576064003,男酮竟在我身边
39,14.99700,滚动弹幕,25,0xe70012,0,f3f2c57e,46179805666213895,卧槽，冰
40,266.61700,滚动弹幕,25,0xffffff,0,30d8627c,46177817171329029,哲学家王境泽
41,49.55000,滚动弹幕,25,0xffffff,0,f39b148e,46176288977190917,是白嫖！
42,50.31600,滚动弹幕,25,0xffffff,0,a1564d97,46175068133261315,复读机
43,47.45900,滚动弹幕,25,0xffffff,0,84d8fb38,46174490277183495,复读机
44,159.37400,滚动弹幕,25,0xffffff,0,b5a38d6f,46174411580506117,这视频是学习日语的吗！！
45,50.92500,滚动弹幕,25,0xffffff,0,c782eeb8,46173997723811843,复读机
46,20.11300,滚动弹幕,25,0xffffff,0,5d629672,46173882558185475,给你看个大宝贝
47,50.10400,滚动弹幕,25,0xffffff,0,76f96af1,46173867807866887,复读机
48,61.50300,滚动弹幕,25,0xffffff,0,105e49c2,46173686282584069,复读机
49,29.20100,滚动弹幕,25,0xffffff,0,2bdd99cf,46173264559996933,不信谣 不传谣
50,49.12900,滚动弹幕,25,0xffffff,0,a3f621dd,46171820996427781,人类的本质是什么
51,14.14300,滚动弹幕,25,0xffffff,0,7d4e0d0d,46171004982525957,我按了很久自己的大拇指没啥反应啊
52,50.83300,滚动弹幕,25,0xffffff,0,d14e14ff,46170556594651139,复读机
53,48.01900,滚动弹幕,25,0xffffff,0,5732ad6,46170112433061891,复读机
54,14.20600,滚动弹幕,25,0xffffff,0,4922b772,46169980797976581,嫖你吉言
55,38.87300,滚动弹幕,25,0xe70012,0,c8daffd8,46167423664521219,八嘎牙路就是日本人通用的
56,98.61900,滚动弹幕,25,0xffffff,0,2539cd3c,46163279126986755,如果是我直接走人
57,276.95600,滚动弹幕,25,0xffffff,0,1764f4a4,46162116734353411,？？日本网友反应呢
58,44.80700,滚动弹幕,25,0xa0ea,0,349a656a,46161891516481541,复读机
59,20.50300,滚动弹幕,25,0xffffff,0,50171a6b,46154999529996291,大过年的给大家表演个小品：nt竟是我自己！纯属为了节目效果，观众姥爷们可千万别当真哈！祝大家新春快乐，点赞的各位牛年发发发！！！！
60,53.88300,滚动弹幕,25,0xffffff,0,c94d695,46153904895819779,媒婆
61,272.93500,滚动弹幕,25,0xffffff,0,9674a9de,46153743226896391,小丑竟是我自己
62,286.87800,滚动弹幕,25,0xffffff,0,e7c231ce,46153615422783495,男同竟然是你？
63,109.25100,滚动弹幕,25,0xffffff,0,317f1bb0,46149599060557831,下次一定。。。
64,82.03300,滚动弹幕,25,0xffffff,0,317f1bb0,46149584813555719,下次一定
65,62.84800,滚动弹幕,25,0xffffff,0,b9a5f5ca,46149391330836487,白嫖
66,48.13900,滚动弹幕,25,0xffffff,0,1a7a273b,46149272724832259,复读机
67,55.82600,滚动弹幕,25,0xffffff,0,c250e3e7,46144525963362307,人类三大本质:1.真香2.真香
68,47.03900,滚动弹幕,25,0xffffff,0,b58affd,46138288890183687,外星人
69,38.43900,滚动弹幕,25,0xffffff,0,b58affd,46138279944781831,下次一定
70,46.73400,顶端弹幕,25,0xfef102,0,f67074fe,46134852636377093,真香
71,37.03800,顶端弹幕,25,0xe70012,0,f67074fe,46134841229443077,比博燃
72,165.20800,滚动弹幕,25,0xffffff,0,625b4200,46133276530180099,我是没有女朋友，但我结婚了啊，嘿嘿
73,117.25700,滚动弹幕,25,0xffffff,0,e5b25704,46130560876150789,我进来把赞取消了
74,139.53700,顶端弹幕,25,0xe70012,0,1e59fa83,46130083048456195,我记得我不是进来学日语的啊
75,58.06200,滚动弹幕,25,0xffffff,0,e958a84a,46129990488031237,复读机
76,51.03400,滚动弹幕,25,0xffffff,0,3fda8316,46129806372765701,复读机
77,154.09900,滚动弹幕,25,0xffffff,0,9dcd7693,46125628650946567,走了走了
78,53.02400,滚动弹幕,25,0xffffff,0,8fab10cc,46122952748433413,复读
79,11.78200,滚动弹幕,25,0xffffff,0,8fab10cc,46122931153010691,你和一护什么关系
80,28.55700,滚动弹幕,25,0xffffff,0,16caf0de,46121618169659399,我手机坏了么怎么没画面有弹幕
81,80.19100,滚动弹幕,25,0xffffff,0,2b98083c,46121419875549189,下次一定
82,75.95600,滚动弹幕,25,0xffffff,0,b9780db6,46121231021768711,下次一定
83,54.42400,滚动弹幕,25,0xffffff,0,ce8c1eff,46120456106803205,复读机
84,23.29500,滚动弹幕,25,0xffffff,0,889eb891,46120005456101379,不信瑶 不传瑶。
85,2.97900,滚动弹幕,25,0xe70012,0,78bffdab,46119854809808901,我是一户
86,65.73900,滚动弹幕,25,0xffffff,0,d629022c,46117383537426435,鸽还真的是我。
87,16.08200,滚动弹幕,25,0xffffff,0,f5e4a846,46117099669553159,不信谣不传谣
88,76.54200,滚动弹幕,25,0xffffff,0,7dc75f00,46117096347664391,+1
89,56.95700,滚动弹幕,25,0xffffff,0,7dc75f00,46117086061133891,复读机
90,50.50600,滚动弹幕,25,0xffffff,0,7dc75f00,46117082697302021,真香
91,44.83100,滚动弹幕,25,0xffffff,0,7dc75f00,46117079682646021,2333
92,36.62700,滚动弹幕,25,0xffffff,0,7dc75f00,46117075424903175,芜湖
93,26.11200,滚动弹幕,25,0xffffff,0,7dc75f00,46117069891567619,哈哈哈哈哈
94,55.63100,滚动弹幕,25,0xffffff,0,62a32b76,46117038905098243,复读机
95,47.80800,滚动弹幕,25,0xffffff,0,463f815c,46116810342268931,爱你芜湖～
96,46.91000,滚动弹幕,25,0xa0ea,0,48e96b3e,46115577737510917,复读机 白嫖 真香
97,37.84900,顶端弹幕,25,0xe70012,0,a1929570,46113703070269447,啰哩啰嗦说半天没讲到实处
98,47.41500,滚动弹幕,25,0xffffff,0,a1929570,46113676348882947,啰嗦
99,50.66500,滚动弹幕,25,0xffffff,0,74c36af7,46112934661718019,下次一定
100,2.59900,滚动弹幕,25,0xffffff,0,72f807b7,46110335469355011,我点了一下自己的大拇指
101,47.51900,滚动弹幕,25,0xffffff,0,bed2b3af,46108432244670469,好色
102,46.23900,滚动弹幕,25,0xffffff,0,f8619b1,46107044494180359,真香
103,47.97900,滚动弹幕,25,0xe70012,0,df1eec85,46103812150657031,人类的本质是什么？
104,76.49500,滚动弹幕,25,0xffffff,0,bfe02b96,46101933475233795,俺也一样
105,195.69700,滚动弹幕,25,0xffffff,0,28cb21b5,46090842672201731,老婆老婆老婆
106,62.86600,滚动弹幕,25,0xffffff,0,ce8b7c05,46089883035893763,社会关系的总和
107,54.11500,滚动弹幕,25,0xffffff,0,1b1c4a08,46089382232326151,人类的本质是具有社会性的
108,78.98800,滚动弹幕,25,0xffffff,0,ea8b373e,46087521390559237,。。。
109,46.86200,底端弹幕,25,0xe70012,0,96f47f8a,46086885957697539,虚伪
110,55.04600,滚动弹幕,25,0xffffff,0,6ecc2d1d,46086803326238725,复读机
111,228.79900,滚动弹幕,25,0xffffff,0,bab4e81,46086677772369927,缘之X？
112,162.45900,滚动弹幕,25,0xffffff,0,bab4e81,46086634659643399,等等，彼女………
113,104.91900,滚动弹幕,25,0xffffff,0,bab4e81,46086589338091523,路明非直呼内行
114,49.04400,顶端弹幕,25,0xfef102,0,ad8d3be3,46086460295086087,复读机
115,38.97500,顶端弹幕,25,0xfef102,0,ad8d3be3,46086452111998983,草是日本传过来的
116,52.40800,滚动弹幕,25,0xffffff,0,14be3731,46083814121799687,淦
117,18.62500,滚动弹幕,25,0xffffff,0,bab56544,46083776328499203,不信谣，不传谣
118,283.59100,滚动弹幕,25,0xffffff,0,1e525209,46083543924736003,233
