,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,92.57400,顶端弹幕,25,0xffff00,0,4853cb1e,44209298866176005,爱驾驶忘拿本儿~
2,128.52800,滚动弹幕,25,0xffffff,0,5592dabf,44203788194021379,这句录了十八遍
3,85.65200,顶端弹幕,25,0xe70012,0,3925e42,44175931977236483,罗老师发量不写实（狗头
4,14.60000,底端弹幕,25,0xfef102,0,17f19ea1,44179391181225989,瞧 毕 罗
5,166.40100,顶端弹幕,25,0x89d5ff,0,2cdbddbe,44179391878529027,水杯必须有牌面
6,156.67800,顶端弹幕,25,0x19ffff,0,3d0a25e,44179391880101891,罗毕搭法则yyds
7,120.83900,顶端弹幕,25,0xa0ea,0,388fdf3a,44179392760381445,《我觉得这比考上清华蓝多了》
8,196.28800,顶端弹幕,25,0x89d5ff,0,113e253e,44179396167204867,救命 毕毕子好憨啊哈哈哈
9,161.85900,顶端弹幕,25,0xfef102,0,5e94e171,46696478389305351,帅哥
10,87.61300,滚动弹幕,25,0xffffff,0,cd50397,46628044302974981,罗老师的声音呢
11,77.99200,滚动弹幕,25,0xffffff,0,480b6858,46563319989927941,罗老师怪可爱的
12,164.44900,顶端弹幕,25,0xffffff,0,44c2fdd3,46530393826394119,哈哈我听到了罗老师的就算(shuan)
13,100.32500,滚动弹幕,25,0xffffff,0,8022c4a7,46312831363579907,代子哥辛苦了哈哈哈
14,34.28000,滚动弹幕,25,0xffffff,0,8022c4a7,46311713559019527,嗷呜～
15,6.36200,滚动弹幕,25,0xffffff,0,8022c4a7,46311681306394629,圣代哥哥！
16,28.21600,滚动弹幕,25,0xffffff,0,6ea5318a,46292307848200195,小学二年级
17,4.49900,滚动弹幕,25,0xffffff,0,6aa9bdd7,46269451007426567,这就有点牛逼了啊
18,1.81900,滚动弹幕,25,0xffffff,0,8e956067,46220065222688775,老师好
19,11.71900,滚动弹幕,25,0xffffff,0,6d0f45bf,46208782692253701,梦幻联动
20,20.64500,滚动弹幕,25,0xff00,0,c02a21fa,46174277914329091,带毕罗
21,45.94800,顶端弹幕,25,0xff00,0,c02a21fa,46174040704942085,三厨狂喜
22,154.59800,滚动弹幕,25,0xffffff,0,1690dd60,46124734056759301,66666
23,176.57300,滚动弹幕,25,0xffffff,0,2ae6adf3,46124700462481415,NB
24,140.23000,滚动弹幕,25,0xffffff,0,3876df51,46123567090761731,毕导nb
25,192.37300,滚动弹幕,25,0xffffff,0,8022c4a7,46108937271902215,代子哥牛逼
26,57.91100,滚动弹幕,25,0xffffff,0,8022c4a7,46108851571785731,好喜欢这段
27,58.84700,滚动弹幕,25,0xffffff,0,8022c4a7,46108836149329923,好好听
28,5.83100,滚动弹幕,25,0xffffff,0,426afc1,46101212420898819,有生之年
29,65.27600,滚动弹幕,25,0xffffff,0,e49597f4,46080610057322503,圣代nb!
30,55.01400,滚动弹幕,25,0xffffff,0,e49597f4,46080604685991943,代代子！
31,150.20300,滚动弹幕,25,0xffffff,0,2c470ac2,46076813974175747,rap star就是你
32,132.46300,滚动弹幕,25,0xffffff,0,2c470ac2,46076804696899591,牛逼
33,6.32900,滚动弹幕,25,0xffffff,0,28f5d667,46066741106704391,嗯？
