,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,474.67900,滚动弹幕,25,0xfef102,0,d903c11a,46670715573239811,星碑欧拉欧拉欧拉欧拉欧拉
2,406.60200,滚动弹幕,25,0xffffff,0,afefa0b4,46610141773037573,影忍法！灭魂劫
3,367.57700,滚动弹幕,25,0xffffff,0,80327e7c,46609667875930117,无形之刃，最为致命
4,107.76100,滚动弹幕,25,0xffffff,0,290235d2,46588302706343941,太尴尬了
5,238.07000,顶端弹幕,25,0xe70012,0,2de594d0,46585484352159747,慈 悲 渡 魂 落
6,231.22900,顶端弹幕,25,0xe2027f,0,2de594d0,46585470062690309,慈悲渡魂落
7,63.77100,滚动弹幕,25,0xffffff,0,2de594d0,46585366134128647,慈悲渡魂落
8,53.28700,滚动弹幕,25,0xffffff,0,f61dc30a,46582339860955141,表里杀缭乱
9,183.66300,滚动弹幕,25,0xffffff,0,619d370c,46577076268433413,闪电松鼠
10,58.44400,滚动弹幕,25,0xffffff,0,2f4a7656,46563047018856455,狂风绝息斩
11,431.85800,滚动弹幕,25,0xffffff,0,4ab08bdd,46547425547517957,马萨伊尔直呼内行
12,90.42700,滚动弹幕,25,0xffffff,0,4ab08bdd,46547202751856647,BLIZZARD震怒
13,449.84700,顶端弹幕,25,0xe70012,0,d8ef213c,46544769581056007,其实参考了街霸的豪鬼和钢拳，豪鬼杀了他们的师傅，大招就是瞬狱影杀阵，游戏里劫也杀了师父 刚好师兄是慎
14,86.07800,滚动弹幕,25,0xffffff,0,98791429,46515126649487365,疯狂的钢铁？
15,51.46200,滚动弹幕,25,0xffffff,0,7d89d03d,46499178238443525,岚切
16,188.34900,滚动弹幕,25,0xffffff,0,e9999a6e,46498851525230595,雷切！
17,516.33100,滚动弹幕,25,0xffffff,0,d857c5b9,46484331365400579,天霸动霸tua
18,364.53400,滚动弹幕,25,0xffffff,0,d857c5b9,46484251781103619,飞雷神之术
19,348.28700,滚动弹幕,25,0xffffff,0,d857c5b9,46484243262472195,里莲花
20,340.62900,滚动弹幕,25,0xffffff,0,d857c5b9,46484239235416069,表莲华
21,306.21500,滚动弹幕,25,0xffffff,0,d857c5b9,46484221202530307,完美审判
22,277.68300,滚动弹幕,25,0xffffff,0,d857c5b9,46484206244069379,慈悲都魂体
23,254.73300,滚动弹幕,25,0xffffff,0,d857c5b9,46484194211659779,ohhhhhhhhhhhhhhhhh
24,174.45600,滚动弹幕,25,0xffffff,0,d857c5b9,46484152182112261,终极奥义
25,164.77300,滚动弹幕,25,0xffffff,0,d857c5b9,46484147227066373,人数奥义
26,94.99900,滚动弹幕,25,0xffffff,0,d857c5b9,46484110457176069,雪？
27,38.48300,滚动弹幕,25,0xffffff,0,d857c5b9,46484080833855495,饮血剑
28,360.93700,滚动弹幕,25,0xffffff,0,27f290d9,46484005683462149,你再骂！
29,230.63800,滚动弹幕,25,0xffffff,0,c2946276,46473822853922819,并肩作战
30,463.57100,滚动弹幕,25,0xffffff,0,94a5903d,46473132771377155,劲妇劲妇，全场欢呼
31,424.40300,滚动弹幕,25,0xffffff,0,94a5903d,46473096534687747,Mark:？？？
32,396.96600,顶端弹幕,25,0xe70012,0,3440b95f,46467920209903623,王∈蔑视
33,187.58200,顶端弹幕,25,0xe70012,0,3440b95f,46467773879025667,痰斗松果五连鞭
