,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,254.45400,滚动弹幕,25,0xffffff,0,6b97f174,46538015380602883,没事我开车
2,131.12800,滚动弹幕,25,0xffffff,0,c482cfb1,46519732430962695,要的要的
3,36.62400,滚动弹幕,25,0xffffff,0,d2f0d77a,46476212910948355,问一下，政治那个时间轴怎么领取啊
4,186.37900,滚动弹幕,25,0xffffff,0,7b5ae334,46447570235424773,不背单词你考个屁的研
5,34.41300,滚动弹幕,25,0xffffff,0,69458d48,46439264554582021,这脸值钱啊
6,140.74600,滚动弹幕,25,0xffffff,0,955bb7a5,46342304058834951,我红宝书是电子的。
7,110.90600,滚动弹幕,25,0xffffff,0,9ed22e00,46271645481435141,妈妈
8,51.48500,滚动弹幕,25,0xffffff,0,78f53590,46132829935894535,不是徐涛的冲刺背诵笔记吗
9,168.65900,滚动弹幕,25,0xffffff,0,abdb6a47,46086350415331335,考研词汇闪过呢
10,481.10900,滚动弹幕,25,0xffffff,0,958ef8d8,46016732249718789,今年的共创不错，和考场上感觉很像
11,340.06400,滚动弹幕,25,0xffffff,0,958ef8d8,46016647159873539,21基础好，今年数二题随便120+
12,254.28000,滚动弹幕,25,0xffffff,0,958ef8d8,46016355090563077,今年疫情在家和学校反复横跳，寄书总共花了200多
13,106.91200,滚动弹幕,25,0xffffff,0,c43a604d,46014233768886275,妈
14,102.96900,滚动弹幕,25,0xffffff,0,18eb8e0,45995099856830471,妈！！！！
15,409.00700,滚动弹幕,25,0xffffff,0,8dab1bdf,45992346253262855,晕了
16,114.23400,滚动弹幕,25,0xffffff,0,425ddab7,45991617621393413,妈妈！
17,111.08800,滚动弹幕,25,0xffffff,0,425ddab7,45991612786409475,要！
18,178.93200,滚动弹幕,25,0xffffff,0,e51fc122,45983109094047749,百词斩呢
19,139.56400,滚动弹幕,25,0xffffff,0,e51fc122,45982121270968323,默默
20,118.20300,滚动弹幕,25,0xffffff,0,ba7a56d,45923582184259587,要
