,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,10.90900,滚动弹幕,25,0xffffff,0,d1c88b0d,45161603571646471,我想静静
2,8.61400,滚动弹幕,25,0xffffff,0,dbea0ebe,45161602625306631,我看的书上面没有啊（手动痛苦面具）
3,50.49800,滚动弹幕,18,0xa0ea,0,2e0b88a7,45160284453076995,牛逼。
4,46.81100,滚动弹幕,25,0xfef102,0,bfdeb6cd,45134906543046663,戳你
5,10.31300,滚动弹幕,25,0xffffff,0,9230250f,45133341849026567,步入正题
6,6.01800,滚动弹幕,25,0xffffff,0,3b9c035c,45127891746291717,老婆
7,16.73600,滚动弹幕,25,0xffffff,0,988aa214,45126137050300423,小猿搜题
8,11.83300,滚动弹幕,25,0xffffff,0,988aa214,45126134596108293,作业帮
9,40.64300,滚动弹幕,25,0xffffff,0,17be8f0b,45084230567854087,下载个小站托福不比这方便
10,17.82100,滚动弹幕,25,0xffffff,0,77eb2a33,45083125315272711,我想静静
11,12.72600,滚动弹幕,25,0xffffff,0,49e3554e,45040596672315395,我不想
12,35.18000,滚动弹幕,25,0xffffff,0,9423592f,45039561722036229,。。。就这啊呃
13,5.82600,顶端弹幕,25,0xe70012,0,a4a77c3e,45017044801814533,不会下载的
14,21.12800,滚动弹幕,25,0xffffff,0,de361d8c,45006386503352325,好麻烦 看着都不想用
15,0.50500,滚动弹幕,25,0xffffff,0,c7c62808,45003668663042051,那我能想你一下么
16,31.71700,滚动弹幕,25,0xffffff,0,31ab719,45002955747753987,啊啊啊啊啊啊 我也爱 东野圭吾！！！！爱死了
17,6.80800,滚动弹幕,25,0xffffff,0,1e7109ca,44994069752446983,作业帮
18,12.31900,滚动弹幕,25,0xffffff,0,ffd489df,44965276413853699,静静是你了
19,10.28900,滚动弹幕,25,0xffffff,0,8ffc4e06,44954302463606789,直接不可能
20,8.49900,滚动弹幕,25,0xffffff,0,4c12e9a5,44947979066408967,我想静静
21,32.54600,滚动弹幕,25,0xffffff,0,ec96baa1,44943937784774659,没有用的
22,67.75800,滚动弹幕,25,0xffffff,0,1f476054,44937045638905861,全能王没有office lens好用
23,17.87900,滚动弹幕,25,0xffffff,0,a63fc54f,44935141554913283,冲着白夜行我给好评
24,31.94000,滚动弹幕,25,0xffffff,0,ed7e4361,44934806236561413,付费用的
25,75.04800,滚动弹幕,25,0xffffff,0,2cc6ebf0,44932117446000645,令人心动的offer2！
26,36.55600,滚动弹幕,25,0xffffff,0,e9277157,44918238318952451,主要我看的书那个软件上不一定有啊
27,26.87800,滚动弹幕,25,0xffffff,0,64662d26,44907899555151875,这个软件要钱的
28,7.51900,滚动弹幕,25,0xe70012,0,94c91231,44898041724928007,？
29,7.04500,滚动弹幕,25,0xffffff,0,ab72aaaa,44880708597972999,我想静静了
