,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,69.81400,顶端弹幕,25,0xe70012,0,93c2862e,45650855401619461,真·土豆泥
2,87.73200,顶端弹幕,25,0xe70012,0,5a76cf21,45604558223704071,因为他按你的要求，给你的是土豆掺泥
3,81.28300,顶端弹幕,25,0xe70012,0,914883e1,45561644484919299,搁楞搁楞啊搁楞搁楞
4,95.00000,滚动弹幕,25,0xffffff,0,9f730503,46694502862159877,中囧感染了
5,46.82000,滚动弹幕,25,0xffffff,0,3ee8cfd2,46690637695680515,哈哈哈
6,54.29900,滚动弹幕,25,0xffffff,0,60f0fa05,46684826582384643,"我们这边就叫tomato sauce, 但是ketchup也听得懂"
7,87.37000,顶端弹幕,25,0xe70012,0,90c09759,46681173227732995,酸臭味~
8,67.68700,滚动弹幕,25,0xffffff,0,d085fa68,46673246478663683,我们现在课本上的土豆泥就是Mashed potato。
9,55.90000,顶端弹幕,25,0xe70012,0,c27d3e97,46666102515695619,ketchup
10,63.29300,滚动弹幕,25,0xe70012,0,2921e9ab,46635938135146501,怎么你水平高没见你出国啊？一顿饭吃多少醋啊？
11,55.33300,滚动弹幕,25,0xe70012,0,2921e9ab,46635919483076615,知道个ketchup就来秀了
12,67.67500,滚动弹幕,25,0xffffff,0,3b33663e,46632378142031879,土豆泥的英文现在八年级上册有教的
13,30.44400,滚动弹幕,25,0xffffff,0,c5c57a50,46609826135932931,ctrain
14,19.80800,滚动弹幕,25,0xffffff,0,8aa1b113,46585534790762501,Metro
15,60.06300,滚动弹幕,25,0xffffff,0,a69a423b,46581452436406277,好家伙说法都没统一
16,68.05000,滚动弹幕,25,0xffffff,0,3d02e17b,46581030189531141,只要你不尴尬系列
17,30.25800,滚动弹幕,25,0xffffff,0,2764f22b,46578767806595077,underground
18,43.19900,滚动弹幕,25,0xffffff,0,820f820c,46574487889510407,tube
19,89.85900,滚动弹幕,25,0xffffff,0,44778d61,46574442963795975,那个美什么的没必要嗷
20,91.57400,滚动弹幕,25,0xffffff,0,44778d61,46574399204622339,吓人了，爱吃的也不吃了hhh
21,48.81700,滚动弹幕,25,0xffffff,0,a9ea7bbf,46560932097687555,BRT
22,72.09100,滚动弹幕,25,0xffffff,0,a72828e4,46554823390658567,哈哈
23,61.69900,滚动弹幕,25,0xffffff,0,a72828e4,46554817472495619,西红柿酱就听不懂了吗？叫法不同而已
24,19.03700,滚动弹幕,25,0xffffff,0,e729861e,46549472874856453,好家伙，外国叫metro的，美国叫subway蟹蟹
25,59.72200,顶端弹幕,25,0xffffff,0,e1fadea3,46541946472103943,茄汁
26,57.07900,滚动弹幕,25,0xffffff,0,c403dd2d,46535137570062339,番茄酱老谐音段子，，
27,62.77600,滚动弹幕,25,0xa0ea,0,56ba631d,46523401642180615,ketchup不是广东话音译！不是广东话音译！以讹传讹多少年了还有人信
28,37.45900,滚动弹幕,25,0xffffff,0,466d6533,46522544294985731,大温的sky train哈哈哈
29,87.08100,顶端弹幕,25,0xe70012,0,c845018,46518746188087301,下饭视频
30,47.98900,顶端弹幕,25,0xe70012,0,c845018,46518720807829511,哈哈哈幸亏在国内被科普过
31,73.52100,滚动弹幕,25,0xffffff,0,65d912bb,46516263267074055,Potato gray
32,28.92500,顶端弹幕,25,0xe70012,0,73067b76,46516107350114309,哈哈哈哈哈哈哈哈哈
33,47.33400,滚动弹幕,25,0xffffff,0,f7b7b6d5,46511718214926343,谁能想到蕃茄酱叫ketchup啊
34,47.69900,滚动弹幕,25,0xffffff,0,e1900835,46494714168344581,ketchup
35,8.89900,滚动弹幕,25,0xffffff,0,e1900835,46494690951823367,subway
36,49.29000,滚动弹幕,25,0xffffff,0,6eb0d07f,46494295011098631,不是特码头吗
37,21.08800,滚动弹幕,25,0xffffff,0,a9f98d74,46493689328435205,metro
38,80.68300,滚动弹幕,25,0xffffff,0,e499e48e,46490112869531655,不是特码头么？？？？
39,20.67800,滚动弹幕,25,0xffffff,0,7dca82f0,46484641474412551,哈哈哈哈哈哈哈哈
40,29.07400,滚动弹幕,25,0xffffff,0,1fe7a1f9,46483407842050053,哈哈
