,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,7.28100,滚动弹幕,25,0xffffff,0,96b00d5d,45799280682729479,好家伙才发现是凡尔赛
2,23.09300,滚动弹幕,25,0xffffff,0,2f2b2a0d,45543593870884871,我靠这条件
3,28.38300,滚动弹幕,25,0xffffff,0,18db1da3,46675168208617475,北佬
4,19.98900,滚动弹幕,25,0xffffff,0,214e4efb,46674781548838919,草
5,19.19400,滚动弹幕,25,0xffffff,0,c9f013ff,46669613782532099,我做梦梦到过这里！？
6,79.61900,滚动弹幕,25,0xffffff,0,c6171bda,46660819857965063,烤棉花糖
7,24.63900,滚动弹幕,25,0xffffff,0,fc0464e7,46648841826467845,不是名校你去留学干嘛？混吗？
8,49.14000,滚动弹幕,25,0xffffff,0,79adf204,46645590843981831,。。。
9,10.65100,滚动弹幕,25,0xffffff,0,79adf204,46645570667282439,居然。。。
10,78.30500,滚动弹幕,25,0xffffff,0,424b1ede,46640155242004487,邂逅（hou）
11,31.79500,滚动弹幕,25,0xffffff,0,bf45904b,46631431608729607,羡慕
12,23.34500,滚动弹幕,25,0xffffff,0,bf24bb10,46626873630785539,牛逼
13,32.89900,滚动弹幕,25,0xffffff,0,b33e3f73,46620378395574277,羡慕了 可惜我这分考不上 考上了也不好毕业哈哈哈哈
14,12.51100,滚动弹幕,25,0xffffff,0,b33e3f73,46620356400644099,？？？？
15,78.64300,滚动弹幕,25,0xffffff,0,3903a55f,46612355157065731,举报了
16,79.60500,滚动弹幕,25,0xffffff,0,accf6a17,46584118415720455,gou？
17,86.31600,顶端弹幕,25,0x927939,0,50c04918,46564817870782467,？？
18,29.81700,顶端弹幕,25,0xfef102,0,73067b76,46563343051259909,卧槽
19,16.24900,顶端弹幕,25,0xfef102,0,73067b76,46563335949778949,妙啊
20,20.25800,滚动弹幕,25,0xffffff,0,21450a05,46536101260165125,卧槽我羡慕了
21,25.14400,滚动弹幕,25,0xffffff,0,e953461c,46533798718341123,woc好方便！
22,19.04000,滚动弹幕,25,0xffffff,0,b4f63eac,46531870478303239,大学课程辅导，高分雅思冲刺瞩目
23,21.40600,滚动弹幕,25,0xe70012,0,48800461,46520240741810183,我梦到过这个？？！
24,4.85900,滚动弹幕,25,0xffffff,0,5dc7a85a,46519015315079171,《厚厚的薄片》
25,8.72700,滚动弹幕,25,0xffffff,0,6c995dea,46517059610738693,阿大
26,60.14800,滚动弹幕,25,0xffffff,0,193a0bb3,46515703293411335,这环境
27,31.06800,滚动弹幕,25,0xffffff,0,3f89dd7f,46499687242399751,多大实名羡慕了 
28,79.93200,滚动弹幕,25,0xffffff,0,20a917b6,46497412649844743,好棒的学校啊！！
29,61.23400,滚动弹幕,25,0xffffff,0,50438cfe,46489308708208647,我滑大的啊
30,22.76700,滚动弹幕,25,0xffffff,0,190e2d62,46478376163082245,好家伙
31,77.17100,滚动弹幕,25,0xffffff,0,38d0588e,46470059483725827,哈哈哈哈哈咋这么欢乐，因为坐VIP专座听单口相声，哈哈哈哈
32,77.61900,滚动弹幕,25,0xffffff,0,14c9b39b,46467416195596291,猝不及防
33,77.61900,滚动弹幕,25,0xffffff,0,14c9b39b,46467414000402439,好家伙
34,26.01900,滚动弹幕,25,0xffffff,0,c019011e,46452111232204803,凡尔赛
35,27.80200,滚动弹幕,25,0xffffff,0,37fea19e,46444112790945795,这是恨铁不成钢了
36,12.51900,滚动弹幕,25,0xffffff,0,37fea19e,46444104733163525,笑死我了
37,21.29900,滚动弹幕,25,0xffffff,0,21d4a1af,46439667773997059,不吵吗？
38,56.02800,滚动弹幕,25,0xffffff,0,e57562,46431105272250373,内蒙吧
39,27.09200,滚动弹幕,25,0xffffff,0,2fdd7b51,46427104738803719,哇哦
40,21.53100,滚动弹幕,25,0xffffff,0,36da8aef,46420915452379141,？
41,73.37900,滚动弹幕,25,0xffffff,0,e8110092,46419455303483397,启德狂喜
42,30.03900,滚动弹幕,25,0xffffff,0,cb3857ae,46405877447000067,哇
43,62.35800,滚动弹幕,25,0xffffff,0,2d6f79fe,46401439216435203,然而国内不少专科还是四张上下床，八个人的小宿舍，本科能好点，六个人
44,63.17400,滚动弹幕,25,0xffffff,0,32242fe5,46401083092238343,哈哈哈哈哈
45,37.44600,滚动弹幕,25,0xffffff,0,fb4593a4,46398767752019973,内蒙人啊。。。。
46,10.12600,滚动弹幕,25,0xffffff,0,eaa63790,46391495271907335,哈哈哈哈哈哈哈
47,34.63900,滚动弹幕,25,0xffffff,0,1d832ee9,46385059288580101,山西有口音，别杠，杠就是本地人
48,36.20800,滚动弹幕,25,0xffffff,0,1881680f,46383934984421383,A锥
49,46.71900,滚动弹幕,25,0xffffff,0,a72828e4,46380766243848197,南方人才认为这是东北口音
50,32.91900,滚动弹幕,25,0xffffff,0,b5977b04,46374732992348167,哎追？？
51,79.91000,滚动弹幕,25,0xffffff,0,48a05094,46372476129640455,你有本事你也可以去啊？
52,85.70300,滚动弹幕,25,0xffffff,0,bd7f6989,46362710560997383,要钱的
53,80.47000,滚动弹幕,25,0xffffff,0,5149655b,46356529251090439,羡慕
54,29.09200,滚动弹幕,25,0xffffff,0,ab3776bb,46356350572691463,卧槽
55,85.46300,滚动弹幕,25,0xffffff,0,b930825f,46353613476331527,猝不及防
56,1.22800,滚动弹幕,25,0xffffff,0,153307e1,46352964258889735,《无人知晓的名校》
57,0.00000,滚动弹幕,25,0xffffff,0,48248a07,46339551207096327,xiehou
58,20.23900,滚动弹幕,25,0xffffff,0,1a395f7,46333799309508615,我以为这是啥车间呢
59,15.08000,滚动弹幕,25,0xffffff,0,376c22f7,46330850590064643,为救李郎离家园，水疗皇榜中状元
60,41.78400,滚动弹幕,25,0xffffff,0,36635e9a,46319726164967429,卧槽我酸了
61,27.56300,滚动弹幕,25,0xffffff,0,78adcda1,46312510680727557,卧槽
62,20.24000,滚动弹幕,25,0xffffff,0,92c1cf10,46307928974557191,哇
63,3.48700,滚动弹幕,25,0xffffff,0,b2d376e4,46292855538843719,阿尔伯塔大学
64,78.01700,滚动弹幕,25,0xffffff,0,b2d376e4,46292843498045447,阿尔伯塔大学
65,31.84000,滚动弹幕,25,0xffffff,0,2b8e2357,46258897638916099,厉害
66,14.20500,滚动弹幕,25,0xffffff,0,8d31faed,46255754281222147,凡尔赛
67,74.77900,滚动弹幕,25,0xffffff,0,5f2ed3d9,46239308866650117,猝不及防
