,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,73.95800,滚动弹幕,25,0xffffff,0,c4167ef3,44474025726443527,可是我妈在意
2,235.29600,滚动弹幕,25,0xffffff,0,28cca15c,46666501904662535,一数
3,189.44900,滚动弹幕,25,0xffffff,0,28cca15c,46666477868154887,南京大学
4,180.20400,滚动弹幕,25,0xffffff,0,ca3f7b46,46649563927281669,南京大学！！！
5,182.39000,滚动弹幕,25,0xffffff,0,112f34cf,46630844400402437,港中大
6,180.44600,滚动弹幕,25,0xffffff,0,38f75023,46587457000964101,同济建筑系
7,16.36900,滚动弹幕,25,0xffffff,0,a16a6a85,46584159937757191,16
8,177.69100,滚动弹幕,25,0xffffff,0,e8fcf8cd,46583772946628611,中国政法大学
9,294.40700,滚动弹幕,25,0xffffff,0,a7c520f1,46583767268589575,？？？？？？？？
10,190.70500,滚动弹幕,25,0xffffff,0,6eff7400,46579138375450631,浙大！！！
11,346.48100,滚动弹幕,25,0xffffff,0,ed6c9843,46577472682590211,我十八岁才高二，嘤嘤嘤
12,20.01900,滚动弹幕,25,0xffffff,0,68f1f2c5,46563455908970499,目标考清华
13,185.19900,滚动弹幕,25,0xffffff,0,66b826bf,46563183669805059,中山大学
14,177.77900,滚动弹幕,25,0xffffff,0,84250879,46540417604255749,北京大学
15,30.13900,滚动弹幕,25,0xffffff,0,9c2956ef,46538816759005189,16害怕
16,228.25100,滚动弹幕,25,0xfef102,0,cfe6d2d8,46537461414232071,鲲哥讲得真的一半
17,184.45100,滚动弹幕,25,0xfef102,0,cfe6d2d8,46537421696794629,仙交呜呜呜
18,17.85700,滚动弹幕,25,0xffffff,0,a9672074,46531476744306695,我11
19,176.78600,滚动弹幕,25,0xffffff,0,c536850e,46519806200905735,清华
20,159.48400,滚动弹幕,25,0xffffff,0,342beebd,46507213735854083,懂
21,357.39600,滚动弹幕,25,0xffffff,0,bfa80ced,46484075332501507,谢谢
22,194.36600,滚动弹幕,25,0xffffff,0,bfa80ced,46483941585584133,清美！！！！
