,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,93.02500,顶端弹幕,25,0xffff00,0,5ea4e7d7,44534359577329731,跟着猩猩哥辍学做主be[doge]
2,118.84500,顶端弹幕,25,0xfef102,0,66eb1e8a,44493160677113861,三件事一起做不就行了[dog]
3,8.45400,顶端弹幕,25,0x19899,0,5af5724b,44490360936202245,《学的妈妈朝你啸》
4,0.73100,滚动弹幕,25,0xfe0302,0,cb7656f2,44446566670925895,《我  郑  爽  着  呢  》
5,78.55000,顶端弹幕,25,0xffffff,0,b7aa1316,44446556510224387,3.已经不打算完成学习任务
6,198.61500,滚动弹幕,25,0xfe0302,0,9b6331ab,46655436169412613,传说之下！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
7,111.80600,滚动弹幕,25,0xffffff,0,ec5aece7,46607597349371911,2
8,103.85900,滚动弹幕,25,0xffffff,0,fda07e22,46583004908748805,123
9,102.41900,底端弹幕,25,0xe70012,0,6cc53781,46575252669464581,1234
10,102.16500,滚动弹幕,25,0xffffff,0,3dd25930,46574683309473795,1234
11,23.85400,滚动弹幕,25,0xffffff,0,288774d3,46573576697413635,哈哈哈哈
12,102.59800,滚动弹幕,25,0xffffff,0,252affc7,46538166133325831,111111
13,184.01600,滚动弹幕,25,0xffffff,0,aeb341e0,46491275310399495,空洞骑士
14,103.47800,滚动弹幕,25,0xffffff,0,d5249476,46490433879015429,2
15,104.13600,滚动弹幕,25,0xffffff,0,866e5455,46488880502800389,1234
16,298.86500,滚动弹幕,25,0xffffff,0,2e76b202,46486068011728903,Java从入门到入土
17,102.90800,滚动弹幕,25,0xffffff,0,3bfc0d3f,46435879097991171,14
18,104.41500,滚动弹幕,25,0xffffff,0,dbc37477,46427960358993927,2
19,99.07500,滚动弹幕,25,0xffffff,0,dbc37477,46427955481542661,2
20,102.37900,滚动弹幕,25,0xffffff,0,268af6ff,46387683678748679,12
21,291.38200,滚动弹幕,25,0xfef102,0,13429393,46269292094685187,爽
22,102.39800,滚动弹幕,25,0xffffff,0,28c08d12,46256914819448839,1
23,100.85700,滚动弹幕,25,0xffffff,0,e12cdfd,46219730646728707,2
24,110.73400,滚动弹幕,25,0xffffff,0,ce9cbc9b,46217556880523271,1234
25,102.62900,滚动弹幕,25,0xffffff,0,ce9cbc9b,46217552702996483,2
26,104.08000,滚动弹幕,25,0xffffff,0,289e2b80,46196971961057285,12
27,101.46300,滚动弹幕,25,0xffffff,0,bf59f0a7,46169285955944455,2222
28,107.31700,滚动弹幕,25,0xffffff,0,b8652715,46166304018661379,12
29,299.22500,滚动弹幕,25,0xffffff,0,88b322df,46164911289008133,每天换一个女朋友
30,89.55100,顶端弹幕,25,0xe70012,0,d0179c01,46134165294809095,最好还是不要对二产生期待吧…
31,107.16500,滚动弹幕,25,0xffffff,0,d30265cb,46129630808637443,123是我没错
32,103.05900,滚动弹幕,25,0xffffff,0,dfe0367f,46124336931143685,24
33,98.24100,滚动弹幕,25,0xffffff,0,a4fa15f3,46120646082035715,1
34,105.75900,滚动弹幕,25,0xffffff,0,200bf3e,46116169437937667,1234
35,103.12200,滚动弹幕,25,0xffffff,0,2a26df17,46113833408266245,1
36,125.62700,滚动弹幕,25,0xffffff,0,4fb7199e,46111963005583365,222333
37,101.56600,滚动弹幕,25,0xffffff,0,7fc5667,46086648511856645,1234听歌
38,16.69900,滚动弹幕,25,0xffffff,0,9c1aea59,46085803900665861,胡桃夹子
39,104.11500,滚动弹幕,25,0xffffff,0,474dd7b6,46085681636704259,2
40,98.72900,滚动弹幕,25,0xffffff,0,474dd7b6,46085678170112003,2
41,131.12100,滚动弹幕,25,0xffffff,0,2b4caa9,46082777453953031,性也太真实了吧
42,101.93900,滚动弹幕,25,0xffffff,0,855c8003,46076787556352003,123
43,54.13900,滚动弹幕,25,0xffffff,0,855c8003,46076758346694663,我寒假过完了才看到
44,102.47900,滚动弹幕,25,0xffffff,0,940092bb,46076595019448327,4
45,104.99900,顶端弹幕,25,0xffffff,0,ec7b33f,46076342005923843,1234
46,103.10000,滚动弹幕,25,0xffffff,0,238ceab5,46074851412672517,2
47,95.95900,滚动弹幕,25,0xffffff,0,f6d78e36,46074809270403079,画画逛哔站
48,103.62900,滚动弹幕,25,0xffffff,0,2e84e50e,46074070765666309,1234
49,105.05900,滚动弹幕,25,0xe2027f,0,dca83b75,46070577644961799,4
50,271.82500,滚动弹幕,25,0xffffff,0,bdcfdb74,46069329527570439,没钱咋办
51,101.68000,滚动弹幕,25,0xffffff,0,c68bbe8f,46067560506982407,1
52,104.01900,滚动弹幕,25,0xffffff,0,f13f3f9c,46037613964951555,4
53,352.56300,滚动弹幕,25,0xffffff,0,ddb00576,46034638086864899,醍醐灌顶
54,101.77900,滚动弹幕,25,0xffffff,0,c98d9947,46031860388593669,2
55,191.85900,滚动弹幕,25,0xffffff,0,b887c707,46000380251209735,阴阳师
56,105.93900,滚动弹幕,25,0xffffff,0,b887c707,46000333879508997,1
57,102.30900,滚动弹幕,25,0xffffff,0,d751bbc,45994485892513797,12
58,106.94900,滚动弹幕,25,0xffffff,0,56b882bb,45990967626956807,1234
59,285.15000,滚动弹幕,25,0x89d5ff,0,9b0f8ab8,45937218508816387,我只能专攻语数英，物化经
60,98.51300,滚动弹幕,25,0xffffff,0,2ab53938,45926846678695939,睡觉
61,102.54300,滚动弹幕,25,0xffffff,0,be2b2b8f,45925431041851397,2
62,24.37100,滚动弹幕,25,0xffffff,0,f0efa57f,45904861397516291,寒假要结束的我后悔没早点看到
63,328.77500,滚动弹幕,25,0xffffff,0,aa4b760e,45904739468050435,寒假仅剩4天，看这个正常吗
64,378.23900,滚动弹幕,25,0xffffff,0,63306961,45884383608438787,nb
65,18.26500,滚动弹幕,25,0xff03ff,0,f1c9c8fc,45881314420195331,别玩了今天开学作业还没做完
66,230.71900,滚动弹幕,25,0xffffff,0,e9fb2c2b,45855666467241991,音乐起
67,102.16700,滚动弹幕,25,0xffffff,0,dd26542f,45854655723864071,2
68,101.75200,滚动弹幕,25,0xffffff,0,11113ea4,45848931152166917,24
69,99.64600,滚动弹幕,25,0xffffff,0,4d0424ec,45847137038106629,2
70,189.07600,滚动弹幕,25,0xffffff,0,74947afc,45833666753462279,赛博朋克
71,161.71600,滚动弹幕,25,0xffffff,0,74947afc,45833646937997379,拉氏运算叠加原理
72,336.32300,滚动弹幕,25,0xffffff,0,b8f7e9c7,45833634164768771,龙与地下城
73,104.93400,滚动弹幕,25,0xffffff,0,74947afc,45833576226226181,1234
74,104.20300,滚动弹幕,25,0xffffff,0,ea0ffc78,45826821043257349,23
75,93.42500,滚动弹幕,25,0xffffff,0,ea0ffc78,45826814916427779,睡觉，看进击的巨人
76,133.17400,滚动弹幕,25,0xffffff,0,37eef675,45825915092467717,性
77,102.11000,滚动弹幕,25,0xffffff,0,37eef675,45825887520161795,123
78,104.02600,滚动弹幕,25,0xffffff,0,a861074e,45815323116961795,1264
79,104.30400,滚动弹幕,25,0xffffff,0,101214a2,45811086005895173,22222
80,103.59400,滚动弹幕,25,0xffffff,0,601b3174,45811015052951555,1234
81,190.68800,滚动弹幕,25,0xffffff,0,d7cc218f,45809454046773255,EVE
82,103.15200,滚动弹幕,25,0xffffff,0,24eda84b,45806325914402821,1234
83,105.83900,滚动弹幕,25,0xffffff,0,9df3ac1a,45797954471591939,1234
84,165.50600,滚动弹幕,25,0xffffff,0,cdf4136c,45797919276138503,你们是魔鬼嘛
85,215.35200,滚动弹幕,25,0xfef102,0,d28a1e91,45797639060979715,sm
86,107.52700,滚动弹幕,25,0xffffff,0,65450fca,45797021711335431,2
87,140.36800,滚动弹幕,25,0xffffff,0,21c740ba,45796478081826819,没有运动？
88,101.62700,滚动弹幕,25,0xffffff,0,21c740ba,45796436316520451,12
89,103.54800,滚动弹幕,25,0xffffff,0,c37bba2e,45796041970679811,1
90,190.92800,顶端弹幕,25,0xe70012,0,27e5144d,45796012929843207,P社永远的神
91,107.03700,滚动弹幕,25,0xffffff,0,cc05905b,45795544350588935,2
92,106.01200,滚动弹幕,25,0xffffff,0,cfd1600f,45795284466794499,2
93,104.06400,滚动弹幕,25,0xffffff,0,dfd04228,45794998933258245,23
94,193.38900,滚动弹幕,25,0xffffff,0,3f1001e3,45794284547342341,不消化（doge）
95,168.06100,滚动弹幕,25,0xffffff,0,3f1001e3,45794263207772163,上面那个第五人格笑死我
96,105.72700,滚动弹幕,25,0xffffff,0,3f1001e3,45794205547102213,1234都有
97,397.23000,滚动弹幕,25,0xffffff,0,b65e5814,45792365520617477,白嫖失败
98,362.14200,滚动弹幕,25,0xffffff,0,5c62b3a,45771086592212995,我悟了！
99,103.27900,滚动弹幕,25,0xffffff,0,61dafa41,45770969557499909,24
100,94.69900,滚动弹幕,25,0xffffff,0,fe3b4336,45769269913321477,1
101,109.44900,滚动弹幕,25,0xffffff,0,d70392ab,45768228962041863,4
102,360.73700,滚动弹幕,25,0xffffff,0,95787d74,45768178371395591,简称：学习使我快乐
103,101.77900,滚动弹幕,25,0xffffff,0,a9b86c65,45768130748743687,123
104,103.09800,滚动弹幕,25,0xffffff,0,9ceb677c,45767648568410117,1
105,102.90900,滚动弹幕,25,0xff7204,0,2e98bf2,45766992520544261,做数学题
106,94.57400,滚动弹幕,25,0xffffff,0,88c42a4f,45766507067604995,刷B站
107,100.78500,滚动弹幕,25,0xffffff,0,bdf82bd5,45764466244583429,11111
108,107.98000,滚动弹幕,25,0xffffff,0,c133f36b,45762902992879619,1234
109,101.75300,滚动弹幕,25,0xffffff,0,677585ee,45762748872130565,12
110,19.25300,滚动弹幕,25,0xffffff,0,a09b5fed,45762150258442245,漂亮！是我了！
111,104.21800,滚动弹幕,25,0xffffff,0,18cb31c2,45761372625567747,12
112,108.22000,滚动弹幕,25,0xffffff,0,7d3bda40,45761067616305155,24
113,305.72900,滚动弹幕,25,0xffffff,0,665f0dbb,45760855011229701,我看着电脑，手机放了3遍up的视频，所以你说了什么？
114,103.42500,滚动弹幕,25,0xffffff,0,8ce40295,45760500538015747,1234doge
115,103.23000,滚动弹幕,25,0xffffff,0,10c4634f,45760211104301061,1234
116,49.64800,滚动弹幕,25,0xffffff,0,37c87a84,45759996272050181,up讲英语有日语内味儿了hhh
117,105.21900,滚动弹幕,25,0xffffff,0,549b3433,45756735357976579,1234
118,339.45900,滚动弹幕,25,0xffffff,0,17297e61,45756468871299077,键政
119,135.94900,滚动弹幕,25,0xffffff,0,de47e0cd,45756131628285955,性！！！
120,132.21300,滚动弹幕,25,0xffffff,0,de47e0cd,45756117264891907,1000%了 哈哈哈哈哈
121,100.01900,滚动弹幕,25,0xffffff,0,12def236,45754526718230533,2
122,31.03400,滚动弹幕,25,0xfef102,0,24999a8f,45753854039949315,传统手艺
123,14.75900,滚动弹幕,25,0xfef102,0,24999a8f,45753845086158853,传统手艺
124,103.08100,滚动弹幕,25,0xffffff,0,1c40d473,45753677987708931,34
125,373.89700,滚动弹幕,25,0xffffff,0,ec0f7c8f,45753289588342787,确实，写出一道高数题真的很爽
126,101.36000,滚动弹幕,25,0xffffff,0,ec0f7c8f,45753144955109379,1234
127,75.32600,滚动弹幕,25,0xffffff,0,ec0f7c8f,45753121962459141,哈哈哈哈我是真爽
128,293.23800,滚动弹幕,25,0xffffff,0,88536981,45750540212109317,学日语
129,107.99700,滚动弹幕,25,0xffffff,0,f2a523ff,45750118829785093,123
130,284.07900,滚动弹幕,25,0xffffff,0,3e481fef,45748623749677061,练琴！！！
131,102.25900,顶端弹幕,25,0x84c0cb,0,4b068134,45748025421201411,1 2
132,15.45500,滚动弹幕,25,0xffffff,0,d561f6ee,45747531229954053,马上要开学了
133,102.63900,滚动弹幕,25,0x84c0cb,0,78aabc34,45746120433336325,1234
134,86.52600,滚动弹幕,25,0xffffff,0,23ea219,45745719860002819,3.已经完不成了，所以干脆直接玩
135,179.89900,顶端弹幕,25,0x683a7b,0,c0d45bc6,45745338431569991,紫 气 东 来
136,178.93900,顶端弹幕,25,0xa0ea,0,c0d45bc6,45745333003091973,蓝 天 白 云
137,177.61900,顶端弹幕,25,0xe70012,0,c0d45bc6,45745328196419587,光 敏 感 性 癫 痫
138,102.91100,滚动弹幕,25,0xffffff,0,edf7da77,45742532386619397,1234
139,391.94200,滚动弹幕,25,0xffffff,0,fd655a26,45740356358635523,爽=学习
140,181.09600,顶端弹幕,25,0xffffff,0,7791c1ce,45728463943368709,非 酋 抽 卡
141,1.33900,滚动弹幕,25,0xffffff,0,7791c1ce,45728305553342471,（我寒假都要结束了为什么要看这个
142,296.66400,滚动弹幕,25,0xffffff,0,11b51162,45727642435452933,？？？？
143,322.84200,滚动弹幕,25,0xffffff,0,c69ce40,45727118674362373,静坐
144,174.74800,滚动弹幕,25,0xffffff,0,b3f27e0a,45726718736990215,买专辑抽卡
