,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,31.57200,滚动弹幕,25,0xffffff,0,4a8ef11c,46316229453938693,やばい
2,46.56000,滚动弹幕,25,0xffffff,0,18bc6588,46078710786818053,哈——撒——给！
3,21.77900,顶端弹幕,25,0xffffff,0,23499219,46077365974990851,那，wdnmd，你这个崽种怎么说？
4,6.00200,顶端弹幕,25,0xe70012,0,bca166db,46073605415501829,呦西
5,37.14600,滚动弹幕,25,0xffffff,0,8a3bdf78,46072238597734407,男女不一样啊？
6,26.28400,滚动弹幕,25,0xffffff,0,bbbd12b9,46058777176178695,为什么我会的都是女性的？？？
7,43.60000,滚动弹幕,25,0xffffff,0,746c68da,46058050296479749,等我学会了就可以看日漫不用看字幕了
8,14.58600,滚动弹幕,25,0xffffff,0,30fd3b0f,46057873856790531,哈
9,9.17900,滚动弹幕,25,0xffffff,0,30fd3b0f,46057829247221763,我是在柯南里，柯南用圆子的声音破案时才知道日本男女口语发音不一样的
10,41.46800,滚动弹幕,25,0xffffff,0,5b394efe,46054600485634053,我会的都是男性词
11,19.77500,滚动弹幕,25,0xffffff,0,903e45a4,46053181917495299,与其说是男女差异，不如说两种性格不同的差异，不同的心情也会有不同的用法
12,4.83500,滚动弹幕,25,0xffffff,0,350557cf,46049272759058439,八嘎呀路
13,39.61500,滚动弹幕,25,0xffffff,0,595d2598,46046820255662085,爱怎么说怎么说 没有规定
14,13.99200,滚动弹幕,25,0xffffff,0,5d5581fd,46046073029394439,发音有点水啊
15,40.04300,滚动弹幕,25,0xffffff,0,81014ea7,46043835902459911,所以我说的都是女生的啊
16,30.34400,滚动弹幕,25,0xffffff,0,25e4b38d,46042556588359687,斯巴拉西
17,7.93800,滚动弹幕,25,0xffffff,0,8bf83521,46042499986751491,搜嘎
18,33.18200,滚动弹幕,25,0xffffff,0,7b75207a,46041569516584967,瞎说
19,1.41600,滚动弹幕,25,0xffffff,0,af56ad18,46040667030814723,水平确实不行
20,50.39100,滚动弹幕,25,0xffffff,0,e6dbb1ec,46039010358329347,我晕，我一直在学女性词
21,20.66700,滚动弹幕,25,0xffffff,0,581abf19,46038988714672131,牛逼笑死我了
22,19.81400,滚动弹幕,25,0xffffff,0,72ba197,46037564894740487,有点帝国时代的感觉
23,43.99600,滚动弹幕,25,0xffffff,0,6c7e2c3d,46037300110950405,？
24,13.75700,滚动弹幕,25,0xffffff,0,f32dc333,46035628024922115,啊
25,41.29500,滚动弹幕,25,0xffffff,0,b828394e,46032792307892231,すき
