,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,37.02600,顶端弹幕,25,0xfef102,0,7edb479f,44251247237136391, 举     足    轻    重
2,79.67600,滚动弹幕,25,0xffffff,0,3b338400,46443581941481477,虾仁猪心，姐姐我爱你
3,77.17600,滚动弹幕,25,0xffffff,0,4c419af9,46036697313968135,哈哈哈哈就是
4,43.84800,滚动弹幕,25,0xffffff,0,48a96922,46022282929766403,哈哈哈哈哈哈哈
5,57.58800,滚动弹幕,25,0xffffff,0,b33e124,45934531431104517,哈哈哈哈哈
6,43.95900,滚动弹幕,25,0xfef102,0,353637a1,45893041500717063,哈哈哈～
7,52.69400,滚动弹幕,25,0xffffff,0,ae90137d,45804370300764165,花儿~
8,49.03900,滚动弹幕,25,0xffffff,0,44aac484,45687482780483587,哈哈哈哈哈哈夺笋
9,36.13900,滚动弹幕,25,0xffffff,0,a2da63aa,45616587873976325,餐厅都这样，是前菜，有时候甚至前菜不拿这个
10,84.17900,滚动弹幕,25,0xe70012,0,f9da1af7,45527357692313607,《可亡也》
11,1.18300,滚动弹幕,25,0xffffff,0,dfaa154c,45483274877796421,给大熊猫留口口粮吧
12,55.05100,滚动弹幕,25,0xffffff,0,a1f6ea3a,45456537577586691,姐姐好飒！大眼睛眨呀眨，说的真好！
13,40.40600,滚动弹幕,25,0xffffff,0,a1f6ea3a,45456482753314823,俺们过年过节请客吃饭都是上鸡鸭鱼肉，谁上泡菜呀
14,24.11700,滚动弹幕,25,0xffffff,0,bd2b8530,45454378402840581,东北酸菜就是泡出来的
15,35.36200,滚动弹幕,25,0xffffff,0,e1095fc4,45446070191259653,哈哈哈哈哈
16,48.26900,滚动弹幕,25,0xffffff,0,c894e288,45442121389834243,绝了哈哈哈哈哈哈哈哈哈
17,41.39900,滚动弹幕,25,0xffffff,0,f6f7ba59,45439632322592773,杀伤力不大，侮辱性极强
18,83.53400,滚动弹幕,25,0xffffff,0,7fa25a7,45389624336449543,哈哈哈哈哈哈哈哈哈
19,77.06500,滚动弹幕,25,0xffffff,0,ee3d5e32,45293880966381573,哈哈哈哈哈哈哈姐姐
20,42.78000,滚动弹幕,25,0xffffff,0,ec5b1382,45251033500745731,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
21,9.45000,滚动弹幕,25,0xffffff,0,ec5b1382,45251016042479623,先笑为敬
22,74.10600,滚动弹幕,25,0xffffff,0,ab533a12,45137626411827207,哈哈哈哈
23,77.94800,滚动弹幕,25,0xffffff,0,aae6dfa9,45109131312889859,哈哈哈哈哈哈
24,50.23900,滚动弹幕,25,0xffffff,0,931e8d09,45041927118127107,杀人诛心！
25,75.93400,滚动弹幕,25,0xffffff,0,9d794db6,44993058367340549,还有关乎森林的肉蛋奶，淦
26,51.07800,滚动弹幕,25,0xffffff,0,3aa946e6,44991716988551175,哈哈哈哈哈哈哈哈哈
27,50.49700,滚动弹幕,25,0xffffff,0,ef78ff81,44989528318410759,赞！
28,54.09900,滚动弹幕,25,0xffffff,0,dabbe15e,44989253754028035,虾仁猪心
29,63.22600,滚动弹幕,25,0xffffff,0,6c8a7253,44989142647963655,谁专门给淹大白菜弄一冰箱啊
30,28.58100,滚动弹幕,25,0xffffff,0,6c8a7253,44989087188779013,就是腌白菜咸菜吗
31,23.50700,滚动弹幕,25,0xffffff,0,8bd62c03,44988906131685383,下次发出来怼他们
32,63.88400,滚动弹幕,25,0xffffff,0,f09a9847,44988032008323075,哈哈哈，我们家的泡菜要不是放犄角旮旯，要不就埋土里，还真是
33,68.18800,滚动弹幕,25,0xffffff,0,f412e903,44987795889455109,格局小了啊
34,55.50900,滚动弹幕,25,0xffffff,0,f412e903,44987789262979079,格局笑了啊
35,43.78200,滚动弹幕,25,0xffffff,0,f412e903,44987783081623557,哈哈哈哈哈哈哈哈哈哈哈哈
36,62.78500,滚动弹幕,25,0xe70012,0,1ea6b898,44985285830246403,爽！
37,78.29000,滚动弹幕,25,0xffffff,0,269cd640,44983061726101509,棒
38,83.17900,滚动弹幕,25,0xffffff,0,143d21f,44976511084658757,哈哈哈哈哈哈哈哈
39,62.78000,滚动弹幕,25,0xffffff,0,16dd4387,44975001785860101,韩国棒子就是屑
40,49.10800,滚动弹幕,25,0xffffff,0,bcd67366,44973567200722947,文化人
41,75.00400,滚动弹幕,25,0xffffff,0,b0e073f3,44973414191988741,哈哈哈哈哈哈哈哈哈哈哈
42,12.29000,滚动弹幕,25,0xffffff,0,bf0a5d32,44972784373727239,姐姐太给力了！
43,7.61500,滚动弹幕,25,0xffffff,0,a6cbf977,44971462805159943,姐好会啊
44,66.34700,滚动弹幕,25,0xffffff,0,9f77ef98,44970092270714887,正道的光
45,85.57900,滚动弹幕,25,0xffffff,0,9f77ef98,44970080872169475,哈哈哈哈哈哈哈
46,19.34500,滚动弹幕,25,0xe70012,0,6a3a8018,44957505116176389,因为它自己没有所以就想多占点
47,53.61900,滚动弹幕,25,0xffffff,0,30b67e54,44954438369017863,哈哈哈哈哈哈哈笑死我了
48,5.61600,滚动弹幕,25,0xffffff,0,e38c3f6,44953610407641093,靠着山东才能满足泡菜需求的棒子真可怜
49,83.46900,滚动弹幕,25,0xffffff,0,3427981d,44953522536448005,哈哈哈哈哈哈
50,20.36200,滚动弹幕,25,0xffffff,0,3427981d,44953486759559175,解气啊解气哈哈哈哈哈
