,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,313.08900,滚动弹幕,25,0xffffff,0,f83a1926,44444621209075717,知子莫若父啊！你看看这伟大的父爱
2,91.54000,滚动弹幕,25,0xffffff,0,6273bd98,43893185400274951,华姐：啊？咸菜的事为什么问我？
3,522.91200,滚动弹幕,25,0xffffff,0,36e1b428,46678921722200067,常熟也是汽车配件产地啊
4,279.00600,滚动弹幕,25,0xffffff,0,36e1b428,46678798747828229,一个烂怂泡菜，还吃的津津有味，韩国这是有病吧。
5,194.83400,滚动弹幕,25,0xffffff,0,3176f911,46676042503421957,大沽河？有套房紧挨着
6,397.98400,滚动弹幕,25,0xffffff,0,8425a577,46669461981757443,牛
7,353.97800,滚动弹幕,25,0xffffff,0,cc18c8a3,46669363428196357,真是太666666了
8,328.06000,滚动弹幕,25,0xffffff,0,cc18c8a3,46669349867487237,哈哈哈哈，太损了
9,131.89000,滚动弹幕,25,0xffffff,0,dbf81acb,46668359854981123,古代韩国能吃得到泡菜吗  现代都靠进口 韩国人觉得好吃就是自己吧
10,400.54000,滚动弹幕,25,0xffffff,0,e1f27c0c,46659416729059335,好家伙！
11,141.77500,滚动弹幕,25,0xffffff,0,e1f27c0c,46659281061675011,哦豁
12,169.40600,滚动弹幕,25,0xffffff,0,ec44996c,46657341299359751,真棒
13,11.92300,顶端弹幕,25,0xe70012,0,434da078,46634045255188487,大家去查“泽庵黄萝卜”就知道偷国的阴谋！
14,6.03500,顶端弹幕,25,0xe70012,0,434da078,46634021215010823,“芦菔渍”“萝卜渍”需要正名！不叫韩式黄萝卜！
15,0.23200,顶端弹幕,25,0xe70012,0,434da078,46633993730785283,除了辣白菜还有腌渍黄萝卜也不是偷国的！从明朝传入日本再传入偷国的！
16,339.05000,滚动弹幕,25,0xffffff,0,66799fee,46629379895197701,哈哈哈哈哈哈哈
17,129.82800,滚动弹幕,25,0xe70012,0,f011a5c8,46628110827782149,山东挖机人集结
18,186.37300,滚动弹幕,25,0xffffff,0,fb1eb35f,46627192523718659,马上爱上山东人
19,411.62500,滚动弹幕,25,0xffffff,0,b9a6bea,46619848906637317,不愧是中国人
20,540.57900,滚动弹幕,25,0xffffff,0,371f7c37,46614385003069443,眼镜是丹阳吧
21,131.04900,滚动弹幕,25,0xffffff,0,d7e222a1,46610230841180165,音乐一响差点出戏了
22,169.46900,滚动弹幕,25,0xffffff,0,65ea4144,46610147346743301,666666
23,134.14600,滚动弹幕,25,0xffffff,0,65ea4144,46610128722460675,哈哈哈哈
24,515.19000,滚动弹幕,25,0xffffff,0,37ba8446,46609359288926215,嗷嗷嗷嗷小澄海厉害了
25,433.84300,滚动弹幕,25,0xffffff,0,16ee3a53,46609299849871365,泪目泪目
