,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,65.85300,底端弹幕,25,0xe70012,0,421c92fc,45682963951648835,大师在流浪，小丑在殿堂
2,61.78500,滚动弹幕,25,0xffffff,0,815c94a2,46695394621521927,致敬
3,51.55600,滚动弹幕,25,0xffffff,0,810c303f,46694985409495047,致敬
4,56.37400,滚动弹幕,25,0xffffff,0,e59f4f12,46694957679902725,致敬
5,36.49900,滚动弹幕,25,0xffffff,0,265ececd,46694790472925189,致敬
6,37.15000,滚动弹幕,25,0xffffff,0,ad303424,46694540955877379,致敬
7,74.50000,滚动弹幕,25,0xffffff,0,3fc5267d,46694528767754243,致敬
8,44.70000,底端弹幕,25,0xe70012,0,9ce344c8,46693545281585159,很抱歉以这种方式认识你
9,22.83900,滚动弹幕,25,0xe70012,0,9ce344c8,46693533830086661,致敬
10,54.97400,滚动弹幕,25,0xffffff,0,45524096,46693374494244869,致敬
11,62.56100,滚动弹幕,25,0xffffff,0,a76b0906,46693134478344197,致敬
12,57.53900,滚动弹幕,25,0xffffff,0,cba11401,46692970985947139,致敬
13,77.95900,滚动弹幕,25,0xe70012,0,46945353,46692726720167941,致敬
14,72.09300,滚动弹幕,25,0xffffff,0,76ee25d9,46692703939330055,致敬
15,99.63900,滚动弹幕,25,0xffffff,0,5c59904b,46692231059865605,致敬
16,4.46800,滚动弹幕,25,0xffffff,0,1a98e9dd,46691784467677189,致敬
17,63.82500,滚动弹幕,25,0xffffff,0,345e93c0,46691303571324933,致敬
18,74.34500,滚动弹幕,25,0xffffff,0,f1dc3ddb,46690846962614277,致敬
19,46.00800,滚动弹幕,25,0xffffff,0,883125d9,46689487333883911,致敬！
20,47.56600,滚动弹幕,25,0xffffff,0,eae844eb,46688673342160901,致敬
21,15.63300,滚动弹幕,25,0xffffff,0,fd4068a4,46688659092537347,致敬
22,36.83000,滚动弹幕,25,0xffffff,0,dfe2a6a3,46681894287835139,致敬
23,52.27800,滚动弹幕,25,0xffffff,0,8de744ed,46680905063333893,致敬
24,54.24900,滚动弹幕,25,0xffffff,0,24b944a0,46680722154979335,致敬
25,43.34200,滚动弹幕,25,0xffffff,0,3c53c952,46679716631412739,致敬
26,61.81500,滚动弹幕,25,0xffffff,0,1b384921,46679150637875207,致敬
27,43.07000,滚动弹幕,25,0xffffff,0,1b384921,46679140748230661,致敬
28,27.30700,滚动弹幕,25,0xffffff,0,1b384921,46679132484403205,致敬
29,44.10200,滚动弹幕,25,0xffffff,0,5715a7b1,46678598397984771,致敬
30,43.50700,滚动弹幕,25,0xffffff,0,ea10a59f,46678496959791111,致敬
31,51.56900,滚动弹幕,25,0xffffff,0,5c3d6138,46678361360564229,致敬
32,37.56800,滚动弹幕,25,0xffffff,0,5c3d6138,46678354033115143,致敬
33,33.98500,滚动弹幕,25,0xe70012,0,3eb74191,46678000710189063,致敬
