,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,414.67000,滚动弹幕,25,0xffffff,0,630aaac3,46643660405080069,竭尽全力
2,367.22700,滚动弹幕,25,0xffffff,0,2c9794f0,46587761665245189,加油，辛苦了
3,421.58900,滚动弹幕,25,0xffffff,0,485b941f,46586200998281219,我愿意为了一个不确定地终点，竭尽全力
4,366.38000,滚动弹幕,25,0xffffff,0,c7d956c,46582329323814917,加油！
5,375.33500,滚动弹幕,25,0xffffff,0,208549e7,46581245859069955,加油
6,369.79000,滚动弹幕,25,0xffffff,0,a5e2ceb6,46578871800692739,致敬！
7,395.21900,滚动弹幕,25,0xffffff,0,eae0cefe,46577217750695939,整个链接我可以捐点
8,380.40700,滚动弹幕,25,0xffffff,0,ae70d6a3,46568476797566981,加油呀
9,360.54600,滚动弹幕,25,0xffffff,0,ae70d6a3,46568460661030917,加油
10,370.75700,滚动弹幕,25,0xe70012,0,7630e1e2,46395964700753927,温柔哥哥加油！
11,371.11500,滚动弹幕,25,0xffffff,0,937ea7e0,46390744055283719,四连了，谢谢你温柔
12,415.29800,滚动弹幕,25,0xffffff,0,4d0bd05a,46382932986691589,投币支持
13,405.98000,滚动弹幕,25,0xffffff,0,4d0bd05a,46382928102948869,投币支持
14,397.75600,滚动弹幕,25,0xffffff,0,4d0bd05a,46382923783864325,投币支持
15,391.21400,滚动弹幕,25,0xffffff,0,f64e3051,46356076495896581,为什么我的眼里常含泪水？因为我对这片土地爱的深沉
16,365.12000,滚动弹幕,25,0xffffff,0,ea0e6c59,46308304344842247,我们在中国，我相信着的
17,379.82400,滚动弹幕,25,0xffffff,0,e702bb82,46271332804984839,加油
18,368.48400,滚动弹幕,25,0xffff00,0,768aea08,46118665411624965,听说温柔的母亲还病了
19,419.91100,滚动弹幕,25,0xffffff,0,91c36d5,46117329109516291,说得好
20,363.80100,滚动弹幕,25,0xffffff,0,2de901ee,46107908742053893,一生平安
21,408.38800,滚动弹幕,25,0xffffff,0,edb71a26,46065541449777155,温柔加油。
22,366.12000,滚动弹幕,25,0xffffff,0,c94f4c0e,46034262198059011,世界因你而美丽！！
23,378.32400,滚动弹幕,25,0xffffff,0,1e9cd66e,46033387326013447,加油，英雄！
24,375.91700,滚动弹幕,25,0xffffff,0,3600aea0,46025185145913347,法网恢恢，疏而不漏
25,377.15900,滚动弹幕,25,0xffffff,0,cdf26a86,46022225064099843,泪目。
26,391.75800,滚动弹幕,25,0xffffff,0,e76e40e9,46018812139536389,孩子不应该被这样对待
27,379.90900,滚动弹幕,25,0xffffff,0,e76e40e9,46018805947695107,加油
28,370.63800,滚动弹幕,25,0xffffff,0,e76e40e9,46018801124245511,保护
29,421.58900,滚动弹幕,25,0xffffff,0,196f6a91,45999619950247943,呜呜呜呜呜 温柔加油！
30,398.42600,滚动弹幕,25,0xffffff,0,9b9c2b21,45998087560757253,注意安全
31,374.92500,滚动弹幕,25,0xffffff,0,9b9c2b21,45998075391508487,加油
32,381.38100,滚动弹幕,25,0xffffff,0,dba6d84,45983059206995975,小丑
33,391.02000,滚动弹幕,25,0xffffff,0,b2eee5e8,45958000611426309,加油
34,384.22000,滚动弹幕,25,0xffffff,0,bdf91423,45952489349447683,加油！
35,388.11300,滚动弹幕,25,0xffffff,0,c0923e83,45947463634255879,加油
36,382.25900,滚动弹幕,25,0xffffff,0,b0b85c50,45946278785843203,众筹吧 
37,388.54000,滚动弹幕,25,0xffffff,0,725d501e,45944566269870083,充电了，加油
38,383.95600,滚动弹幕,25,0xffffff,0,1e4bf51d,45942437063950343,加油
39,419.08400,滚动弹幕,25,0xffffff,0,85b7a6ee,45941324373819397,加油，感谢
40,416.14700,滚动弹幕,25,0xffffff,0,2f4491bc,45938832754868227,加油啊，一切都好好起来的
41,389.88700,滚动弹幕,25,0xffffff,0,542b68e9,45930523088388099,加油
42,418.85100,顶端弹幕,25,0xe70012,0,64c3dca2,45908684943392775,我愿意为了一个不确定的终点，竭尽全力 
43,380.44900,滚动弹幕,25,0xffffff,0,9868adaa,45908416238452741,加油
44,402.23500,滚动弹幕,25,0xffffff,0,62125d73,45905467400519685,加油加油，我们也在关注这件事，陪着你们
45,378.21300,滚动弹幕,25,0xffffff,0,2d584c8d,45904467909935173,加油啊
46,400.48000,滚动弹幕,25,0xffffff,0,e75be8b9,45903450120650757,豫章书院不得好死！
47,417.29600,滚动弹幕,25,0xffffff,0,58852696,45902999778230275,充电
48,416.30000,滚动弹幕,25,0xffffff,0,19239b5f,45896338687131653,没有人可以逃脱法律的制裁
49,371.03400,滚动弹幕,25,0xffffff,0,eb75bc06,45895725624590339,对不起，我只有一个币
50,413.27400,滚动弹幕,25,0xffffff,0,7d0d316f,45857645215088643,谢谢您
51,363.61300,滚动弹幕,25,0xffffff,0,48c49d28,45857309714808903,可以募捐嘛！！！！！！！我也想出力！
52,394.04300,滚动弹幕,25,0xffffff,0,f5f4002f,45847880346894339,一定要大力发展社会化抚养！！
53,389.66000,滚动弹幕,25,0xffffff,0,738eaca4,45847322625048579,加油
54,406.62700,顶端弹幕,25,0xa0ea,0,2da6bb0e,45841043992084485,一切都会好起来的
55,378.95500,顶端弹幕,25,0xe70012,0,2da6bb0e,45841029479792647,加油！
56,393.61500,滚动弹幕,25,0xffffff,0,772c13cb,45810793246097411,真的谢谢你，加油呀！
57,415.17200,滚动弹幕,25,0xffffff,0,91f9ea7e,45806270061477891,干他丫的，希望有更多的人可以关注！！！
58,421.58900,滚动弹幕,25,0xffffff,0,2b991a21,45791259872198663,谢谢你
59,386.30800,滚动弹幕,25,0xffffff,0,ba8f703,45790784177307655,已三连
60,375.50000,滚动弹幕,25,0xffffff,0,bc7bd13b,45784818071371783,加油
61,395.17600,滚动弹幕,25,0xffffff,0,b7880a65,45777067835916291,加油啊啊啊
62,412.39300,滚动弹幕,25,0xe70012,0,dfaa58c2,45769875923664903,现在种下的无数恶果，终将在未来的某一天爆发。
63,366.70200,滚动弹幕,25,0xffffff,0,d417e71b,45767107194388487,加油
64,374.63000,滚动弹幕,25,0xffffff,0,a5a8eb68,45765329353703427,星星之火可以燎原
65,388.64500,顶端弹幕,25,0xe70012,0,a9697476,45760523658067975,凌迟都不足以！让它们的罪过永远消除！
66,418.94000,滚动弹幕,25,0xffffff,0,6c73ef7d,45758704832217093,这是一个好想一键三连的视频
67,364.54000,滚动弹幕,25,0xffffff,0,6c73ef7d,45758560170672135,杰出青年有你真好
68,372.82500,滚动弹幕,25,0xffffff,0,f9c26700,45754927096004615,加油~~
69,418.96700,滚动弹幕,25,0xfef102,0,2fe7c5b5,45752014759002117,迟到的正义总会得到伸张
70,421.58900,滚动弹幕,25,0xffffff,0,f148e84a,45750752734871557,致敬！！
71,372.86000,滚动弹幕,25,0xffffff,0,5b7c2bbf,45749405316808707,泪目
72,418.09200,滚动弹幕,25,0xe70012,0,fc720510,45749032927100933,我愿意为了一个不确定的终点，竭尽全力
73,414.50600,滚动弹幕,25,0xffffff,0,86790b73,45748872459321349,加油 
74,404.01900,滚动弹幕,25,0xffffff,0,992ee75,45747885408518149,加油！！！！！！！！！！！！！！！
75,401.34000,顶端弹幕,25,0xe70012,0,c3488e86,45747805226532867,愿所有善良都被温柔以待
76,389.95300,顶端弹幕,25,0xe70012,0,c3488e86,45747799265378307,加油
