,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,499.83800,顶端弹幕,25,0xfef102,0,6f748908,46679341425754115,给他转5000她不敢收
2,443.09500,顶端弹幕,25,0xffffff,0,6f748908,46679302880624645,发定位啊
3,392.61300,滚动弹幕,25,0xfef102,0,d25709de,46671134551703557,专业
4,336.50900,滚动弹幕,25,0xfef102,0,d25709de,46671100390146055,你玩得挺开心啊
5,232.30300,滚动弹幕,25,0xfef102,0,d25709de,46671031253860357,有点忙啊
6,215.95500,滚动弹幕,25,0xfef102,0,d25709de,46671017397452805,我好兴奋
7,418.47800,滚动弹幕,25,0xffffff,0,5cfd3ad6,46670012387688451,牛逼
8,411.96200,滚动弹幕,25,0xffffff,0,5cfd3ad6,46670009009176583,？？？？？？？？？？？？？？？
9,371.79700,滚动弹幕,25,0xffffff,0,6752582e,46660454233145351,穿搭不可
10,232.60800,滚动弹幕,25,0xffffff,0,e09ab261,46659337509666823,鸡动
11,86.44800,滚动弹幕,25,0xffffff,0,3fdfccaa,46648022757015557,神TM 硬盘哈哈哈哈哈哈哈哈哈哈哈
12,220.35200,滚动弹幕,25,0xffffff,0,cb80eaae,46634810483933189,镀金镶钻
13,377.69600,滚动弹幕,25,0xffffff,0,598e4681,46625107947814917,赚钱吗！不磕碜。
14,212.94800,滚动弹幕,25,0xffffff,0,cabc0494,46619643541454915,镶了钻石
15,178.69500,滚动弹幕,25,0xffffff,0,d74061f4,46619605045608453,卧槽有过同名的加过我
16,157.61600,滚动弹幕,25,0xffffff,0,d74061f4,46619573706817543,这个我熟 就是为了筛选顾客和规避搜查的 最后就是那个了
17,250.27200,滚动弹幕,25,0xffffff,0,5246279b,46619119505113095,骗子无疑
18,296.78900,滚动弹幕,25,0xffffff,0,cb556f22,46611481853689863,鸡头啊
19,497.09300,滚动弹幕,25,0xffffff,0,a362c6fd,46603896123555845,凉了！！！
20,411.57800,滚动弹幕,25,0xffffff,0,6a62dbfa,46580192603799555,哈哈哈哈哈哈哈哈
21,303.04100,滚动弹幕,25,0xffffff,0,6a62dbfa,46580144696983621,啥b
22,300.90500,滚动弹幕,25,0xffffff,0,6a62dbfa,46580140175523843,哈哈哈哈哈哈哈哈哈哈哈哈
23,413.73900,滚动弹幕,25,0xfef102,0,d4a3f2f8,46580085129478147,拼了
24,32.75500,滚动弹幕,25,0xffffff,0,ff42defa,46578918294028293,我还有对炮呢
25,514.64200,滚动弹幕,25,0xffffff,0,3702716f,46567388284452871,哈哈哈哈哈哈哈哈哈哈哈
26,38.74600,滚动弹幕,25,0xffffff,0,441b4209,46561058314256389,这个实验室不严谨
27,467.59500,顶端弹幕,25,0xffff00,0,da638e20,46560902435569669,战术变声
28,412.48400,滚动弹幕,25,0xffffff,0,cc725523,46545281378942981,？？？？？
29,524.23600,滚动弹幕,25,0xffffff,0,9ffbb1ad,46542664772354055,傻子
30,412.28100,滚动弹幕,25,0xffffff,0,9ffbb1ad,46542606072020995,这是真的
31,407.54100,滚动弹幕,25,0xffffff,0,c5a8f275,46537911061446663,仙人跳
32,250.72600,滚动弹幕,25,0xffffff,0,c5a8f275,46537828492378117,能骗一百算一百
33,172.10100,滚动弹幕,25,0xffffff,0,c5a8f275,46537781710159875,会会他
34,414.83100,滚动弹幕,25,0xffffff,0,e70edb9e,46523831772774405,？
35,494.22800,滚动弹幕,25,0xffffff,0,a579b9d4,46522357165064197,拉黑了
36,483.42200,滚动弹幕,25,0xffffff,0,a579b9d4,46522351516909571,交100
37,447.10300,滚动弹幕,25,0xffffff,0,a579b9d4,46522332632580103,哈哈
38,309.70100,滚动弹幕,25,0xffffff,0,a579b9d4,46522256393764869,哈哈哈哈
39,304.43800,滚动弹幕,25,0xffffff,0,a579b9d4,46522253652787207,哈哈哈
40,255.88800,滚动弹幕,25,0xffffff,0,a579b9d4,46522227640238087,100也是钱
41,175.00300,滚动弹幕,25,0xffffff,0,a579b9d4,46522182621200389,你别多管闲事
42,113.14400,滚动弹幕,25,0xffffff,0,a579b9d4,46522144422100997,共进早餐
43,516.02900,滚动弹幕,25,0xffffff,0,f444521d,46518182790299655,滚雪球呢
44,513.28900,滚动弹幕,25,0xffffff,0,f444521d,46518178712911877,滚
45,416.62900,滚动弹幕,25,0xffffff,0,f444521d,46518126336540675,卧槽
46,408.64900,滚动弹幕,25,0xffffff,0,f444521d,46518121103622147,nb
47,410.15800,滚动弹幕,25,0xffffff,0,284b908c,46517744002138115,仙人跳
48,260.95100,滚动弹幕,25,0xffffff,0,284b908c,46517665786232837,骗到100算100
49,185.88400,滚动弹幕,25,0xffffff,0,6fb93b02,46512609864712199,卧槽 武汉的
50,519.46800,滚动弹幕,25,0xffffff,0,d725e398,46511987963723783,卧槽
51,452.79900,滚动弹幕,25,0xffffff,0,d725e398,46511969655062535,赤鸡
52,426.02400,滚动弹幕,25,0xffffff,0,d725e398,46511962314506243,666
53,302.64800,滚动弹幕,25,0xffffff,0,d725e398,46511930417872903,哈哈
54,143.96600,滚动弹幕,25,0xffffff,0,d725e398,46511888827154435,直播？
55,405.24200,滚动弹幕,25,0xffffff,0,6b594ec,46510859643518983,仙人跳可还行
56,202.66700,滚动弹幕,25,0xffffff,0,6b594ec,46510753439023107,666
57,91.02400,滚动弹幕,25,0xffffff,0,6b594ec,46510694948929543,一炮
58,260.14600,滚动弹幕,25,0xffffff,0,fa90a3e4,46510502226952195,假的
59,546.62100,滚动弹幕,25,0xffffff,0,a196f0ef,46495544360042501,这种骗子，
60,191.93600,滚动弹幕,25,0xffffff,0,5f70c299,46491972389044231,人在武大表示？？？
61,499.09900,滚动弹幕,25,0xffffff,0,a2db86fa,46490700262932483,-300
62,481.26000,滚动弹幕,25,0xffffff,0,69c3f6f5,46488443526053895,绝逼血亏
63,302.23000,滚动弹幕,25,0xffffff,0,69c3f6f5,46488349616111623,血亏
64,548.45300,滚动弹幕,25,0xffffff,0,29ba3be7,46487327019630599,草
65,473.85200,滚动弹幕,25,0xffffff,0,955e9d8f,46485678217756675,低级骗术
66,367.35400,滚动弹幕,25,0xffffff,0,e1ebd954,46485289108504579,起码是一个人的照片了
67,282.18200,滚动弹幕,25,0xffffff,0,e1ebd954,46485239448469507,有可能是
68,555.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484626860933127,  泪目
69,495.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484595334971395,红色感叹号
70,457.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484575279906819,你干嘛不让她来了再给
71,442.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484567580213255,这个太假了
72,437.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484564644200451, hhhhhhh 
73,417.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484554325164035,泪目~
74,411.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484551306313735,仙人跳吗
75,289.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484482249719811,一点不像
76,263.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484468462518275,企业文化
77,247.00000,滚动弹幕,25,0xffffff,0,bc86b1ce,46484459897749509,哈哈哈哈哈
78,145.70500,滚动弹幕,25,0xffffff,0,a13caee1,46483833578586117,暗示坑钱的是up儿子
79,466.24300,滚动弹幕,25,0xffffff,0,1b0f11e4,46481947074494469,白嫖
80,439.48700,滚动弹幕,25,0xffffff,0,1b0f11e4,46481933030916103,骗子吧
81,212.09200,滚动弹幕,25,0xffffff,0,1b0f11e4,46481813809397763,约了
