,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,44.89900,顶端弹幕,25,0xfef102,0,4bf9f1ec,44623968532430855,被可爱的男孩子抱住
2,24.26900,顶端弹幕,25,0xe70012,0,59b63265,44471220767817735,为什么一定是姑娘？［doge］
3,1.03900,顶端弹幕,25,0xe2027f,0,4d1f508b,44448223435161603,出来吧，淑女们
4,13.52300,顶端弹幕,25,0xe70012,0,f8cc6b90,44436666197213191,看到鸡哥：我好兴奋啊
5,8.14800,滚动弹幕,25,0xfef102,0,7d91f785,46580556517867527,我朋友
6,55.37900,滚动弹幕,25,0xffffff,0,2e2c0fd7,46181294735884295,？？？？？？？
7,22.46200,底端弹幕,25,0xfe0302,0,b3384c04,46074469370822663,（选择你的卡牌）
8,54.99900,滚动弹幕,25,0xffffff,0,581f9cb4,45950294903750663,哦哦哦上琴
9,57.93800,滚动弹幕,25,0xffffff,0,c5ee222d,45874830316142597,上面的你们老婆昨晚真棒
10,30.25900,滚动弹幕,25,0xffffff,0,78d7387b,45812780859654149,老婆
11,47.17900,滚动弹幕,25,0xffffff,0,da8b909c,45758289598218243,ag总冠军
12,41.21900,滚动弹幕,25,0xffffff,0,4a048138,45751011832758279,一城 部长 艾希雅
13,38.54800,滚动弹幕,25,0xffffff,0,e6c9d60e,45749078901915653,极其讨厌被说瘦，喜欢被说壮！！！
14,82.21900,顶端弹幕,25,0xffffff,0,abb192ba,45727595692032003,小说是四叶赢了，还是投票选出来的
15,2.59000,滚动弹幕,25,0xffffff,0,76e3e7a7,45725497820708867,我是来看弹幕的我是来看弹幕的
16,0.53900,顶端弹幕,25,0xfef102,0,9d41d4fc,45724950062432259,我有一个朋友
17,87.79300,滚动弹幕,25,0xffffff,0,731e5d81,45723266169962503,柯南
18,29.23900,顶端弹幕,25,0xfef102,0,cb0312d0,45721761978253319,狂三好评
19,85.61900,滚动弹幕,25,0xf0ab2a,0,83385f7,45721258969530375,爱    【上 】    她
20,76.05900,滚动弹幕,25,0xf0ab2a,0,83385f7,45721237355757573,体力好是什么意思♂
21,57.80200,滚动弹幕,25,0xffffff,0,79fe2350,45719514663354375,手艺活9999
22,50.11600,滚动弹幕,25,0xffffff,0,f359531d,45717282276507655,ig！
23,71.56900,滚动弹幕,25,0xffffff,0,2d44491e,45715285648867335,知识盲区
24,56.39500,滚动弹幕,25,0xffffff,0,debc94a6,45707208447492103,我没老婆
25,50.16000,滚动弹幕,25,0xffffff,0,debc94a6,45707199948259333,疯狂暗示
26,14.07900,滚动弹幕,25,0xffffff,0,fea941ec,45705799077986309,草，冬狮郎
27,69.69400,滚动弹幕,25,0xffffff,0,63b64846,45704102688063495,“体力好”
28,49.47100,滚动弹幕,25,0xffffff,0,63b64846,45704086289383427,？？？？
29,59.21100,滚动弹幕,25,0xffffff,0,3ccc6001,45703469556826115,拒绝三连
30,77.73000,顶端弹幕,25,0xe2027f,0,2bf99ce,45703014038110211,麻衣！！！
31,31.41900,滚动弹幕,25,0xffffff,0,8ed7c66b,45699798712451077,掏耳朵太真实了
32,0.03900,顶端弹幕,25,0xfef102,0,4765b793,45698176878379013,《 我 帮 朋 友 看 看 》
33,6.09900,滚动弹幕,25,0xffffff,0,a06c44a4,45697991191822343,哈哈哈哈哈鸡哥
34,35.73900,滚动弹幕,25,0xe70012,0,7df5e871,45695921970216965,被人夸瘦挺不爽的
35,0.00000,滚动弹幕,25,0xe70012,0,e08ac0d0,45690224431333381,我是看到新兰才进来的，好吧
36,36.28200,顶端弹幕,25,0x683a7b,0,a1063b99,45687540252409863,王马小吉！
37,33.96400,顶端弹幕,25,0x683a7b,0,a1063b99,45687528207417349,这个世界是王马小吉的！
38,36.24400,顶端弹幕,25,0x683a7b,0,a1063b99,45687515821637639,这个世界是王马小吉的！
39,39.47000,底端弹幕,25,0x683a7b,0,a1063b99,45687501014695939,这个世界是王马小吉的！
40,36.38000,底端弹幕,25,0x683a7b,0,a1063b99,45687490088534023,王马小吉王马小吉王马小吉王马小吉
41,32.70100,滚动弹幕,25,0xffffff,0,b33c1127,45684353883176965,淡定
42,69.40700,滚动弹幕,25,0xfef102,0,85ed09cc,45683620469276677,体 力 好
43,58.05900,底端弹幕,25,0xe70012,0,74988b3e,45682993445470215,你老婆真漂亮
44,28.00800,滚动弹幕,25,0xffffff,0,d65afb8e,45677817941721093,淑女们你们好
45,68.05100,滚动弹幕,25,0xffffff,0,44c4371c,45677453965787139,你们在等什么
46,76.93900,滚动弹幕,25,0xffffff,0,b8529f7c,45676911695757317,麻衣桑
47,80.47000,滚动弹幕,25,0xffffff,0,787c3b63,45675949247692805,没有老婆快乐翻倍
48,40.24100,滚动弹幕,25,0xe70012,0,80cc8b74,45673986321285123,只要心中无女人，小爷五杀自然神
49,41.70000,滚动弹幕,25,0x683a7b,0,c58d0da6,45673660509323271,王马小吉也要排面！
50,17.20100,滚动弹幕,25,0xffffff,0,c58d0da6,45673632023183365,游戏？！
51,9.08900,滚动弹幕,25,0xffffff,0,c58d0da6,45673624008916999,冬狮郎！
52,54.41600,顶端弹幕,25,0xe70012,0,8340ce8a,45673288828452869,没有老婆怎么办
53,30.83000,滚动弹幕,25,0xfef102,0,ba0f1e03,45673111725015043,你们在期待什么
54,88.75900,滚动弹幕,25,0xffffff,0,93ac6dcf,45672469159739399,夸了一句
55,45.39900,滚动弹幕,25,0xffffff,0,73386c67,45672142558199811,诚哥
56,19.09900,顶端弹幕,25,0xe70012,0,1587f4db,45671345778327555,YA☆DA☆ZA!
57,78.80600,滚动弹幕,25,0xfef102,0,942de42d,45671172932632579,《体力好》
58,55.45900,滚动弹幕,25,0xffffff,0,1f081c42,45669190251053061,恐龙妈妈提笔忘字
59,30.31500,顶端弹幕,25,0xfef102,0,9ac4cf3c,45668975205941255,猪一多
60,89.10900,滚动弹幕,25,0xffffff,0,648c4805,45668365170638855,？？？？？？
61,67.11900,滚动弹幕,25,0xffffff,0,90443031,45668045072367623,没有爱人不是更快乐吗
62,72.88200,顶端弹幕,25,0xfef102,0,26e38dfa,45667602030657543,体力好？
63,57.44200,顶端弹幕,25,0x683a7b,0,26e38dfa,45667590443368451,为什么一定要是老婆♂
64,25.99500,滚动弹幕,25,0xffffff,0,5fd59eb5,45667170120105991,神抽指开局32星
65,61.81900,顶端弹幕,25,0xfef102,0,513c9f78,45667006387585031,你老婆真会
66,61.81900,顶端弹幕,25,0xe70012,0,513c9f78,45667002063257603,你老婆真会
67,2.11000,滚动弹幕,25,0xffffff,0,36fc34bd,45665962340909063,我帮 朋友 看看
68,18.58500,滚动弹幕,25,0xffffff,0,1bfe4635,45664146545967111,草
69,21.42500,滚动弹幕,25,0xffffff,0,97f41914,45662205563109381,57以后都和我没关系了
70,58.15900,滚动弹幕,25,0xfef102,0,886d875,45662021171019781,玩甚么？
71,79.43200,滚动弹幕,25,0xffffff,0,e1acc580,45660578770845699,体 力 好
72,57.03700,滚动弹幕,25,0xffffff,0,e1acc580,45660567008444419,这熟悉的音乐
73,45.01900,顶端弹幕,25,0xfef102,0,617538f1,45660188640280583,ohhhhhh是一诚
74,0.00000,滚动弹幕,25,0xfef102,0,2c440843,45658593777680387,《我有一个好朋友》
75,1.81900,底端弹幕,25,0xfef102,0,abe37b01,45658131102433285,帮朋友看看
76,55.63200,滚动弹幕,25,0xffffff,0,a12149ab,45656980026032131,？
77,27.13900,滚动弹幕,25,0xffffff,0,2fe1e89d,45656563627589637,狂三
78,86.53900,顶端弹幕,25,0xfef102,0,d1b0a9c9,45654659829334019,上
79,73.61900,顶端弹幕,25,0xfef102,0,d1b0a9c9,45654649921339395,自动变黄
80,51.39900,顶端弹幕,25,0xffffff,0,f38cf561,45653389499432967,下次一定
81,45.77900,滚动弹幕,25,0xffffff,0,1309e53f,45652962628861957,把羡慕打在公屏上
82,59.53900,顶端弹幕,25,0xe70012,0,2ad5e56,45651402328375301,上琴一生推
83,6.93900,顶端弹幕,25,0xe70012,0,2ad5e56,45651363530014725,代入感很强多巴胺已经上来了
84,17.87300,滚动弹幕,25,0xffffff,0,7eddd145,45649244688744451,鸡哥
85,55.55600,滚动弹幕,25,0xffffff,0,7edfdafb,45643095149641733,b
86,5.86300,滚动弹幕,25,0xffffff,0,5d90b54c,45641265555963909,可
87,80.68700,顶端弹幕,25,0xfef102,0,f1cd20d,45641089967718407,I'm not an old color critic
88,29.02800,顶端弹幕,25,0xe70012,0,f1cd20d,45641062877757443,狂三永远的神
89,51.43700,滚动弹幕,25,0xffffff,0,ee77373c,45639016299102215,IG！！！
90,19.24000,顶端弹幕,25,0xa0ea,0,e5e202ff,45637290739892231,就没人认识冬狮郎吗
91,34.45900,滚动弹幕,25,0xfef102,0,9e89cc76,45635966019305477,有人信我是专门跑来听歌的吗
92,88.87800,滚动弹幕,25,0xffffff,0,d51a341e,45635224334761987,你还拉丝儿
93,3.54300,滚动弹幕,25,0xffffff,0,51d64288,45634461833363461,爷是gay，不想碰女人
94,56.28500,顶端弹幕,25,0xa0ea,0,dd4ff66b,45633493717745667,恐龙妈妈提笔忘字
95,88.63600,滚动弹幕,25,0xffffff,0,e61d3264,45633410871328775,⊂←
96,28.82000,滚动弹幕,25,0xe70012,0,25afa5ee,45632986879098885,哦买哇糖豆！都漏铺
