,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,161.70500,顶端弹幕,25,0xfef102,0,a4bb8715,44001203768524807,进 击 的 墨 西 哥 人
2,99.22900,顶端弹幕,25,0xffffff,0,1dc4780c,43996567486070791,面    壁     计    划
3,76.90700,顶端弹幕,25,0xe70012,0,b94620d4,43987328880345093,通俄实锤
4,186.52900,顶端弹幕,25,0xe70012,0,7ee792f7,43981996883968005,臣等欲死战！陛下何故先降？！（指红脖子doge
5,49.30000,顶端弹幕,25,0xfe0302,0,99d6ee9e,43979937309261829,首席医疗师：别看我，我不认识这二傻子
6,118.96000,顶端弹幕,25,0xfef102,0,7915f7f0,43979513328566277,一个LSP 的自身修养
7,84.93100,顶端弹幕,25,0xfe0302,0,744552a4,43978302624366599,川宝：我不想，别理我，烦死了
8,3.47400,顶端弹幕,25,0xffffff,0,610d3b0d,43978082419736583,走  马  灯
9,10.65500,滚动弹幕,25,0xffffff,0,62a335b1,46679665868275719,好家伙
10,112.05300,顶端弹幕,25,0xe70012,0,c30560ec,46674531542630403,丫头，别说气话
11,182.81900,滚动弹幕,25,0xffffff,0,c3ccc3e9,46620095692668931,泪目
12,175.98000,滚动弹幕,25,0xffffff,0,df9edcc0,46451785907830789,国外有些人，心里爱中国但嘴上不说，一天天打着“MAGA”的口号，干着的全是反美反欧的事情。[怪我咯]​
13,168.22200,滚动弹幕,25,0xffffff,0,5c058220,46395622406750213,泪目
14,159.56300,滚动弹幕,25,0xffffff,0,8aefc556,46392948351303683,最后好伤感
15,162.64300,滚动弹幕,25,0xffffff,0,27f7c075,46390952621244421,泪目
16,57.27900,滚动弹幕,25,0xffffff,0,bea530aa,46306686569283589,哈哈哈哈哈
17,169.70900,滚动弹幕,25,0xffffff,0,d3390321,46251241899032583,泪目
18,157.25900,滚动弹幕,25,0xffffff,0,1607815,46245930171629571,泪目
19,189.98800,滚动弹幕,25,0xffffff,0,76a9d198,46212486664290309,类目
20,15.21900,滚动弹幕,25,0xffffff,0,59a424dd,46176227564716039,建国同志，是时候回国了
21,69.08300,滚动弹幕,25,0xffffff,0,83108598,46162380925173767,哈哈哈
22,61.40800,滚动弹幕,25,0xffffff,0,83108598,46162376865611781,哈哈哈哈
23,41.84700,滚动弹幕,25,0xffffff,0,83108598,46162366629937159,美国历史最伟大总统之一
24,11.97400,滚动弹幕,25,0xffffff,0,83108598,46162350977318919,期待下一次轮回
25,65.30900,滚动弹幕,25,0xffffff,0,83108598,46162276945756165,哈哈哈
26,40.14500,滚动弹幕,25,0xffffff,0,83108598,46162263790845959,泪目
27,52.18700,滚动弹幕,25,0xffffff,0,cf6d93aa,46132978804850691,noise 
28,21.63100,滚动弹幕,25,0xffffff,0,cf6d93aa,46132952579964931,person women men camera tv
29,9.33900,滚动弹幕,25,0xffffff,0,cf6d93aa,46132916438171655,stable genius 
30,163.21900,滚动弹幕,25,0xffffff,0,6966f16c,46119945073328133,泪目
31,71.60500,滚动弹幕,25,0xffffff,0,83108598,46079604093878279,哈哈哈，他死的像条狗
