,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,242.19400,顶端弹幕,25,0xe70012,0,926c9d55,43983590137004039,比如你的母亲骗你的红包
2,22.48400,顶端弹幕,25,0xffffff,0,1e9085a0,43981633962901507,《放       生》
3,481.11700,滚动弹幕,25,0xffffff,0,e779b35b,46675145836199939,谢谢老师
4,478.78600,滚动弹幕,25,0xffffff,0,6c6e60fc,46617173462876165,谢谢老师
5,7.34200,滚动弹幕,25,0xffffff,0,6c6e60fc,46616738943467523,老师好
6,37.00600,滚动弹幕,25,0xffffff,0,cd782135,46581097867771911,坏透了
7,283.86900,滚动弹幕,25,0xffffff,0,cf3ba8e4,46574863082586117,ni
8,4.15800,滚动弹幕,25,0xffffff,0,2abd0568,46541758596644867,起立！老师好！
9,265.33900,滚动弹幕,25,0xffffff,0,672cbb58,46516857631932421,啊？
10,385.38900,滚动弹幕,25,0xffffff,0,c8689518,46493305755664391,醒醒，那不是爱，是身体骗你给你繁衍下一代而给你的奖励
11,318.94000,滚动弹幕,25,0xffffff,0,e188a570,46474904932450311,性欺诈也应该被刑法所制裁吗？我们结合最近的刑法修正案十一，详细聊聊这个事情。
12,53.26500,顶端弹幕,25,0xfe0302,0,2fb9a29c,46473003576852487,陈          浩           南
13,369.12800,滚动弹幕,25,0xffffff,0,647801f,46423934751997957,真实伤害
14,479.34800,滚动弹幕,25,0xffffff,0,86cdb3b9,46395053679575043,谢谢老师
15,258.41200,滚动弹幕,25,0xffffff,0,74cb1bf4,46390250061168643,轩墨是行为告知了，不算欺骗！
16,178.62500,滚动弹幕,25,0xffffff,0,b6ba2b99,46386511750365191,因为知道会发生性行为
17,7.45700,滚动弹幕,25,0xffffff,0,d11d79c7,46383784868708355,老师好
18,482.89300,滚动弹幕,25,0xffffff,0,94656df7,46338049873281031,谢谢老师
19,142.83000,滚动弹幕,25,0xffffff,0,7a65c03b,46326901488746501,这不所有谈恋爱又分手的，都有罪吗
20,184.41100,滚动弹幕,25,0xffffff,0,bbe4178e,46312109808025605,在坐壮年小伙都有点意思
21,224.82000,滚动弹幕,25,0xe70012,0,af1573a,46293809641816069,学到了
22,330.72800,滚动弹幕,25,0xffffff,0,dfdf4908,46291697898356741,背后的原因很暖心！
23,25.17900,滚动弹幕,25,0xffffff,0,a5f263,46264886336421893,老师好
24,253.07500,滚动弹幕,25,0xffffff,0,c19add55,46221736770273285,哟西
25,33.20300,滚动弹幕,25,0xffffff,0,c36480c5,46216483551838213,流氓罪
26,384.40800,滚动弹幕,25,0x4266be,0,c1fa2a52,46202204423454723,宙斯出来挨打
27,192.01100,滚动弹幕,25,0x4266be,0,c1fa2a52,46202093016449029,很蓝的辣
28,9.54100,滚动弹幕,25,0xffffff,0,ea087c7c,46171612209741831,我来了
29,13.24400,滚动弹幕,25,0xffffff,0,5615279e,46122537568436229,好
30,143.76000,滚动弹幕,25,0xffff00,0,545ac2c8,46106079192940549,白嫖
31,316.04900,顶端弹幕,25,0xe70012,0,96bd76d5,46085427961528327,……
32,163.29900,滚动弹幕,25,0xffffff,0,1e820263,46028895659491331,因为这样才是真正的物化女性。
33,16.67700,滚动弹幕,25,0xffffff,0,706215d5,46022155392516103,老师好
34,28.99300,滚动弹幕,25,0xffffff,0,ed725c42,46018349827620871,张三
35,396.89000,滚动弹幕,25,0xffffff,0,810ba45d,45984153385566213,罗翔老师，我边听你的课边写作业，感觉好极了
36,220.52200,滚动弹幕,25,0xa0ea,0,80fb6b21,45982941584556039,很蓝的啦
37,414.74900,滚动弹幕,25,0xffffff,0,8da2cef0,45955473303142403,还是太少了
38,1.93900,滚动弹幕,25,0xffffff,0,8e956067,45948443944288263,老师好
39,383.12600,顶端弹幕,25,0xfef102,0,bbfd22ba,45945581222756355,缺德与犯法
40,31.06800,滚动弹幕,25,0xffffff,0,7ae67e02,45930020001546245,老师好
41,35.56000,滚动弹幕,25,0xffffff,0,d37a9f03,45905181949296647,这样可以直接判断
42,396.61900,滚动弹幕,25,0xffffff,0,6c91e474,45902628860723205,懂了  这就去看马上学习
43,465.78900,滚动弹幕,25,0xffffff,0,b763236f,45890684724969479,一直提男生怎么办的烦不烦，法官会支持性别对立吗？瞎想什么(ﾟoﾟ;
44,302.05700,滚动弹幕,25,0xffffff,0,467844e5,45885299695812615,小丑竟是我自己
45,79.34300,滚动弹幕,25,0xffffff,0,5d213371,45792583846723587,张三呢？
46,8.49500,滚动弹幕,25,0xffffff,0,28f5d667,45776022984458245,老师好
47,325.69500,滚动弹幕,25,0xffffff,0,534e200,45765544222654471,海王竟是我自己
48,292.24100,滚动弹幕,25,0xffffff,0,9b52b605,45749408362397701,至尊宝
49,474.08900,滚动弹幕,25,0xffffff,0,faa932b1,45747156878884869,:-D
50,25.33900,滚动弹幕,25,0xffffff,0,2b499929,45718566665191429,张三这次会成为海王吗？
51,411.71000,滚动弹幕,25,0xffffff,0,c92a8ba4,45694212851630087,老师娶学生就要被谴责？那老师嫁学生呢？
52,326.20700,滚动弹幕,25,0xffffff,0,c92a8ba4,45694143823347715,罗老师，好像是温情momo，让我也当一次老师哈哈哈
53,257.76900,滚动弹幕,25,0xffffff,0,c92a8ba4,45694087413628935,乔碧萝离开直播间
54,475.94100,滚动弹幕,25,0xffffff,0,5a138198,45675957125644295,是啊 每当我忍不住想要盯着路上的女孩子的脸 腿看的时候 我就会想头顶的星空 再美能有星空美吗
55,467.09700,滚动弹幕,25,0xffffff,0,5a138198,45675921361862661,老师一直没有说男女 你们难道不懂吗？
56,260.60000,滚动弹幕,25,0xffffff,0,28ffe5b9,45670944641908743,乔碧萝殿下
57,433.85300,滚动弹幕,25,0xffffff,0,190ae43a,45662469761269763,那11
58,465.94100,滚动弹幕,25,0xffffff,0,42fc1865,45631103836880901,男女之间性关系存在掠夺的何况十来岁还是会以为大人有成年人师长的权威光环的年龄 很难抗争成功的 能就不是普通未成年了...
59,432.27500,滚动弹幕,25,0xffffff,0,42fc1865,45630963086000131,别杠了 书里还真提到过女老师和男学生的问题 但是不是一个维度的 同类其实还是得看男老师和男学生的问题
60,326.85600,滚动弹幕,25,0xffffff,0,c4eb4b83,45629375731728389,小丑竟是我自己
61,278.99900,顶端弹幕,25,0xfef102,0,6406ea50,45623324584706053,全世界都知道轩墨宝宝是男的怎么会构成诈骗
62,472.12600,滚动弹幕,25,0xffffff,0,35193c24,45612185493176327,谢谢老师
63,10.09800,滚动弹幕,25,0xffffff,0,35193c24,45611941586534407,老师好
64,98.95900,顶端弹幕,25,0xe70012,0,198c1155,45608132758470659,夜华直呼内行
65,152.65300,滚动弹幕,25,0xffffff,0,12c5ec99,45605863169196037,有人注意我吗
66,478.91500,滚动弹幕,25,0xffffff,0,a40629fa,45600540289662983,谢谢老师
67,11.24700,滚动弹幕,25,0xffffff,0,a40629fa,45600253799301127,老师好
68,11.75700,滚动弹幕,25,0xffffff,0,a40629fa,45600209601298439,老师好
69,309.15400,滚动弹幕,25,0x89d5ff,0,dc77b91b,45591152457416709,当时说乔碧萝的人会想到瞧毕罗这个组合嘛hhh
70,21.09200,滚动弹幕,25,0xffffff,0,5c9217d2,45576139268161603,我替我朋友来看看
71,480.01100,滚动弹幕,25,0xffffff,0,9ab5a384,45569776527867909,谢谢老师
72,9.51200,滚动弹幕,25,0xffffff,0,254665e5,45569697344651269,发生什么了正鹅
73,6.37900,滚动弹幕,25,0xffffff,0,9ab5a384,45569500390096899,老师好
74,144.28200,滚动弹幕,25,0xffffff,0,67b735d1,45569041796956163,男性呢？
75,4.05900,滚动弹幕,25,0xffffff,0,614d2312,45536265977200647,学习来了
76,175.98100,顶端弹幕,25,0x927939,0,d54ecbd8,45532708728209413,li名性
