,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,21.53900,滚动弹幕,25,0xffffff,0,1158d1b,46692831416811523,南开…
2,53.99000,滚动弹幕,25,0xffffff,0,29ff8588,46691615501189123,枪毙的好
3,36.51700,滚动弹幕,25,0xffffff,0,29ff8588,46691606348693507,干得好
4,163.09000,滚动弹幕,25,0xffffff,0,1d920464,46691346141413381,丢你仙人脸
5,190.10500,滚动弹幕,25,0xffffff,0,b0a5f70f,46691334099042311,想要不吃草的马
6,26.96900,滚动弹幕,25,0xffffff,0,398c801e,46689673908060163,请求公开处刑
7,16.88000,滚动弹幕,25,0xffffff,0,5d9d8b38,46689657558138883,危害中华民族生存权
8,69.23500,滚动弹幕,25,0xffffff,0,5d9d8b38,46689538759196679,东北人我高看你了
9,241.68900,滚动弹幕,25,0xffffff,0,1920fac0,46689067381293063,当年穷啊，40万美元现在算毛
10,195.31900,滚动弹幕,25,0xffffff,0,f9185333,46680518844481539,本身人活着为了什么，科学家工资一辈子都定不上戏子一年，这种事就正常了
11,111.44000,滚动弹幕,25,0xffffff,0,7abf03e1,46676472843730951,不值得
12,28.05300,滚动弹幕,25,0xffffff,0,ebc030d5,46676298500669445,干的漂亮
13,111.14700,顶端弹幕,25,0x90c320,0,97b6836b,46676191604637701,奥地利是个锤子北欧... 奥地利算中欧
14,38.27300,滚动弹幕,25,0xffffff,0,493c725c,46675341922009091,直接打靶便宜它们了
15,28.43500,顶端弹幕,25,0xe70012,0,174da354,46674158980956163,日本后裔
16,26.98500,顶端弹幕,25,0xe70012,0,174da354,46674154046357511,日本后羿
17,40.30600,滚动弹幕,25,0xffffff,0,ccac099,46673086696652805,南开风评被害
18,41.13700,顶端弹幕,25,0xe70012,0,2b3e7e50,46673039129051141,被策反了这两个
19,48.72700,滚动弹幕,25,0xffffff,0,795165a7,46672843956027397,学理科不学爱国主义教育，还不如文盲
20,8.02300,滚动弹幕,25,0xffffff,0,795165a7,46672793882329093,第一提高科学家工资，第二中小学普及爱国主义教育，明星宣传正确价值观
21,12.32700,滚动弹幕,25,0xffffff,0,90f4c5a,46666785194246147,希望国家科研人员的待遇和社会地位能提高提高
22,168.67900,滚动弹幕,25,0xffffff,0,ab4bae58,46665732461166595,这位置都不缺钱了，为啥做间谍？
23,70.09700,滚动弹幕,25,0xffffff,0,e84c66b3,46665627921809413,他家人怎么样了
24,236.35400,滚动弹幕,25,0xffffff,0,23bd807c,46664456209432583,底层科研人员的确工资很低。、
25,5.73600,滚动弹幕,25,0xffffff,0,8364359e,46663665799135237,好
26,36.88800,滚动弹幕,25,0xffffff,0,953f63f0,46662451223068679,东北被害
27,52.17500,滚动弹幕,25,0xffffff,0,4c4f2794,46659852628918275,凌迟
28,44.69600,滚动弹幕,25,0xffffff,0,24ddf64e,46658678674685957,还他妈是，南开大的
29,37.81400,滚动弹幕,25,0xffffff,0,32c07871,46654646614228999,该死
30,12.11300,滚动弹幕,25,0xffffff,0,a26f6493,46653440131072005,孬种
31,237.00700,滚动弹幕,25,0xffffff,0,25e669c8,46653021675323397,呵呵，根本就不是待遇问题，，他们的收入足够带来体面的生活。。钱学森一辈没他们待遇好吧。思想有问题找什么借口
32,55.98400,滚动弹幕,25,0xffffff,0,3e56022d,46648687201353733,台湾不是中国的一个省吗？
33,34.26000,滚动弹幕,25,0xffffff,0,fd3ebf2f,46647936420413445,打死再尿他一脸
34,167.53800,滚动弹幕,25,0xffffff,0,ab52ccec,46647863417503751,真的工资高点谁也挖不走
35,222.65000,滚动弹幕,25,0xffffff,0,634283c8,46646189162496003,才40万？
36,11.93900,顶端弹幕,25,0xe70012,0,f31a7ab9,46643096946999303,太轻了
37,117.17900,滚动弹幕,25,0xffffff,0,ecd88515,46640873815408647,以后家人子女在国外的一律不能用
38,66.66400,滚动弹幕,25,0xffffff,0,98627514,46632988615114757,哪位领导重用的这些东西啊，是不是也应该惩罚一下啊。
39,88.79700,滚动弹幕,25,0xffffff,0,70050a1a,46629772673941511,置国家人民的安危与不顾
40,23.54800,滚动弹幕,25,0xffffff,0,6eb3e3e,46629290372497413,绞刑
41,5.11300,滚动弹幕,25,0xffffff,0,a7f16a3a,46626785376337989,还有想回国被暗杀的科学家
42,75.88700,滚动弹幕,25,0xffffff,0,a7f16a3a,46626660505092101,这得害死多少同胞
43,151.41100,滚动弹幕,25,0xffffff,0,510f1189,46626046682333191,给学校丢脸
44,57.22500,滚动弹幕,25,0xffffff,0,510f1189,46625997284442119,牵扯三代
45,237.39900,滚动弹幕,25,0xffffff,0,4285249f,46625381225070595,想想为什么四十万美金就能买走？
46,6.78700,滚动弹幕,25,0xffffff,0,a7abeee3,46625270621798403,正道的光
47,228.54000,滚动弹幕,25,0xffffff,0,e943546f,46621434934460423,就40w美元
48,234.04000,滚动弹幕,25,0xffffff,0,20f58329,46621251531177989,才40万？
49,150.81500,滚动弹幕,25,0xffffff,0,4024e2a6,46620900782505987,又是东北人
50,134.81600,滚动弹幕,25,0xffffff,0,4024e2a6,46620892371877891,又是东北
51,8.31600,滚动弹幕,25,0xffffff,0,5a5efcdb,46618899116982279,杀
52,10.03900,滚动弹幕,25,0xffffff,0,1299f768,46616688656384003,死的好
53,242.92300,滚动弹幕,25,0xffffff,0,66c02104,46615338052222979,条件再艰苦有造原子弹的时候艰苦？
54,50.91300,滚动弹幕,25,0xffffff,0,d0721e3c,46607613263609863,地域黑的都是智力低下  
55,29.63300,顶端弹幕,25,0xffffff,0,2f970b0e,46606490657619975,上面那个红字说话很过分
56,97.63600,滚动弹幕,25,0xffffff,0,9efdc776,46605611113119747,一个月几百块你拼什么命？
57,140.62600,滚动弹幕,25,0xffffff,0,5c157262,46604773625954307,我们大东北怎么出了这两个猪狗不如的东西
58,3.83600,滚动弹幕,25,0xffffff,0,ed40ab5d,46604274380570629,杀得好！！
59,33.89400,滚动弹幕,25,0xffffff,0,fb36f799,46600480544522245,高材生！！我的天
60,14.93900,滚动弹幕,25,0xffffff,0,dafd0ef6,46599364592271363,干的漂亮
61,265.34000,滚动弹幕,25,0xfef102,0,b2af97a3,46583149165019143,提高科研人员待遇吧 不能光用爱发电 时代不同了唉
62,83.49900,滚动弹幕,25,0xffffff,0,26a94c9f,46582751170134019,英国美国一开始就高工资？没发展过程吗
63,83.49900,滚动弹幕,25,0xffffff,0,26a94c9f,46582689151582213,工资低的一看就是公知
64,5.79600,滚动弹幕,25,0xffffff,0,522682f9,46581038979219523,杀得好
65,48.61700,滚动弹幕,25,0xffffff,0,1873b8f2,46580186411433987,莫不是因为中国核研人员的待遇问题？
66,71.90700,滚动弹幕,25,0xffffff,0,fbfdd859,46578154056712197,天津人震怒
67,28.87300,滚动弹幕,25,0xffffff,0,a9a664e0,46578103443521539,就该诛九族！
68,14.40300,滚动弹幕,25,0xffffff,0,73067b76,46576808577990661,就地正法
