,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,65.47700,顶端弹幕,25,0xe70012,0,dcbb286d,43643804072804359,不  知  为  何
2,79.57400,顶端弹幕,25,0xe70012,0,d511facc,43629371164459011,曲有误，傅雷顾
3,126.46000,顶端弹幕,25,0xe70012,0,556e66e8,43628540864757765,说句实话我看家书的时候看了很长一段以后才发现原来傅雷有两个儿子而不是只有一个
4,185.16400,顶端弹幕,25,0xfef102,0,dba82900,43628521499656199,这不是人非圣贤，是一个超过18岁的熊孩子
5,161.08700,滚动弹幕,25,0xffffff,0,676439c3,43627886278082563,他对儿子的爱不过是感动了他自己
6,55.92000,顶端弹幕,25,0xe70012,0,9d179cca,43627730809389061,好家伙《傅雷家暴》
7,243.00600,滚动弹幕,25,0xffffff,0,66ad6e68,43622662840778757,哎不幸的童年要用一生来治愈 甚至要迁怒于下一代
8,98.04100,滚动弹幕,25,0xe70012,0,8f9b85c3,43618617081200643,我读家书的时候也觉得有点奇怪为什么家书大多数都是跟傅聪的信件而傅敏的却很少
9,36.49200,滚动弹幕,25,0xffffff,0,c9b3b01e,46668199564935173,家暴
10,18.94100,滚动弹幕,25,0xffffff,0,d896c337,46625300416036869,我正在写读后感
11,187.12800,滚动弹幕,25,0xffffff,0,567cc779,46536233863086083,哈哈哈哈
12,90.41100,滚动弹幕,25,0xffffff,0,e32a25db,46489948544040965,哈哈哈哈
13,113.57000,滚动弹幕,25,0xffffff,0,ac46188,46448023040950277,这么说呢，这个第二个是说不通的，在傅雷家书里面说了，傅敏没有那个天赋，而且前期傅雷和傅敏是生活在一起的，不需要写信
14,184.62100,滚动弹幕,25,0xe70012,0,539ec46,46442629420810247,忍耐
15,99.35500,滚动弹幕,25,0xe70012,0,539ec46,46442584749375493,《好父亲》
16,66.99200,滚动弹幕,25,0xe70012,0,539ec46,46442567731511303,《好父亲》
17,22.15400,滚动弹幕,25,0xffffff,0,539ec46,46442540271403015,《典范》
18,25.24300,滚动弹幕,25,0x19899,0,190d6493,46433519696609285,额，好像傅雷早年对两个儿子管教很严
19,30.86800,滚动弹幕,25,0xffffff,0,8b8ae912,46433296260792323,刚写完傅雷家书练习题
20,109.12400,滚动弹幕,25,0xffffff,0,398d366f,46401955548889091,傅敏是有天赋的！音准很好，手也柔软修长
21,267.28200,滚动弹幕,25,0xffffff,0,f3b81274,46393224321302533,这是旧社会的可怕啊
22,203.45900,滚动弹幕,25,0xffffff,0,978a154d,46376030607769603,？？？？？？？
23,3.87900,顶端弹幕,25,0xe70012,0,978a154d,46375919714041861,我正在读啊
24,168.65800,滚动弹幕,25,0xffffff,0,1033652f,46357111455088645,人格卓越
25,272.79800,滚动弹幕,25,0xffffff,0,f8682501,46353251987095559,？
26,263.24100,滚动弹幕,25,0xffffff,0,f8682501,46353244585721863,？？
27,88.34400,滚动弹幕,25,0xffffff,0,304c801b,46334651474640899,？
28,73.35900,滚动弹幕,25,0xffffff,0,304c801b,46334643591446533,？
29,19.15100,滚动弹幕,25,0xffffff,0,304c801b,46334613699690499,没读过
30,207.61200,滚动弹幕,25,0xffffff,0,ef994c3,46172958878072839,卧槽
31,79.37700,滚动弹幕,25,0xffffff,0,ef994c3,46172788323516419,卧槽
32,19.65500,滚动弹幕,25,0xffffff,0,ef994c3,46172756951695367,真实
33,82.20900,顶端弹幕,25,0xffffff,0,f82e453c,46132360628928517,静 步 刀 人
34,17.00000,滚动弹幕,25,0xffffff,0,7d813487,46039975359676423,老师要求买这玩意
35,167.47500,滚动弹幕,25,0xa0ea,0,9019e746,45899150757199875,封建社会的文人，严重腐朽的思想
36,42.46400,滚动弹幕,25,0xffffff,0,b2938e04,45882772908146693,疑惑
37,258.79100,滚动弹幕,25,0xffffff,0,2fa059d1,45852902913212421,时代的悲哀
38,308.35200,滚动弹幕,25,0xffffff,0,4cb6b684,45815238660980743,66
39,277.06300,滚动弹幕,25,0xffffff,0,2fe5e72c,45811921007411203,可怜
40,237.12100,滚动弹幕,25,0xffffff,0,1d78cc06,45810795922587653,？？？好爸爸好父亲。呵
41,217.45900,滚动弹幕,25,0xffffff,0,cd276188,45807461469257733,标准开局
42,244.60700,滚动弹幕,25,0xe2027f,0,cf2ee948,45807363255959555,啊这
43,141.87800,滚动弹幕,25,0xe2027f,0,cf2ee948,45807302217826309,书里写了傅雷管傅聪挠头（（
44,115.04700,滚动弹幕,25,0xffffff,0,cf2ee948,45807273809805319,？？？？？？？？？？？？
45,96.04700,滚动弹幕,25,0xffffff,0,cf2ee948,45807264031834119,我人傻了
46,89.04700,滚动弹幕,25,0xffffff,0,cf2ee948,45807260232318983,？？？
47,86.97300,滚动弹幕,25,0xffffff,0,df82c090,45801357130072067,七个我的剧情有点像
48,266.14400,滚动弹幕,25,0xffffff,0,ebfaa116,45790174385799171,gp
49,265.55400,滚动弹幕,25,0xe70012,0,96308d29,45770042538721283,像极了我自己
50,187.02500,顶端弹幕,25,0xe70012,0,812b73e2,45764124546695171,老钱，揍他！
51,205.20500,滚动弹幕,25,0xffffff,0,64036381,45757260649988103,？？？
52,1.25900,滚动弹幕,25,0xffffff,0,8d2a921,45757224326791173,终于找到合适的读后感了doge
53,93.63800,滚动弹幕,25,0xffffff,0,64036381,45757201093492743,好父亲？
54,181.03800,滚动弹幕,25,0xffffff,0,8dc12488,45728124415508485,钱钟书先生提刀赶来
55,84.64300,滚动弹幕,25,0xffffff,0,8dc12488,45727847156285445,好父亲
56,194.42300,滚动弹幕,25,0xe70012,0,b635b74,45722070389096453,傅雷号怒庵
57,254.52300,滚动弹幕,25,0xffffff,0,6c03108f,45721470318411783,?好家伙，那我抄的读后感不是抄错了吗？
58,235.36000,滚动弹幕,25,0xffffff,0,cf8b5a08,45718308111515653,讲过笑话：中国父母
59,87.91500,滚动弹幕,25,0xffffff,0,cf8b5a08,45718230803152901,？？？？？？？？？？？？？？？？？？？？？？？
60,131.65400,滚动弹幕,25,0xffffff,0,ffde8f0f,45706705053417475,就这教育局还他喵的让必读？？
61,75.61400,滚动弹幕,25,0xffffff,0,ffde8f0f,45706593213349895,我们寒假作业也要读，开学还要考试。笑S，根本没买
62,119.86900,滚动弹幕,25,0xfef102,0,a2b1ed5b,45672747929960451,干！
63,221.06000,滚动弹幕,25,0xfef102,0,a21698ab,45670902342877251,中 国 好 家 长
64,305.04100,滚动弹幕,25,0xffffff,0,d7c28bc2,45670828882264067,可怕
65,278.72100,滚动弹幕,25,0xffffff,0,d7c28bc2,45670807170973701,还好我从没看过
66,233.84100,滚动弹幕,25,0xffffff,0,d7c28bc2,45670766009647111,唉！一切都是有根源的
67,7.83900,滚动弹幕,25,0xffffff,0,c0cca23c,45670761311502339,老初二了
68,204.84400,滚动弹幕,25,0xffffff,0,d7c28bc2,45670732549062661,人设崩塌
69,181.92400,滚动弹幕,25,0xffffff,0,d7c28bc2,45670705991254021,人设崩塌
70,129.50000,滚动弹幕,25,0xffffff,0,d7c28bc2,45670641591386115,太压抑了，学不来学不来
71,1.56400,滚动弹幕,25,0xffffff,0,3a4ff479,45660622778531845,傅雷家书好讽刺
72,317.31700,滚动弹幕,25,0xffffff,0,98bd8a5,45656410350944261,3
73,91.91000,滚动弹幕,25,0xffffff,0,1b211599,45653873652662277,捅他一刀
74,60.38500,滚动弹幕,25,0xffffff,0,1b211599,45653857064714245,好爸爸
75,239.28300,滚动弹幕,25,0xe70012,0,e6b77d04,45632590794719237,我裂开了
76,104.54900,滚动弹幕,25,0xe70012,0,e6b77d04,45632520186232839,好父亲
77,257.63000,顶端弹幕,25,0xffff00,0,3e232299,45621214447140867,真.夫妻
78,263.18100,顶端弹幕,25,0xffff00,0,3e232299,45621214439800839,真.夫妻
79,224.45400,顶端弹幕,25,0x4266be,0,3e232299,45621192410267655,666
80,37.97000,滚动弹幕,25,0xffffff,0,c32b5beb,45616818312708099,？？
81,22.06300,滚动弹幕,25,0xffffff,0,c32b5beb,45616809927770117,典范
82,182.84300,滚动弹幕,25,0xffffff,0,3db4b00f,45607589074436099,？？？？
83,133.42700,滚动弹幕,25,0xffffff,0,3db4b00f,45607560190361603,《好父亲》
84,122.79200,滚动弹幕,25,0xffffff,0,afcfb12b,45581988863148039,对！！
85,264.15400,顶端弹幕,25,0xfef102,0,487ed977,45579509629976581,害怕
86,169.99900,顶端弹幕,25,0xfef102,0,487ed977,45579451389444103,输     不    起
87,99.13500,滚动弹幕,25,0xffffff,0,8bdc3f07,45574282330243079,对，我还在想为啥写的都是傅聪，不是有两个孩子吗
88,256.12800,滚动弹幕,25,0x84c0cb,0,2ba5f668,45564938237771781,啊这
89,108.29100,滚动弹幕,25,0xfe0302,0,d51992b8,45563107018276871,对！看书就可以读出来！
90,77.42400,滚动弹幕,25,0xfe0302,0,d51992b8,45563052077613061,《 教 育 典 范 》
91,254.24400,滚动弹幕,25,0xffffff,0,80d0876b,45545878979608579,《罪恶轮回》
92,232.09400,滚动弹幕,25,0xffffff,0,80d0876b,45545867260198917,罪恶的轮回
93,26.34100,滚动弹幕,25,0xffffff,0,5fa9fa55,45494254334640133,正在写读后感的我
94,270.26000,滚动弹幕,25,0xffffff,0,a4ae310f,45483265887305731,恶性循环
95,252.07800,滚动弹幕,25,0xcd95,0,6b8e4a78,45448719996813317,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
96,194.44100,滚动弹幕,25,0xcd95,0,6b8e4a78,45448688469803011,？？？？？？？？？
97,173.72300,滚动弹幕,25,0xfef102,0,8b6f2d73,45446828860112903,。。。
98,119.37400,滚动弹幕,25,0xfef102,0,8b6f2d73,45446800340942853,《好父亲》
99,76.87300,滚动弹幕,25,0xffffff,0,8b6f2d73,45446778245873667,啧啧
100,117.36400,顶端弹幕,25,0xffffff,0,1e9b2777,45437419407278087,傅聪好像还说过自己都没怎么仔细看
101,267.79300,顶端弹幕,25,0xe70012,0,4af804f3,45434273850720263,一脉相承
102,204.71300,滚动弹幕,25,0xfef102,0,44a54aaa,45430988790038531,《一代大教育家，中国父母的典范》
103,173.16400,滚动弹幕,25,0xe70012,0,44a54aaa,45430949004443651,玩不起
104,127.84400,滚动弹幕,25,0xe70012,0,44a54aaa,45430918609895427,见缝插针
105,45.84700,滚动弹幕,25,0xffffff,0,ade6cc00,45429436566732807,是的，傅雷家暴
106,236.00000,滚动弹幕,25,0xffffff,0,ddb2a5fc,45404047859515399,《她》
107,128.38600,滚动弹幕,25,0xffffff,0,da3e4c55,45402637842513923,傅雷曾说过自己在四十多岁才真正明白如何做父亲
108,216.36300,滚动弹幕,25,0xffffff,0,2b54c1c0,45394855228080135,乔家传统
109,150.13200,滚动弹幕,25,0xffffff,0,8dc01758,45389602281226245,《好父亲》
110,244.00200,滚动弹幕,25,0xffffff,0,a77bed28,45384911589212165,打开弹幕我吓到了
