,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,30.55200,滚动弹幕,25,0xa0ea,0,8917b36,45608422782533637,我连水泥地一块挪呢
2,0.00000,底端弹幕,25,0xe70012,0,18d777d,45570139756167171,若干年后美国人看着白宫前的中国界碑陷入了沉思 
3,10.03500,顶端弹幕,25,0xe70012,0,1c4ed4e3,45568132915920903,懂了，您重160斤
4,10.27900,滚动弹幕,25,0xffffff,0,c9721cba,46690919499956227,等等，驮石碑？
5,3.95900,滚动弹幕,25,0xffffff,0,c9721cba,46690903664361477,嚯，开疆拓土
6,25.31000,滚动弹幕,25,0xffffff,0,520922c,46655533121798149,那带着水泥地一起往前挪呢
7,8.45500,滚动弹幕,25,0xffffff,0,7a876c82,46655106603548739,感动中国
8,1.30000,滚动弹幕,25,0xffffff,0,46b9ffb6,46648675819585541,民族英雄
9,16.46400,滚动弹幕,25,0xffffff,0,6ebd6c16,46638778426589189,不需要扛着跑啊。。一米而已你跑屁！
10,8.21500,滚动弹幕,25,0xffffff,0,80f0abf2,46630330202849285,霍
11,17.27900,滚动弹幕,25,0xe70012,0,1306a166,46628052439400455,车  力  巨  人
12,5.55500,滚动弹幕,25,0xfef102,0,ae3abd2a,46623355171241991,拜登看着白宫门口的界碑陷入了沉思
13,8.70600,滚动弹幕,25,0xffffff,0,ae3abd2a,46623337399451655,拜登看着白宫门口的中国界碑陷入了沉思
14,15.04200,滚动弹幕,25,0xffffff,0,e418ea2a,46623298734260227,卧槽，这么重
15,25.05600,滚动弹幕,25,0xffffff,0,fcd53add,46614480701882375,感动中国非你莫属
16,15.86700,滚动弹幕,25,0xffffff,0,d3377911,46607103718064135,赑屃
17,30.99600,滚动弹幕,25,0xffffff,0,ef47620e,46579341846904839,我拿得动八百斤的石碑，还怕几个巡逻士兵么
18,0.22500,顶端弹幕,25,0xfef102,0,b4d66c0a,46578557139812357,我怀疑你忘吃脑血栓药了
19,16.27200,滚动弹幕,25,0xffffff,0,c479a678,46578398372298755,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
20,0.00000,滚动弹幕,25,0x9843,0,4aee13ad,46576388301914117,《赑屃》
21,9.14000,滚动弹幕,25,0xffffff,0,4d47988,46564965063065605,我还得给你立个碑，称颂你的丰功伟绩
22,0.87900,滚动弹幕,25,0xffffff,0,56ad21f4,46556277158969349,赑 屃
23,4.44000,滚动弹幕,25,0xffffff,0,9bfef761,46539828729741317,豁
24,0.25900,滚动弹幕,25,0xffffff,0,d7e0401d,46534407521042439,宣战行为
25,1.55900,滚动弹幕,25,0xffffff,0,1f1a6228,46532281016254471,吾辈楷模
26,15.99400,滚动弹幕,25,0xe70012,0,62f511b1,46529668426235907,敢动   中国
27,22.22400,滚动弹幕,25,0xe70012,0,edbf90dd,46525296376545283,感 动 中 华
28,27.11100,滚动弹幕,25,0xffffff,0,7b252e36,46520430563426307,讨厌这样
29,14.08800,滚动弹幕,25,0xffffff,0,7b252e36,46520423744012295,下洼
30,19.99900,滚动弹幕,25,0xffffff,0,6e1f38aa,46519395936108551,你当你是赑屃啊？
31,23.58400,滚动弹幕,25,0xffffff,0,5f3790e8,46501276142272515,那肯定是外蒙古的啦
32,16.54600,滚动弹幕,25,0xffffff,0,edd31d90,46487241601581059,哈哈哈哈哈
33,9.80700,滚动弹幕,25,0xffffff,0,591fa8b9,46483366038994947,嚯
34,18.40500,滚动弹幕,25,0xffffff,0,bed629b9,46481263604269063,？？？
35,9.29400,滚动弹幕,25,0xffffff,0,11edfab5,46448355957538885,一等功！
36,13.37200,滚动弹幕,25,0xffffff,0,160fb44f,46446954863394821,明天下
37,14.63300,滚动弹幕,25,0xffffff,0,769cd1df,46445004120915975,您您就是赑屃！
38,6.03200,滚动弹幕,25,0xffffff,0,fae3e017,46443992134451207,我每天都在国家边境跑步会不会犯法? 路线: 中国——边境——外国。
39,4.19700,滚动弹幕,25,0xffffff,0,fae3e017,46443931138785287,我每天在国家边境跑步会不会犯法?
40,1.66900,滚动弹幕,25,0xffffff,0,b92f6618,46441743619981315,蓝田界碑
41,6.81600,滚动弹幕,25,0xffffff,0,f785572b,46434562904948739,货
42,2.13800,滚动弹幕,25,0xe70012,0,d10d8bda,46430178310619143,攘  夷  志  士
43,9.81900,滚动弹幕,25,0xffffff,0,4e3ee0a6,46429974332178437,界碑一小步 国家一大步
44,0.74600,滚动弹幕,25,0xffffff,0,e1105577,46429635948838915,嚯～
45,23.72700,滚动弹幕,25,0xffffff,0,ec7cfdf6,46428706358951941,不哭不是中国人哈哈哈哈哈
46,0.25900,顶端弹幕,25,0xfef102,0,ad3ce5c8,46427085491142663,我是张三，我来了
47,19.36800,滚动弹幕,25,0xe70012,0,1c94803f,46426483234177031,五 丁 开 山
48,9.93200,滚动弹幕,25,0xffffff,0,e2a9980e,46425833906110471,感动中国！
49,6.44100,滚动弹幕,25,0xffffff,0,e583f8e0,46423547182579719,印度做法
50,21.53900,滚动弹幕,25,0xffffff,0,2fa56f59,46423512193695747,开疆拓土，创不世之功
51,12.19900,顶端弹幕,25,0xe70012,0,1cea1057,46422020764729347,暴露体重
52,2.73900,滚动弹幕,25,0xffffff,0,3f5617e,46421863569555459,感动中国
53,20.48100,顶端弹幕,25,0x9843,0,5392a805,46421017493504003,力能扛鼎
54,18.27900,滚动弹幕,25,0xa0ea,0,921c8bb,46419687001030661,活王八，别管它了，up坐稳就好。
55,33.09100,滚动弹幕,25,0xffffff,0,758be00e,46416569070256135,范马勇次郎
56,30.08000,滚动弹幕,25,0xffffff,0,42530e69,46402677188329475,可恶
57,31.56100,滚动弹幕,25,0xffffff,0,df7fa7fc,46401523702824967,赑屃
58,8.44900,滚动弹幕,25,0xffffff,0,80bf6682,46398136932368391,哈哈哈哈哈哈哈哈哈哈哈
59,3.36500,滚动弹幕,25,0xffffff,0,a7e8b965,46394507767316485,罚款-200
