,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,27.65900,顶端弹幕,25,0xfef102,0,3e3a2ec3,43682799877095429,国内南方，纸箱——蟑螂的天堂
2,113.16100,滚动弹幕,25,0xffffff,0,c85d984a,46666312057880579,智慧啊
3,102.51600,滚动弹幕,25,0xffffff,0,c85d984a,46666306468446213,智慧啊
4,66.99900,滚动弹幕,25,0xffffff,0,c1f6b256,46574200652562435,语法错误：要不就是…………
5,143.86600,滚动弹幕,25,0xffffff,0,ff33a95b,46536977062821893,确实，有道理
6,91.37300,滚动弹幕,25,0xffffff,0,41864e20,46350757933350919,wow开店小秘集
7,20.39900,滚动弹幕,25,0xffffff,0,41864e20,46350707101007875,德国制造哈哈哈哈哈哈
8,74.64400,滚动弹幕,25,0xffffff,0,36eb470f,46292171779211267,af印第安好评
9,105.70400,滚动弹幕,25,0xffffff,0,ef6bda8,46070069898772483,好厉害
10,65.14500,滚动弹幕,25,0xffffff,0,ef6bda8,46070048722255879,哈哈哈
11,41.86600,滚动弹幕,25,0xffffff,0,ef6bda8,46070036335951877,德国车开20年都没问题
12,40.18600,滚动弹幕,25,0xffffff,0,acf996b1,45995570965774339,密码错误
13,78.18700,滚动弹幕,25,0xffffff,0,fbaaaef2,45861272392040455,好像狼外婆
14,32.54600,滚动弹幕,25,0xffffff,0,7e0342dd,45752513869643781,中国用完一次就卖给收破烂的了。。
15,103.20700,滚动弹幕,25,0xffffff,0,4ccb160b,45722387032309763,妙啊
16,102.82100,滚动弹幕,25,0xffffff,0,26a84b2c,45664676222599171,厉害
17,106.68800,滚动弹幕,25,0xffffff,0,a4ed05d,45572717485228039,贾玲来试试
18,124.03300,滚动弹幕,25,0xffffff,0,a4ed05d,45572705983922183,贾玲来试试
19,78.86200,滚动弹幕,25,0xffffff,0,a4ed05d,45572682400923651,漏碟儿
20,39.93900,滚动弹幕,25,0xffffff,0,cf177193,45519182919368707,你不要过来呀
21,160.01900,滚动弹幕,25,0xffffff,0,c9fe27ba,45511256511610887,施耐德？他家还用做广告？
