,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,49.80300,顶端弹幕,25,0xfe0302,0,a9177548,44979170728476675,抢完红包立马退群
2,126.71700,顶端弹幕,25,0xfef102,0,eede3544,44978545820172291,如数家珍
3,78.37800,顶端弹幕,25,0xa0ee00,0,359e4f91,44978500475551749,贫穷让我对这类知识产生了隔离
4,244.22400,顶端弹幕,25,0xcd00,0,759e463f,44978420459765767,《草 草》
5,324.50700,顶端弹幕,25,0xe70012,0,240ba833,44978287531786243,我知道做作业是对的，但却忍不住玩手机
6,249.89300,滚动弹幕,25,0xffffff,0,362dd6b8,44978279019970563,《草草写就》
7,17.72600,顶端弹幕,25,0xfef102,0,e57e69b0,44978055267483653,老师，您温柔的语气和笑容令我害怕，是我的错吗？
8,101.44300,底端弹幕,25,0xfe0302,0,3bf958f0,44977920284819461,新人物王六
9,97.25700,顶端弹幕,25,0x9843,0,7fda8978,46671646371086407,懂了，这就去代发红包
10,280.77200,滚动弹幕,25,0xffffff,0,9fb70dea,46649790313791491,dream概率
11,15.31900,滚动弹幕,25,0xffffff,0,fd16061,46581422013546499,老师好
12,350.70200,滚动弹幕,25,0xffffff,0,94656df7,46565748857896967,谢谢老师
13,111.12200,滚动弹幕,25,0xffffff,0,8924cced,46555792922902531,解锁新角色王六
14,89.98200,滚动弹幕,25,0xffffff,0,8924cced,46555781846794247,他好懂啊
15,11.57900,滚动弹幕,25,0xffffff,0,db064c08,46448394972430341,0314打卡学习
16,43.87900,滚动弹幕,25,0xffffff,0,7e9a936e,46441491590545413,红包最大金额200
17,321.30500,滚动弹幕,25,0xffffff,0,bc6c4444,46430690548908037,我玩儿石头剪刀布。只有大概1/4胜率(不考虑平局那种)
18,127.70700,滚动弹幕,25,0xffffff,0,337e1813,46350265789448199,好家伙好复杂
19,334.73000,滚动弹幕,25,0xffffff,0,197cc4e8,46346016178307075,游戏自抽号也是
20,200.13000,滚动弹幕,25,0xffffff,0,197cc4e8,46345945617006597,金公主
21,92.90200,滚动弹幕,25,0xffffff,0,ff88cb40,46297820364275719,能发这么多么
22,238.27500,滚动弹幕,25,0xffffff,0,abc9f5df,46258692044095493,只要我够穷就没有人能骗我钱
23,347.66800,滚动弹幕,25,0xffffff,0,1326603f,46245129940893701,老师这个表情就很意味深长哈哈哈
24,328.85900,顶端弹幕,25,0x90c320,0,f7aa346a,46239167716786179,就像买基金的我
25,255.17900,滚动弹幕,25,0xffffff,0,645a8468,46239093708816391,凡尔赛起来了
26,347.83600,滚动弹幕,25,0xffffff,0,118de12a,46230346026975237,谢谢老师
27,5.52000,滚动弹幕,25,0xffffff,0,118de12a,46230137630883843,老师好
28,73.77900,滚动弹幕,25,0xffffff,0,70bfabfd,46220825612779523,不会真有人玩这个吧
29,184.85000,滚动弹幕,25,0xffffff,0,d195a63c,46214291251527683,群里都是小号，就你是真的赌
30,229.83200,滚动弹幕,25,0xffffff,0,2246ce23,46212649078751239,你不是交了押金吗
31,178.75900,滚动弹幕,25,0xffffff,0,f81adff6,46212643478831109,单压理查德 理查德天下第一
32,237.06500,滚动弹幕,25,0xffffff,0,5d275378,46207066506788867,天，“内心的幽暗”，老师，您经历了什么？
33,20.47500,滚动弹幕,25,0xffffff,0,d1dba0c3,46205161429270533,罗老师，奥西里斯赌场犯法吗
34,92.33900,滚动弹幕,25,0xffffff,0,8d07302f,46200787869630469,我们都是发20
35,126.49600,滚动弹幕,25,0xffffff,0,1db87443,46200655008759811,红包上限不是200吗
36,4.49900,滚动弹幕,25,0xffffff,0,c56707dc,46200155791163397,1111
37,91.81900,滚动弹幕,25,0xfef102,0,e30347bd,46178137799131139,张三突然聪明
38,278.38200,滚动弹幕,25,0xffffff,0,c982f630,46176772315152391,我们一般用两个字形容这种人 土块
39,337.31600,滚动弹幕,25,0xffffff,0,73f1f3eb,46176113762238469,对对对
40,302.31600,滚动弹幕,25,0xffffff,0,73f1f3eb,46176095377555459,输到没有钱为止
41,285.31500,滚动弹幕,25,0xffffff,0,73f1f3eb,46176086484582405,是的
42,243.31500,滚动弹幕,25,0xffffff,0,73f1f3eb,46176064392134663,我也喜欢他的书
43,260.64600,滚动弹幕,25,0xffffff,0,73f1f3eb,46176050288787463,草草写就
44,351.40300,滚动弹幕,25,0xffffff,0,f3c05286,46175813045846083,谢谢老师
45,347.90100,滚动弹幕,25,0xffffff,0,f1941b85,46173487175303175,黄赌毒远离毒赌
46,10.55800,滚动弹幕,25,0xe70012,0,c60787fa,46171332277698565,新年快乐，罗老师发红包
47,0.00000,滚动弹幕,25,0xffffff,0,8a81e486,46170511875506183,666
48,332.96900,滚动弹幕,25,0xffffff,0,26b6a339,46168088171773955,触动心灵
49,41.21200,滚动弹幕,25,0xffffff,0,372f0c2f,46165853354852359,张三竟是我自己
50,325.89900,滚动弹幕,25,0xffffff,0,4b84ff33,46164865563230211,好家伙黄的事你是只字不提
51,29.07000,滚动弹幕,25,0xffffff,0,34a8784,46164719943811077,张三竟是我自己！
52,245.71300,滚动弹幕,25,0xffffff,0,c99ab636,46160651323703303,强赌灰飞烟灭
53,252.84300,滚动弹幕,25,0xffffff,0,1bcfd7ed,46160427413405699,草草？！这太不讲武德了
54,22.67200,滚动弹幕,25,0xffffff,0,1bcfd7ed,46160295430717447,所以我都不抢
55,107.20500,滚动弹幕,25,0xffffff,0,5b435a07,46159822067335173,红包最多就200
56,180.45900,滚动弹幕,25,0xffffff,0,c3470f06,46150474197893123,欢乐斗啊，也是钱买的
57,96.61900,滚动弹幕,25,0xffffff,0,55f532a9,46148939708104711,老师我抢完退群行吗
58,162.97700,滚动弹幕,25,0xffffff,0,b021a9e8,46148838123110403,18年这个就很常见了
59,166.87400,滚动弹幕,25,0xffffff,0,26546628,46148622366015491,赌博这么费脑细胞为什么傻的人还参与
60,295.61000,滚动弹幕,25,0xffffff,0,e74f517b,46131905335132167,输钱皆因赢钱起！！！
61,110.64100,滚动弹幕,25,0xffffff,0,293c75b0,46130871910006791,学会了！谢恩师赐教！
62,39.01300,滚动弹幕,25,0xffffff,0,3d477ff1,46130345425764357,张三竟是我自己
63,354.41000,滚动弹幕,25,0xffffff,0,540c3f82,46119505967972357,拒绝黄赌毒
64,34.06800,滚动弹幕,25,0xffffff,0,8424460b,46116321744125959,老师好
65,79.60400,滚动弹幕,25,0xffffff,0,f3e9d7af,46115469509263363,卧槽！
66,5.33900,滚动弹幕,25,0xffffff,0,2dcc36e4,46112575163727875,老师好
67,324.31300,顶端弹幕,25,0xe70012,0,adc970a7,46110786911731719,好家伙 黄字你们是一字不提
68,176.78200,滚动弹幕,25,0xffffff,0,17e588ac,46104145560600583,所以最大的庄家是马化腾（dogs
69,294.42100,滚动弹幕,25,0xffffff,0,42eeffae,46086462171512839,嗐
70,302.06400,滚动弹幕,25,0x89d5ff,0,6d740b34,46077559685251079,啊这
71,223.56400,滚动弹幕,25,0xfe0302,0,6d740b34,46077518529167367,作弊啊！
72,4.94900,滚动弹幕,25,0xffffff,0,28f5d667,46071480583192583,嘶~~
73,88.70900,滚动弹幕,25,0xffffff,0,732a701,46070976878215171,我不知道，我发不到5000
74,63.15500,滚动弹幕,25,0xe70012,0,e7f6215d,46068949165539335,这数学能力
75,57.56800,滚动弹幕,25,0xe70012,0,e7f6215d,46068945714151427,好强
76,31.66600,滚动弹幕,25,0xe70012,0,e7f6215d,46068932121985027,张三竟是我自己
77,9.61900,滚动弹幕,25,0xe70012,0,e7f6215d,46068912013443079,抢劫包
78,34.55400,滚动弹幕,25,0xffffff,0,fbc78bd8,46066930517803011,张三竟是我自己
79,82.77900,滚动弹幕,25,0x84c0cb,0,d320ac3d,46066891435802629,6666啊
80,58.37900,滚动弹幕,25,0xffffff,0,d320ac3d,46066874766589957,退群不就OK了
81,134.44500,顶端弹幕,25,0x4266be,0,62e6710d,46064713553412103,这么说出考卷的老师也犯法了（doge
82,123.36300,滚动弹幕,25,0xffffff,0,90223ca8,46046704631283717,小丑竟是我自己
