,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,112.33200,顶端弹幕,25,0xe70012,0,40a55174,44684523431526407,怎么会有这样一个国家：领土基本是弹丸，历史基本是杜撰；
2,397.42800,顶端弹幕,25,0xe70012,0,44bdc815,44639835883307013,“曾经俄罗斯都是我们的”
3,232.81000,顶端弹幕,25,0xfef102,0,b093cb10,44630232635801603,给他们了个八卦图自己还给改成了死卦
4,273.00300,滚动弹幕,25,0xfef102,0,549430fc,44612482243756035,老子会让你用龙旗？你是失心疯了吗
5,82.28600,滚动弹幕,25,0xffffff,0,91001b5d,44588171504648197,中国人：人多就是爷
6,413.79900,顶端弹幕,25,0xe70012,0,f3e3f91a,44459366114394119,韩国：只要我的历史够贫瘠，我就能随便编
7,130.36600,顶端弹幕,25,0xe70012,0,98570f83,44437405880025093,一句黑俩哈哈哈哈牛
8,211.19200,顶端弹幕,25,0xe70012,0,9de6f076,44408097523892227,《 美 国 当 韩 国 父 亲 条 约 》
9,114.16600,滚动弹幕,25,0xffffff,0,5255e950,46695358098046983,哈哈哈哈哈哈哈哈哈哈
10,132.36300,滚动弹幕,25,0xffffff,0,b067021f,46673081233571845,哈哈哈哈哈哈哈哈哈哈哈
11,389.27100,滚动弹幕,25,0xffffff,0,90ee53c7,46671512221515781,水印好评
12,277.68600,滚动弹幕,25,0xffffff,0,576a8a39,46670077310271495,哟哟哟！这是承认是附属国了？
13,261.08100,滚动弹幕,25,0xffffff,0,576a8a39,46669989026463751,对对对！都是你爹帮你画的国旗
14,425.36500,滚动弹幕,25,0xffffff,0,47396a18,46668016950706181,伊朗不属于阿拉伯国家，伊朗人说波斯语
15,411.20000,滚动弹幕,25,0xffffff,0,9a34ccaa,46667848459223045,舔到最后一无所有
16,138.04600,滚动弹幕,25,0xffffff,0,cb9c23ae,46667825445076997,一对儿子
17,134.38000,滚动弹幕,25,0xffffff,0,9a34ccaa,46667653974589445,哈哈哈哈哈哈哈
18,451.28200,滚动弹幕,25,0xffffff,0,135e9b53,46667512802181127,妈呀 国家宝藏 
19,301.37000,滚动弹幕,25,0xffffff,0,581dbba0,46666325380562949,原来韩国人就是这么被洗脑的 啧啧
20,63.54900,滚动弹幕,25,0xffffff,0,2ef1d1c5,46652960874168327,半个中国人?棒子又在装中国人
21,257.58600,滚动弹幕,25,0xffffff,0,d7e96b67,46629432031969287,真难听！完全像狺狺狗吠一样难听！
22,191.70000,滚动弹幕,25,0xffffff,0,d935d0ab,46625407111790599,这个新闻素材是B站上找的，最后这个新闻也搬到了B站。
23,121.61400,滚动弹幕,25,0xffffff,0,36ff02ba,46624549941805061,世界名画
24,265.47200,滚动弹幕,25,0xffffff,0,1a1fb8b4,46623696302374917,旁边的条条都是八卦可还行
25,197.90600,滚动弹幕,25,0xffffff,0,66e099ca,46621635599400965,叽里咕噜思密达
26,321.85800,滚动弹幕,25,0xffffff,0,74e0aa68,46609706633396229,希望有关部门早点把这些文化申遗，多多重视一下文化传承
27,219.62300,滚动弹幕,25,0xffffff,0,8e7f6189,46609528179392517,思密达
28,318.87300,滚动弹幕,25,0xffffff,0,2139298f,46605795439673351,韩国建国都没有现在都还没独立呢
29,80.50000,滚动弹幕,25,0xffffff,0,7df8caae,46604241865801735,韩国网友直接气炸哈哈哈
30,304.88300,滚动弹幕,25,0xffffff,0,b2e696cb,46600260971659269,自己还知道是“标榜”独立
31,57.73900,滚动弹幕,25,0xfef102,0,da1999d,46600229970509827,四个二带两王，没啦，哈哈
32,140.27000,滚动弹幕,25,0xffffff,0,bf04a7e1,46597886195007491,好家伙，这锁骨，太突出了
33,46.22000,滚动弹幕,25,0xfef102,0,81d9a385,46590898371297287,偷国果然厉害
34,282.25200,滚动弹幕,25,0xffffff,0,2d7a5d72,46590553493602311,《标榜独立》
35,136.79100,滚动弹幕,25,0xffffff,0,2d7a5d72,46590382917550085,两个贼子！
