,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,198.97500,滚动弹幕,25,0xffffff,0,dc1aa99f,44451038252498949,指向了一个字，肝
2,180.54300,滚动弹幕,25,0xffffff,0,c0e766c,44447381010776067,不需要捧杀，因为他们具备这个实力。。。、
3,191.84200,滚动弹幕,25,0xffffff,0,f53cfcad,46661666804858885,刚才那个是三国.赤壁。
4,532.77100,滚动弹幕,25,0xffffff,0,e3342579,46658448713056263,下次一定
5,510.41800,顶端弹幕,25,0xe70012,0,c6db531b,46583955472777223,小何五杀！！！
6,76.64800,顶端弹幕,25,0xe70012,0,c6db531b,46583574596419587,小何yyds！
7,62.56800,顶端弹幕,25,0xe70012,0,c6db531b,46583462259851267,何同学！何同学！何同学排面！！！双杀！！！
8,31.27200,顶端弹幕,25,0xe70012,0,c6db531b,46583266782216195,何同学！何同学！何同学！何同学！何同学！何同学！何同学！何同学！
9,21.94900,顶端弹幕,25,0xe70012,0,c6db531b,46583215658369027,小何哇！！！
10,482.08000,滚动弹幕,25,0xffffff,0,1ae83be1,46482271325126663,期待着一个幸运
11,479.00000,滚动弹幕,25,0xffffff,0,1ae83be1,46482264807702531,B站十周年快乐，B站牛壁
12,557.43600,滚动弹幕,25,0xe70012,0,b4caed5b,46442788283219971,这 次 一 定 
13,520.61600,顶端弹幕,25,0xffffff,0,3209cee5,46431187503677443,下次一定
14,305.34800,滚动弹幕,25,0xffffff,0,ae11d807,46430466534801411,woc?下次一定。
15,561.05400,滚动弹幕,25,0xffffff,0,1f056ce6,46374222942961669,下次一定
16,538.75300,滚动弹幕,25,0xffffff,0,1f056ce6,46374217048391683,下次一定
17,404.32600,滚动弹幕,25,0xffffff,0,1f056ce6,46374181645844483,混入其中
18,16.40100,滚动弹幕,25,0xffffff,0,d8af4626,46361814075703299,比博燃
19,539.99000,滚动弹幕,25,0xffffff,0,36413291,46331698304516101,下次一定
20,576.39000,滚动弹幕,25,0xffffff,0,41c4bbe,46257692563472389,爷看哭了
21,561.06500,滚动弹幕,25,0xffffff,0,41c4bbe,46257676561678341,哔哩哔哩( ゜- ゜)つロ 乾杯~
22,309.58500,滚动弹幕,25,0xffffff,0,41c4bbe,46257540792582151,下下次也不一定
23,324.91200,滚动弹幕,25,0xffffff,0,e4e45330,46239879454523397,下次一定
24,195.12300,滚动弹幕,25,0xffffff,0,1ae83be1,46239576660377607,一键三连，下次一定
25,421.35300,滚动弹幕,25,0xffffff,0,f499e239,46232795645739015,当年看到交织together我整个人感动得莫名想哭
26,527.02000,滚动弹幕,25,0xffffff,0,4185fefa,46213362732236807,好的，下次一定
27,321.61800,滚动弹幕,25,0xe70012,0,eabfb9a,46176829467262981,冰冰
28,318.71200,滚动弹幕,25,0xffffff,0,eabfb9a,46176824134205447,冰冰
29,341.96300,顶端弹幕,25,0xffffff,0,e444d6ee,46129345345880071,那是天才
30,535.80100,滚动弹幕,25,0xffffff,0,e2e771ce,46127047786889219,下次一定
31,38.31300,滚动弹幕,25,0xffffff,0,1a896b31,46079969463369733,勾指起誓！
32,195.17300,滚动弹幕,25,0xffffff,0,dc354915,46006344898052099,这货想说啥？
33,305.58000,滚动弹幕,18,0xe70012,0,7d992a38,45897209304055813,下次一定
34,533.35000,滚动弹幕,25,0xffffff,0,4ae0ce4f,45894876858417157,下次一定
35,28.62000,滚动弹幕,25,0xffffff,0,69700890,45803014175850503,ig牛逼
36,306.40900,滚动弹幕,25,0xffffff,0,99551f29,45771750510166021,下次一定
37,534.38700,滚动弹幕,25,0xffffff,0,431168f5,45713019884273669,下次一定
38,132.19200,滚动弹幕,25,0xffffff,0,fe79a9b9,45712941673611271,嗯，有道理
39,308.98300,滚动弹幕,25,0xffffff,0,9f0fb8a9,45711315317030915,下次一定
40,513.86000,滚动弹幕,25,0xffffff,0,ba98a522,45711236768727047,下次一定
41,200.63900,滚动弹幕,25,0xffffff,0,bec5ebe9,45710465707278339,卧槽
42,181.27800,滚动弹幕,25,0xffffff,0,bec5ebe9,45710455738466373,哇
43,51.77400,顶端弹幕,25,0xe70012,0,a970d640,45708585252421639,店长排面
44,460.31600,顶端弹幕,25,0xe70012,0,d643117b,45708450003419139,av106  B站上存活下来的上古鬼畜
45,7.36500,顶端弹幕,25,0xfef102,0,4f93b9af,45708190715215879,一闪而过的来打
46,539.41500,滚动弹幕,25,0xffffff,0,71c0237e,45707993678872583,下笔一点
47,406.85900,滚动弹幕,25,0xffffff,0,e3495eb4,45707931777236995,。
48,574.24800,滚动弹幕,25,0x9843,0,fc281e11,45707928954994693,bilibili- ( ゜- ゜)つロ 乾杯~
49,137.62200,滚动弹幕,25,0xffffff,3,63fe9706,45707781403049987,2
50,509.38500,滚动弹幕,25,0xffffff,0,2456385e,45707600467066883,下次一定
51,530.64000,滚动弹幕,25,0xffffff,0,664eb276,45707012049207301,下次一定
52,307.23600,滚动弹幕,18,0xffffff,0,246d54d1,45706974733008901,下次一定
53,400.55900,滚动弹幕,25,0xffffff,0,515bf4cf,45706251764498435,老人不在了
54,524.82000,滚动弹幕,25,0xffffff,0,1894512f,45706181642027013,下次一定
55,263.26800,滚动弹幕,25,0xffffff,0,515bf4cf,45706180787961859,一个比一个肝
56,206.14000,滚动弹幕,25,0xffffff,0,1894512f,45706008865538051,首席排面
57,352.80500,滚动弹幕,25,0xffffff,0,5ba22271,45705977789939715,熟悉的语调
58,522.32500,滚动弹幕,25,0xffffff,0,b629c45c,45705516108218373,下次一定
59,472.94000,滚动弹幕,25,0xffffff,0,b1d0ce0b,45703867484078083,看的人好想一键三连啊
60,46.94300,顶端弹幕,25,0x90c320,0,c6fb761d,45703290756792325,Minecraft!
61,39.63300,滚动弹幕,25,0xffffff,0,e7bc1c7a,45703225142149125,贱笑！！！
62,43.89300,滚动弹幕,25,0xffffff,0,a9fe51fe,45702529331232837,我玩了那么久没上都不知道可以这样子找到
63,132.54200,滚动弹幕,25,0xffffff,3,65515f79,45702208604340231,2
64,312.25600,滚动弹幕,25,0xffffff,0,4de6e193,45702032611868677,下次也不一定
65,208.17400,滚动弹幕,25,0xffffff,0,4de6e193,45701978069663751,千仞
66,313.38100,滚动弹幕,25,0xffffff,0,b3884572,45701941203304455,下次一定
67,66.14100,滚动弹幕,25,0xffffff,0,5845e208,45701929605005315,不光火，还好！视频质量高！
68,63.22100,滚动弹幕,25,0xffffff,0,2a60c36d,45701742814298117,用心是他们作者的共性
69,198.11000,滚动弹幕,25,0xffffff,0,25239a5f,45701693627170819,好牛
