,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,192.44000,顶端弹幕,25,0xfef102,0,e4495238,45580542475763719,此乃特级咒物——宿傩的脚趾
2,161.14000,顶端弹幕,25,0xfef102,0,410570ea,45578911250120707,藏 狐 打 人 未 遂
3,300.74300,顶端弹幕,25,0xfef102,0,eea712fd,45578168081842179,那你以后也叫娃娃鱼
4,0.91600,顶端弹幕,25,0xe70012,0,77cdd837,45577446737051655,大家见谅，up嘴是借的，急着还
5,288.11100,顶端弹幕,25,0xfef102,0,aff58d9e,45577093169283075,浴缸里放p的你
6,173.87600,滚动弹幕,25,0xffffff,0,ffbf649f,45576211398656003,子非螺，安知螺不爱玩胡萝卜
7,116.88300,顶端弹幕,25,0xfef102,0,e9f66c9f,45576024847548423,无  慈  悲
8,21.10300,顶端弹幕,25,0xfef102,0,ea973eb4,45575440788095045,藏狐幼体
9,124.94700,滚动弹幕,25,0xffffff,0,2424ef77,46695429189402631,我也没有
10,263.07800,滚动弹幕,25,0xffffff,0,2a0bcd74,46694689682751493,杨教授
11,221.78200,滚动弹幕,25,0xffffff,0,2a0bcd74,46694668157583365,养殖场
12,196.61500,滚动弹幕,25,0xffffff,0,2a0bcd74,46694654868455427,危
13,117.26800,滚动弹幕,25,0xffffff,0,2a0bcd74,46694611337347077,求 关 注
14,333.17900,顶端弹幕,25,0xe70012,0,52acc71b,46694241993228295,远古营销号
15,278.87700,顶端弹幕,25,0xe70012,0,52acc71b,46694184617246725,tm离谱
16,267.27700,顶端弹幕,25,0xe70012,0,52acc71b,46694164004339717,我在景区听过
17,228.76200,顶端弹幕,25,0xe70012,0,52acc71b,46694118368739333,真的会叫的
18,156.57900,顶端弹幕,25,0xe70012,0,52acc71b,46694035723124743,哈哈哈哈哈
19,129.61900,顶端弹幕,25,0xe70012,0,52acc71b,46694017682374661,《就是海豹》
20,117.57900,顶端弹幕,25,0xe70012,0,52acc71b,46694003343622151,漂亮
21,159.26200,滚动弹幕,25,0xffffff,0,1cfe27b7,46693602459910147,哈哈哈哈哈哈
22,41.72300,滚动弹幕,25,0xffffff,0,498c6b4d,46692860970926149,我裂开了
23,103.95900,滚动弹幕,25,0xffffff,0,e3ef52c0,46687671576166407,龙宫x
24,154.37100,滚动弹幕,25,0xffffff,0,6416ec4b,46681606221987847,哈哈哈哈哈哈哈
25,277.49200,滚动弹幕,25,0xffffff,0,bdcc6303,46680878644461575,。 e. a.m1.mt。。
26,34.73900,滚动弹幕,25,0xffffff,0,bdcc6303,46680604570288131, 啥他。啥
27,158.50500,滚动弹幕,25,0xffffff,0,d96f79dd,46679226522271751,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
28,155.80000,滚动弹幕,25,0xffffff,0,7fadb4db,46678581003681797,哈哈哈哈哈哈哈哈哈哈哈哈
29,177.71400,滚动弹幕,25,0xffffff,0,4fe36ce9,46678528009175045,千岁岁的眼睛
30,299.61600,滚动弹幕,25,0xffffff,0,5a88a4aa,46677481805578243,笑死
31,295.56300,滚动弹幕,25,0xffffff,0,5a88a4aa,46677479618248771,哈哈哈哈哈哈哈哈哈哈哈
32,287.25000,滚动弹幕,25,0xffffff,0,5a88a4aa,46677475333242885,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
33,155.99200,滚动弹幕,25,0xffffff,0,68df96ec,46676329265889287,像话吗像话吗像话吗
34,154.67200,滚动弹幕,25,0xffffff,0,68df96ec,46676324994514947, 像 话 吗
35,154.85700,滚动弹幕,25,0xffffff,0,68df96ec,46676317332570119,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
36,155.40300,滚动弹幕,25,0xffffff,0,842b0775,46675539560235013,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
37,156.11700,滚动弹幕,25,0xffffff,0,edb69369,46675406046101507,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
38,116.50300,滚动弹幕,25,0xfef102,0,7686f559,46675379231391751,《没有》
39,74.73900,滚动弹幕,25,0xffffff,0,edb69369,46675348952711175,所以能吃吗
40,81.95200,滚动弹幕,25,0xffffff,0,c58ffcea,46675316238712835,就想问能吃吗
41,162.67200,滚动弹幕,25,0xffffff,0,b315a8cd,46675083891048455,哈哈哈妈妈我好害怕刚刚有坏人要打我
42,286.47200,滚动弹幕,25,0xffffff,0,a221f9f9,46673970501517319,哈哈哈哈哈
43,79.39900,滚动弹幕,25,0xffffff,0,a221f9f9,46673841011294215,能吃吗
44,165.64600,滚动弹幕,25,0xffffff,0,8dd2dd0b,46673299719061509,憨憨
45,189.79400,滚动弹幕,25,0xffffff,0,7af6d510,46673294181531653,宿傩手指
46,189.30900,滚动弹幕,25,0xffffff,0,8700411,46672963309142019,哈哈哈哈哈哈这个bgm
47,108.96800,滚动弹幕,25,0xffffff,0,8700411,46672910622392325,哈哈哈哈哈哈
48,73.59000,滚动弹幕,25,0xffffff,0,5b80348,46671889048797191,能吃么
49,69.07900,滚动弹幕,25,0xffffff,0,5b80348,46671886859894789,我只想知道
50,199.45900,滚动弹幕,25,0xffffff,0,19588d63,46671822725840899,吓人
51,138.93500,滚动弹幕,25,0xfef102,0,14f03ef0,46670848368574467,九熙:？？？？
52,124.11100,滚动弹幕,25,0xffffff,0,526c77ae,46670010183057413,我也没有
53,82.81700,滚动弹幕,25,0xffffff,0,526c77ae,46669986791424003,生怕你不说关于吃方面
54,70.58600,滚动弹幕,25,0xffffff,0,7ce2e2,46668483477372931,能吃吗？
55,61.33600,滚动弹幕,25,0xffffff,0,bff56b8f,46668463255584773,所以是墩龙虾？
56,156.11700,滚动弹幕,25,0xffffff,0,f7eeb8de,46668059552251909,哈哈哈哈哈哈哈哈哈哈哈哈哈
57,119.80700,滚动弹幕,25,0xffffff,0,f7eeb8de,46668036378198023,哈哈哈哈哈哈哈哈
58,23.19000,滚动弹幕,25,0xffffff,0,f7eeb8de,46667983203336263,哈哈哈哈哈哈哈哈哈
59,159.91400,滚动弹幕,25,0xffffff,0,13430df2,46667755389714439,哈哈哈哈哈哈
60,75.43200,滚动弹幕,25,0xffffff,0,706232dd,46667498159341573,好吃吗
61,78.03400,滚动弹幕,25,0xffffff,0,78a2f8ef,46666961701044229,可以吃吗
62,71.56900,滚动弹幕,25,0xffffff,0,78a2f8ef,46666958175207429,可以吃吗
63,156.27700,滚动弹幕,25,0xffffff,0,5aeb0555,46666488899174403,哈哈哈哈哈哈哈哈哈哈哈
64,333.19900,顶端弹幕,25,0xe70012,0,612636b7,46665947179122695,也许大鲵并不是古人说的娃娃鱼
65,281.76700,滚动弹幕,25,0xffffff,0,612636b7,46665906409439235,哈哈
66,282.49300,滚动弹幕,25,0xffffff,0,2b0c97f6,46664895266029575,哈哈哈哈哈哈哈哈哈哈
67,162.91900,滚动弹幕,25,0xffffff,0,61288885,46663616401244163,哈哈哈哈哈哈哈哈哈哈
68,143.95800,滚动弹幕,25,0xffffff,0,2e040ff7,46663411630604295,这是要抓腾讯
69,66.00100,滚动弹幕,25,0xffffff,0,fb73f51c,46663103020007431,可以吃么 ？
70,29.81800,滚动弹幕,25,0xffffff,0,fb73f51c,46663084062277637,XDD?
71,310.02000,滚动弹幕,25,0xffffff,0,aae92f3a,46662773518630979,那你也是娃娃鱼
72,188.41000,滚动弹幕,25,0xffffff,0,5c45d941,46662653495476231,诶，是你吗宿傩老师
73,24.25000,滚动弹幕,25,0xffffff,0,5c45d941,46662539839799301,看荷花前面都是小亮
74,160.37000,滚动弹幕,25,0xffffff,0,c3e427e,46662246263685127,红红火火恍恍惚惚
75,85.03500,滚动弹幕,25,0xffffff,0,c3e427e,46662206768545795,哦，那算了
76,76.08800,滚动弹幕,25,0xffffff,0,c3e427e,46662202047332357,好吃吗
77,127.23900,滚动弹幕,25,0xffffff,0,e0a6f048,46661794336866309,你搁这搁这呢？
78,73.35800,滚动弹幕,25,0xffffff,0,f3b3a1c,46661129264431111,墩
79,285.91500,滚动弹幕,25,0xe70012,0,4452069e,46660468419854341,哈哈哈哈哈哈哈哈草
80,79.03300,滚动弹幕,25,0xffffff,0,c21d5d34,46659522937225219,那没事了
81,342.12000,滚动弹幕,25,0xffffff,0,2ad0a2a5,46658678010937349,真会叫 宰过 叫的那个凄惨 以后再不敢吃了
82,69.80900,滚动弹幕,25,0xffffff,0,73a1108a,46658359743479811,所以它好吃吗
83,204.60300,顶端弹幕,25,0xcd00,0,a4983c7d,46657582553628677,是不值一驳，还是无言回驳。
84,75.96900,滚动弹幕,25,0xffffff,0,6a0019b6,46657171547488259,就说好不好吃吧
85,281.23600,滚动弹幕,25,0xffffff,0,ecc3913d,46655670320627715,救命
86,164.52900,滚动弹幕,25,0xffffff,0,2d28fe00,46655606030860293,哈哈哈哈哈哈
87,118.46500,滚动弹幕,25,0xffffff,0,2fe0a0d6,46655511452450823,暂停了
88,82.05300,滚动弹幕,25,0xffffff,0,a874461c,46654922903519239,可以做饲料吗？给鱼吃？
89,141.34300,滚动弹幕,25,0xffffff,0,411be360,46654370282995719,抱王冰冰
90,160.29000,顶端弹幕,25,0xfef102,0,9ace5431,46654248765096003,口型：我超爱你马
91,133.00300,滚动弹幕,25,0xffffff,0,8d945208,46652427215044613,哈哈哈哈哈哈哈
92,69.15900,滚动弹幕,25,0xffffff,0,8d945208,46652393651699717,想吃
93,30.57300,滚动弹幕,25,0xffffff,0,fd28eb34,46650803600490503,蛋黄派？
94,27.47100,滚动弹幕,25,0xffffff,0,892262f4,46650264479334405,好帅
95,161.30300,滚动弹幕,25,0xffffff,0,f5f36e9,46649023627001861,哈哈哈哈哈哈
96,116.46500,滚动弹幕,25,0xffffff,0,f5f36e9,46649000124743683,哈哈哈哈
97,7.79300,滚动弹幕,25,0xffffff,0,28f5d667,46647042132410375,来了
98,107.99500,滚动弹幕,25,0xffffff,0,4a475d99,46646871359225861,你在教我做事啊
99,160.66800,滚动弹幕,25,0xffffff,0,3d0ca815,46633936206430213,哈哈哈哈哈哈哈哈哈
100,160.24000,滚动弹幕,25,0xffffff,0,e03567fc,46632956163260419,哈哈哈哈哈哈
101,165.79400,滚动弹幕,25,0xffffff,0,e03567fc,46632938915233795,哈哈哈哈哈哈
102,161.08000,滚动弹幕,25,0xffffff,0,246c1012,46632128718307331,哈哈哈哈哈哈哈哈哈
103,57.09600,滚动弹幕,25,0xffffff,0,957b07b1,46631847031996419,矮胖所以肉多吗
104,326.54500,滚动弹幕,25,0xffffff,0,2f01bcc4,46631265488601093,被古人骗了
105,161.04700,滚动弹幕,25,0xffffff,0,bb054173,46631057940283399,哈哈哈哈哈
106,239.50800,滚动弹幕,25,0xffffff,0,497574e6,46630653942824963,我做学徒的时候烧了那么多娃娃鱼。也没有听到他叫啊！
107,21.59900,滚动弹幕,25,0xffffff,0,5778891a,46630395310505987,南农！
108,105.09900,滚动弹幕,25,0xffffff,0,9d014f12,46629317134254087,1967年战天斗地的劳动成果，如今让你们装饰上了龙
109,166.83700,滚动弹幕,25,0xffffff,0,f4c9bd63,46629289505849349,哈哈哈哈哈哈哈
110,70.71900,滚动弹幕,25,0xffffff,0,dad84aa3,46628907590352899,你就告诉我好不好吃！
111,154.10500,滚动弹幕,25,0xffffff,0,6e039f86,46628752452485123,哈哈哈哈哈哈
112,124.65900,滚动弹幕,25,0xffffff,0,b9379d7,46628549006196739,终于找到了，看完这个找了好几天还想再看
113,333.73800,滚动弹幕,25,0xffffff,0,3aeb27f3,46628381915086855,我记得小时候看过一个纪录片还是什么的，有录下来娃娃鱼的叫声的
114,157.30200,滚动弹幕,25,0xffffff,0,83cca0f3,46628228316528647,哈哈哈哈哈哈哈哈哈哈哈哈哈
115,300.31300,滚动弹幕,25,0xffffff,0,5e017559,46627824317497347,成都动物园还有个柱子专门用来听大鲵叫声
116,22.24500,滚动弹幕,25,0xffffff,0,f56b4adc,46627205720571911,小叮当！
117,161.43900,滚动弹幕,25,0xffffff,0,103701be,46627188380270595,哈哈哈哈哈哈哈哈哈哈哈哈
118,155.67800,滚动弹幕,25,0xffffff,0,29e92a10,46627179654545413,哈哈哈哈哈哈哈哈
119,155.20100,滚动弹幕,25,0xffffff,0,631aa9ae,46626955430723591,哈哈哈哈哈哈哈哈
120,160.80100,滚动弹幕,25,0xffffff,0,15187069,46626248554184709,哈哈哈哈
121,52.54000,滚动弹幕,25,0xffffff,0,256db659,46625725617274885,吃！！！！！
122,161.64100,滚动弹幕,25,0xffffff,0,53b9ddd4,46625524910915591,哈哈哈
123,328.52800,顶端弹幕,25,0xe70012,0,e41b2b65,46624195649994757,水猴子
124,280.06100,滚动弹幕,25,0xffffff,0,e56d4809,46624143148843079,哈哈哈哈笑死
125,224.30800,顶端弹幕,25,0xe70012,0,e41b2b65,46624125983129603,双 胞 胎
126,155.95300,滚动弹幕,25,0xffffff,0,e56d4809,46624013306822661,爆笑如雷了哈哈哈哈
127,150.80400,滚动弹幕,25,0xffffff,0,e56d4809,46623988864516099,哈哈哈哈哈哈
128,144.52300,滚动弹幕,25,0xffffff,0,e56d4809,46623974728138755,企鹅那么可爱，为什么要吃鹅鹅
129,169.12300,滚动弹幕,25,0xffffff,0,dcf64d0d,46623699257786371,这个有点可爱啊
130,78.64000,滚动弹幕,25,0xffffff,0,f8ed72c6,46623625872670727,《死因就是浪催的》
131,89.90200,顶端弹幕,25,0xe70012,0,41cc8862,46623065862307843,CSGO 头号特训 神秘小镇(doge)
132,158.99200,滚动弹幕,25,0xffffff,0,b0a03029,46622488243732487,哈哈哈哈哈
133,148.95600,滚动弹幕,25,0xffffff,0,a395d9d0,46621741345144837,哈哈哈哈哈哈哈哈哈哈哈 阿婆主太搞笑了
134,157.62200,滚动弹幕,25,0xffffff,0,a1b3fb16,46620478743773189,这是啥呀没退一肉咕噜
135,120.93200,滚动弹幕,25,0xffffff,0,a1b3fb16,46620450269167623,你和全球不知道合作算了
136,76.87400,滚动弹幕,25,0xffffff,0,a1b3fb16,46620414407868423,浪的难受
137,191.08700,顶端弹幕,25,0xa0ea,0,9e21b7ec,46620248514232327,好像坏疽。。。
138,281.82700,滚动弹幕,25,0xffffff,0,f0000e44,46619940510760965,哈哈哈哈哈哈哈
139,161.40900,滚动弹幕,25,0xffffff,0,f0000e44,46619849784295427,哈哈哈哈哈哈哈
140,10.69100,滚动弹幕,25,0xffffff,0,475e50c5,46617900319506439,染了色的包菜
141,82.85500,滚动弹幕,25,0xffffff,0,9ca2874e,46617551256944643,好失望
142,314.43200,滚动弹幕,25,0xffffff,0,d147171e,46616761439617027,山海经不是食谱么？不是什么什么可食之么？
143,158.26900,滚动弹幕,25,0xffffff,0,e2dd6026,46616005693145093,哈哈哈哈哈哈哈哈哈哈哈哈
144,280.72700,滚动弹幕,25,0xffffff,0,9293841f,46615572498087943,哈哈哈哈哈哈哈哈
145,281.29800,滚动弹幕,25,0xffffff,0,7155d2a9,46615280175546375,哈哈哈哈哈
146,121.63000,滚动弹幕,25,0xffffff,0,3ff1881c,46614987195547655,哈哈哈哈
147,163.24300,滚动弹幕,25,0xffffff,0,58e063ba,46614368087965699,哈哈哈哈哈哈哈哈哈
148,137.27900,滚动弹幕,25,0xffffff,0,4f429cc2,46614064438181891,水猴子嘛
149,52.08000,滚动弹幕,25,0xffffff,0,456bc5ee,46613205959049221,我要去！！！！
150,284.30200,滚动弹幕,25,0xffffff,0,774a7d34,46612260158701571,？？
151,156.50800,滚动弹幕,25,0xffffff,0,1468534,46612168325988357,哈哈哈哈就啊哈哈
152,256.00500,滚动弹幕,25,0xffffff,0,f38d1472,46611654452969479,我听到过
153,313.01400,滚动弹幕,25,0xffffff,0,5328166b,46611195825225735,大鲵可以把手指头要断
154,261.91100,滚动弹幕,25,0xffffff,0,ca7c8e88,46610843766358021,走，走进科学？
155,22.63700,顶端弹幕,25,0xfef102,0,a8637551,46610047262785543,TM青涩
156,154.83500,滚动弹幕,25,0xffffff,0,b615c6e9,46609606056083463,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
157,167.51000,滚动弹幕,25,0xffffff,0,1190c83d,46609497087016967,哈哈哈哈哈
