,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,74.44800,顶端弹幕,25,0xfe0302,0,ad5ef760,44040283878850563,可以跳拉丁舞(doge)
2,137.29400,滚动弹幕,25,0xffffff,0,c0d7077f,46695224096849927,好了可以缠腰上了
3,95.91000,滚动弹幕,25,0xffffff,0,5ae2e740,46694459029585923,你是看不起我一厘米吗
4,60.49900,滚动弹幕,25,0xffffff,0,5ae2e740,46694431450988547,看看你的
5,4.53900,滚动弹幕,25,0xffffff,0,57c7c88c,46694146839150597,我有个朋友。。。
6,83.26800,滚动弹幕,25,0xffffff,0,9bd6f196,46693290565697539,拉丁舞
7,50.13300,滚动弹幕,25,0xffffff,0,9bd6f196,46693270937403399,对的
8,106.55600,滚动弹幕,25,0xffffff,0,220f6204,46692067000188933,一步到胃
9,32.82900,滚动弹幕,25,0xffffff,0,220f6204,46692011602345989,卧槽
10,109.38500,滚动弹幕,25,0xffffff,0,55aa15fa,46691411299926023,我不怕
11,55.38400,滚动弹幕,25,0xffffff,0,55aa15fa,46691382899245061,对不起，我拉低了
12,132.23100,滚动弹幕,25,0xffffff,0,956619bc,46690795417763845,懂了
13,125.36900,滚动弹幕,25,0xffffff,0,c2f6f230,46686348642353155,没救了埋了吧
14,75.31800,滚动弹幕,25,0xffffff,0,451fb663,46684550515392519,减肥
15,40.80100,滚动弹幕,25,0xffffff,0,b027a4e7,46663673515081731,正好过线
16,75.14100,滚动弹幕,25,0xffffff,0,ef53bcd4,46654667614060549,这就减肥
17,36.63000,滚动弹幕,25,0xffffff,0,ba59e02b,46652251493105671,哇
18,12.77000,滚动弹幕,25,0xffffff,0,e18d0b64,46649983117557767,我有个朋友叫吴中生
19,128.55300,底端弹幕,25,0xe70012,0,ac6d5da8,46649963683250183,谢谢宁
20,83.78300,顶端弹幕,25,0xfe0302,0,2ef1424c,46649874533842949,《拉丁舞》
21,138.37700,滚动弹幕,25,0xffffff,0,2136a7ff,46647598991278087,灭绝师太
22,85.54900,滚动弹幕,25,0xffffff,0,2136a7ff,46647556367712327,头悬梁了解一下
23,100.83500,滚动弹幕,25,0xffffff,0,8fcac0c7,46647112057225221,扯淡
24,105.36800,滚动弹幕,25,0xffffff,0,d49c1dcb,46646558627201027,啊啊啊啊啊
25,105.79900,滚动弹幕,25,0xffffff,0,be501612,46646496669990917,5CM极佳？
26,33.69900,滚动弹幕,25,0xffffff,0,be501612,46646450873434119,？！痿着12cm？
27,17.46600,滚动弹幕,25,0xffffff,0,819612f5,46646430556749829,明显增长的播放量
28,140.00000,滚动弹幕,25,0xffffff,0,7ee1a465,46646318476558339,哈哈哈
29,77.26700,滚动弹幕,25,0xffffff,0,7ee1a465,46646283699486723,哈哈哈哈哈哈哈哈哈哈
30,24.26600,滚动弹幕,25,0xffffff,0,7ee1a465,46646256048537607,哈哈哈哈哈哈哈哈
31,8.26700,滚动弹幕,25,0xffffff,0,7ee1a465,46646247565033479,如何抓壮丁
32,14.28800,滚动弹幕,25,0xffffff,0,3de6c02d,46644713806102531,来学习
33,39.21900,滚动弹幕,25,0xffffff,0,7308245e,46644105413394437,疲软12？？？我疲软7充能14。。。
34,39.52900,滚动弹幕,25,0xffffff,0,6af7aca1,46633762531835907,盈余2cm
35,17.11400,滚动弹幕,25,0xffffff,0,5364c849,46632854520594437,来上课了！！！
36,39.82200,滚动弹幕,25,0xffffff,0,ab009684,46632667180957701,及格了及格了
37,91.51900,滚动弹幕,25,0xffffff,0,c190934b,46618346584014851,拉丁舞的夺笋呐
38,33.53200,滚动弹幕,25,0xffffff,0,71708e3f,46612683132764165,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
39,17.43200,滚动弹幕,25,0xffffff,0,3c667d44,46609954812985347,我有个朋友也
40,45.55200,滚动弹幕,25,0xffffff,0,e865c9be,46569719445585923,我一直以为都是直的
41,102.06700,滚动弹幕,25,0xffffff,0,ab13a326,46568214218932227,搁着捣药呢？
42,94.12700,滚动弹幕,25,0xffffff,0,ab13a326,46568194017591303,G点
43,35.25900,滚动弹幕,25,0xffffff,0,dfe895c8,46530123599446019,好家伙我特意找了把尺子
44,50.70000,滚动弹幕,25,0xffffff,0,273c9e76,46519378088296455,我是直的
45,110.39400,顶端弹幕,25,0xfe0302,0,e825cbe5,46495328224411655,oh～come♂
46,110.74000,滚动弹幕,25,0xfef102,0,a3f4aa16,46487888970383363,我朋友他.....算了
47,3.73200,滚动弹幕,25,0xfef102,0,a3f4aa16,46487825993957379,我有个朋友
48,16.89900,滚动弹幕,25,0xffffff,0,d0a03c2c,46485642273619971,帮我男闺蜜……
49,63.80400,滚动弹幕,25,0xffffff,0,a262b9ab,46477457757831171,别我国数据了，把黑人白人也加进去吧​
50,139.09900,滚动弹幕,25,0xffffff,0,5119f2ee,46449010409472005,？？！？！！？？？？
51,101.88100,滚动弹幕,25,0xffffff,0,5119f2ee,46448987913846791,意思是3厘米刚好
52,32.64100,滚动弹幕,25,0xffffff,0,5119f2ee,46448935232339973,3.5过分了
53,32.33000,滚动弹幕,25,0xffffff,0,58c6eb31,46431322893189123,3.5卧槽
54,4.27000,滚动弹幕,25,0xffffff,0,b0eba156,46394682097270789,我替智伟看看
55,48.74900,滚动弹幕,25,0xffffff,0,c82bea9c,46382980857856007,平均之上
56,88.99200,滚动弹幕,25,0xffffff,0,d8624c5c,46363195614953475,再也无法直视拉丁舞了
57,94.95300,滚动弹幕,25,0xffffff,0,3ceb30db,46311686401949767,小智放心了
58,21.34100,滚动弹幕,25,0xffffff,0,ef77f186,46300282938720259,我替张晨进来看看
59,16.97300,滚动弹幕,25,0xffffff,0,29ca61f4,46297945622970375,我替我兄弟看的哈哈哈真的
60,13.96100,滚动弹幕,25,0xffffff,0,1411b6bf,46297658476724227,我来帮我室友看一下
61,107.26900,滚动弹幕,25,0xffffff,0,438b7f3,46271239843479557,有点吓人
62,116.05900,滚动弹幕,25,0xffffff,0,dd6af51f,46265848649220099,卧槽
63,37.85900,滚动弹幕,25,0xe70012,0,7cf5a9ff,46264955127201795,请问怎么统计出来的
64,14.42000,滚动弹幕,25,0xffffff,0,6df98c48,46250287995289605,再也不能直视这俩成语了
65,72.00600,顶端弹幕,25,0xfef102,0,af05fbe8,46247299403743239,哈哈哈哈哈哈
66,85.73800,滚动弹幕,25,0xffffff,0,8c14b251,46229202023219207,哈哈哈哈哈哈哈哈哈哈哈哈哈
67,115.42800,滚动弹幕,25,0xffffff,0,823f2c8a,46218711903240195,3厘米够了
68,10.83600,滚动弹幕,25,0xe70012,0,cb384c2d,46215449076563975,我帮梅嘉麒看看
69,139.34900,滚动弹幕,25,0xffffff,0,6993fa3e,46214068926152707,吓人
70,32.69900,滚动弹幕,25,0xffffff,0,3958d5d2,46202724909842437,3.5?
71,32.29000,滚动弹幕,25,0xffffff,0,49647ff,46173767414579205,3.5？？
72,106.10200,滚动弹幕,25,0xffffff,0,ee073707,46157186807103493,我靠
73,80.06900,滚动弹幕,25,0xffffff,0,7a2e69e3,46130342166265859,啊这。。
74,89.33900,滚动弹幕,25,0xfef102,0,28bb41ea,46125588379860995,拉      丁      文
75,88.85900,底端弹幕,25,0xfef102,0,28bb41ea,46125577956491269,拉      丁      文
76,138.39800,滚动弹幕,25,0xffffff,0,b4c6fc6c,46116959415173123,哈哈哈哈哈哈哈哈哈哈或或或或
77,6.49800,滚动弹幕,25,0xffffff,0,b4c6fc6c,46116890233274373,ohhhhh？
78,41.65600,滚动弹幕,25,0xffffff,0,cf4da956,46106074008256519,卧槽
79,120.37100,滚动弹幕,25,0xffffff,0,9419189c,46102732668928005,♂
80,39.88000,滚动弹幕,25,0xffffff,0,9014c47b,46101206166142983,12牛批
81,27.13800,滚动弹幕,25,0xffffff,0,9014c47b,46101199469412357,替朋友问的
82,108.00900,滚动弹幕,25,0xffffff,0,9cc597fc,46063816069349383,好疼…
83,38.69300,滚动弹幕,25,0xffffff,0,58a681ff,46047616580976645,我去
84,108.50000,滚动弹幕,25,0xffffff,0,2aa3348,46018889005400067,好家伙
85,20.66500,滚动弹幕,25,0xffffff,0,481e71b5,46016055436378117,13.8是不是有点短？
86,113.16900,滚动弹幕,25,0xffffff,0,c4eb443f,46013645489438725,楚晚宁到底是怎么撑下来的（手动狗头
87,76.53900,滚动弹幕,25,0xffffff,0,8f4586ac,45995171372335111,前男友 说错了
88,56.16500,滚动弹幕,25,0xffffff,0,8f4586ac,45995155944112131,我男友才5哭了
89,32.80700,滚动弹幕,25,0x9843,0,3e7df984,45981773600915461,我有个朋友叫赵新宇 他让我帮他看一下
90,105.72100,滚动弹幕,25,0xffffff,0,738946f2,45942150428884997,嘶好恐怖
91,57.63900,滚动弹幕,25,0xffffff,0,651741fb,45920227863560199,疼
92,90.80200,滚动弹幕,25,0xe70012,0,567668b9,45918478767489031,废话这是科普，难道瞎编啊
93,135.08300,滚动弹幕,25,0xffffff,0,4518c71e,45893066406494211,好疼
94,32.54600,滚动弹幕,25,0xffffff,0,4518c71e,45892659088195591,12？？？卧槽
95,36.11600,顶端弹幕,25,0xffff00,0,668bac7d,45884427398021127,我7cm看来是正常的
96,6.61900,滚动弹幕,25,0xf0ab2a,0,6a56718b,45873902762590211,欢迎收看无中生友系列
