,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,103.54900,顶端弹幕,25,0xe70012,0,e5c5f49c,43722814888345607,这个动图就离谱
2,113.26000,滚动弹幕,25,0xffffff,0,15f63d82,45859383358783495,洛阳铲
3,122.53900,滚动弹幕,25,0xffffff,0,2bf49cfe,45728722903891971,看表情
4,105.27900,滚动弹幕,25,0xffffff,0,2bf49cfe,45728705279426565,还反复插我去
5,100.57900,滚动弹幕,25,0xffffff,0,2bf49cfe,45728698624114691,我擦嘞
6,46.23900,滚动弹幕,25,0xffffff,0,2bf49cfe,45728667615625219,真·不过
7,33.55900,滚动弹幕,25,0xffffff,0,2bf49cfe,45728642086469637,oh我的天
8,102.63000,顶端弹幕,25,0xe70012,0,b8521cdb,45440442901725191,嘶...
9,46.99300,顶端弹幕,25,0xe70012,0,b8521cdb,45440408332271621,《不过》
10,33.29700,顶端弹幕,25,0xe70012,0,b8521cdb,45440395047862275,嘶——
11,14.22700,顶端弹幕,25,0xe70012,0,b8521cdb,45440377603751941,我开始痛了
12,12.94700,顶端弹幕,25,0xe70012,0,b8521cdb,45440371291848711,可 以 会
13,105.35000,滚动弹幕,25,0xffffff,0,830b4502,45421224380071939,你赶紧给我停! 还来个进出式，嫌我不够疼吗？！
14,110.00400,滚动弹幕,25,0xffffff,0,dd5e8c45,45266190696185861,啊啊啊
15,84.03000,滚动弹幕,25,0xffffff,0,40da89de,45197735223099397,我奇怪的dna也开始跟着疼了
16,11.80700,滚动弹幕,25,0xffffff,0,2a167f69,45169358095253507,想过
17,9.89900,滚动弹幕,25,0xffffff,0,d048569d,45134468798218243,多年来的疑惑
18,49.29800,滚动弹幕,25,0xffffff,0,184a87db,44948560728293381,不过
19,6.65200,滚动弹幕,25,0xffffff,0,184a87db,44948538379468805,想过
20,122.00200,滚动弹幕,25,0xffffff,0,dc3b16f5,44948246465871875,取卵好像就是这种针……
21,118.43300,滚动弹幕,25,0xffffff,0,f6e0a071,44943513379930117,看这视频感觉真疼，腿都软了
22,99.37000,滚动弹幕,25,0xffffff,0,48b37a0d,44943358331191301,开始疼了
23,105.79200,滚动弹幕,25,0xffffff,0,5ac4ab0,44942308679876613,谢谢鸡皮已经起来了
24,23.03300,滚动弹幕,25,0xffffff,0,3c9efc04,44940877633683461,我已经开始疼了
25,7.35700,滚动弹幕,25,0xffffff,0,59958dc0,44939011981574147,想过
26,123.83900,滚动弹幕,25,0xffffff,0,e808be1f,44934236408381443,容嬷嬷无比狂欢
27,8.08700,滚动弹幕,25,0xffffff,0,25d2ef0e,44923248106274821,对对对
28,114.88200,滚动弹幕,25,0xffffff,0,403a28ba,44915636530315269,疼死了
29,80.43900,滚动弹幕,25,0xffffff,0,3bc98664,44910001033052163,感觉疼了
30,96.64300,滚动弹幕,25,0xffffff,0,96524bbd,44909231013888007,痛痛痛！！！
31,6.53900,滚动弹幕,25,0xffffff,0,8d32acf4,44899071598526467,没打过针
32,78.59400,滚动弹幕,25,0xffffff,0,10047da7,44898780443574277,疼
33,45.53000,滚动弹幕,25,0xffffff,0,10047da7,44898763131060231,痛
34,54.06100,滚动弹幕,25,0xffffff,0,5f107754,44888724129447939,抽血的针管呢
35,101.35900,滚动弹幕,25,0xffffff,0,5a799eef,44883774098898947,啊啊啊啊啊啊不要过来啊
36,105.84600,滚动弹幕,25,0xffffff,0,b7807d9b,44877707196497927,好疼好疼
37,112.81100,滚动弹幕,25,0xffffff,0,a645c39d,44867452997206023,肾穿针
38,111.49500,顶端弹幕,25,0xe70012,0,5785a80a,44865146752335875,通俗点说，这种就是是取卵或者吸脂时会用到的针头
39,25.16000,滚动弹幕,25,0xffffff,0,19160c3e,44863578111475719,皮试不疼啊，没感觉
40,16.85300,滚动弹幕,25,0xffffff,0,f224be88,44862937742966791,想过不止四五次
41,17.14200,滚动弹幕,25,0xffffff,0,e81acfc6,44861182709858309,是的 我想过！
42,108.03800,滚动弹幕,25,0xe70012,0,1b5d5e0a,44858651078819909,我已经在痛了
43,87.18800,顶端弹幕,25,0xe70012,0,74e24ea3,44856637061070855,我屁股好像被扎了～
44,18.73000,滚动弹幕,25,0xffffff,0,97a76ad3,44854680429789191,想过
45,3.98900,滚动弹幕,25,0xffffff,0,a4f8763,44853216462503941,我每次打针都想过这个问题
46,118.97900,滚动弹幕,25,0xffffff,0,6e3f9ab,44852497787387909,啊啊啊啊啊啊啊啊
47,15.49900,滚动弹幕,25,0xffffff,0,380d5580,44852252323610631,《一般》
48,133.00000,滚动弹幕,25,0xffffff,0,249efd9b,44850908021391367,亲身实践，普通针管肉也会塞到针管里
49,32.48200,滚动弹幕,25,0xffffff,0,79cfe4b7,44849927477002247,为什么看画面会觉得疼
50,61.09900,滚动弹幕,25,0xffffff,0,4615b4ff,44844827825143811,看着都痛
51,41.86600,滚动弹幕,25,0xffffff,0,3e1fd583,44841939449151493,注射液体的压强
52,99.31900,滚动弹幕,25,0xffffff,0,b1f08eb,44835275957862407,左臂开始痛了
53,89.13900,滚动弹幕,25,0xffffff,0,b1475a8,44824885400174599,好痛啊
