,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,9.14500,顶端弹幕,25,0xe70012,0,23712eab,43448783271362567,山：我看你像个臭臭
2,293.94400,顶端弹幕,25,0xfe0302,0,9f5897be,43301230760427527,铁   扇   公   主
3,229.69400,顶端弹幕,25,0xfe0302,0,6d98d99,43224639798247431,平 型 关 大 捷
4,147.42600,顶端弹幕,25,0xfef102,0,22f3f77b,43214711328079875,被愤怒的小鸟砸出来的
5,237.74200,顶端弹幕,25,0x9843,0,83d0efe,43177705692200963,《酒猴子》
6,275.72700,顶端弹幕,25,0xffffff,0,26bd0667,43169571813195781,《人没有吃这个的》
7,110.79300,顶端弹幕,25,0xffffff,0,8cb569f3,43169561379864581,蜘蛛：哎
8,57.42100,顶端弹幕,25,0xffffff,0,a3854510,43169446092603399,转  瞬  即  逝
9,233.33400,滚动弹幕,25,0xffffff,0,af2c3791,46678573532577795,猴子有枪??
10,34.81900,滚动弹幕,25,0xffffff,0,6e41f88a,46667072105611269,555很多年没得吃到了
11,248.09900,滚动弹幕,25,0xffffff,0,5197632f,46663656681766917,我也以为是猴拿枪
12,37.54600,滚动弹幕,25,0xffffff,0,5197632f,46663544239816707,哈哈哈哈哈哈哈哈哈哈
13,191.32600,滚动弹幕,25,0xffffff,0,a78d563e,46659547632762887,那我有发炎的痘痘应该怕吗
14,113.29100,滚动弹幕,25,0xffffff,0,28a7f62d,46656207368224775,哈哈哈哈哈哈哈哈哈哈
15,195.60100,滚动弹幕,25,0xffffff,0,f04ab516,46655718412517379,Neng岗黑叶水猴子
16,216.45900,滚动弹幕,25,0xffffff,0,d87f15d7,46653100096749575,这口音我可太熟悉了好亲切
17,37.77800,滚动弹幕,25,0xffffff,0,fa74f4ff,46651167107186695,？？？
18,43.75900,滚动弹幕,25,0xffffff,0,8539a90e,46635509629321223,哈哈哈哈 小时候经历过
19,57.98500,顶端弹幕,25,0xe70012,0,1dbf6f78,46633189079777287,稍  纵  即  逝
20,38.93400,滚动弹幕,25,0xffffff,0,1dbf6f78,46633162760519683,触目惊心哈哈哈哈哈哈哈哈哈哈
21,74.40800,滚动弹幕,25,0xffffff,0,dc7387a1,46630202148651013,走近科学
22,115.21900,顶端弹幕,25,0x927939,0,ddd68c4d,46611345160798211,长纺蛛：注意素质嗷！
23,29.60400,滚动弹幕,25,0xffffff,0,2f3edc10,46606921524838403,桃舅娘
24,85.27100,滚动弹幕,25,0xffffff,0,b77520a9,46587189662842887,iPhone吧
25,14.45100,滚动弹幕,25,0xffffff,0,b77520a9,46587141069733893,广州的也去钻过溶洞
26,185.74500,滚动弹幕,25,0xffffff,0,3c3b0edc,46579116629032963,我们这儿都是放在植物园里围起来的
27,324.54700,滚动弹幕,25,0xffffff,0,7d6bc267,46568110448705541,聪明
28,156.46300,滚动弹幕,25,0xffffff,0,7d6bc267,46568021752807431,哈哈哈哈哈
29,40.76900,滚动弹幕,25,0xffffff,0,fc36441e,46564070191005703,……
30,227.69900,滚动弹幕,25,0xfef102,0,fc0ea2c,46539636395737095,哈哈哈哈
31,25.16300,顶端弹幕,25,0xfef102,0,fc0ea2c,46539528598978563,是真好吃！！
32,13.33900,顶端弹幕,25,0xfef102,0,fc0ea2c,46539519043305477,是的，很多孤峰上都有洞穴
33,47.74100,滚动弹幕,25,0xffffff,0,fc5d3808,46532688413196295,青竹啊 鱼生好吃
34,143.67100,滚动弹幕,25,0xffffff,0,2497ca3a,46530864458760197,崇左可是糖都！
35,260.71900,顶端弹幕,25,0xfef102,0,b1ee8938,46530814698061827,胃病患者的噩梦
36,18.33900,滚动弹幕,25,0xffffff,0,2497ca3a,46530798633353219,来啦来啦
37,72.85900,顶端弹幕,25,0xfef102,0,b1ee8938,46530420629569541,没有产生丁达尔效应（
38,302.18100,滚动弹幕,25,0xffffff,0,d683cf58,46529362810896387,摸了手痒的
39,38.94900,滚动弹幕,25,0xffffff,0,d683cf58,46529243901853699,普外科曾医生
40,16.25900,滚动弹幕,25,0xffffff,0,8f088ace,46526184881651719,那啥本地人表示钻      完就七匹狼
41,24.77700,滚动弹幕,25,0xffffff,0,6e56a143,46525790569889797,馋了
42,171.90400,滚动弹幕,25,0xffffff,0,a04b70c0,46523876304748551,广西有个叫弄逼的地区
43,40.82400,滚动弹幕,25,0xfef102,0,3fabc8f9,46523140959895559,害怕
44,148.63800,滚动弹幕,25,0xffffff,0,df10b98f,46486141177167877,这个薏苡，湖南好像有，我小时候串过珠子
45,60.06800,滚动弹幕,25,0xffffff,0,d7029629,46482057780002821,还好哈哈哈
46,305.78000,滚动弹幕,25,0xffffff,0,ac91e8fd,46478885010800647,我们生物考过这个
47,62.64200,滚动弹幕,25,0xffffff,0,208c9da6,46448500646346757,？？？？？
48,40.31600,顶端弹幕,25,0xe70012,0,b2cc5a5a,46446560696336387,我在吃饭！
