,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,166.10900,顶端弹幕,25,0xfef102,0,7b090722,44124780099010563,国家：…看来有必要加强一下教育了
2,228.13300,顶端弹幕,25,0xe70012,0,65138b29,43930233729449987,《 拽 下 去 》
3,117.45600,顶端弹幕,25,0xe70012,0,a88b54a6,43890709380464647,《 生 物 鉴 定 》
4,0.55000,顶端弹幕,25,0xffd302,0,74a32af3,43767954338742275,鉴定一下网络热传生物柿饼
5,235.53800,滚动弹幕,25,0xffffff,0,6440b889,43725381540249607,大鱼：被小孩淹没，不知所措。
6,48.32700,顶端弹幕,25,0xe70012,0,7e455955,43701430449602567,抖 音 的 专 家 学 者
7,334.69100,滚动弹幕,25,0xfe0302,0,b0a58735,43673261990477829,下回攒够一波水猴子，再给大家介绍网络热门生物
8,175.98200,顶端弹幕,25,0xfef102,0,6e4a6102,43657942032973829,哟，这不摇摆羊吗
9,23.92100,滚动弹幕,25,0xffffff,0,b4f5aa5b,46695526542344199,顶针啥都有……
10,130.72600,滚动弹幕,25,0xffffff,0,2a0bcd74,46695460841717763,火箭云
11,179.59600,顶端弹幕,25,0xe70012,0,52acc71b,46694929567055879,枯叶螳螂
12,92.70200,滚动弹幕,25,0xffffff,0,52acc71b,46694869638316037,见过
13,238.66900,滚动弹幕,25,0xffffff,0,70487141,46694591170609159,好吓人
14,92.18500,滚动弹幕,25,0xffffff,0,9f5fead6,46679329492959235,！！！！！！！！野菟子（方言）！我终于找到你了！
15,160.41400,滚动弹幕,25,0xa0ea,0,44afc5f1,46673772513067011,青海人没见过
16,193.40800,滚动弹幕,25,0xffffff,0,8700411,46673686124036103,长相奇特
17,114.87600,滚动弹幕,25,0xffffff,0,9c85a151,46671820970000389,我死了
18,191.37500,底端弹幕,25,0xffffff,0,63d3050e,46671770859077639,完了，作者不是人
19,262.07600,顶端弹幕,25,0xffffff,0,77fc0eda,46666874276544515,你说的这个人鱼，他美吗
20,182.62900,顶端弹幕,25,0xffffff,0,77fc0eda,46666822326419461,这就算是真第一次见也能说出小提琴螳螂五个字吧哈哈哈哈哈哈哈
21,221.33000,顶端弹幕,25,0xe70012,0,12763950,46666700105973767,黑鱼也这样，但幼鱼是黑色的
22,254.71900,滚动弹幕,25,0xffffff,0,16d1fb2e,46662809961889797,跨国鉴定
23,122.26400,滚动弹幕,25,0xe70012,0,9b24a120,46662695091961861,快醒醒，宇宙超人
24,287.23800,滚动弹幕,25,0xffffff,0,29a96fff,46661329249370115,笑死
25,60.97100,滚动弹幕,25,0xffffff,0,b3d0d432,46658395255078919,尺蠖
26,35.43500,滚动弹幕,25,0xffffff,0,b3d0d432,46658381592133635,丁假
27,36.04100,滚动弹幕,25,0xffffff,0,d338b1d4,46651967395070021,你再打？
28,33.16600,滚动弹幕,25,0xffffff,0,55ab20cb,46650905168707587,对他使用炎拳吧
29,33.36200,顶端弹幕,25,0xe70012,0,1dbf6f78,46634524238413831,哎呦喂介藏狐又打人了嘿！
30,301.34700,顶端弹幕,25,0xe70012,0,4997b740,46631798212395013,这都是一些伪记录片或是电影片段，就忽悠人的
31,80.01600,滚动弹幕,25,0xffffff,0,3149db2b,46625653357281283,有话好好说怎么源氏还拔刀呢
32,172.87100,滚动弹幕,25,0xffffff,0,dab34f18,46623934416683011,厉害了，孤陋寡闻，不知道进步啊
33,138.46200,底端弹幕,25,0xe70012,0,1ea069c5,46622544521330695,我认识！他是沙福林！！！！
34,181.44900,滚动弹幕,25,0x9843,0,bb2b7fe8,46622386052661255,影流之主
35,95.39800,滚动弹幕,25,0xffffff,0,5bc8f8de,46621279126028291,好美
36,55.50800,滚动弹幕,25,0xffffff,0,5bc8f8de,46621234074484741,见过这个
37,31.71200,滚动弹幕,25,0xffffff,0,3f60ceba,46618546074550279,好开
38,331.79500,滚动弹幕,25,0xffffff,0,9293841f,46616449221394437,哈哈哈哈哈哈哈哈
39,65.77500,滚动弹幕,25,0xffffff,0,9293841f,46616192024576003,哈哈哈哈哈哈哈哈哈哈
40,264.22200,滚动弹幕,25,0xffffff,0,b441ce33,46615277405732871,亚得里亚海的黎明
41,39.65400,滚动弹幕,25,0xffffff,0,972373d0,46612308647477251,是喇叭芽
42,250.73200,滚动弹幕,25,0xffffff,0,6f85fc15,46610652918185991,浪费能量（
43,178.49100,滚动弹幕,25,0xffffff,0,92858b49,46608825965871111,哈哈哈哈
44,58.00200,顶端弹幕,25,0xe70012,0,1e688f86,46604612093345799,我一直以为是我橡皮擦屑屑动了
45,76.46200,滚动弹幕,25,0xffffff,0,40ad35ff,46599454491410435,小亮
46,292.14300,滚动弹幕,25,0xffffff,0,53d481f4,46590329323782151,深  潜  者
47,267.15400,滚动弹幕,25,0xffffff,0,24b413a5,46588958727471109,水猴子时间
48,62.50300,滚动弹幕,25,0xffffff,0,9a3dae9,46587499145330691,这我们叫扎扎虫，就手比一扎那种
49,49.91400,滚动弹幕,25,0xffffff,0,33da6cf4,46587462423674885,哈哈哈哈哈哈哈哈哈杀人诛心
50,187.74400,滚动弹幕,25,0xffffff,0,99db3687,46578904440242183,鬼
51,226.17600,滚动弹幕,25,0xffffff,0,9b11e3f5,46578761411330051,是天照，红色的天照
52,252.31000,滚动弹幕,25,0xa0ea,0,183411e3,46578750666571783,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
53,217.25600,滚动弹幕,25,0xffffff,0,9b11e3f5,46578742561603589,郑爽因语言过激被踢出直播间
54,160.10000,滚动弹幕,25,0xa0ea,0,183411e3,46578687436390403,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
55,127.69600,滚动弹幕,25,0xffffff,0,9b11e3f5,46578686876450819,明白了，是沙福林大人
56,102.86000,滚动弹幕,25,0xa0ea,0,183411e3,46578656001654791,成虫好好看
57,20.62800,滚动弹幕,25,0xffffff,0,aeb7128c,46575515614576645,死人顶针
58,103.98300,滚动弹幕,25,0xffffff,0,10e5dda,46566473260859395,好看
59,169.02500,滚动弹幕,25,0xffffff,0,b0087f22,46565485329776643, 正 道 的 光
60,13.13000,滚动弹幕,25,0xffffff,0,b924eb49,46551898570358787,他
61,1.50700,滚动弹幕,25,0xffffff,0,b924eb49,46551893226291207,t
62,140.06800,滚动弹幕,25,0xffffff,0,201e5662,46539426249048067,初代
63,328.26100,滚动弹幕,25,0xffffff,0,6ad68046,46539326469701637,我们大连露脸了
64,154.16000,滚动弹幕,25,0xffffff,0,2998de7d,46539318116745221,星际穿越震怒
65,266.98500,滚动弹幕,25,0xffffff,0,7ba5b8c3,46534005019901959,噗哈哈哈哈哈哈哈哈嗝
