,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,106.96900,顶端弹幕,25,0xf0ab2a,0,49c5f5cd,43710712156520453,突然失去笑容
2,310.33900,顶端弹幕,25,0xffffff,0,3a2db921,43664490751328259,《不太合法》
3,36.56800,顶端弹幕,25,0xe70012,0,f81faa92,43309452732923909,我要偷偷开花，然后惊艳所有人（doge）
4,22.78500,顶端弹幕,25,0xffffff,0,445af01d,43307609762037765,腋来香
5,172.29200,顶端弹幕,25,0xfef102,0,56ac4fe7,43277802327769095,好家伙，两模两样啊
6,189.90500,顶端弹幕,25,0xe70012,0,b437a4bb,43276552992980995,草  船  借  箭
7,236.98200,滚动弹幕,25,0xfef102,0,2df5e18b,43260700387180549,是有组织的闯入
8,74.69300,滚动弹幕,25,0xffffff,0,9ef28e1d,43259709252173827,头发稀少但分叉严重？
9,116.88500,滚动弹幕,25,0xffffff,0,30e9d9c1,46694613038661635,没开弹幕之前还以为就我一人吓一激灵
10,206.19600,滚动弹幕,25,0xffffff,0,649d5a3b,46683683218784263,突然恶臭
11,207.46800,滚动弹幕,25,0xffffff,0,68df96ec,46678297777012743,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
12,315.74200,滚动弹幕,25,0xffffff,0,6bf262d5,46672484123541511,我记得初中生物应该学过吧
13,359.80600,滚动弹幕,25,0xffffff,0,cbb7905c,46669884637052933,拜登
14,266.87000,滚动弹幕,25,0xffffff,0,97c9f7d4,46666185479028743,小时候我外婆家多的是
15,259.19900,滚动弹幕,25,0xffffff,0,ae355567,46663909529092101,之前去黔西南自驾看到了
16,128.46900,滚动弹幕,25,0xffffff,0,5679b836,46659879710490629,nach  吓死我了
17,265.95400,滚动弹幕,25,0xffffff,0,3bfaf7ca,46658773409857539,不是蕨菜吗
18,194.45200,滚动弹幕,25,0xffffff,0,3bfaf7ca,46658735888138245,我家这边也有
19,64.44700,滚动弹幕,25,0xffffff,0,3bfaf7ca,46658667762679815,西米！
20,87.45700,滚动弹幕,25,0xffffff,0,9de8e668,46656859984625671,这个小时候经常看见，现在好像都没有了
21,148.00200,滚动弹幕,25,0xffffff,0,f04ab516,46655899685617669,藤本树笑死
22,120.97900,滚动弹幕,25,0xffffff,0,37b3ba3d,46651524932698117,滋儿哇滋儿哇
23,114.03900,滚动弹幕,25,0xffffff,0,fe7cb4c6,46641487366062087,一激灵
24,363.60500,滚动弹幕,25,0xffffff,0,1dbf6f78,46633689117360133,？？？
25,20.20600,滚动弹幕,25,0xffffff,0,9074aa4a,46631562314252293,哇 居然来弄岗了
26,159.44700,滚动弹幕,25,0xffffff,0,dc7387a1,46630044394061829,四不像
27,24.37600,滚动弹幕,25,0xffffff,0,dc7387a1,46629939036291079,油饼？
28,122.16800,滚动弹幕,25,0xffffff,0,d934dcd4,46627584021102599,滋儿哇
29,146.42300,滚动弹幕,25,0xffffff,0,cd8399ea,46625104342286343,藤杀
30,308.74300,滚动弹幕,25,0xffffff,0,44bd1b7c,46623997518938117,侏罗纪的古物
31,127.58600,滚动弹幕,25,0xffffff,0,b2959868,46622667661377539,淦
32,291.29400,滚动弹幕,25,0xffffff,0,f0000e44,46621226275176455,我咋没看过！！！
33,115.43900,滚动弹幕,25,0xffffff,0,9a3dae9,46587714579988487,你拿远点！！！！
34,77.21800,滚动弹幕,25,0xffffff,0,57898c5,46587169245495299,儿化音太好玩了，我忍不住想笑
35,146.40000,滚动弹幕,25,0xffffff,0,f3a9050d,46582886776176645,虽然你死去了，但我却变成了你的形状
36,272.56700,滚动弹幕,25,0xffffff,0,e2860fca,46582653265641479,我们这里有桫椤谷
37,230.69300,滚动弹幕,25,0xffffff,0,ffcd1f4e,46582465966899207,表层土稀薄，植物根系不发达，表层土易被流水侵蚀，石漠化严重
38,190.22000,滚动弹幕,25,0xffffff,0,1a93ec3e,46581423666102279,草船借箭
39,16.71000,滚动弹幕,25,0xffffff,0,f60533bb,46581320867381251,大崇左
40,330.59400,滚动弹幕,25,0xffffff,0,1c811e48,46574108658892805,保护你嘿嘿
41,220.30000,滚动弹幕,25,0xffffff,0,1c811e48,46574050939502595,严谨
42,218.21400,滚动弹幕,25,0xffffff,0,cafb05ea,46568542110744583,一嘴就吃了
43,324.81600,滚动弹幕,25,0xffffff,0,7d6bc267,46567916250333189,哈哈哈哈哈哈
44,104.19300,滚动弹幕,25,0xffffff,0,31bd88f8,46565205628420099,伸腿瞪眼丸？
45,169.13300,滚动弹幕,25,0xffffff,0,4e8abd08,46542059185111047,我吃过麂子
46,360.98400,滚动弹幕,25,0xffffff,0,fc0ea2c,46539483752431621,刚生出来好可爱
47,347.24400,滚动弹幕,25,0xffffff,0,fc0ea2c,46539471270182915,黄皮果
48,181.53800,滚动弹幕,25,0xffffff,0,fc0ea2c,46539368854716419,好常见呀这个
49,168.89900,滚动弹幕,25,0xffffff,0,896cd951,46532423832305671,这玩意好玩，之前养了一窝，聪明极了
50,324.46900,滚动弹幕,25,0xffffff,0,9a8d3593,46532236583895045,哈哈哈哈哈哈
51,187.50600,滚动弹幕,25,0xffffff,0,9a8d3593,46532164851859461,两模两样哈哈哈哈哈
52,102.70100,顶端弹幕,25,0xe70012,0,cbece9c0,46531042890219523,！！！前方毛毛虫预警！！！
53,102.70100,滚动弹幕,25,0xffffff,0,cbece9c0,46531030860431367,！，！前方毛毛虫预警！！！
54,187.24500,滚动弹幕,25,0xffffff,0,ee000d7e,46529535078301701,！！！这东西最讨厌了
55,47.89800,滚动弹幕,25,0xffffff,0,d683cf58,46529420613124099,懂哥→懂王→懂宗
56,162.19900,滚动弹幕,25,0xffffff,0,162f55f6,46528734095212549,有一说一大狗个不算矮
57,203.63900,滚动弹幕,25,0xffffff,0,799fc64c,46527888048521221,我没了
58,122.76600,滚动弹幕,25,0xffffff,0,d4c23c3,46527080282718213,保护
59,118.12600,滚动弹幕,25,0xffffff,0,d5183088,46526215440302085,警戒我是吧
60,46.09800,滚动弹幕,25,0xffffff,0,6e56a143,46525997118914565,尸香魔芋，想起精绝古城了
61,148.43400,滚动弹幕,25,0xffffff,0,10cd0649,46525899683135491,司藤！是你吗？！
62,209.93900,滚动弹幕,25,0xffffff,0,e3e8a2eb,46520236084035591,哈哈哈哈哈哈
63,116.79900,滚动弹幕,25,0xffffff,0,12e45908,46515820577161221,滋哇滋哇滋哇滋哇滋哇
64,125.90100,滚动弹幕,25,0xffffff,0,a6f21b63,46496681394438147,丑到去世
65,148.05900,滚动弹幕,25,0xffffff,0,741ae2ab,46495042458615811,自然内卷
66,330.16000,滚动弹幕,25,0xffffff,0,7a9f0b71,46493190056312835,丑嗷嗷嗷
67,183.05700,滚动弹幕,25,0xffffff,0,ddfb893c,46490783374639107,小时候最喜欢拿这种扔别人hhhhh
68,125.96500,滚动弹幕,25,0xffffff,0,48ccaeb8,46490450187517955,它的尾巴模拟它的头，而它的头模拟它的尾巴
69,333.93000,滚动弹幕,25,0xffffff,0,9f13cee9,46485523769851911,刺激的叫声
