,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,232.76700,顶端弹幕,25,0xfef102,0,7865015f,45443919859154947,“我每天按时吃避孕药为什么我女朋友还是怀孕了”
2,333.24500,顶端弹幕,25,0xfef102,0,7222b87c,45443921190846469,小蝌蚪：刚才你怎么读秒的，我真的生气了
3,100.89900,滚动弹幕,25,0xffffff,0,16791e05,46677272360910855,在座的各位   曾经努力过
4,355.86600,滚动弹幕,25,0xffffff,0,912ff900,46663513113362437,大西瓜！
5,20.26600,滚动弹幕,25,0xffffff,0,a3e1c56a,46661047952080899,帮朋友看看
6,68.03700,滚动弹幕,25,0xffffff,0,88659073,46657382066421767,单身加可乐，永远的神
7,247.01100,滚动弹幕,25,0xffffff,0,b4584d25,46652300244549639,怎么看不清领带下面了
8,152.05700,滚动弹幕,25,0xffffff,0,d9d2cb1c,46651815599013891,冈本
9,26.21800,滚动弹幕,25,0xffffff,0,fde444de,46649340106113027,这是一个人
10,12.94100,滚动弹幕,25,0xffffff,0,5fb277c2,46640612703731719,你们没有女朋友的进来干嘛？？？
11,34.36600,滚动弹幕,25,0xffffff,0,e7a80019,46638838495838211,哈哈哈哈哈哈哈哈可乐杀精
12,408.19700,滚动弹幕,25,0xffffff,0,1296879f,46633500846063621,你骂！你再骂！
13,37.17900,滚动弹幕,25,0x90c320,0,2df215ae,46631493088837637,单身避孕法咋了
14,452.14200,顶端弹幕,18,0xffffff,0,fd1701b1,46630073881591813,不愧是  日  不落帝国（doge
15,413.42500,滚动弹幕,25,0xffffff,0,d610ce0f,46629854536794119,古代人是不是动物小肠
16,45.79200,滚动弹幕,25,0xffffff,0,d4b050d0,46627072209584135,单身不能避孕吗
17,564.20800,滚动弹幕,25,0xffffff,0,57b28655,46626276046798853,厉害了
18,414.99400,滚动弹幕,25,0xffffff,0,57b28655,46626197803630599,鬼才
19,458.82000,滚动弹幕,25,0xffffff,0,effa49eb,46622078086938627,正经的美国伦敦腔
20,12.16000,滚动弹幕,25,0xffffff,0,c74c9176,46616462810415109,我替我朋友看
21,398.05000,滚动弹幕,25,0xffffff,0,92df256e,46616430322909189,我能克制
22,122.21300,顶端弹幕,25,0xe70012,0,f79b957f,46612142195474435,懂了，这就练葵花宝典，从源头解决问题！
23,0.59900,顶端弹幕,25,0xfef102,0,f79b957f,46612072669642755,你说这个我可就不困了啊！！
24,462.81300,滚动弹幕,25,0xffffff,0,3bd56f8d,46609310570512389,德云社来的
25,18.72100,滚动弹幕,25,0xffffff,0,9a5108eb,46604785403035651,都没学过两性知识吗
26,55.39900,滚动弹幕,25,0xffffff,0,1cd97e0e,46604280912150531,没用的知识增加了
27,487.53900,滚动弹幕,25,0xffffff,0,1d2dbc09,46604183480041475,tim
28,232.00900,滚动弹幕,25,0xffffff,0,6ef3d0b1,46603777212940291,出门不忘吃避孕药
