,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.00000,底端弹幕,25,0x9843,0,9c35b95,44346032974200835,是什么让我们在这里相遇…
2,59.01500,滚动弹幕,25,0xffffff,0,dca1a010,45525139287179271,我也都爱吃
3,33.85500,滚动弹幕,25,0xffffff,0,dca1a010,45525123936550919,好家伙，我都爱吃
4,92.11900,滚动弹幕,25,0xa0ea,0,81a6a5b6,45000948380598275,戒烟？
5,15.28800,滚动弹幕,25,0xffffff,0,494c432f,44990505764257799,帮隔壁老王康康
6,83.08600,滚动弹幕,25,0xffffff,0,494c432f,44990485689794565,帮隔壁老王看看
7,8.98500,滚动弹幕,25,0xffffff,0,f8c6010a,44989767758643207,帮朋友看看
8,41.45300,滚动弹幕,25,0xffffff,0,1a84f785,44989279352913927,六味地黄丸
9,78.14800,滚动弹幕,25,0xffffff,0,2928b846,44986969414959107,买了一蛇皮袋花生
10,81.93900,滚动弹幕,25,0xffffff,0,34e8f9e9,44985859780902915,可乐杀精！
11,49.39800,滚动弹幕,25,0xffffff,0,350d2831,44984218482638855,拿着锌就啃
12,10.80000,滚动弹幕,25,0xffffff,0,b5c8c17f,44983688521842693,我帮朋友看看
13,6.75800,滚动弹幕,25,0xffffff,0,b9b80caf,44961930401021957,你说话这么大声！
14,89.51900,滚动弹幕,25,0xffffff,0,6f84c1,44958933420343303,完了
15,50.40600,滚动弹幕,25,0xffffff,0,c1681879,44958456653807619,补锌不就行了
16,59.34600,滚动弹幕,25,0xffffff,0,12b4a3ff,44954234542096389,韦薇我永远爱你 希望你能看到爱你的何某人
17,13.27900,滚动弹幕,25,0xe70012,0,b809ffca,44952378724057093,好家伙
18,6.41900,滚动弹幕,25,0xe70012,0,b809ffca,44952373419311173,。
19,46.92800,滚动弹幕,25,0xffffff,0,8397c86e,44951997507436551,懂了，这就去喝哇哈哈
20,22.39400,顶端弹幕,25,0xe70012,0,f77a7c72,44947263635062855,我帮我朋友郝林看看
