,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,177.50700,滚动弹幕,25,0xffffff,0,13656dc5,43228825120669699,国家一级龙吸水喜剧演员
2,195.95400,滚动弹幕,25,0xffffff,0,1e93d283,46694068856029187,物理课本
3,137.24800,滚动弹幕,25,0xfef102,0,6be6d0e8,46656192233078787,可怕的科学真的是一套好书，基本上常见的都解释过
4,125.81300,滚动弹幕,25,0xffffff,0,c3860c8e,46581517192265735,梦回大物
5,36.83900,滚动弹幕,25,0xffffff,0,6a766af6,46521456472883203,弯腰逃生是为了防烟
6,110.65200,滚动弹幕,25,0xffffff,0,e367b1d3,46454369259356165,这是不是进动啊
7,247.84300,滚动弹幕,25,0xffffff,0,14122064,46355321376997381,我听到了永动机？！
8,111.69700,滚动弹幕,25,0xe70012,0,d416100f,45794912359153667,大物人落泪
9,0.00000,滚动弹幕,25,0xffffff,0,731c9311,45704614167707651,你手上那个我买过，就在旁边
10,45.17900,滚动弹幕,25,0xffffff,0,3739c0e9,45497669930450951,这个我家也有
11,115.01600,滚动弹幕,25,0x2e72,0,ae32149f,45400408112234499,我怀疑你戴假发！
12,122.67000,滚动弹幕,25,0xffffff,0,dfb8fa06,45400324686479365,大学物理2的内容
13,264.62600,滚动弹幕,25,0xffffff,0,d43caf6c,45321021836754949,小亮那是水猴子，这里是永动鸡
14,271.61500,滚动弹幕,25,0xffffff,0,d43caf6c,45321007758573575,小亮是水猴子，这里是永动鸡
15,174.51900,滚动弹幕,25,0xffffff,0,e930576b,45260807996964867,暴躁老哥
16,10.37900,滚动弹幕,25,0xffffff,0,5b6509d,45191051561402373,这初中知识，这要是真能虎得着人，那人也太笨了
17,224.97900,滚动弹幕,25,0xffffff,0,9f7824d9,45041387054301191,抽纸就不可能了把
18,178.77900,滚动弹幕,25,0xffffff,0,9f7824d9,45041354196647943,你在憋笑
19,175.37700,滚动弹幕,25,0xffffff,0,20d7a3a9,45020613633900551,职业选手禁止参赛
20,123.07800,滚动弹幕,25,0xffffff,0,a8a2e9ff,44994396831612933,唯手熟尔
21,153.53900,滚动弹幕,25,0xffffff,0,1cb8e800,44906021758435333,人家就是解释一下原理，说演示的你怎么不来
22,12.14100,滚动弹幕,25,0xffffff,0,186fe4da,44899274985046021,初三化学
23,85.42100,滚动弹幕,25,0xffffff,0,580ac240,44861538640068615,果然高手在民间
24,253.27900,滚动弹幕,25,0xffffff,0,7f15db23,44857359712911429,水猴子时间
25,249.91600,滚动弹幕,25,0xffffff,0,92aa6e4f,44836569779535877,物理老师想锤他
26,76.51800,顶端弹幕,25,0xe70012,0,7002081e,44803701033926659,师傅别念了别念了
27,210.25900,滚动弹幕,25,0xffffff,0,297a5b82,44800007758938119,国家一级龙吸水运动员涉嫌造假
28,55.03400,滚动弹幕,25,0xffffff,0,734b5c19,44796631127687171,化学选修
29,43.41300,滚动弹幕,25,0xffffff,0,78261d9c,44772361763291143,弯腰主要是为了防烟尘！因为烟是上升的
30,11.77000,滚动弹幕,25,0xffffff,0,98085076,44772289381138435,不是亮哥的开篇吗
31,110.65900,滚动弹幕,25,0xffffff,0,603556dd,44755379205177349,看到力矩啥的就害怕，，，
