,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,7.65900,顶端弹幕,25,0xe70012,0,fd723cea,44269421326237699,我就站在你面前，你看我有几分像从前
2,256.37900,顶端弹幕,25,0xfef102,0,2438acfe,44266403942367237,世  界  5  0  0  强
3,240.97900,滚动弹幕,25,0xfef102,0,f8487796,43972789590294531,哇！金色传说！
4,2.64000,底端弹幕,25,0xfef102,0,a13777b2,43933816643911685,是什么让我们在此相遇
5,38.42500,滚动弹幕,25,0xffffff,0,2eb02e8e,46176058747125765,我们不对劲 我们有问题
6,341.13900,滚动弹幕,25,0xffffff,0,2db07a15,46109567585615879,呜呜呜
7,42.47000,滚动弹幕,25,0xffffff,0,def9893,46034411809406981,是输暖管
8,273.23000,滚动弹幕,25,0xf0ab2a,0,a0900664,46001160919187461,双胞胎是有两个鸡蛋的
9,243.35200,顶端弹幕,25,0xa0ea,0,fc766f66,45758243039870979,机翻实锤
10,128.57500,滚动弹幕,25,0xffffff,0,1dcda5d6,45740532790460421,冲丫！
11,16.47100,滚动弹幕,25,0xffffff,0,1dcda5d6,45740473995755525,好家伙！！！入侵
12,227.05900,滚动弹幕,25,0xffffff,0,4ff59b54,45678362611941381,如果全进去了，那就生1亿个
13,30.93900,滚动弹幕,25,0xffffff,0,296250e4,45677437396713479,震撼
14,258.84200,顶端弹幕,25,0xfe0302,0,174c15fc,45659074396684293,集中一点，登峰造极~！
15,344.53900,滚动弹幕,25,0xffffff,0,45f84416,45631392994295813,梦开始的地方
16,82.30400,滚动弹幕,25,0xffffff,0,2ade13f4,45538577118920709,死在纸上
17,246.22700,滚动弹幕,25,0xffffff,0,f1aa8f34,45453425234149383,爷在以前就是个战神
18,44.11500,滚动弹幕,25,0xffffff,0,933976b1,45395524675174407,小蝌蚪找妈妈
19,1.53600,顶端弹幕,25,0xffffff,0,cdabe9b9,45340151500505091,你如果觉得自己很没用那就看看这个视频你可是跑赢了3亿个人的天选之子啊
20,49.93500,滚动弹幕,25,0x9843,0,610bd4bb,45269659538685955,外射
21,244.52800,滚动弹幕,25,0xffffff,0,80f29fa0,45262490830897155,这个时侯你的父亲就很爽
22,3.73100,顶端弹幕,25,0xfef102,0,c85bbd81,45260897893482501,诸位，我有点兴奋
23,17.13900,滚动弹幕,25,0xffffff,0,a3e571d3,45214800135847941,......
24,333.14700,滚动弹幕,25,0xffffff,0,c65122ea,45212471870881799,同喜
25,309.84300,滚动弹幕,25,0xffffff,0,86c275fb,45205776590962693,不愧是我
26,264.08300,滚动弹幕,25,0xffffff,0,86c275fb,45205749392998405,我好牛逼
27,242.84300,滚动弹幕,25,0xffffff,0,86c275fb,45205735689158663,鸡蛋
28,197.47000,滚动弹幕,25,0xffffff,0,86c275fb,45205694531502083,我的三亿个兄弟无了
29,174.39000,滚动弹幕,25,0xffffff,0,86c275fb,45205674437115909,感谢白哥不杀之恩
30,135.79000,滚动弹幕,25,0xffffff,0,86c275fb,45205637160763399,冲冲冲
31,64.71000,滚动弹幕,25,0xffffff,0,86c275fb,45205597385129989,这是主角吗
32,2.23000,滚动弹幕,25,0xffffff,0,86c275fb,45205558967926791,开幕雷击 你不要过来啊
33,234.82700,滚动弹幕,25,0xffffff,0,74fac0b4,45096309328707589,鸡蛋。。。草。。。
34,144.18900,滚动弹幕,25,0xffffff,0,74fac0b4,45096245128593415,怎么感觉跟机翻似的。。。
35,10.08300,滚动弹幕,25,0xffffff,0,74fac0b4,45096141866926085,这种视频果然不能开弹幕
36,197.50500,滚动弹幕,25,0xe70012,0,585f7c3a,45028052975484933,乌龟拳
37,191.66500,滚动弹幕,18,0xe70012,0,585f7c3a,45028037633245191,横扫千军
38,27.62500,滚动弹幕,25,0xe70012,0,585f7c3a,45027938484092933,红细胞正在拼命努力
39,12.69100,滚动弹幕,25,0xffffff,0,aca45a22,45019996834234371,生物老师又多了一个视频
40,298.85900,滚动弹幕,25,0xffffff,0,6d294998,44958344796438535,防止多精入卵
41,294.17900,滚动弹幕,25,0xffffff,0,6d294998,44958316817285123,透明带反应
42,111.39200,滚动弹幕,25,0xffffff,0,d241806e,44945716925169667,黑客帝国既视感
43,117.25000,滚动弹幕,25,0xffffff,0,71c5d271,44929469850320903,我每次顶到这里  老婆都很舒服
44,40.69900,滚动弹幕,25,0xffffff,0,bd024d76,44910502409666567,我们都是第一名
45,43.87300,滚动弹幕,25,0xffffff,0,96e0119d,44854025736683525,梦开始的地方
46,166.91600,滚动弹幕,25,0xfe0302,0,6d94824d,44853579919392775,博人传:什么都比我燃
47,78.06800,滚动弹幕,25,0xffffff,0,e08dd3bf,44848272820928517,刚过扁桃体
48,194.68700,滚动弹幕,25,0xffffff,0,6c9a7069,44822411016142853,在现场，好多兄弟帮我打掩护，谢谢你们
49,185.85900,滚动弹幕,25,0xffffff,0,bf1f6ee7,44811806912806915,大爷，来玩嘛～
50,291.34800,滚动弹幕,25,0xffffff,0,75f7bf85,44811517201743875,mvp
51,293.25100,滚动弹幕,25,0xe70012,0,2cfa0583,44811222958211079,所以说啊 先入关中者为王
52,80.45800,滚动弹幕,25,0xffffff,0,1624bcd6,44810937601884227,异形的抱脸虫设计灵感就来源于这无疑了
53,16.31100,滚动弹幕,25,0xffffff,0,6de9dce3,44810791565656071,卧槽
54,100.22000,滚动弹幕,25,0xffffff,0,79806896,44810588618489859,在那里我就是主角。
55,84.07100,滚动弹幕,25,0xffffff,0,79806896,44810580177977349,几十亿的小弟都被我打败
56,73.27000,滚动弹幕,25,0xffffff,0,79806896,44810574545027079,我感觉那时的我太强了。
57,332.83000,顶端弹幕,25,0xe2027f,0,421c1207,44810548509933573,细胞分裂中期
58,54.11300,滚动弹幕,25,0xffffff,0,d5b80f16,44810541267419141,这是多短啊，游了这么半天
59,28.93900,滚动弹幕,25,0xffffff,0,5cd97925,44810270442258439,比博燃
60,183.86400,滚动弹幕,25,0xffffff,0,88065929,44809714203623427,世界真奇妙
61,15.81900,滚动弹幕,25,0xffffff,0,64f539b6,44809672796405763,是在下输了
62,19.09900,滚动弹幕,25,0xe70012,0,4f35d7c,44809264064626695,我来自偶然 像一颗尘土
63,323.73400,顶端弹幕,25,0xe2027f,0,1e44a6b,44809162720804871,选生物的来了
64,83.20100,顶端弹幕,25,0xfef102,0,838be134,44808811822186499,兄弟们，我赢了
65,137.95600,滚动弹幕,25,0xffffff,0,4236e34c,44808747520884741,好奇妙啊
66,334.17700,滚动弹幕,25,0xffffff,0,2e44e7a7,44808302241513477,配音很帅
67,347.09300,滚动弹幕,25,0xffffff,0,9ed97eb,44808112036118531,看了半天原来你们都会说话！我以为我射出来的都不说话呢！
68,326.51300,顶端弹幕,25,0xfef102,0,77db1cd4,44807949604880391,BGM：Summersong2018
69,242.27300,滚动弹幕,25,0xfef102,0,77db1cd4,44807882800627719,哇，金色传说
70,122.98900,顶端弹幕,25,0xe70012,0,19a2f0f9,44807361479049223,兄弟们好，哥哥来看你们了
71,348.00000,滚动弹幕,25,0xffffff,0,af581fe1,44807357523820551,生命，太神奇了
72,7.65900,滚动弹幕,25,0xfef102,0,db0aee80,44807259473051651,开幕雷击 
73,60.35900,顶端弹幕,25,0xfef102,0,2ca1b1bf,44806753905278981,在座的各位谁当年不是个游泳第一？
74,40.51900,滚动弹幕,25,0xffffff,0,487bf69d,44806304841596931,比 博 燃
75,168.21900,滚动弹幕,25,0xffffff,0,883390d1,44806220303826949,吃着雪糕，看的津津有味。
76,2.40800,滚动弹幕,25,0xffffff,0,5b425c92,44805930559209479,伟大的开始
77,307.00500,滚动弹幕,25,0xffffff,0,1f963cad,44805803198119941,开始基因排列
78,247.03700,滚动弹幕,25,0xffffff,0,1f963cad,44805765450956807,金丹
79,183.97500,滚动弹幕,25,0xffffff,0,1f963cad,44805729634222085,人类在出生之前就开始相互厮杀了
80,229.26800,滚动弹幕,25,0xffffff,0,3d1752c6,44805668088053765,我真幸运
81,65.08500,滚动弹幕,25,0xffffff,0,1f963cad,44805657172377607,这么热血的吗
82,30.69900,滚动弹幕,25,0xffffff,0,1f963cad,44805635659792389,加油啊
83,230.71900,滚动弹幕,25,0xffffff,0,3d71f2f,44805613715718151,天选之子
84,50.19300,滚动弹幕,25,0xe70012,0,9cc5a2d4,44805343636619269,在 现 场
85,346.55600,顶端弹幕,25,0xe70012,0,7ef26cd5,44805126733955077,ohhhhhhhhhhhhhhhhhhhhhhhhhhhh
86,121.87900,滚动弹幕,25,0xffffff,0,8d601b9c,44805124449632263,原来我们都打过仗
87,88.85900,滚动弹幕,25,0xffffff,0,8d601b9c,44805101528809477,原来大家都是天选之子
88,153.57900,滚动弹幕,25,0xffffff,0,52c803f4,44805086869716999,这个我在现场
89,0.00000,滚动弹幕,25,0xffffff,0,2c987962,44804548169564163,？？？？？
90,45.26900,滚动弹幕,25,0xffffff,0,eb3c5c59,44804303550939143,幸好我游得快
91,72.65900,滚动弹幕,25,0xffffff,0,c31ff41,44804018705793029,这是你们嘛
92,112.62300,底端弹幕,25,0x9843,0,bcd838da,44803821321846787,我得杀多少条生命
93,4.52300,滚动弹幕,25,0xffffff,0,a8f9e113,44803621260361735,这是什么
94,64.47700,滚动弹幕,25,0xffffff,0,b7474b1b,44803433427369991,这不比博人转热血？
95,15.61700,滚动弹幕,25,0xffffff,0,ddc87d75,44803187050807299,老实看科普
96,328.61900,滚动弹幕,25,0xffffff,0,5c31e112,44802993788289029,这不是选修三嘛
97,43.57900,滚动弹幕,25,0xffffff,0,7f1aaf18,44799042375385095,亿 人 之 上
98,7.85900,滚动弹幕,18,0xe70012,0,fefe315b,44798715762835459,我们中的每一位在这场战斗中都赢了
99,332.00500,滚动弹幕,25,0xffffff,0,9513185,44798635652677639,中心体！
100,196.11800,滚动弹幕,25,0xffffff,0,9513185,44798536063647751,怪不得一次那么多
101,5.99900,滚动弹幕,25,0xffffff,0,c3dfdcda,44798344063614983,草
102,178.45900,滚动弹幕,25,0xffffff,0,96aeb35b,44798224890331143,走位走位
103,29.35900,滚动弹幕,25,0xffffff,0,b64f5532,44797371974942725,想看进来之前的戏份
