,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,195.35300,滚动弹幕,25,0xffffff,0,7462cdb9,43531711650725895,可以说人的思维存在于更高纬度空间，而人的躯体只是三维空间的物质
2,291.30300,顶端弹幕,25,0xe70012,0,894fd2e4,43528852520042499,我小时候老是幻想，我们生活的宇宙，是不是只是一个人的一个细胞，而我的体内也有无数个宇宙
3,88.89100,滚动弹幕,25,0xffffff,0,792e05e,43512908828639237,这种可以造出来，但是它这个并不是真正的克莱音瓶，真正的他中间那个是不破坏瓶壁使其保持完整的情况下来穿过瓶壁的  
4,44.71300,滚动弹幕,25,0xffffff,0,b43e9725,46471814997082119,胡说八道
5,302.24900,滚动弹幕,25,0xffffff,0,4cfa3ec7,46443179761729543,这不就是溢出吗
6,288.10800,滚动弹幕,25,0xffffff,0,dc6564d8,46174681737199621,太极
7,124.58400,滚动弹幕,25,0xffffff,0,5f6ee9b0,45924305386078211,弹幕真的看笑了
8,296.23200,滚动弹幕,25,0xffffff,0,790b3a86,45757323644239877,"额,装的满是因为三维世界里的克莱因瓶打破了瓶壁,但在四维世界并没有打破瓶壁"
9,189.50600,滚动弹幕,25,0xffffff,0,3b5a4019,45697352125120519,鬼吹灯的悬魂梯
10,177.30300,滚动弹幕,25,0xffffff,0,3b5a4019,45697345756594183,悬魂梯
11,293.86200,滚动弹幕,25,0xffffff,0,331b7454,45628018663620615,黑洞就是四维空间
12,135.19000,滚动弹幕,25,0xffffff,0,6c54fb1e,45582185803022341,打出来就相交了
13,308.99500,滚动弹幕,25,0xffffff,0,f4684532,45523796051361799,你想象不出克莱因瓶的，老说装满装满，就是没看明白，虽然我也不明白，哈哈哈
14,102.17900,滚动弹幕,25,0xffffff,0,c58b3ff,45242085508907011,弹幕的小朋友比科学家还牛啊，未来靠你们了
15,172.77700,滚动弹幕,25,0xffffff,0,e0cc9f78,44951417689997317,把阶梯扭曲拼上再斜过来
16,30.78500,滚动弹幕,25,0xffffff,0,8fcbdfcb,44903249624956935,啥意思。。。。。让我理解一下
17,313.34100,滚动弹幕,25,0xffffff,0,ba42853c,44769935249899525,理论上四维的容器可以装无数的三维物体
18,258.91900,滚动弹幕,25,0xffffff,0,98d9cf4b,44767058662522887,三维不是长度，数量和温度吗？
19,97.01900,顶端弹幕,25,0xfef102,0,83843b8a,44762324433633287,拼多多，九块九十个
20,178.21200,滚动弹幕,25,0xffffff,0,d9ecbfd3,44761678236614659,鬼打墙
21,164.17400,顶端弹幕,25,0xfef102,0,a7498173,44761651697680391,仔细看这个动图 每个楼梯都是斜的 就相当于不平整的水平面
22,26.85900,滚动弹幕,25,0xffffff,0,51f4df81,44760604799401991,放屁，中间的棱不是一个面？
23,60.91700,滚动弹幕,25,0xffffff,0,95c22399,44760526971469895,推荐《从一到无穷大》
24,76.99000,滚动弹幕,25,0xffffff,0,1659fafc,44759320683872261,淘宝40一个
25,94.09900,滚动弹幕,25,0xffffff,0,6e3914c,44758728095825989,那这个是怎么来的
26,58.17400,滚动弹幕,25,0xffffff,0,e96ee46a,44757598700306435,穿模怎么解？
27,4.90000,滚动弹幕,25,0xffffff,0,ae957b12,44754015786369027,你拿管子注水，你看它满不满
28,229.39300,滚动弹幕,25,0xffffff,0,b0f9991f,44753165585743875,电影，星际穿越
29,80.49900,滚动弹幕,25,0xffffff,0,e49956b0,44753160131051523,淘宝一块一九…………
30,242.47200,滚动弹幕,25,0xffffff,0,c8223339,44751032740741123,放你的屁
31,229.23900,滚动弹幕,25,0xffffff,0,982aba52,44739942076645379,那有二维生物啊
32,225.28300,滚动弹幕,25,0xffffff,0,982aba52,44739911983562755,时间就是第四维
33,79.42300,滚动弹幕,25,0xffffff,0,8a518a11,44727441022255111,6667
34,230.33400,滚动弹幕,25,0xffffff,0,e738ee35,44726081207402503,这个视频这样装逼有意思吗？
35,178.15300,滚动弹幕,25,0xffffff,0,e738ee35,44726033301635075,简单，把阶梯造成斜的
36,240.57900,滚动弹幕,25,0xffffff,0,b70bed77,44724921210765317,前面的四维空间与时间是没有关系的。时间又不是空间的概念，怎么可能是他的维度呢？
37,106.72200,滚动弹幕,25,0xffffff,0,7c012c5a,44722832005922819,瞎BB
38,94.53900,滚动弹幕,25,0xffffff,0,1e7c7f9,44721815069655109,没有？你当我关一帆是吃白饭的
39,310.75300,滚动弹幕,25,0xffffff,0,5796908d,44721474209054725,看个寂寞，都没看懂
40,171.97100,滚动弹幕,25,0xffffff,0,51e19ec7,44718175124717571,哈哈哈悬魂梯
41,104.93700,滚动弹幕,25,0xffffff,0,27cc8bb5,44716606884413447,放水里呢
