,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,250.78200,顶端弹幕,25,0xfef102,0,963915d3,43577960674361349,要 饭 区 u p 主
2,169.92000,滚动弹幕,25,0xffff00,0,16fb4112,46666126030536707,懂了马上就涂上润滑油
3,297.61700,滚动弹幕,25,0xffffff,0,a2233774,46661544973959175,大宝
4,241.95300,滚动弹幕,25,0xffffff,0,a2233774,46661502350917637,不，这是在做物理题
5,457.30400,滚动弹幕,25,0xffffff,0,45e4808b,46658924740870151,猝不及防哈哈哈
6,429.80300,滚动弹幕,25,0xffffff,0,45e4808b,46658910444060679,高能警告？
7,359.72600,滚动弹幕,25,0xfef102,0,d2f408a3,46640865855143939,，前方高能预警
8,209.29900,滚动弹幕,25,0xffffff,0,94d94b77,46621627576221701,快撤
9,302.10300,滚动弹幕,25,0xffffff,0,763cf825,46617145898958853,珂润
10,299.47500,滚动弹幕,25,0xffffff,0,eecf7d7c,46614926924972039,ipsa乳液敏感2号
11,299.52000,滚动弹幕,25,0xffffff,0,391406aa,46612497636524037,你用
12,94.07800,滚动弹幕,25,0xffffff,0,eecf7d7c,46611993817776135,暂停喝水
13,311.56900,滚动弹幕,25,0xffffff,0,e935ce20,46584097762443267,大宝
14,304.70000,滚动弹幕,25,0xffffff,0,e935ce20,46584092332916741,大宝
15,453.59300,滚动弹幕,25,0xffffff,0,c9afef1,46582008226775043,大意了
16,457.26000,滚动弹幕,25,0xffffff,0,3efb76ee,46576177434329095,图穷匕见
17,302.15200,滚动弹幕,25,0xffffff,0,ac867bfc,46561932015566853,资生堂
18,34.65900,顶端弹幕,25,0xe70012,0,d813b50b,46533520683171845,解意哥好好看看
19,150.13800,滚动弹幕,25,0xffffff,0,9fb0ece6,46521496190844933,怎样才能做出这么高质量的视频呜呜呜
20,255.73700,滚动弹幕,25,0xffffff,0,3d3a068a,46446711878975491,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
21,373.99300,滚动弹幕,25,0xffffff,0,f95ac383,46429937360961539,娘娘门门
22,457.53500,滚动弹幕,25,0xffffff,0,6e210e40,46402233820512259,终于来了
23,302.96500,滚动弹幕,25,0xffffff,0,c1bf2d21,46397010574049285,启初
24,316.97900,滚动弹幕,25,0xffffff,0,f298bdd,46352502262071303,freeplus
25,314.30200,滚动弹幕,25,0xffffff,0,bd083d82,46298676946534407,启初保湿面霜
26,428.09300,顶端弹幕,25,0xe70012,0,5bd7b69c,46286536145633287,哎呀，你这个神光棒好好看呀。没有啦限定而已啦
27,300.27500,滚动弹幕,25,0xffffff,0,c5659717,46264851188678661,不老泉
28,299.00500,滚动弹幕,25,0xffffff,0,4845042c,46259705945784325,启初宝宝霜
29,299.57900,滚动弹幕,25,0xffffff,0,d8477d4c,46171463028310023,珂润 科颜氏
30,272.13900,滚动弹幕,25,0xffffff,0,469e1bc2,46109799608221703,福尔马林
31,37.64900,滚动弹幕,25,0xffffff,0,e1787ef2,46072988811395079,我
32,40.34800,滚动弹幕,25,0xffffff,0,591497b8,46065503053545477,油皮
33,90.80500,滚动弹幕,25,0xffffff,0,88cb7166,46062046241357831,我干皮还起痘
34,244.28800,滚动弹幕,25,0xffffff,0,ed13047a,46061281339244551,这就去喝。
35,383.97900,滚动弹幕,25,0xffffff,0,de4c1882,46060155946663941,好家伙。。
36,384.61400,滚动弹幕,25,0xffffff,0,bbc59083,46046629089247237,宝藏博主！！
37,375.19900,滚动弹幕,25,0xffffff,0,53ef832b,46025076223508485,又卡又浮粉
38,364.22000,滚动弹幕,25,0xffffff,0,53ef832b,46025070433271811,我也卡
39,340.53900,滚动弹幕,25,0xffffff,0,53ef832b,46025058031763459,nnmm哈哈哈哈
40,256.80400,滚动弹幕,25,0xffffff,0,53ef832b,46024994015150083,哈哈哈哈哈哈哈
41,142.12200,滚动弹幕,25,0xffffff,0,6afa9c25,45994124629770247,批腻子
42,41.68600,滚动弹幕,25,0xffffff,0,6afa9c25,45994067435716615,名创优品bgm
43,62.36000,滚动弹幕,25,0xffffff,0,8c7b1501,45993836856999941,混合皮
44,301.21000,滚动弹幕,25,0xffffff,0,23915f4d,45930302520950791,玉泽
45,464.03500,滚动弹幕,25,0xffffff,0,26d9a44c,45904221349347335,猝不及防……
46,465.21100,滚动弹幕,25,0xffffff,0,6a6c759e,45903741460152323,这就对了嘛
47,301.42700,滚动弹幕,25,0xffffff,0,8e9a908d,45901823894618117,启婴
48,380.98100,滚动弹幕,25,0xffffff,0,34ec9588,45854987647975429,可以用保湿喷雾再加粉底混合在一起
49,299.31600,顶端弹幕,25,0xffffff,0,48ad313d,45842695933919235,cerave!!!!!
50,460.98700,滚动弹幕,25,0xffffff,0,330934d0,45840086571941895,猝不及防
51,307.28500,滚动弹幕,25,0xffffff,0,330934d0,45840005822152711,湿水毛巾
52,458.35800,滚动弹幕,25,0xfef102,0,5e60ace,45839398525730819,终于另一只鞋子落地了，好安心！！！
53,301.75900,滚动弹幕,25,0x84c0cb,0,6d396bdf,45815255496392709,小黄瓜爽肤水(//∇//)
54,454.06400,滚动弹幕,25,0xffffff,0,a644c715,45813941803679751,哈哈哈哈哈哈
55,160.43800,滚动弹幕,25,0xffffff,0,53d7bcb,45813870876950535,不，就光光用清水
56,458.21800,滚动弹幕,25,0xffffff,0,a1b37a7c,45810218564583427,猝不及防
57,244.93000,滚动弹幕,25,0xffffff,0,28eabdc,45809952435470339,小米打钱！
58,305.30000,滚动弹幕,25,0xffffff,0,46d5c171,45807965070426119,大宝SOD蜜
59,300.15900,滚动弹幕,25,0xe70012,0,4fa6a168,45800905217409029,自然之名酵母水
60,485.35200,滚动弹幕,25,0xffffff,0,3ff8c67,45766362464256003,老兔啊，费心啦
61,420.58500,滚动弹幕,25,0xffffff,0,5ec2a37c,45764578164342789,灵魂画手
