,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,257.52500,顶端弹幕,25,0xfef102,0,66b8328c,45048509818208263,如果我不知道它是粉刺确实会觉得好看
2,240.68900,顶端弹幕,25,0xe70012,0,f66e5ecc,44902587048656903,宇 宙 辐 射 背 景
3,267.54300,滚动弹幕,25,0xffffff,0,ea16524c,44867547861876741,有一说一，你不告诉我这是粉刺的话，它确实挺好看的
4,89.53400,顶端弹幕,25,0xe70012,0,908d59d5,44866677107064837,好家伙，一点分叉没有。慕了慕了
5,0.16600,顶端弹幕,25,0xa0ea,0,7bd24d7f,44864447974473733,现在走还来的及
6,158.44700,顶端弹幕,25,0x9843,0,23dacfc5,44863229163208707,太上老茵
7,172.69000,滚动弹幕,25,0xf0ab2a,0,e831570,44857522691506179,突然想到工作细胞里面萌萌的乳酸菌
8,56.60300,顶端弹幕,25,0xe70012,0,96e0a20d,44852312757764103,懂了，鲁班当时带显微镜
9,96.63700,顶端弹幕,25,0x9843,0,644b6fa2,46493603586375685,哇哦
10,54.59900,顶端弹幕,25,0x9843,0,644b6fa2,46493577240903685,我就有黑头气死 草 
11,70.63800,滚动弹幕,25,0xffffff,0,63b64dcf,46467315397558275,这真的是外国人么？
12,281.78800,滚动弹幕,25,0xffffff,0,55f3df30,46445197135970375,笑死了，我有黑头我美丽
13,28.61900,滚动弹幕,25,0x683a7b,0,747b85ce,46440956590292999,鲁班
14,90.25900,滚动弹幕,25,0xffffff,0,74e4fbf9,46432890375897095,听不懂还得好好学英文
15,56.03600,滚动弹幕,25,0xffffff,0,73026c2a,46429206895656967,草草草草草草
16,44.83600,滚动弹幕,25,0xffffff,0,73026c2a,46429201564696581,草草草
17,38.32400,滚动弹幕,25,0xffffff,0,2fe20a5b,46425950917230599,为什么有股咖喱味
18,113.64700,滚动弹幕,25,0xffffff,0,6f952f12,46423197074063367,小酸奶
19,116.28300,滚动弹幕,25,0xffffff,0,bdb346bf,46421997714931719,我的红薯粉
20,94.53700,滚动弹幕,25,0xffffff,0,bdb346bf,46421985575567367,薯粉
21,57.32100,滚动弹幕,25,0xffffff,0,bdb346bf,46421969917181959,我开始疼了
22,163.30200,滚动弹幕,25,0xffffff,0,30624dbd,46419751841300485,自从有了OPPOfindx3手机，我也爱上发现微观世界了
23,90.05300,顶端弹幕,25,0xffffff,0,44532880,46401691069710343,一听说话舌头捋不直就知道是东欧
24,84.69300,滚动弹幕,25,0xffffff,0,44532880,46401677139378181,一听说话舌头捋不直就是东欧的
25,197.39600,滚动弹幕,25,0xffffff,0,5bcacc38,46398487140499461,哦吼
26,0.70000,滚动弹幕,25,0xffffff,0,57e9db30,46398427221196807,解压
27,36.97800,滚动弹幕,25,0xffffff,0,66e3e011,46398023217971203,指挥部空降坐标00:00
28,28.89900,滚动弹幕,25,0xffffff,0,66e3e011,46397932439601157,3:00
29,266.50700,滚动弹幕,25,0xfef102,0,8769d43c,46397554518654983,那我鼻子上全是星河咳
30,455.73000,滚动弹幕,25,0xffffff,0,9e321e60,46397470840193027,不是鳞片是扁平的毛
31,457.97000,滚动弹幕,25,0xffffff,0,66e9cab3,46395763261964295,好漂亮1
32,337.30700,滚动弹幕,25,0xffffff,0,c1861266,46394685819191303,狂人实验室，李发光，做过显微镜静夜
33,250.58300,滚动弹幕,25,0xffffff,0,57514290,46392738886189059,美丽
34,200.67200,滚动弹幕,25,0xffffff,0,57a88cb7,46388534385836039,哦哦战斗民族阿婆主
35,66.36900,滚动弹幕,25,0xffffff,0,57a88cb7,46388454649495557,阿婆主哪里人？印度吗？
36,3.24200,滚动弹幕,25,0xffffff,0,5caa9bb6,46385613954351109,硬核美丽
37,46.12700,顶端弹幕,25,0xe70012,0,ea04ddfe,46383487400804359,那个阿妹胫骨的别ky行吧
38,104.78400,滚动弹幕,25,0xffffff,0,ad45836e,46380425247981573,。。。
39,197.54600,滚动弹幕,25,0xffffff,0,c128e37b,46379243386437635,太菌（doge
40,193.55900,滚动弹幕,25,0x84c0cb,0,935f78a6,46370663975878661,。。。
41,190.63900,滚动弹幕,25,0xffffff,0,935f78a6,46370652552691715,。。
42,243.73200,滚动弹幕,25,0xffffff,0,b6d8bea6,46338848681623559,正交偏光
43,222.94800,滚动弹幕,25,0xffffff,0,2df744ed,46304704386826247,重点来了
44,259.21100,滚动弹幕,25,0xffffff,0,eb537c0c,46294542573371397,？b b b
45,167.39400,顶端弹幕,25,0xa0ea,0,48d56348,46268609869643783,《wow》
46,168.06700,滚动弹幕,25,0xffffff,0,48d56348,46268592964501511,《wow》
47,236.97500,滚动弹幕,25,0xffffff,0,ad0659a4,46258284468371459,我吐了
48,259.44000,滚动弹幕,25,0xffffff,0,bed5502f,46225276364914691,魅族18？
49,35.63700,滚动弹幕,25,0xffffff,0,6039eed,46221233895768067,封面那个是跖疣
50,76.00800,滚动弹幕,25,0xffffff,0,e60e8e8a,46203313976770563,跌跌撞撞 他被芒草割伤
51,335.72300,滚动弹幕,25,0xffffff,0,730347ad,46194976827113477,好家伙
52,239.49900,滚动弹幕,25,0xffffff,0,1f526ad,46180962394963973,火星
53,215.65900,滚动弹幕,25,0xffffff,0,1f526ad,46180945018486791,双歧杆菌
54,20.34400,滚动弹幕,25,0xffffff,0,75666b59,46173706832576519,进来学英语doge
55,237.58500,滚动弹幕,25,0xffffff,0,f37a0970,46171445830090759,馋了
