,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,0.00000,底端弹幕,25,0xfef102,0,802a39c5,44744653502152709,《帮  朋  友  看  看》
2,0.24400,滚动弹幕,25,0xfef102,0,a7247029,46622122500423687,《论播放为何这么多》
3,3.01600,顶端弹幕,25,0xff7204,0,ba46861a,46403954612895749,瞅瞅这个播放量
4,184.28100,滚动弹幕,25,0xffffff,0,bed4c9bc,46307533117194245,哈哈哈哈哈哈哈哈
5,158.68100,滚动弹幕,25,0xffffff,0,6cc87f4b,46206669993541639,哈哈哈哈哈
6,18.39800,滚动弹幕,25,0xffffff,0,ba753592,46182456677105669,帮朋友看看
7,181.73000,滚动弹幕,25,0xffffff,0,91572a8b,46175961510576131,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
8,5.31700,滚动弹幕,25,0xffffff,0,9c25819,46167837651763269,我有一个朋友
9,171.84300,滚动弹幕,25,0xffffff,0,6b7f07b3,46123939499868165,我替我一个朋友看看
10,125.84400,滚动弹幕,25,0xffffff,0,6b7f07b3,46123915598102533,？？？
11,52.34400,滚动弹幕,25,0xffffff,0,6b7f07b3,46123876971708421,我有一个朋友
12,9.46300,滚动弹幕,25,0xffffff,0,43e71410,45991558529417223,沃野有个朋友
13,239.70600,滚动弹幕,25,0xffffff,0,fea6fb2f,45968427283644423,2.5！
14,116.18100,滚动弹幕,25,0xffffff,0,68b763d5,45708919530586117,摸头你看见了吗
15,17.16300,滚动弹幕,25,0xffffff,0,55f99b31,45674765671727111,我有个朋友想看看
16,243.28700,滚动弹幕,25,0xe2027f,0,e81fd907,45626326484254723,三连推广给有需要的朋友，哈哈哈
17,159.73900,滚动弹幕,25,0xffffff,0,254d6b1f,45579410995150853,寸止
18,44.47100,滚动弹幕,25,0xffffff,0,f4ed5e68,45560271502049283,五秒真男人
19,32.75600,滚动弹幕,25,0xffffff,0,f4ed5e68,45560265357918211,？
20,19.95300,滚动弹幕,25,0xffffff,0,f4ed5e68,45560258650701827,一分钟都没有的，五秒真男人
21,175.06000,滚动弹幕,25,0xffffff,0,64600c25,45541584137093127,牛壁
22,138.54000,滚动弹幕,25,0xffffff,0,64600c25,45541561067372551,我这就和我朋友说
23,115.25900,滚动弹幕,25,0xe70012,0,ddc83999,45536026688487431,危
24,121.65900,滚动弹幕,25,0xffffff,0,34b110b1,45531963647852551,？？？？？？？？？？？
25,133.02600,滚动弹幕,25,0xffffff,0,7bc5ff49,45529671523106821,我朋友懂了
26,11.92700,滚动弹幕,25,0xffffff,0,4c8730a8,45517936457678855,diy
27,175.04000,滚动弹幕,25,0xffffff,0,ecc41ff6,45483942205718533,看看啊，有视频操作嘛
28,156.50300,滚动弹幕,25,0xffffff,0,ecc41ff6,45483932500099079,看看你的
29,190.45900,滚动弹幕,25,0xffffff,0,58d2c4b7,45449521969758211,麻b
30,119.31000,滚动弹幕,25,0xffffff,0,58d2c4b7,45449478309675011,这么高?
31,31.69900,顶端弹幕,25,0xfef102,0,2f4b46ae,45433040075751429,年  少  有  为
32,202.14700,滚动弹幕,25,0xffffff,0,95e802d3,45428493659406339,《修炼爱情》
33,186.41400,滚动弹幕,25,0xffffff,0,95e802d3,45428485391908869,修炼升级哈哈哈哈哈哈
34,127.52600,滚动弹幕,25,0xffffff,0,95e802d3,45428454539657219,这概率也太高了！
35,83.29300,滚动弹幕,25,0xffffff,0,131dadf7,45364535039098887,对事不对人。
36,119.40100,滚动弹幕,25,0xffffff,0,d6330aef,45355257945391109,哈哈哈哈哈哈哈
37,83.60200,滚动弹幕,25,0xffffff,0,76a0e58d,45349359393439749,我很开心⊙▽⊙怎么办
38,36.52200,滚动弹幕,25,0xffffff,0,a1c3c6c5,45274018571354119,DIY啥意思？
39,15.26500,滚动弹幕,25,0xffffff,0,4967bbe6,45268595441664005,帮朋友
40,24.47000,顶端弹幕,25,0xe70012,0,8f607e37,45261139602309123,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
41,175.59400,滚动弹幕,25,0xffffff,0,703c352b,45214345679339523,？？？？
42,20.50800,滚动弹幕,25,0xffffff,0,99abdbbc,45214093053788163,DIY新定义！
43,33.94000,滚动弹幕,25,0xffffff,0,91e2a064,45203595293360135,那么哪里可以实战呢
44,17.72700,滚动弹幕,25,0xffffff,0,91e2a064,45203581180051459,无中生友
45,235.03800,滚动弹幕,25,0xffffff,0,881c7535,45179469152911363,半衰期短是好事，但5Ht也是中枢的递质
46,41.95800,滚动弹幕,25,0xffffff,0,881c7535,45179291053326339,互联网真是太精彩啦
47,31.55100,滚动弹幕,25,0xffffff,0,bc351480,45178378821566469,想多了，会更快
48,63.94500,滚动弹幕,25,0xffffff,0,dfd2d46e,45174915941269509,我真的不行
49,109.74800,滚动弹幕,25,0xffffff,0,f5d32546,45174826743627779,每三个人就有一个 那么看视频的我不是 医生可能也不是 只有你了…
50,226.43000,滚动弹幕,25,0xffffff,0,3573ab1e,45133577218162693,一盒好几百 别问我是怎么知道的
51,73.74400,滚动弹幕,25,0xffffff,0,52ec5300,45126528094699523,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
52,34.74400,滚动弹幕,25,0xffffff,0,52ec5300,45126507544182789,不一定
53,28.74400,滚动弹幕,25,0xffffff,0,52ec5300,45126504463466503,哈哈哈哈哈哈哈哈哈不一定
54,5.37400,滚动弹幕,25,0xfef102,0,e85781dd,45083717264211971,《我有一个朋友》
55,6.90300,滚动弹幕,25,0xffffff,0,9ac24439,45073465625542661,替我朋友看的
56,172.45900,滚动弹幕,25,0xffffff,0,ec7e53d6,45050100738686983,？？？？？？
57,44.78300,滚动弹幕,25,0xffffff,0,2ce7acb8,45021716988035075,我帮我自己看看
58,127.33100,滚动弹幕,25,0xffffff,0,ef874c56,45017552227663875,不太行•••
59,79.01300,滚动弹幕,25,0xffffff,0,f0b84f68,45016774875283461,朋让我帮他看看友
60,162.67700,滚动弹幕,25,0xffffff,0,982bdbe2,45001323048337415,。。。
61,129.34000,滚动弹幕,25,0xffffff,0,982bdbe2,45001305613139971,我是66.9%
62,23.55700,滚动弹幕,25,0xffffff,0,982bdbe2,45001250103623683,"biubiu,哈哈哈"
63,18.32300,滚动弹幕,25,0xffffff,0,c505ce88,45000810557865989,无中生有
64,16.10500,滚动弹幕,25,0xffffff,0,134307cb,44998566921895941,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
65,240.05400,滚动弹幕,25,0xffffff,0,d021c525,44997145106841605,这收藏量就离谱
66,0.00000,顶端弹幕,25,0xfef102,0,4dcd39e6,44996716974833671,我替我朋友薛松看看
67,89.96000,滚动弹幕,25,0xffffff,0,ba3d7992,44994685642473477,离谱
68,30.95900,滚动弹幕,25,0xffffff,0,ba3d7992,44994654649188357,哈哈哈哈哈哈哈
69,116.42500,顶端弹幕,25,0xe70012,0,6511694c,44992793808994375,这个比例，男的出来看证明下
70,8.07300,滚动弹幕,25,0xffffff,0,765b8a27,44992315797798915,无中生友
71,48.37600,滚动弹幕,25,0xffffff,0,5d9bfa3,44988202644668423,哈哈哈哈
72,45.27900,底端弹幕,25,0xfef102,0,40ff4ae7,44987583337857029,坏了，三年没碰过了，那我岂不是完蛋了
73,22.59900,滚动弹幕,25,0xffffff,0,31d3242a,44987578619265027,神tmDIY
74,13.82300,滚动弹幕,25,0xffffff,0,9b0fc342,44985321413672967,无中生友
75,191.00200,滚动弹幕,25,0xffffff,0,a6c37e2,44984256629309443,双修升级
76,182.39100,滚动弹幕,25,0xffffff,0,791cfe52,44979620000825349,修炼升级
77,50.14100,滚动弹幕,25,0xffffff,0,791cfe52,44979548921004039,biubiu
78,235.22000,滚动弹幕,25,0xa0ea,0,ded05eeb,44977128843771907,好，现在有三分钟了
79,168.34000,滚动弹幕,25,0xffffff,0,ded05eeb,44977027490512899,如果他不放弃，那该怎么办？
80,31.95600,滚动弹幕,25,0xffffff,0,ded05eeb,44976930937634823,真不行
81,116.04500,滚动弹幕,25,0xffffff,0,cc73a1f6,44975262950490115,我擦
82,177.50000,滚动弹幕,25,0xffffff,0,def8a6e6,44973906844975111,？？？？？？
83,251.88300,滚动弹幕,25,0xffffff,0,162fccd4,44973905549459459,大家都是因为我的一个朋友来看的嘛
84,88.83600,滚动弹幕,25,0xffffff,0,def8a6e6,44973858878914567,不同的人
85,40.31900,滚动弹幕,25,0xffffff,0,def8a6e6,44973827717332999,哈哈哈哈
86,115.75000,滚动弹幕,25,0xffffff,0,aace4065,44973688098390021,发生肾么事了
87,67.94300,滚动弹幕,25,0xffffff,0,aace4065,44973663065210887,哈哈哈
88,25.44700,滚动弹幕,25,0xffffff,0,aace4065,44973640758853639,无中生友
89,109.89900,滚动弹幕,25,0xffffff,0,49c215a9,44973411424796677,我和我兄弟相视一笑，然后看着up主。
90,180.01500,滚动弹幕,25,0xffffff,0,ba1ff787,44973333112422405,plus
91,22.89800,滚动弹幕,25,0xffffff,0,3380e181,44973265865670661,无中生有
92,27.80000,滚动弹幕,25,0xffffff,0,ba1ff787,44973253313167365,无中生友
93,36.07000,滚动弹幕,25,0xffffff,0,555458f3,44973252332748803,没有精神，根本听不见 
94,85.47700,滚动弹幕,25,0xffffff,0,28f394d,44973107204587525,不同的人？
95,27.62400,滚动弹幕,25,0xffffff,0,32720434,44973002978230277,实践会更快
96,201.92000,滚动弹幕,25,0xffffff,0,e0315ca5,44972984323538949,截图干嘛，愣着啊
