,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,75.91800,滚动弹幕,25,0xffffff,0,c6a2e0b,46572384646856709,我这鸡腿儿胎咸
2,7.86300,滚动弹幕,25,0xffffff,0,27680cbb,46443322446708741,回形针
3,83.02600,滚动弹幕,25,0xffffff,0,6bd36483,45848964210622467,简称寡头
4,3.70000,滚动弹幕,25,0xffffff,0,e92d3eda,45710717361324037,直接@回形针Paperclip
5,0.00000,滚动弹幕,25,0xffffff,0,e92d3eda,45710692371660807,什么都不用说了
6,21.51000,滚动弹幕,25,0xffffff,0,f663bd99,45708085562966021,没错      古代包扎伤口   是用来刑罚的
7,2.41900,顶端弹幕,25,0xe70012,0,8e019205,45682378950574085,只要你鞭尸回形针，我就给你点赞
8,0.40300,顶端弹幕,25,0xe70012,0,11dbc3ac,45680986350944261,阿哲
9,15.10100,滚动弹幕,25,0xffffff,0,41f2ea12,45679712482623491,自古
10,6.91900,滚动弹幕,25,0xffffff,0,6e4386d8,45659475418808323,盐什么时候垄断了？
11,53.01200,滚动弹幕,25,0xffffff,0,57daf83b,45656660441563139,自贡报道！
12,6.33900,滚动弹幕,25,0xffffff,0,72518fb1,45623392052183043,我这里还是四毛钱一包
13,21.37900,滚动弹幕,25,0xffffff,0,e2f5dbc2,45594981031215111,千万不要真的拿食用盐去敷伤口会有副作用的
14,80.57200,滚动弹幕,25,0xffffff,0,1bad9f5e,45581039028928515,房子和盐一样，咋没人管管啊
15,19.21300,滚动弹幕,25,0xffffff,0,21e2bc53,45575013802704901,回形针滚进来看看
16,11.68000,滚动弹幕,25,0xffffff,0,2d486bc7,45570285592117251,中国自古以来盐铁官营
17,23.78800,滚动弹幕,25,0xffffff,0,3e0d10e7,45566282985111557,回形针
18,25.41900,滚动弹幕,25,0xffffff,0,213fca25,45563050763223045,FeCl3可以止血
19,62.41100,滚动弹幕,25,0xffffff,0,c9475fa3,45560130387836935,历史是忽悠
20,2.73000,滚动弹幕,25,0xffffff,0,f732ae9b,45555926161162243,不需要垄断，而是需要国家垄断，由国家操控，而不是由资本家操控。
21,37.27700,滚动弹幕,25,0xffffff,0,27b2cca8,45540605005660165,回形针出来
22,21.71900,滚动弹幕,25,0xffffff,0,27b2cca8,45540596500135943,回形针人设崩塌
23,12.15900,滚动弹幕,25,0xffffff,0,27b2cca8,45540570300940295,@回形针
24,7.83900,滚动弹幕,25,0xffffff,0,27b2cca8,45540564595638279,回形针人设崩塌
25,4.81900,滚动弹幕,25,0xffffff,0,27b2cca8,45540557239877635,回形针=两面针，懂得都懂
26,48.84300,滚动弹幕,25,0xffffff,0,c8cece2e,45533497666830339,你怎么看？
27,9.46900,滚动弹幕,25,0xffffff,0,26001bd,45524449830633477,没盐人会得大脖子病
28,20.62900,滚动弹幕,25,0xffffff,0,23b2033f,45521911026286599,包扎伤口？
29,39.55500,滚动弹幕,25,0xffffff,0,fad25a0d,45482542035894277,超市1.5元两包
30,81.94500,滚动弹幕,25,0xffffff,0,4fda0a41,45482491856814149,并没有疯涨
31,64.04300,滚动弹幕,25,0xffffff,0,eed97e93,45459581514547203,快请何五奇
32,16.26500,滚动弹幕,25,0xffffff,0,24c051a3,45445873602658309,我这6毛9一包
33,18.56000,滚动弹幕,25,0xffffff,0,edca70ba,45439515640725507,否则就比房价高了
34,7.48600,滚动弹幕,25,0xffffff,0,6b050238,45438869969043461,盐铁专营。税收，取之于无形，使人不怒
35,2.81400,滚动弹幕,25,0xffffff,0,173feea6,45420418008350725,五奇明白
36,3.73100,滚动弹幕,25,0xffffff,0,d4eb34ff,45399067061649413,认为人不吃盐不会死的闭嘴
37,4.07300,滚动弹幕,25,0xffffff,0,8b33bd2c,45398291080282119,垄断被你说的这么美妙！我只能对你说”呸”！
38,83.13000,滚动弹幕,25,0xffffff,0,c94911aa,45387246362689543,咸度不是因为低钠盐嘛
39,83.05000,滚动弹幕,25,0xffffff,0,4d6f7197,45381932328943623,那句诗叫，他日若遂凌云志，敢笑黄巢不丈夫
40,10.34900,滚动弹幕,25,0xffffff,0,13cd93a6,45361596614574085,@回形针
41,35.11100,滚动弹幕,25,0xffffff,0,5180c041,45360398405730309,不赚钱的都垄断了，感谢！
42,40.46700,滚动弹幕,25,0xffffff,0,78d5e51a,45357403920662531,怕假盐。。
43,34.31800,滚动弹幕,25,0xffffff,0,47cf6f1e,45357309625368579,是用于包扎的啊
44,28.39500,滚动弹幕,25,0xffffff,0,926b6eab,45353301566291975,真的就伤口伤撒盐呗
45,83.30400,滚动弹幕,25,0xffffff,0,3491231c,45349413892128771,伤口撒盐的那位，没认真的吗
46,60.05900,滚动弹幕,25,0xffffff,0,ee0612a6,45343394120073219,你确定不是你自己口重了?
47,77.94500,滚动弹幕,25,0xffffff,0,785bfd70,45340638223794183,之前日本核泄漏不是疯长了一波吗？
48,59.98600,滚动弹幕,25,0xffffff,0,78271151,45323857446305799,两面针
49,18.09900,滚动弹幕,25,0xffffff,0,689ca497,45322123846090757,伤   口   撒   盐
50,2.30000,滚动弹幕,25,0xe70012,0,d6a45a4b,45320801997029381,@ 回形针滚出来挨打
51,45.74200,滚动弹幕,25,0xffffff,0,f134f826,45317739515478019,盐铁专营是管仲就开始的
