,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,13.82200,滚动弹幕,25,0xffffff,0,260f12ea,45654656132579333,首页
2,18.51700,滚动弹幕,25,0xffffff,0,bf141d32,45634155428970503,为什么会出现我的首页
3,45.09300,滚动弹幕,25,0xffffff,0,1040f750,45624908104859651,怎么在我的首页出现的？
4,22.45200,滚动弹幕,25,0xffffff,0,5e4285e,45616349268410371,为什么我的首页会出现这个。。。
5,0.69900,滚动弹幕,25,0xffffff,0,134af9b0,45613417741942789,为什么在我首页第一个？
6,13.00500,滚动弹幕,25,0xffffff,0,1d102c33,45611455382290439,我也是首页第一个
7,54.31900,滚动弹幕,25,0xffffff,0,9867d623,46693941204484103,没有人进来单纯看医生的嘛
8,11.79900,滚动弹幕,25,0xffffff,0,b2c20de6,46693611709923333,我有个朋友
9,59.75200,滚动弹幕,25,0xffffff,0,99967623,46681144745263107,我的病有救了
10,20.82200,滚动弹幕,25,0xffffff,0,fd0735f5,46681017385222147,换名字了
11,126.13100,滚动弹幕,25,0xffffff,0,ed43375c,46675735576313859,一个不懂
12,151.48700,滚动弹幕,25,0xffffff,0,80d0d5ea,46672583204536323,你是魔鬼
13,0.68500,底端弹幕,25,0xe70012,0,89015840,46672393144369157,我替潘高畅看看
14,1.83400,滚动弹幕,25,0xffffff,0,89015840,46672378083672069,我替朱倬磊看看
15,280.00000,滚动弹幕,25,0xffffff,0,4276c7e9,46671839796658181,我一次三小时
16,6.65900,滚动弹幕,25,0xa0ea,0,a445e360,46670204762587141,我帮我朋友看看
17,0.00000,滚动弹幕,25,0xffffff,0,8e251c9c,46668261825708039,来学习一下
18,99.85200,滚动弹幕,25,0xffffff,0,bc9f434e,46664086595829765,自我成长？
19,199.83900,滚动弹幕,25,0xffffff,0,e4479361,46662553715081221,停不下来呀
20,144.73500,滚动弹幕,25,0xffffff,0,3ce7413b,46662297256984583,hhhhhh
21,15.43000,滚动弹幕,25,0xffffff,0,e24d30d5,46661918503993349,帮我朋友看看
22,105.99800,滚动弹幕,25,0xffffff,0,8d3340c0,46661363594952711,虎狼之词
23,14.58900,滚动弹幕,25,0xffffff,0,1e0f0ec4,46660732645277699,帮我兄弟看看
24,58.51100,顶端弹幕,25,0xfef102,0,56487493,46659887059435525,你也是国服射手？
25,135.24200,滚动弹幕,25,0xffffff,0,e068ed8b,46659224570167299,听不懂啊
26,126.74100,滚动弹幕,25,0xffffff,0,e068ed8b,46659220115816451,啥啥啥？？？
27,69.61200,滚动弹幕,25,0xffffff,0,16477aa,46658903933976581,必须是前妻吗？
28,66.62800,滚动弹幕,25,0xffffff,0,d3074648,46658835442565125,我帮吴思航看
29,34.34200,滚动弹幕,25,0xffffff,0,d3074648,46658818584608771,我帮胡健看
30,260.37500,滚动弹幕,25,0xffffff,0,124eae5,46656629427404805,时间呢
31,5.83900,滚动弹幕,25,0xffffff,0,2257bd20,46655952868868099,我朋友想看看
32,34.24300,滚动弹幕,25,0xffffff,0,dea8e657,46655901286268933,帮朋友看看
33,186.89500,滚动弹幕,25,0xffffff,0,82b3180b,46655551209734151,实操
34,134.33400,滚动弹幕,25,0xffffff,0,2cf6357e,46655348646871047,牛！！！！
35,247.27500,滚动弹幕,25,0xffffff,0,c14b65ae,46654982336282631,卧槽
36,125.48600,滚动弹幕,25,0xffffff,0,9014c47b,46654473304014853,？？
37,76.90200,滚动弹幕,25,0xffffff,0,9014c47b,46654447924281351,广场
38,16.94000,滚动弹幕,25,0xffffff,0,b6b706a4,46654132430307333,帮我男朋友看
39,244.39000,滚动弹幕,25,0xffffff,0,95bab0d8,46654035726434311,？？？？？？
40,108.53800,滚动弹幕,25,0xffffff,0,95bab0d8,46653962844110855,来了来了
41,73.59200,滚动弹幕,25,0xffffff,0,95bab0d8,46653943319101447,？？？？？？？
42,39.23500,滚动弹幕,25,0xffffff,0,95bab0d8,46653924581048327,我朋友准备好了
43,6.47900,滚动弹幕,25,0xffffff,0,72b770fc,46653152428556295,我朋友拜托我帮他看一看
44,43.41900,滚动弹幕,25,0xffffff,0,481c624d,46651589217222659,羞耻
45,5.53500,滚动弹幕,25,0xffffff,0,92a137fa,46650084493885447,我朋友托我进来看看
46,258.53500,滚动弹幕,25,0xffffff,0,630ac4a2,46649720792678407,硬度怎么练
47,152.46400,滚动弹幕,25,0xffffff,0,990bb9d2,46649702032080899,这不就是寸止吗
48,57.27700,滚动弹幕,25,0xffffff,0,644f15b1,46649414726975493,我已经准备好小板凳
49,42.02400,滚动弹幕,25,0xffffff,0,644f15b1,46649406867374087,武器强化课开始
50,36.69500,滚动弹幕,25,0xffffff,0,333c611,46649388559761411,帮朋友看看
51,7.89100,滚动弹幕,25,0xffffff,0,b4df1fed,46649328998023173,我有个兄弟
52,0.00000,滚动弹幕,25,0xffffff,0,782da556,46649219587506183,帮个朋友问问
53,144.71900,滚动弹幕,25,0xffffff,0,2e2da937,46649158217498629,哥德巴赫猜想
54,119.87900,滚动弹幕,25,0xffffff,0,2e2da937,46649140372832263,好家伙  一个都听不懂
55,13.31700,滚动弹幕,25,0xffffff,0,c76e78b2,46648106022338567,想想你是怎么进来的
56,17.99400,滚动弹幕,25,0xe70012,0,1e9dc5c7,46646790902513669,进来强化
57,123.87800,滚动弹幕,25,0xffffff,0,fb7c893b,46646558117068807,？？？？
58,202.42500,滚动弹幕,25,0xffffff,0,16509fe3,46646551680385031,好了，直接讲2p吧
59,90.53900,滚动弹幕,25,0xffffff,0,8a29386e,46646105150586883,那不是更刺激
60,38.09800,滚动弹幕,25,0xffffff,0,e7cf8575,46645887956942855,幻化
61,10.09800,滚动弹幕,25,0xffffff,0,5ab9536e,46645645991215109,我有个朋友
62,36.14300,底端弹幕,25,0x927939,0,1aa464b6,46645350039027719,我有个朋友
63,186.73500,滚动弹幕,25,0x90c320,0,ddbf58ea,46645145813647367,我在b站跟一个小姐姐学控制sj.。。。
64,231.24900,滚动弹幕,25,0xffffff,0,fa3033e5,46644998658588677,不能憋回去。。
65,131.74800,滚动弹幕,25,0xffffff,0,fa3033e5,46644946600460293,准备一小时，训练三十秒
66,32.25300,滚动弹幕,25,0xffffff,0,3ea94ab2,46641153901068293,帮老公看
67,235.50400,滚动弹幕,25,0xffffff,0,67192b37,46635892805730307,倒反天罡
68,196.26000,滚动弹幕,25,0xe70012,0,d3ceac9c,46633494094282757,享受快乐
69,99.26300,滚动弹幕,25,0xe70012,0,d3ceac9c,46633437670932487,闭关修炼
70,61.30600,滚动弹幕,25,0xe70012,0,d3ceac9c,46633417615867909,历史悠久
71,120.75100,滚动弹幕,25,0xffffff,0,363ef3a4,46631762986008581,你在说什么啊姐姐
72,141.51500,滚动弹幕,25,0xffffff,0,3bef289d,46629491457392643,思考一下，线段树套KD树的题目，整个人都平静了
73,37.40500,滚动弹幕,25,0xffffff,0,bb5c93e1,46628896355385349,帮朋友看看！！！！！
74,27.01900,滚动弹幕,25,0xffffff,0,3b6dd05a,46626471732051973,无中生友
75,226.00200,滚动弹幕,25,0xffffff,0,fb38a58d,46625124616503299,原来男人也有盆腔
76,137.52200,滚动弹幕,25,0xffffff,0,fb38a58d,46625073336942599,原始技术
77,126.19200,滚动弹幕,25,0xffffff,0,5265b84c,46624534945595395,她的颤音！她在憋笑！
78,25.40800,滚动弹幕,25,0xffffff,0,298e27e3,46623673263063043,咳咳
79,49.64300,底端弹幕,25,0xfef102,0,b78902f6,46622731448877061,无中生友
80,42.85800,底端弹幕,25,0xe70012,0,b78902f6,46622722437939203,无中生友
81,123.76800,滚动弹幕,25,0xffffff,0,9d724b39,46621636382687237,？？？
82,40.93800,滚动弹幕,25,0xffffff,0,34f660db,46620032981532679,我替我朋友看看
83,11.90500,滚动弹幕,25,0xffffff,0,27746ae2,46619585977253893,我帮毛玉宽看看
84,123.38800,滚动弹幕,25,0xffffff,0,8d919205,46619550920736773,？？？
85,99.44700,滚动弹幕,25,0xffffff,0,8d919205,46619538804441095,一枪秒了有什么好说的
86,12.49800,滚动弹幕,25,0xffffff,0,8d919205,46619490172010503,我有个…
87,87.96100,滚动弹幕,25,0xfef102,0,2abec1cc,46619390943690757,卧槽，刺激
88,37.53900,滚动弹幕,25,0xffffff,0,83350c49,46619070585896963,永不磨损
89,77.31900,滚动弹幕,25,0xffffff,0,b8814a67,46618786684469251,大马路上可以吗
90,27.53900,滚动弹幕,25,0xffffff,0,3ef48a73,46617972714766341,我替“我朋友”看的这没问题呀
91,58.37900,滚动弹幕,25,0xe70012,0,a5240791,46616548645273605,周翔威前来报道
92,129.62900,滚动弹幕,25,0xffffff,0,8c52fbec,46615666370281479,还有玩这么花的？
93,0.44500,滚动弹幕,25,0xffffff,0,27c2ba20,46614501735792647,无中生友
94,124.04100,滚动弹幕,25,0xffffff,0,6f9f303b,46614236198600711,这都啥子哦¿¿¿
95,129.45500,滚动弹幕,25,0xffffff,0,c568b330,46614076392996869,？？？？？？？？
96,16.82700,滚动弹幕,25,0xffffff,0,c0fdcc23,46612694093529095,哈哈哈
97,7.60200,滚动弹幕,25,0xffffff,0,ceed630a,46612424195309571,无中生友系列
98,71.97900,滚动弹幕,25,0xffffff,0,5bf4e1db,46612257848164357,建议在操场
99,26.08600,滚动弹幕,25,0xffffff,0,553d6d60,46612187541667847,我帮隔壁老王看看
100,14.08100,滚动弹幕,25,0xffffff,0,137de4e7,46611674066583555,我替朋友看看
101,91.55700,滚动弹幕,25,0xffffff,0,9dbf970e,46611120175710213,我要这币有何用
