,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,51.91400,顶端弹幕,25,0xfef102,0,d97bbc3a,44025001877700611,方言
2,85.34900,滚动弹幕,25,0xffffff,0,96800780,44018814621319171,尔来四万八千岁  不与秦塞通人烟（doge）
3,72.13900,顶端弹幕,25,0xffffff,0,3ba8dd7f,44004076320980997,一个在左边，一个在右边
4,53.53400,滚动弹幕,25,0xffffff,0,ec7d344b,46473817622577159,好字
5,71.32400,滚动弹幕,25,0xffffff,0,727ae21e,46473041748164611,颜色浅 前爪短。
6,72.82000,滚动弹幕,25,0xffffff,0,4975db0d,45725017878036485,无差别
7,74.08800,滚动弹幕,25,0xffffff,0,e450d0e5,45680101381636099,颜色
8,15.79000,滚动弹幕,25,0xffffff,0,ea6648b8,45629408645480453,丽水人狂喜
9,70.06300,滚动弹幕,25,0xffffff,0,de65d176,45538337774632963,耶？这话我怎么在别处见过
10,72.68700,滚动弹幕,25,0xffffff,0,b3d3172a,45521646421803011,看不出来
11,20.67700,滚动弹幕,25,0xffffff,0,2cb249be,45292948161036291,ohhhhhhh
12,94.61400,滚动弹幕,25,0xffffff,0,839dfc3a,45260932676321349,五万年不够吧，应该是个亚种
13,51.78800,滚动弹幕,25,0xffffff,0,839dfc3a,45260897764507655,做个基因测序试试呗
14,16.43800,滚动弹幕,25,0xffffff,0,cce1d832,45256273652350983,好吃吗？
15,10.66100,滚动弹幕,25,0xffffff,0,cce1d832,45256268678955015,能吃吗
16,70.40200,滚动弹幕,25,0xffffff,0,d6b44246,45255635339051013,我觉得没有……
17,51.88300,滚动弹幕,25,0xffffff,0,d1b15a4a,45253480392687619,有口音
18,37.62600,滚动弹幕,25,0xffffff,0,d32de605,45251393154449411,丽水人自豪极了哈哈哈哈，沾光了沾光了
19,18.65300,滚动弹幕,25,0xffffff,0,d32de605,45251383210803207,丽水人自豪
20,58.94300,滚动弹幕,25,0xffffff,0,af2c5186,45250262494347269,地铁老人手机·jpg
21,116.33900,滚动弹幕,25,0xffffff,0,d032c02b,45249038956625925,保护生物多样性保护生态环境多样性
22,11.93000,滚动弹幕,25,0xffffff,0,fd72b10b,45248925164634119,这
23,85.37700,滚动弹幕,25,0xffffff,0,cf8ddbf9,45246346608246789,没有区别
24,27.71300,滚动弹幕,25,0xffffff,0,f765481f,45231480121589765,百山祖冷杉
25,33.55700,滚动弹幕,25,0xffffff,0,44c03456,45230938971963397,恭喜国人又多了一个物种可以上餐桌了
26,57.04300,滚动弹幕,25,0xffffff,0,1abe05c2,45221893708447749,生殖隔离
27,17.58500,滚动弹幕,25,0xffffff,0,46722967,45220815768125447,hello！！
28,20.22000,滚动弹幕,25,0xffffff,0,f3bc1a6,45215978505109507,神奇宝贝！！
29,68.60800,滚动弹幕,25,0xffffff,0,4d844e8d,45211819496701955,地理隔离
30,4.95100,滚动弹幕,25,0xffffff,0,ee5b1354,45211497483730947,好耶！！！
31,46.82700,滚动弹幕,25,0xffffff,0,3b755231,45209589082750981,新冠变异
32,79.52400,滚动弹幕,25,0xffffff,0,a4b8e3da,45208145791287301,头型不一样
33,8.67800,滚动弹幕,25,0xffffff,0,5e8754a8,45206707039633415,丽水人表示第二声
34,71.86000,滚动弹幕,25,0xffffff,0,a274f8a1,45205740095799299,脑袋顶上的花纹不一样
35,80.83800,滚动弹幕,25,0xffffff,0,b11be913,45204963044360199,。。。
36,29.81500,滚动弹幕,25,0xffffff,0,e5c3bddc,45204313828491267,是你！毛利兰！
37,68.57800,滚动弹幕,25,0xffffff,0,726275b8,45203730949210115,左边头上三角更突出
38,73.61600,滚动弹幕,25,0xffffff,0,68829939,45202063236792327,没有
39,53.29900,滚动弹幕,25,0xffffff,0,27947bfa,45201006892417031,口音罢了
40,48.22500,滚动弹幕,25,0xffffff,0,4bea6685,45199961099862023,好家伙
41,68.69500,顶端弹幕,25,0xfef102,0,fe0e016f,45198619182104579,你看到的差别
42,40.77900,滚动弹幕,25,0xffffff,0,4f564b9b,45198196033978375,看看存在生殖隔离不
43,70.78000,滚动弹幕,25,0xffffff,0,edc46ea8,45197891529605127,提示
44,102.21900,滚动弹幕,25,0xffffff,0,e2f5dbc2,45195509398241285,得益于环境的的稳定和没有人发现，更没有人吃
45,79.17300,顶端弹幕,25,0xe70012,0,ca2f6a0c,45180606863638531,啊这，啊这，我看不懂
46,22.65900,滚动弹幕,25,0xffffff,0,715077b8,45178562088534023,我们是一个被山包围的氧吧
47,4.81900,滚动弹幕,25,0xffffff,0,715077b8,45178472115994629,丽水人来了
48,46.85700,滚动弹幕,25,0xffffff,0,57f14d7e,45178270746411011,我感jio新朋友不太好康
49,31.34900,滚动弹幕,25,0xe70012,0,63f84e7b,45176565824225349,⊙∀⊙！
50,74.03700,滚动弹幕,25,0xffffff,0,9f891695,45169608784609283,差别
51,120.23300,滚动弹幕,25,0xffffff,0,2fd515ae,45169604305092613,他们要学普通话么
52,70.28400,滚动弹幕,25,0xffffff,0,d10b4730,45162280845836293,确定不是个体差异?
53,110.77700,滚动弹幕,25,0xffffff,0,14f8db7,45161766177472517,升华主题
54,70.28400,滚动弹幕,25,0xffffff,0,c217acde,45161091450798083,手脚 胖瘦
55,98.87100,滚动弹幕,25,0xffffff,0,66207e0c,45157491253706759,因为论文在国外也发布了
56,18.93600,滚动弹幕,25,0xffffff,0,147d6f5f,45155767914332167,丽（li离）水
57,31.51000,滚动弹幕,25,0xffffff,0,53d9a327,45153548546605061,角蛙
58,23.10100,滚动弹幕,25,0xffffff,0,66c137,45136538229014531,二声
59,67.67300,顶端弹幕,25,0xffffff,0,7a21a101,45133125874876423,看着看着居然想到这种蛙腿上都没肉，肯定吃起来不香还是美蛙肥
60,32.96000,滚动弹幕,25,0xffffff,0,727a4614,45131296234536963,丽水云和人报道
61,73.18100,滚动弹幕,25,0xffffff,0,2bb30381,45129783848730627,孤寡孤寡
62,13.41800,滚动弹幕,25,0xffffff,0,45308132,45128571923464195,这是我见过做好看的了
63,47.23100,滚动弹幕,25,0xffffff,0,961f6685,45128214525247491,生殖隔离。
64,71.49900,滚动弹幕,25,0xffffff,0,830e9a60,45127555698655235,我小时候也抓过来的
65,1.31600,滚动弹幕,25,0xffffff,0,c756f150,45119073558200327,li 第二声
66,49.82500,滚动弹幕,25,0xffffff,0,6ac0d038,45113579306745859,好家伙，蛙类方言
67,106.87900,滚动弹幕,25,0xffffff,0,f60e9a77,45111284757168131,地理位置的例子参考马来西亚和印尼的兰花螳
