,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,46.94400,滚动弹幕,25,0xffffff,0,b2e21e66,45933094073532419,老奴隶了
2,55.89300,滚动弹幕,25,0xffffff,0,1c859f0f,45844811598528515,你说的一个字  我都不信
3,39.96500,滚动弹幕,25,0xffffff,0,1c859f0f,45844803250814979,你说一个字我都不信
4,56.42000,滚动弹幕,25,0xffffff,0,1c859f0f,45844789144322053,我不信
5,44.78800,滚动弹幕,25,0xffffff,0,1c859f0f,45844783076737031,弹幕要笑死我
6,24.66700,滚动弹幕,25,0xffffff,0,708e566b,45670417950572551,好嘛
7,33.53900,滚动弹幕,25,0xffffff,0,72d52580,45626674269126659,工贼
8,22.01900,滚动弹幕,25,0xffffff,0,e3ecb49f,45387051196481541,有病？！！！
9,31.73900,滚动弹幕,25,0xffffff,0,260b8712,45318584219467781,因为只有你叫得动 
10,36.68700,滚动弹幕,25,0xffffff,0,c4031c4b,45277649781129219,一个左正蹬
11,25.66800,滚动弹幕,25,0xffffff,0,64aa06fd,45178712374640643,？？？？？？
12,38.06900,滚动弹幕,25,0xffffff,0,22e82d8c,45017225950134275,这依的什么法
13,30.45700,滚动弹幕,25,0xffffff,0,f77a7357,44991041086423043,？？？
14,55.63400,滚动弹幕,25,0xffffff,0,750b8bf6,44991035309817859,做狗心得
15,53.80500,顶端弹幕,18,0xfef102,0,9cf7f97f,44990414797144067,说得比唱的还好听
16,49.46800,滚动弹幕,25,0xffffff,0,90308de3,44987920496984067,休假？公务员根本不存在休假。。这题目就有问题
17,2.14600,滚动弹幕,25,0xffffff,0,a47d9642,44987658866262023,不带手机可能直接就开除了……
18,51.16800,滚动弹幕,25,0xffffff,0,24d0b233,44986674794463239,恐怖的领导
19,48.05900,顶端弹幕,25,0xe70012,0,658af729,44985676557975555,好家伙
20,21.11000,滚动弹幕,25,0xffffff,0,9b5a4a7a,44985398009004037,呵呵
21,30.33900,滚动弹幕,25,0xffffff,0,2f675ef,44983683131637765,屁
22,51.06800,滚动弹幕,25,0xffffff,0,1eabae9d,44978957021347847,我的天
23,40.75100,滚动弹幕,25,0xffffff,0,8305695b,44978820381933575,决定
