,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,35.59400,滚动弹幕,25,0xffffff,0,3c319e2f,46537189157240839,这个“复仇者联盟”不是解散了吗
2,149.23700,滚动弹幕,25,0xffffff,0,4b07b485,46400755084034055,都不在一个节奏哈哈哈哈
3,48.23700,滚动弹幕,25,0xffffff,0,4b07b485,46400701954785283,没看到头发是从后面弄到前面的嘛？
4,76.28700,滚动弹幕,25,0xffffff,0,e9609680,46400181753610247,作文
5,129.57700,滚动弹幕,25,0xffffff,0,75df7cb5,46357119130140677,哈哈哈哈哈有老年人内味儿了
6,158.07800,滚动弹幕,25,0xffffff,0,d0fd39bc,46301270267920391,大佬的闺女
7,20.40200,滚动弹幕,25,0xffffff,0,d0fd39bc,46301209837436931,台湾同志？
8,16.15900,滚动弹幕,25,0xffffff,0,45677a7d,46295640211193863,大佬 你看起来还不够强
9,93.34000,滚动弹幕,25,0xffffff,0,a1cd2ddb,46187927774953479,大佬好
10,51.34000,滚动弹幕,25,0xffffff,0,a1cd2ddb,46187905588133895,致敬
11,36.84200,滚动弹幕,25,0xffffff,0,a1cd2ddb,46187897991725061,大佬们好
12,44.35000,滚动弹幕,25,0xffffff,0,1080497,46117641871425543,这是大佬啊
13,13.19700,滚动弹幕,25,0xffffff,0,771f3f61,46036908027936775,膜拜
14,97.08500,滚动弹幕,25,0xffffff,0,ba682b5,45886638065713157,到现在还有多少国内外黑客还在用冰河
15,90.51400,滚动弹幕,25,0xffffff,0,ba682b5,45886567820034053,卧槽冰河
16,175.55000,滚动弹幕,25,0xffffff,0,765451bd,45765696911048709,大佬主要看发型
17,114.65900,滚动弹幕,25,0xffffff,0,765451bd,45765665016512517,你这发言
18,27.05900,滚动弹幕,25,0xffffff,0,c3f560b6,45764891496677381,大佬们好
19,18.99300,滚动弹幕,25,0xffffff,0,71998629,45492552317009925,6666666
20,42.93400,滚动弹幕,25,0xffffff,0,d9e5edac,45450347956142083,别瞎说，假发
21,8.57900,滚动弹幕,25,0xffffff,0,dcf0a252,45349244679225349,冰河！
