,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,34.34000,滚动弹幕,25,0xffffff,0,cc5efb62,44858427289108485,华为弹幕股东表示不能接受
2,31.36500,顶端弹幕,25,0xffffff,0,9c4685c3,44805892877058051,为我所有，却非我所用
3,13.24000,滚动弹幕,25,0xffffff,0,26abb4e2,44799318424027141,逃避坐牢
4,17.49300,滚动弹幕,25,0xffffff,0,16c4282,44792948783054855,25企业所得税了解一下
5,16.72200,滚动弹幕,25,0xffffff,0,60d48a60,44782536993275911,教你偷税漏税
6,28.59000,滚动弹幕,25,0xffffff,0,aad73aa2,44774493851746309,弹幕笑死了，还不要把任正非和他俩放一起，真实忠花粉了。用的同一个路子，你任正非就高贵了？
7,24.71400,滚动弹幕,25,0xffffff,0,aad73aa2,44774444686639111,任正非是你爹，这么舔
8,34.72000,滚动弹幕,25,0xffffff,0,1330dfaa,44677612090425351,任正非有实权？公司都是轮值董事管的
9,29.24700,滚动弹幕,25,0xffffff,0,65d08cae,44648023604068355,哈哈 不要脸有什么关系 赚了钱才是王道
10,23.65600,滚动弹幕,25,0xffffff,0,da0b1f8e,44643316233404419,首先你得有钱去投资一个公司。
11,30.81000,滚动弹幕,25,0xffffff,0,edbb0ace,44608942889238535,有限责任公司不香吗？
12,4.85100,滚动弹幕,25,0xffffff,0,bc4bcb99,44577108241940485,偷税漏税？
13,15.03400,滚动弹幕,25,0xffffff,0,b57251ce,44572362726703109,尽出啥主意呢
14,7.44900,滚动弹幕,25,0xffffff,0,cf12b2db,44568910891581447,这叫专空子
15,19.86600,滚动弹幕,25,0xffffff,0,dba9130e,44566580439810053,顺丰
16,32.49500,滚动弹幕,25,0xffffff,0,dbab5083,44544241385865219,现在老板都这么多了吗，都开始教别人当老板了
17,25.30400,滚动弹幕,25,0xffffff,0,b3ea5730,44540553029222403,关联公司这种东西 你以为真出事了就能逃脱法律制裁了吗
18,25.91900,滚动弹幕,25,0xffffff,0,9f0354d4,44537765195415559,这叫不要脸……
19,34.17900,滚动弹幕,25,0xffffff,0,cf69118f,44530240904495111,？
20,32.15900,滚动弹幕,25,0xffffff,0,94e80894,44527971657056261,不是别把任正非和另外那俩放一块
21,26.85300,滚动弹幕,25,0xffffff,0,8935cf2b,44499961976979463,?
22,26.91100,顶端弹幕,25,0xe70012,0,bfc1499a,44499620900372487,这叫逃避法律责任
23,35.11500,滚动弹幕,25,0xffffff,0,ec4d55b9,44497012143947781,这叫偷税漏税
24,31.82100,滚动弹幕,25,0xffffff,0,6bbcba92,44480948204994563,馊主意了
25,28.82000,滚动弹幕,25,0xffffff,0,9fda70e6,44445968056188931,因为不担责，所以才野浪
26,0.63000,滚动弹幕,25,0xffffff,0,d88a882b,44411500151963655,不懂法就别瞎普及
27,18.37900,滚动弹幕,25,0xffffff,0,44a86490,44386154967990277,库若米
