,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,257.56500,滚动弹幕,25,0xffffff,0,66056810,46633050676658179,敏感肌能用吗？
2,130.91100,滚动弹幕,25,0xffffff,0,646069c9,46568526564032515,不对劲
3,88.45900,滚动弹幕,25,0xffffff,0,85e28417,46519720955871239,哈哈哈哈哈
4,32.59000,滚动弹幕,25,0xffffff,0,cc1d9ef6,46485747972702211,打他
5,29.25300,滚动弹幕,25,0xffffff,0,8c281eb3,46480884900036611,你又接上话了是吧
6,150.38700,滚动弹幕,25,0xffffff,0,a352e5a5,46441851189723139,哈哈哈哈哈
7,144.63100,滚动弹幕,25,0xffffff,0,a352e5a5,46441848251613191,我们公司有
8,241.63500,滚动弹幕,25,0xffffff,0,42308b4,46396281405833219,敏感肌可用
9,315.93000,滚动弹幕,25,0xffffff,0,6de973a0,46314786527379461,哈哈哈哈哈哈哈哈哈哈哈哈好
10,96.85700,滚动弹幕,25,0xe70012,0,683b9c3c,46295366196789255,菲律宾国家安全会议
11,42.40400,滚动弹幕,25,0xffffff,0,bc77b6e2,46283210433757191,打他
12,91.19900,滚动弹幕,25,0xffffff,0,51fa2569,46268647611039749,舔
13,36.42500,滚动弹幕,25,0xffffff,0,51fa2569,46268618787782659,哈哈哈
14,116.76600,滚动弹幕,25,0xffffff,0,43a2a520,46267917162512387,哈哈哈哈
15,51.57900,滚动弹幕,25,0xffffff,0,e2ae8e65,46264225992540167,打他Y的
16,75.52900,滚动弹幕,25,0xffffff,0,87b64b9c,46244427849007111,小丑竟是我自己
17,33.53900,滚动弹幕,25,0xffffff,0,b3d6b94c,46241884174024709,太他妈卑微了
18,283.06700,滚动弹幕,25,0xffffff,0,6387ed39,46241105943461895,这得给了多少钱
19,41.83400,滚动弹幕,25,0xffffff,0,bb39190,46220941997375491,哈哈哈哈哈哈哈
20,128.81900,滚动弹幕,25,0xffffff,0,55de1a94,46220559797714951,哈哈哈
21,32.29700,滚动弹幕,25,0xffffff,0,4ef0a1ac,46218056229191683,卑微
22,39.01600,滚动弹幕,25,0xffffff,0,31afdc34,46217196010471429,不能不品尝
23,30.98300,滚动弹幕,25,0xffffff,0,c926c97f,46214394900643843,你闭嘴吧你哈哈哈哈哈哈
24,112.89900,滚动弹幕,25,0xffffff,0,85abeda,46213576220213255,哈哈哈哈哈哈哈哈哈
25,130.11400,滚动弹幕,25,0xffffff,0,51845814,46203361378172931,啊？？？？
26,112.70600,滚动弹幕,25,0xffffff,0,c30738da,46170905418661893,牛逼
27,88.52500,滚动弹幕,25,0xffffff,0,8e23e5fb,46123607204036613,一万匹草泥马奔腾而过
28,118.96100,滚动弹幕,25,0xffffff,0,d7c0cdf7,46123026988662789,哈哈哈哈哈
29,186.50600,滚动弹幕,25,0xffffff,0,c064334c,46114149585387523,这个广告对我们观众有什么用？
30,47.61100,滚动弹幕,25,0xffff00,0,952b8cc,46111195413872645,情敌
31,73.68100,滚动弹幕,25,0xffffff,0,8b6b9bcc,46110258067144709,好猥琐
32,147.83300,滚动弹幕,25,0xffffff,0,2625aef1,46079458554150919,这就近广告了？
33,32.81800,滚动弹幕,25,0xffffff,0,272f7d39,46066647138041859,老鸽你又来坏事儿了！
34,83.42300,滚动弹幕,25,0xffffff,0,99bec815,46024602205814787,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
35,235.54800,滚动弹幕,25,0xffffff,0,c2f5806d,45997814836101123,买了一箱了，孩子很喜欢吃
36,141.93700,滚动弹幕,25,0xffffff,0,89f6bac,45993552462217223,猝不及防
37,224.13700,顶端弹幕,25,0xfef102,0,825aa1a1,45988811481022471,这个孩子很喜欢，以后还会买
38,106.53800,滚动弹幕,25,0xffffff,0,6542850f,45932980505935875,快跑
39,39.37400,滚动弹幕,25,0xe70012,0,4c92fdda,45931010185494533,一生之敌
40,143.68300,滚动弹幕,25,0xffffff,0,df230335,45902102952673283,卧槽，大意了
41,189.74900,顶端弹幕,25,0xffffff,0,1bdf53d2,45902069306490883,我看我自己
42,79.84500,滚动弹幕,25,0xffffff,0,1bdf53d2,45902001609900037,晓姐姐真的太好看了！！！！！
43,148.67000,滚动弹幕,25,0xffffff,0,20078f64,45894060197019653,淦！！！
44,73.26300,滚动弹幕,25,0xffffff,0,20078f64,45894020682481671,虎子，你他娘的意大利炮呢
45,187.08000,滚动弹幕,25,0xffffff,0,74cab479,45847177859694597,jjjjjJJJJJJ
46,267.06000,滚动弹幕,25,0xffffff,0,bffcaf4e,45801219041001479,过分了啊
47,113.11000,滚动弹幕,25,0xffffff,0,44e8a1ae,45793678113898499,好家伙
48,224.05900,滚动弹幕,25,0xffffff,0,514c7de7,45766225298980867,真的好喝，强烈建议大家购买
49,114.87000,滚动弹幕,25,0xffffff,0,1fc0643a,45765475735437315,哈哈哈哈哈哈哈
50,109.60000,滚动弹幕,25,0xffffff,0,c3f6f2ad,45764421469339655,哈哈哈
51,125.26400,滚动弹幕,25,0xffffff,0,77f3cec9,45758497514061829,哈哈哈哈哈哈
52,134.82000,滚动弹幕,25,0xffffff,0,7a91c204,45753435618803719,肝帝真是杯微
53,119.37900,滚动弹幕,25,0xffffff,0,6d03227d,45722596127801349,嘎哈哈哈哈哈哈哈哈
54,169.65900,滚动弹幕,25,0xffffff,0,4b359e66,45720703544590339,看起来还挺不错的啊
55,109.65900,滚动弹幕,25,0xffffff,0,7de4a505,45715542440411141,哈哈哈哈哈哈
56,154.03900,滚动弹幕,25,0xffffff,0,78e29f8,45694799054897159,意大利了
57,250.35800,滚动弹幕,25,0xffffff,0,4a4d7535,45682449407541253,很好吃，还会回购
58,132.57600,滚动弹幕,25,0xffffff,0,4a4d7535,45682387797934083,一生之敌  猝不及防
59,37.28100,滚动弹幕,25,0xffffff,0,4a4d7535,45682337712701443,一生之敌
60,125.45600,滚动弹幕,25,0xffffff,0,21a7affb,45678769174216709,？？？
61,132.00000,滚动弹幕,25,0xffffff,0,9d607403,45675888411410437,猝不及防
62,306.49400,滚动弹幕,25,0xffffff,0,64114973,45672164330307587,拔插座
63,119.03800,滚动弹幕,25,0xffffff,0,64114973,45672053519417349,门已焊死……
64,132.59000,底端弹幕,25,0xfe0302,0,60ac52ce,45670725110988807,哈哈哈哈
65,85.12900,滚动弹幕,25,0xffffff,0,f560a1f7,45668542431887367,笑死我得了
66,68.31300,滚动弹幕,25,0xffffff,0,4e4059a8,45660606408687623,察言观色
67,67.56100,滚动弹幕,25,0xffffff,0,6e019df9,45654600887828485,琉璃净的柠檬红茶才6元
68,13.89900,滚动弹幕,25,0xe2027f,0,f37e5658,45636367421538307,哈哈哈哈
69,112.94600,滚动弹幕,25,0xffffff,0,b7d22b5e,45630586727956487,2333
70,85.09400,滚动弹幕,25,0xffffff,0,b7d22b5e,45630572149080069,啊
71,55.56900,滚动弹幕,25,0xffffff,0,b7d22b5e,45630556655845379,哈哈
72,126.27100,滚动弹幕,25,0xffffff,0,b4bc32c0,45627636857700357,猝不及防
73,125.84300,滚动弹幕,25,0xffffff,0,1b6fdf93,45615088081043461,哈哈哈哈哈哈哈哈哈
74,192.60300,滚动弹幕,25,0xffffff,0,4319334e,45610787889741829,已经买了，敏感肌也能用
75,110.37400,滚动弹幕,25,0xffffff,0,4319334e,45610752168427525,？
76,102.82100,滚动弹幕,25,0xffffff,0,823c7e24,45608692848525315,舔狗终是一无所得
77,240.33900,滚动弹幕,25,0xffffff,0,58a5d162,45588934543540231,杜特尔特:   买！
78,56.35900,滚动弹幕,25,0xffffff,0,58a5d162,45588812693241863,可怜的董王。。。。。被无视
79,135.34000,滚动弹幕,25,0xffffff,0,b2ecbfec,45583389707730949,猝不及防
80,114.39100,滚动弹幕,25,0xffffff,0,53ad6939,45583261904666631,哈哈哈
81,76.13900,滚动弹幕,25,0xffffff,0,ae3f6dfb,45568899498901507,哈哈哈哈
82,68.39200,滚动弹幕,25,0xffffff,0,db3b7ce1,45525743218196483,这个痴汉的表情太到位了
83,320.84000,滚动弹幕,25,0xffffff,0,bb4bed73,45439599175008263,小丑是自己 哭哭
84,243.35900,滚动弹幕,25,0xffffff,0,bb4bed73,45439573504819203,为了找个媳妇 真的太难了 哈哈
85,183.29600,滚动弹幕,25,0xffffff,0,bb4bed73,45439549409067015,好卡 哈哈
86,79.39100,滚动弹幕,25,0xffffff,0,bb4bed73,45439494921912327,一生之敌
87,44.31700,滚动弹幕,25,0xffffff,0,bb4bed73,45439476488470533,老舔狗 哈哈哈
88,88.93600,滚动弹幕,25,0xffffff,0,ee855794,45432201721413637,一脸嫌弃
89,64.01700,滚动弹幕,25,0xffffff,0,3b2d26f5,45429275555266563,吃土的我觉得蜜雪冰城蛮好的
90,21.80000,滚动弹幕,25,0xffffff,0,dfb30807,45428888461901827,叫老婆
91,308.32400,滚动弹幕,25,0xffffff,0,9f988f5c,45405704084258819,卧槽，好残忍
92,184.53400,滚动弹幕,25,0xffffff,0,9f988f5c,45405675600216069,最后kris和冬晓一起在家远程办公
93,134.22600,滚动弹幕,25,0xffffff,0,9f988f5c,45405652779008007,这个饭恰的
94,47.51700,滚动弹幕,25,0xffffff,0,9f988f5c,45405622837444615,逼王Kris
95,41.06500,滚动弹幕,25,0xffffff,0,9f988f5c,45405491817873411,御姐冬晓
96,128.82500,滚动弹幕,25,0xa0ea,0,8b2ae0ad,45389335509336069,丝滑
97,110.51600,滚动弹幕,25,0xffffff,0,8b2ae0ad,45389325968343047,？？？？
98,45.10700,滚动弹幕,25,0xffffff,0,8b2ae0ad,45389291686723587,哈哈哈，意大利式的侮辱
99,76.98600,滚动弹幕,25,0xffffff,0,f86989b0,45367244261687299,一生之敌1
100,60.20200,滚动弹幕,25,0xffffff,0,f86989b0,45367235312091141,哈哈哈
101,131.08600,滚动弹幕,25,0xffffff,0,daab5a92,45360939517083651,防不胜防啊
102,44.14700,滚动弹幕,25,0xffffff,0,ee855794,45356787027148807,又是你
103,289.03900,滚动弹幕,25,0xffffff,0,d0a54335,45352577736900611,已经买了，孩子说很好吃。
104,263.18900,滚动弹幕,25,0xffffff,0,df17d575,45352411512438791,买了，我现在都一小时了
105,245.46300,滚动弹幕,25,0xffffff,0,df17d575,45352395326619651,广告里面查剧情啊
106,68.15300,滚动弹幕,25,0xffffff,0,1d9b670,45350181656330247,哈哈同款咖啡机，他这个要清理污垢了
107,270.14500,滚动弹幕,25,0xffffff,0,42a47023,45320391959773189,哈哈哈
108,49.24700,滚动弹幕,25,0xffffff,0,5e2473a5,45303345237196803,揍他！
109,147.83000,滚动弹幕,25,0xffffff,0,eae4d390,45298152894365703,没有闪
110,112.13900,滚动弹幕,25,0xffffff,0,30194100,45297306522615813,冬晓的白眼太好看了
111,270.53000,滚动弹幕,25,0xffffff,0,7d46f75e,45296466839207943,？？？
112,245.53000,滚动弹幕,25,0xffffff,0,607f1e78,45272181867806727,这个好贵
113,47.64400,滚动弹幕,25,0xffffff,0,30b04dd,45271989187772423,站着如喽啰
114,105.44500,滚动弹幕,25,0xffffff,0,9eb25600,45269217241989125,杜特尔特
115,38.66500,滚动弹幕,25,0xffffff,0,9eb25600,45269182250483715,打他
116,257.91300,滚动弹幕,25,0xffffff,0,88afb4fd,45265564369682439,别恰了别恰了别
117,59.31600,滚动弹幕,25,0xffffff,0,1059e54,45260197976866823,拿铁太甜是长沙特色吗……
118,107.23100,滚动弹幕,25,0xffffff,0,4687d6e8,45256523110678531,舔狗本狗
119,119.06400,滚动弹幕,25,0xffffff,0,b49379d7,45255728260186115,哈哈哈
120,289.98300,滚动弹幕,25,0xffffff,0,f19498b3,45252141446594563,我买了，我妈说这电脑好用
121,89.19900,滚动弹幕,25,0xffffff,0,2d9acae0,45252079903047687,插什么？插足
122,76.77700,顶端弹幕,25,0xe70012,0,df8b15bd,45252061873831943,冬晓的侧颜哈哈哈哈哈哈
123,51.84500,滚动弹幕,25,0xffffff,0,2d9acae0,45252060318793735,插足！！！！
124,293.63100,顶端弹幕,25,0xfe0302,0,a5b13621,45251115288625155,钉钉：我好像看到了什么
125,86.69600,滚动弹幕,25,0xffffff,0,f936d306,45247621433917443,梳子给你
126,116.25700,滚动弹幕,25,0xffffff,0,dcdf810f,45247515355250695,办他
127,47.99600,滚动弹幕,25,0xffffff,0,dcdf810f,45247504866344965,办他
128,118.82400,滚动弹幕,25,0xffffff,0,363e1a4d,45243419524071431,舒服了
129,114.05900,滚动弹幕,25,0xffffff,0,363e1a4d,45243416437063687,痛快了
130,128.50800,滚动弹幕,25,0xffffff,0,184a2182,45223935229296645,老萧亲自出演
131,77.16000,滚动弹幕,25,0xffffff,0,184a2182,45223908355342341,肝帝：一个被直播耽误的演员
132,37.76600,滚动弹幕,25,0xffffff,0,5e69965a,45222584778227717,哈哈
133,24.17300,滚动弹幕,25,0xffffff,0,5e69965a,45222577314463747,肝帝对妹子痴心不改啊
134,324.65400,滚动弹幕,25,0xffffff,0,c1ebfb11,45221937176117255,最佳编剧
135,126.14400,滚动弹幕,25,0xffffff,0,c1ebfb11,45221889929379909,？？？？
136,97.57500,滚动弹幕,25,0xffffff,0,c1ebfb11,45221874953617413,卑微
137,43.46800,滚动弹幕,25,0xffffff,0,c1ebfb11,45221846600646659,茶颜打钱
138,83.22000,滚动弹幕,25,0xffffff,0,a9177548,45221066469539843,猥琐
