,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,30.37600,滚动弹幕,25,0xffffff,0,8a240263,46694235294924803,很多事情可以做啊，譬如加班
2,14.39900,滚动弹幕,25,0xffffff,0,caed40c1,46693392862150661,真丑。。。
3,35.82900,滚动弹幕,25,0xffffff,0,cdbd5309,46692691271483395,n你妈
4,39.39800,滚动弹幕,25,0xffffff,0,f46bb3a3,46675241206808579,资本家的嘴脸
5,13.96600,滚动弹幕,25,0xffffff,0,4912922b,46673546551754757,相由心生
6,28.30600,滚动弹幕,25,0xe70012,0,82ddc4b9,46667778238709765,作死
7,29.06000,滚动弹幕,25,0xffffff,0,f4ff652c,46662954167304199,没有心思。。打。。打工？他分明再说没有心思给他打工，哈哈哈呵呵呵
8,29.38500,滚动弹幕,25,0xffffff,0,a4c37213,46662353180688387,资本家猪猡
9,18.32400,滚动弹幕,25,0xffffff,0,ae921783,46657112771657731,一群不知死活的小东西，都没开眼吧，他是谁你晓得吧？
10,20.01900,滚动弹幕,25,0xffffff,0,75935faf,46656492723503107,在宿舍区
11,38.34000,滚动弹幕,25,0xffffff,0,b3e9123c,46648038306873349,我往上走，走得上去吗？
12,40.68100,滚动弹幕,25,0xfef102,0,c972c24a,46644546144043011,有些人被老板欺负惯了，看到个企业家就疯了
13,19.39900,滚动弹幕,25,0xffffff,0,85606e8f,46630680322375685,资本家的嘴脸
14,33.94500,滚动弹幕,25,0xffffff,0,302cb512,46630568010448899,吸血啊
15,17.60800,滚动弹幕,25,0xffffff,0,11c6ac72,46627211170021381,关你什么事
16,41.86300,滚动弹幕,25,0xffffff,0,bc08617e,46626646032646149,fnndgp
17,41.18500,滚动弹幕,25,0xffffff,0,503f021c,46625298209308675,你几十万工人有几十万工厂不
18,32.91500,滚动弹幕,25,0xffffff,0,c51a0749,46621588397228035,我觉得没问题 你可以喜欢玩 但你绝对不能沾赌博的东西
19,40.61900,滚动弹幕,25,0xffffff,0,cf244cf9,46619359904268293,下班也不准打牌的老板，点赞。
20,49.51000,滚动弹幕,25,0xfef102,0,983899f3,46619013946540035,恨不得24小时工作
21,36.53900,滚动弹幕,25,0xfef102,0,983899f3,46618994613420035,那是别人的选择。不需要你来帮他选
22,31.44700,滚动弹幕,25,0xffffff,0,caa05b1c,46615163298119687,呸
23,2.79900,滚动弹幕,25,0xffffff,0,ab1583b7,46613876418019335,这个狗东西
24,45.79700,滚动弹幕,25,0xffffff,0,e97f4947,46611478458925063,工作之余还可以加班嘛
25,38.56300,滚动弹幕,25,0xffffff,0,9757608,46610128981983239,宿舍可以理解
26,40.45100,滚动弹幕,25,0xffffff,0,92a35490,46609002238312455,意思就是加班呗
27,16.35000,滚动弹幕,25,0xfef102,0,37625256,46606297211076615,把自己当皇帝了，投机取巧的既得利益者
28,21.38400,滚动弹幕,25,0xffffff,0,52951ba6,46592013310099463,说一套做一套，知行不一
29,12.11900,滚动弹幕,25,0xffffff,0,78668d29,46582750992924679,还是不够努力
30,19.73600,滚动弹幕,25,0xffffff,0,a336cad9,46578245373526019,老总轮流做吗？
31,28.97400,滚动弹幕,25,0xffffff,0,67750106,46577895715373063,wrnm
32,45.61300,滚动弹幕,25,0xffffff,0,f831afd6,46574497202438147,没说错，有道理
33,34.89800,滚动弹幕,25,0xffffff,0,7f8ae0ba,46568538863304707,一辈子坚持做压榨就是成功商人
34,17.89700,滚动弹幕,25,0xffffff,0,ef531b61,46567645952606215,管的宽，而且违法
35,33.26000,滚动弹幕,25,0xe70012,0,fc4f5ff3,46564973640417287,多少钱了，提高？
36,6.10100,滚动弹幕,25,0xffffff,0,19041c08,46562688848363527,你妈福
37,32.16000,滚动弹幕,25,0xffffff,0,cec30248,46562159122972743,滚
38,41.93000,滚动弹幕,25,0xffffff,0,5ba4b0f5,46555146293870599,要你管
39,25.85900,滚动弹幕,25,0xffffff,0,c064b816,46540567921819651,老一辈看麻将跟看赌博一样吧
40,31.46100,滚动弹幕,25,0xffffff,0,dbcfb0da,46538712556765189,资本家就这样
41,27.53900,滚动弹幕,25,0xffffff,0,cc98531e,46533490576982023,谁说的我朋友就是爱打牌输了就去赚钱，我不打牌不抽烟不喝酒都没啥赚钱欲望
42,18.65900,滚动弹幕,25,0xffffff,0,cc98531e,46533465905037317,管打游戏吗？
43,30.41200,滚动弹幕,25,0xffffff,0,d82de070,46530663596163077,？
44,32.94400,滚动弹幕,25,0xffffff,0,2495b36a,46530059358961667,王八犊子
45,29.05500,滚动弹幕,25,0xe70012,0,d66833ad,46529828517576709,我可去你大爷的吧
46,31.52000,滚动弹幕,25,0xffffff,0,553534ae,46524456815296515,狗东西，下班了关你屁事
47,36.75900,滚动弹幕,25,0xffffff,0,ff4dce54,46524416605552645,吐口痰再走
48,34.21900,滚动弹幕,25,0xffffff,0,ff4dce54,46524411739635715,傻逼东西
49,32.89000,滚动弹幕,25,0xffffff,0,27fb4be8,46522983951368197,有道理，为了家庭，你也要多学点东西，你为了自己吗？有些评论真是低格局，阅读会提升一个人发展空间
50,16.29800,滚动弹幕,25,0xffffff,0,27fb4be8,46522928527835141,这些就是有脑子人和没脑子的人区别，应该把自己时间和自己梦想和奋斗结合起来
51,10.25800,滚动弹幕,25,0xffffff,0,27fb4be8,46522893638041603,你们是意气用事，人家希望你们多读书，终身学习，你学到东西提高你的个人修养，贪图，精神境界。不要玩物丧志。你们把做饭拎出来讲。你们脑子是怎么长的，为了发泄而发泄? 而且养成这种习惯，万一小赌博变成大赌博
52,39.86000,滚动弹幕,25,0xffffff,0,49342ca6,46518719660687363,狗东西
53,6.61900,滚动弹幕,25,0xe70012,0,1e64030b,46512516408803331,打工又不是卖身，没必要24小时符合你的要求
54,24.84400,滚动弹幕,25,0xffffff,0,1033d257,46510737762287621,你有多少职位？
55,15.41900,滚动弹幕,25,0xffffff,0,7afd95bf,46505364798570503,这就是一副资本家嘴脸啊
56,14.18300,滚动弹幕,25,0xffffff,0,b218601,46495505153785861,如果个个都不想当工人，谁给你压榨
57,33.96900,滚动弹幕,25,0xffffff,0,e4b18b8c,46489712210739203,工作之余干嘛要你管？
58,7.97900,滚动弹幕,25,0xe70012,0,1c9a378e,46489134789296135,好家伙，这要是让你看见下班在做饭，不得当街让你给剁了
59,34.58500,滚动弹幕,25,0xffffff,0,6eda54cd,46486707820298245,人话否
60,7.81800,滚动弹幕,25,0xffffff,0,6eda54cd,46486690365702147,？？？？
61,39.94400,滚动弹幕,25,0xffffff,0,9cb67aad,46486612500545539,你先把普通话提高一下？
62,20.94400,滚动弹幕,25,0xffffff,0,9cb67aad,46486602403282949,你下班在干嘛 老不死
63,23.95900,滚动弹幕,25,0xffffff,0,31ae25e1,46486259240009733,爷是为了生活而工作，不是为了工作而生活。
64,38.07300,滚动弹幕,25,0xffffff,0,f559d6fb,46483967830917125,打麻将很好玩啊，我四川的，觉得很有意思
65,15.11400,滚动弹幕,25,0xffffff,0,f559d6fb,46483955787497475,打麻将好耍啊
66,38.46300,滚动弹幕,25,0xffffff,0,efdee3b5,46483600779509763,说得好！往上走就是彼可取而代也！！！
67,45.45900,滚动弹幕,25,0xffffff,0,b6448dc2,46482683405533189,我傻了 人家说的没错呀 别人有时间读书考研究生不比我玩王者强吗
68,26.97900,滚动弹幕,25,0x84c0cb,0,e676d551,46481726640226309,有俩钱连北都不知道了
69,34.04000,滚动弹幕,25,0xffffff,0,e7e96bee,46475927686217733,路灯挂件
70,15.06700,滚动弹幕,25,0xffffff,0,6b4a98b5,46473495699783747,狗东西
71,50.00000,滚动弹幕,25,0xffffff,0,dff9f927,46471748679368707,你管那么多，我们自己的时间只要不赌博涉毒，我的自由时间你管得着么？
72,49.92000,滚动弹幕,25,0xffffff,0,3f9151ce,46471354216087559,说实话，打麻将真的会出一些问题的
73,49.92000,滚动弹幕,25,0xffffff,0,7a59c5a6,46470035380109319,没毛病啊
74,10.79200,滚动弹幕,25,0xffffff,0,1aa79a82,46469779780272131,呵呵
75,5.69100,滚动弹幕,25,0xffffff,0,9868955a,46469674133618691,你们这群傻子，我早就说过曹德旺也是资本家你们还舔他
76,35.05900,滚动弹幕,25,0xffffff,0,89248d13,46469138594922501,这个女的好漂亮呀
77,2.62200,滚动弹幕,25,0xffffff,0,4c16ffd3,46464191573786627,你们公司怕只要机器人
78,37.43800,滚动弹幕,25,0xffffff,0,e38e8680,46453528858722311,比如加班
79,1.61900,滚动弹幕,25,0xffffff,0,1c6fabac,46445102648786949,哈哈工人都是垃圾
80,39.09800,滚动弹幕,25,0xffffff,0,4fef9501,46444993563852805,提高？
81,8.76600,滚动弹幕,25,0xffffff,0,bc4486ee,46441628575989767,狗东西！  下班关你屁事，
82,42.94900,滚动弹幕,25,0xffffff,0,187926c3,46441389046104069,工农阶级？
83,4.21700,滚动弹幕,25,0xffffff,0,ad2eecad,46421756538781701,其实比较认同，但是说一点娱乐都没有，那是假的，工作之余适当提升自己是好事
84,35.78600,滚动弹幕,25,0xffffff,0,f433d045,46418611354468355,比如自愿加班
85,35.91700,滚动弹幕,25,0xffffff,0,8d1cb31b,46404105021161475,管的着吗你
86,32.78000,滚动弹幕,25,0xffffff,0,1fd9706b,46400726204678151,说的好
87,31.45100,滚动弹幕,25,0xfef102,0,d218b7c2,46387507285721095,工作之余做啥要你管啊
88,44.26200,顶端弹幕,25,0xe70012,0,8a12aca9,46356203061116931,应该不懂自由为何物吧……
89,26.60400,滚动弹幕,25,0xffffff,0,ff51fafd,46342574008958981,你以为你是谁？
90,24.99200,滚动弹幕,25,0xffffff,0,b73a8bcd,46329507783114759,鬼
91,7.97800,滚动弹幕,25,0xffffff,0,37dd3f11,46314297328402437,典型资本家嘴脸
92,18.09900,滚动弹幕,25,0xffffff,0,4964831c,46307710007771205,老比登
93,35.08600,滚动弹幕,25,0xffffff,0,2a875980,46301332760952835,关你屁事
94,34.06100,滚动弹幕,25,0xffffff,0,e61c8c4a,46299809391312903,老猪狗
95,42.29500,滚动弹幕,25,0xffffff,0,26cdcdd0,46295979512561671,扯淡没工人哪来的你
96,22.73500,滚动弹幕,25,0xffffff,0,9f4dfa3a,46294160917397511,呵呵
97,42.90000,滚动弹幕,25,0xe70012,0,9fc463d0,46291109089902595,开始装逼
98,30.82400,滚动弹幕,25,0xffffff,0,9fc463d0,46291092867907589,你喝酒
99,39.81500,滚动弹幕,25,0xffffff,0,e022e624,46290430186749957,说的是好的
100,49.92000,滚动弹幕,25,0xffffff,0,53454a33,46290199184932871,以后打行开不？
101,22.06100,滚动弹幕,25,0xffffff,0,53454a33,46290183113408517,以前打的也不行？
102,34.53700,滚动弹幕,25,0xffffff,0,bb97eda3,46286345779806213,工人招你惹你了？工人现在就这么没地位？
103,42.64000,滚动弹幕,25,0xffffff,0,4d1e0111,46277567199576067,下班是自己时间，你没权利管
104,43.58200,顶端弹幕,25,0xa0ea,0,86fe806b,46267237296766979,就该有更严格的公会管理，上进跟你老板没关系，他工作有效率你管他干啥
105,32.94200,滚动弹幕,25,0xffffff,0,86e62401,46265693317890055,比如加班
106,32.30300,滚动弹幕,25,0xffffff,0,c6bb668d,46265662570496003,家长
107,26.71900,滚动弹幕,25,0xffffff,0,7c24471e,46257582597210117,资本家
108,34.25400,滚动弹幕,25,0xffffff,0,82e9bd57,46257578662428677,资本家的嘴脸认识了吗？
109,13.97100,滚动弹幕,25,0xffffff,0,5b3a6335,46255045690261511,狗东西
110,40.73900,滚动弹幕,25,0xffffff,0,7997f199,46250167223975943,赌博难道是好事？
111,15.99900,滚动弹幕,25,0xffffff,0,fee263cd,46248764233482245,宿舍区本来就不该堵脖
112,18.90200,滚动弹幕,25,0xffffff,0,dddef57e,46247158900326405,资本家
113,49.92000,滚动弹幕,25,0xffffff,0,998adbde,46246959597486085,就不会好好打工了
114,25.03200,滚动弹幕,25,0xffffff,0,6dba40ce,46242201704857607,滚
115,40.04200,滚动弹幕,25,0xffffff,0,7214fdbd,46237244238856197,骂人的一般都没文化
116,25.83900,滚动弹幕,25,0xffffff,0,c1072d7e,46229021551230979,关你什么事
117,18.89600,滚动弹幕,25,0xffffff,0,9007690d,46223262038884357,施辩者。世世聪明生天世间。言辞辩慧口辩流利无一瑕秽。闻者喜悦莫不戴仰！！
118,38.34200,滚动弹幕,25,0xffffff,0,a750cfb4,46222109252255751,吐口痰再走
119,35.99000,滚动弹幕,25,0xffffff,0,5f0f3b,46222102798794757,丑恶嘴脸
120,44.43900,滚动弹幕,25,0xffffff,0,c05c0198,46221334362456071,呵呵，资本家你酒桌上胡吃海喝时候有人管吗
121,38.82700,滚动弹幕,25,0xffffff,0,6e05d785,46221180087566343,你自己咋不提高自己
122,28.99300,滚动弹幕,25,0xffffff,0,6e05d785,46221174514909191,做啥，给你打工吗
123,33.23100,滚动弹幕,25,0xffffff,0,8f232ed1,46217223535591427,比如加班
124,15.33500,滚动弹幕,25,0xffffff,0,6fcd894b,46217026368700419,啥b
125,35.68300,滚动弹幕,25,0xffffff,0,d59e534a,46216129394769927,说这话有什么用？人人当老板？
126,19.85700,滚动弹幕,25,0xffffff,0,d59e534a,46216078305525767,工作之余还可以义务加班啊。是不是？
127,46.47500,滚动弹幕,25,0xffffff,0,9447a3f8,46215720940339205,老毕等
128,33.31100,滚动弹幕,25,0xffffff,0,9447a3f8,46215714077933571,什么玩意
129,33.77900,滚动弹幕,25,0xffffff,0,d3e83b01,46213763622764547,可我做不了吸血鬼
130,37.88500,滚动弹幕,25,0xffffff,0,31ddc1ef,46212419533930499,不想当资本家的工人不是好工人
131,12.83300,滚动弹幕,25,0xffffff,0,505508b2,46211325394157571,现在这风气？
132,18.31200,滚动弹幕,25,0xffffff,0,5141c002,46211149581516803,恶心
133,18.73900,滚动弹幕,25,0xffffff,0,e8134c62,46209938454216707,不是有点严，是有点宽
134,17.55500,滚动弹幕,25,0xffffff,0,9d0e1bbe,46208761302876165,那你管挺宽呀
135,25.75800,滚动弹幕,25,0xffffff,0,e57eb1c8,46208010919870469,估计是沾钱的那种吧？（赌博）
