,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,30.93900,滚动弹幕,25,0xffffff,0,e3a4881b,45335591644037123,说出口就没有回头路
2,196.50800,滚动弹幕,25,0xffffff,0,9753fc57,45320752317595651,呵呵
3,68.91300,滚动弹幕,25,0xffffff,0,af0c6218,45316173321469957,一模一样
4,13.08000,滚动弹幕,25,0xffffff,0,9f7357eb,45312874966941701,离职
5,30.90300,滚动弹幕,25,0xffffff,0,4c871c7,45297302463053831,说走咱就走
6,10.96900,滚动弹幕,25,0xffffff,0,793580cc,45272937358950405,马甲不错
7,17.03800,滚动弹幕,25,0xffffff,0,d4bd42e2,45260373651619843,加薪升职挽留
8,34.53900,滚动弹幕,25,0xffffff,0,559893d6,45250942701404163,我们老板然而并没有挽留
9,7.57400,滚动弹幕,25,0xffffff,0,572d6862,45246710241820675,离职本来也可以成为一种策略呀
10,54.69000,滚动弹幕,25,0xffffff,0,e7050de5,45245683970605061,一模一样啊
11,123.95200,滚动弹幕,25,0xffffff,0,cdb1de2f,45243035366719493,这么被动还打工
12,38.26800,滚动弹幕,25,0xffffff,0,629381e,45231515727560707,有了最好的选择，马上把你踢出公司。
13,87.88300,滚动弹幕,25,0xffffff,0,5f5f0bc7,45222983023722499,那就狮子大开口嘛，多好的机会
14,104.55200,滚动弹幕,25,0xffffff,0,3ad38179,45210632231321607,我还说个屁
15,23.79500,滚动弹幕,25,0xffffff,0,7b0c9379,45210409157787653,对资家千万不要有期望！
16,196.74100,顶端弹幕,25,0xe70012,0,fe2691b3,45210194591350789,老板，我俩打算跳槽……
17,108.71300,滚动弹幕,25,0xffffff,0,22bfe0c3,45209546655793157,并不会- -
18,23.23300,滚动弹幕,25,0xffffff,0,556d37ab,45184213675671559,离职之前先提加薪啊。。。
19,116.30900,滚动弹幕,25,0xffffff,0,d379d88f,45184053374615557,太真实了
20,79.74300,滚动弹幕,25,0xffffff,0,6a240eb3,45172286672076803,既然提出来了，想走就不是一天两天了。
21,39.07500,滚动弹幕,25,0xffffff,0,27d5ea8a,45166531737288709,说出去的话泼出去的水
22,5.81900,滚动弹幕,25,0xffffff,0,78350cf9,45166404196368389,始祖鸟
23,74.94900,滚动弹幕,25,0xffffff,0,b222784e,45140016867311619,老板：怎么了？我：欠了一个亿
24,85.07400,滚动弹幕,25,0xffffff,0,1b56c45f,45134186681466885,有什么好说的，离职就离职
25,176.29000,滚动弹幕,25,0xffffff,0,11a8b13f,45126971451506695,我要走，绝不会停下
26,42.65300,滚动弹幕,25,0xffffff,0,52f54235,45123840424542211,说的正是我
27,1.61900,滚动弹幕,25,0xffffff,0,b4dd1efb,45110247328579589,留人心也留不住。一根筋的人就不要留了，想玩斗争的则没问题。
28,18.40400,滚动弹幕,25,0xffffff,0,72cbf21b,45095846042140675,好家伙，始祖鸟
29,85.24900,滚动弹幕,25,0xffffff,0,df2001bd,45093895759462405,不 只是工资不够用而已
30,10.10000,滚动弹幕,25,0xffffff,0,a93774e4,45090192550264835,一旦提了就不能再干了
31,89.37000,滚动弹幕,25,0xffffff,0,5be3d393,45078482006310915,就是啥都说假的，能不说就不说，不要，没有，没什么组合使用
32,10.50800,滚动弹幕,25,0xffffff,0,bb852540,45077931634982915,离职
