,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,9.99100,滚动弹幕,25,0xffffff,0,e979a883,45573156022779909,CAD我以前也会，以前也没有女朋友
2,1.74600,滚动弹幕,25,0xe70012,0,b09bde34,45572981993766917,看不懂？？？？？？
3,10.68300,滚动弹幕,25,0xffffff,0,69e3b8df,45562975897518083,精通steam
4,15.67100,滚动弹幕,25,0xffffff,0,619454a0,45531233149517831,啥b
5,11.33600,滚动弹幕,25,0xffffff,0,f264a2bf,45530557035577349,我问你男妈？
6,6.17600,滚动弹幕,25,0xffffff,0,f264a2bf,45530545245388803,男妈？ 
7,2.96900,滚动弹幕,25,0xffffff,0,bfcc2a6c,45494396842934277,啥b
8,15.98800,滚动弹幕,25,0xffffff,0,25a8b9e3,45488560858988549,煞笔
9,16.06500,滚动弹幕,25,0xffffff,0,ef9f2184,45476661433991175,就这？
10,3.53100,滚动弹幕,25,0xffffff,0,db539ec7,45458704380723203,啥b
11,4.17400,滚动弹幕,25,0xffffff,0,639c1cfc,45455265243332615,啥b吧
12,14.19400,滚动弹幕,25,0xffffff,0,a44b9e25,45454919351664645,煞笔
13,5.60300,滚动弹幕,25,0xffffff,0,f5177715,45444976683778053,啥b
14,8.35900,滚动弹幕,25,0xffffff,0,bc2fc85c,45413553330454531,？？？？？
15,11.22700,滚动弹幕,25,0xffffff,0,2dca6e5c,45407056590536707,不知道自信啥
16,13.53600,滚动弹幕,25,0xffffff,0,d77c536a,45403962211827715,伞兵
17,5.31000,滚动弹幕,25,0xffffff,0,8dba1427,45400241546461187,啥b
18,10.25900,滚动弹幕,25,0xffffff,0,c99e93d3,45394875966816261,我在高铁上画了无数次了，没吸引住一个，骗子
19,4.56700,滚动弹幕,25,0xffffff,0,f931ac3b,45378309128192003,纯路人 这能吸引啥？？？
20,0.72600,滚动弹幕,25,0xffffff,0,e0f9c5fd,45337195446796291,精通origin呢
21,4.98200,滚动弹幕,25,0xffffff,0,1d8a2789,45314639536324611,不就是海龙工具箱或者源泉啊。。。。
22,16.97900,滚动弹幕,25,0xffffff,0,b9665878,45302345872441351,这用的是天正？
23,1.21200,滚动弹幕,25,0xffffff,0,daf660eb,45268828433154055,就这室内标几个尺寸就能吸引女孩子？
24,11.38800,滚动弹幕,25,0xffffff,0,9a444595,45261206200516611,乘务员：这人混的真惨，坐个车还加班
25,0.00000,滚动弹幕,25,0xffffff,0,f82f394e,45244372679131141,你就是个ZZ
26,16.97900,滚动弹幕,25,0xffffff,0,563dcf8,45193142642147335,啥年代了还学这赔钱货
27,13.14800,滚动弹幕,25,0xffffff,0,793580cc,45184751676948487,乘务员没事看这个干嘛，说的都没脑子
28,10.86800,滚动弹幕,25,0xffffff,0,61f151b2,45183293191618567,？打标注不是有手就行
29,2.38800,滚动弹幕,25,0xffffff,0,a1f4bafb,45162009704005635,？
30,2.80500,滚动弹幕,25,0xffffff,0,501afb8d,45158562388246533,干我们这行的 也就是过来提醒你 别用插排外加小心自燃
31,10.49500,滚动弹幕,25,0xffffff,0,8f161ac2,44956452303405061,学土木的都那么爱做梦吗
32,11.41200,滚动弹幕,25,0xffffff,0,8616841,44814667229429763,这用的辅助软件
33,3.56500,顶端弹幕,25,0xffffff,0,ffc75c6f,44811634158338051,稀  啊  地
34,0.00000,滚动弹幕,25,0xffffff,0,4f9d5bd9,44769069782532101,色爱地
