,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,194.39600,滚动弹幕,25,0xffffff,0,1aaa189f,46649891611475973,血压血糖也不要
2,183.20600,滚动弹幕,25,0xffffff,0,f217c4,46613735159627781,高血压可以提前半小时吃降压药
3,128.01900,滚动弹幕,25,0xffffff,0,f217c4,46613700889018375,怀孕了就不能叫女生吗？前面搞笑呢？
4,205.00700,滚动弹幕,25,0xffffff,0,10985edc,46582523182448647,怀孕了会不会卡掉
5,108.93600,滚动弹幕,25,0xffffff,0,4984a432,46570583442325509,你可以帮我检查吗
6,28.24300,滚动弹幕,25,0xffffff,0,4984a432,46570548200210435,口红什么号
7,13.35600,滚动弹幕,25,0xffffff,0,4984a432,46570540395134979,你在哪工作呀
8,115.72900,滚动弹幕,25,0xffffff,0,23aa3e43,46529930624761863,矫正4.9吗不是
9,93.47300,滚动弹幕,25,0xffffff,0,446377d4,46358606830370819,前列腺。
10,169.82600,滚动弹幕,25,0xffffff,0,fabf699f,46343883396743173,阳痿也能考？
11,23.56900,滚动弹幕,25,0xffffff,0,fabf699f,46343830553755653,我阳痿能考吗？
12,10.93700,滚动弹幕,25,0xffffff,0,fabf699f,46343816099135495,这妹妹挺不戳的
13,205.56100,滚动弹幕,25,0xffffff,0,7831798c,46316374865215493,那到底是哪几种病
14,128.47100,滚动弹幕,25,0xffffff,0,58f40e40,46291556169678855,我们这有个人体检不过，院长是考公务员不容易，给他过了吧，真事
15,204.59300,滚动弹幕,25,0xffffff,0,fdbab921,46276416714047495,不用面试，笔试前就可以去了。不用白费力气
16,23.43500,滚动弹幕,25,0xffffff,0,38ff6a9b,46247772017917959,脂肪肝 肾结石影响吗
17,121.24400,滚动弹幕,25,0xffffff,0,85a3f4ad,46245011230556163,都怀孕了还叫女生 我真是笑死了
18,97.92900,滚动弹幕,25,0xffffff,0,26e8198a,46240104753135621,全面检查
19,134.83900,滚动弹幕,25,0xffffff,0,deaf614e,46221029615337479,为什么还要查视力啊
20,194.49700,滚动弹幕,25,0xffffff,0,7fdb414d,46175676663857159,请问地贫轻症会不会被卡？
21,74.84600,滚动弹幕,25,0xffffff,0,6ee062ee,45975847458832389,老婆
22,175.10800,滚动弹幕,25,0xffffff,0,a6e7ed95,45947910010437637,脂肪肝呢？
23,15.05800,滚动弹幕,25,0xffffff,0,6c2504f2,45863202683617287,好美的公务员
24,112.44300,滚动弹幕,25,0xffffff,0,f81d8157,45840539619164167,我高二裸眼5.2  现在好像只有5.0了
25,63.81400,滚动弹幕,25,0xffffff,0,45fdf2ea,45793902446772227,搞得这么恐怖
26,164.48300,滚动弹幕,25,0xffffff,0,fbaefb7e,45665365368766467,甲状腺呢
27,21.69500,滚动弹幕,25,0xffffff,0,46610000,45473048396038149,姐 哈尔滨的？
28,73.79200,滚动弹幕,25,0xffffff,0,cfc10068,45342238026760197,你是哪个单位的（一本正经）
29,106.42900,滚动弹幕,25,0xffffff,0,cf1dbba4,45317343909249031,是自己给钱吗？
30,91.34700,滚动弹幕,25,0xffffff,0,cf1dbba4,45317336041259011,问题来了，要自己检查吗？
31,184.23700,滚动弹幕,25,0xffffff,0,8acceea8,45256418149269507,我怕地贫
32,95.08000,滚动弹幕,25,0xffffff,0,9e8bddeb,45252114971099141,多少钱呢
33,204.93600,滚动弹幕,25,0xffffff,0,fd882a22,45132042282729475,胆固醇高会不会卡掉
34,172.61200,滚动弹幕,25,0xffffff,0,d3e51147,45127425850867719,我比较担心血压跟转氨酶
35,11.75400,滚动弹幕,25,0xffffff,0,af198c14,45093058253422599,好像金晨啊……
36,150.23700,滚动弹幕,25,0xffffff,0,20eb8fe5,45087558794739717,经期最后一天做的，想着影响不大，结果血红蛋白还是超了
37,83.13900,滚动弹幕,25,0xffffff,0,badd0025,45084995054731269,赶上部队的了
38,168.86300,滚动弹幕,25,0xffffff,0,564a39f9,45073123340976131,好看
39,84.91900,滚动弹幕,25,0xffffff,0,91d86d6f,45050257075077127,等等妹子，女的有前列腺？？
40,98.67900,滚动弹幕,25,0xffffff,0,a199cc12,45037117413785605,我近视太严重了
41,188.13000,滚动弹幕,25,0xffffff,0,ea6d62bf,44999613914021891,我不要卡掉，我要卡妹儿❤️
42,17.34000,滚动弹幕,25,0xffffff,0,ea6d62bf,44998657360527367,我是一身病。。。25岁
43,88.28000,滚动弹幕,25,0xffffff,0,d5f29c88,44911900447211523,妇科检查真的好痛
44,24.40200,滚动弹幕,25,0xffffff,0,13081475,44901330342903811,痔疮影响吗
45,177.10900,滚动弹幕,25,0xffffff,0,5f645cb7,44891182629126151,你管人家用什么口红？有病
46,161.73800,滚动弹幕,25,0xffffff,0,9d46b24c,44888255834882055,口红并不好看，不自然，跟妆不搭
47,87.25000,滚动弹幕,25,0xffffff,0,c85cfd77,44887863589863431,？这么多
48,187.10000,滚动弹幕,25,0xffffff,0,fcacdc61,44815478445047815,梅毒
49,110.07700,滚动弹幕,25,0xffffff,0,9d33e930,44804380137881607,妇科？？？？？？？？？？？？？鸭嘴钳？？？？？？
50,179.91700,滚动弹幕,25,0xffffff,0,3a2fdfe7,44801734471057415,居然有人驾驭了芭比粉，女神
51,193.04800,滚动弹幕,25,0xffffff,0,9122429f,44763681103282179,前列腺县长
52,182.80600,滚动弹幕,25,0xffffff,0,90bbfa50,44746782678188039,梅毒是性病
53,46.38600,滚动弹幕,25,0xffffff,0,7463751f,44719815168360455,现在不都会预检吗？
54,40.87300,滚动弹幕,25,0xffffff,0,4c7a67da,44674014831443973,同黑龙江上岸
55,113.64100,滚动弹幕,25,0xffffff,0,9ac1080d,44662293460418567,执法执勤岗位就是要求裸眼5.0。不是矫正视力
56,172.43600,滚动弹幕,25,0xffffff,0,84d64c5f,44654101990998019,性病
57,30.67800,滚动弹幕,25,0xffffff,0,31e8f44,44632977330143235,哦哦
58,188.27000,滚动弹幕,25,0xffffff,0,4cd790ad,44544852285194245,我很想知道前列腺跟我的工作有个屁关系？
59,206.54900,滚动弹幕,25,0xffffff,0,b6744dd7,44450877608034311,上岸！
60,41.44300,滚动弹幕,25,0xffffff,0,8bebc258,44392185766346755,真假的，从小到大体检都没脱过
61,56.10000,滚动弹幕,25,0xffffff,0,28439bc8,44361552942333957,我也是黑龙江的，考上公务员了
62,105.86400,滚动弹幕,25,0xffffff,0,14b0fd87,44248996275290115,这彩超真多
63,177.92100,滚动弹幕,25,0xffffff,0,7668180c,44233268219871237,正常人不可能有，不用担心传染病。主要是血常规和高血压
64,103.83800,滚动弹幕,25,0xffffff,0,7668180c,44233228657098759,裸眼不可能5.0，那是矫正视力
65,36.92700,滚动弹幕,25,0xffffff,0,6b0ba87e,44226818556297223,我们这从小学到高中体检都要脱光
66,70.41500,滚动弹幕,25,0xffffff,0,483687ee,44215536407019525,免费不
67,184.21600,滚动弹幕,25,0xffffff,0,a60b422,44204065554956295,鼻炎会有影响吗
68,108.75800,滚动弹幕,25,0xffffff,0,c5c148e5,44186560047349763,警务技术
69,61.68600,滚动弹幕,25,0x9843,0,b7031d18,44168968122925061,事先找个医院做个公务员体检套餐！
70,26.95400,滚动弹幕,25,0xffffff,0,69c9d47f,44164617173204995,有点像金晨
71,101.23800,滚动弹幕,25,0xffffff,0,bdb45c83,44154132485373957,不 是看你有没有毒
72,13.13900,滚动弹幕,25,0xffffff,0,7e73e9d0,44135603691323395,好看的小姐姐
73,2.57800,滚动弹幕,25,0xffffff,0,2f3fcbe8,44135221598093319,我想知道有没有纹身的检查
74,37.50100,滚动弹幕,25,0xffffff,0,a474c9d0,44124206302494727,老婆
75,204.75900,滚动弹幕,25,0xffffff,0,bb1c3714,44119483157053447,血小板50单位不行吗
76,15.07900,滚动弹幕,25,0xffffff,0,bb1c3714,44117053404610567,特发性血小板减少看来不能考了555
77,203.34200,滚动弹幕,25,0xffffff,0,2162c713,44114348353257479,我担心的是笔试
78,57.11900,滚动弹幕,25,0xffffff,0,cc201c53,44093890061402115,小姐姐考的哪个单位，我也刚上岸黑龙江
79,178.67000,滚动弹幕,25,0xffffff,0,691869a6,44092685434224647,桥本甲状腺炎呢
80,142.81200,滚动弹幕,25,0xffffff,0,f7cf0e31,44091493827739715,突然有了想和别人天长地久的想法
81,44.67600,滚动弹幕,25,0xffffff,0,1f228b0c,44087556267048967,那是你不知道
82,202.72500,滚动弹幕,25,0xffffff,0,e920a40a,44081665396965381,漏说了血液病：比如地贫，白血病，蚕豆病
83,97.29800,滚动弹幕,25,0xffffff,0,64c5c0cb,44079483159838725,你们体检项真多啊
84,174.21900,滚动弹幕,25,0xffffff,0,8da98cb9,44076591386984453,性病
85,84.22900,滚动弹幕,25,0xffffff,0,45f77491,44076385021984773,梅毒不是霉毒
86,191.12000,滚动弹幕,25,0xffffff,0,a008d8da,44056018975981575,卡掉
87,33.33800,滚动弹幕,25,0xffffff,0,fe93b94f,44047612537995271,小姐姐真好看
88,155.11400,滚动弹幕,25,0xffffff,0,89ba9ee9,44045487938994181,今天粉色口红好看
89,120.19100,滚动弹幕,25,0xffffff,0,277950d,44044604628008965,不是要矫正4.8吗，我们这里不到就要复检
90,29.74000,滚动弹幕,25,0xffffff,0,856a0b94,44044437049311237,听说要脱光？这是最不能接受的
91,207.00000,滚动弹幕,25,0xffffff,0,b0ce098d,44044309315977223,请问小姐姐甲状腺是会做彩超吗？甲状腺结节的话，可以过吗？
92,197.59600,滚动弹幕,25,0xffffff,0,11b1bb4a,44041293231292421,胆固醇呢？脂肪肝怎么办？
93,69.36500,滚动弹幕,25,0xffffff,0,5e7b8d26,44041114996965379,女生憋尿男生不要
94,42.15000,滚动弹幕,25,0xffffff,0,f8e9fc2b,44040717268418567,有关系的早就知道了
95,43.88200,滚动弹幕,25,0xffffff,0,78f2dd31,44040694666362883,好漂亮啊
96,65.92000,滚动弹幕,25,0xffffff,0,42fced5,44040187221639173,嘿，你还真漂亮
97,15.71900,滚动弹幕,25,0xffffff,0,3c3293d0,44039641445695491,没啥看头，除了脸
98,136.98000,滚动弹幕,25,0xffffff,0,9102111e,44039248852549639,后期要补，不合格还是会辞退
99,94.03300,滚动弹幕,25,0xffffff,0,2c00b11d,44038801495949317,老婆
100,67.88700,滚动弹幕,25,0xffffff,0,43ee7c30,44038266848542725,我滴妈耶，这么多
101,205.71900,滚动弹幕,25,0xffffff,0,6f79de9b,44037932757549061,借美女吉言！
102,27.50400,滚动弹幕,25,0xffffff,0,9c458c5b,44037727703269379,不，我已经不健康了
103,168.49100,滚动弹幕,25,0xffffff,0,48983cef,44037345506230279,梅毒是啥病呀
104,144.98600,滚动弹幕,25,0xffffff,0,48983cef,44037333455470599,我感觉我啥都不做
105,48.48200,滚动弹幕,25,0xffffff,0,48983cef,44037267945684999,黑龙江的小姐姐都好看
106,37.97500,滚动弹幕,25,0xffffff,0,48983cef,44037262647230471,黑龙江好评
107,8.97500,滚动弹幕,25,0xffffff,0,48983cef,44037247364235269,颜值有点高
108,185.12000,滚动弹幕,25,0xffffff,0,c7b11b89,44035165321166851,乳腺也会检查吗
109,1.80000,滚动弹幕,25,0xffffff,0,e2e0d836,44034084158570499,单眼弱视能考
110,1.92300,滚动弹幕,25,0xffffff,0,382f7d6f,44034016618217475,来看颜值的朋友，请镜像播放，食用效果更佳。
111,144.67900,滚动弹幕,25,0xffffff,0,cb5c47ac,44029964621185029,听起来还是挺公平公开的
112,144.67900,滚动弹幕,25,0xffffff,0,cb5c47ac,44029958418333699,这个挺好 感觉挺人性的
113,69.35100,滚动弹幕,25,0xffffff,0,d116590c,44027898436780039,有谁和我一样是来看颜值的
