,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,13.70800,滚动弹幕,25,0xffffff,0,d472e6a,45072180274790403,大庆赶海
2,60.27300,滚动弹幕,25,0xffffff,0,da1d20d8,45070582499246087,啊这
3,32.94400,滚动弹幕,25,0xffffff,0,da1d20d8,45070568166260741,好漂亮啊
4,61.22600,滚动弹幕,25,0xffffff,0,714f2e88,45044799034621955,？
5,69.98400,滚动弹幕,25,0xffffff,0,486c7ecc,45036698040008711,不至于不至于
6,71.58700,滚动弹幕,25,0xffffff,0,f87f25f9,45033670823641093,不过是一个报道，评论戾气这么大，别人欣赏手工艺品怎么了？
7,78.77900,滚动弹幕,25,0xffffff,0,ae592361,44996242326945799,没必要开喷，这礼物确实蛮新颖的
8,40.14600,滚动弹幕,25,0xffffff,0,b06e10c2,44926890501210117,5天个鬼鬼啊，真当所有人都没玩过滴胶？
9,70.28900,滚动弹幕,25,0xffffff,0,b7674ae4,44904940004966405,妈呀，这个讲话的人口水声听着好难受
10,50.90900,滚动弹幕,25,0xffffff,0,a0a822b0,44904672063389703,？？？？？？？？？
11,43.23100,滚动弹幕,25,0xffffff,0,ac4822fa,44901776488398853,滴胶，现成的云朵素材，还tm有气泡，消泡都没消干净还敢创业？
12,55.36200,滚动弹幕,25,0xffffff,0,708e6372,44897022710382599,很好看啊
13,37.67600,滚动弹幕,25,0xffffff,0,708e6372,44897013425242117,我喜欢看云
14,60.08200,滚动弹幕,25,0xa0ea,0,81fcd6a3,44891194209075205,时透无一郎，贡献50万单
15,85.52500,滚动弹幕,25,0xffffff,0,92e6b29c,44852908664553477,神踏马热熔胶
16,60.55100,滚动弹幕,25,0xffffff,0,deda86e3,44820425549021189,云买家
17,86.00000,滚动弹幕,25,0xffffff,0,a96a4d48,44813651605454853,这种有害垃圾真的有人买吗
18,41.87000,滚动弹幕,25,0xffffff,0,31cbf3df,44806642892013573,热熔胶
19,55.35500,滚动弹幕,25,0xffffff,0,3ac96fa3,44768088046960643,这…很好做啊
20,54.46900,滚动弹幕,25,0xffffff,0,7b25d30f,44763436991643651,云期
21,64.79500,滚动弹幕,25,0xffffff,0,4802bfef,44734400041582595,滴胶的
22,60.28500,滚动弹幕,25,0xffffff,0,90254492,44674005522710535,林子大了什么鸟都有
23,33.74700,滚动弹幕,25,0xffffff,0,53aeddd5,44663211525931015,每天一个致癌小技巧
24,66.04600,滚动弹幕,25,0xffffff,0,55cce9f8,44641046778871813,可能有钱人就比你们多了这一点欣赏眼光吧
25,44.47800,顶端弹幕,25,0xe70012,0,c4337d3b,44624364377735171,《呆萌可爱》
26,7.87900,滚动弹幕,25,0xffffff,0,7fc9573a,44612611658481671,你活着有什么用
27,15.93100,滚动弹幕,25,0xffffff,0,7fc9573a,44612604079898631,用处怪出现了
28,42.65900,滚动弹幕,25,0xffffff,0,86ff2f20,44593171950731269,热熔胶，我是真醉了
29,59.71800,滚动弹幕,25,0xffffff,0,e4b75c1,44587045734580231,？？？？买了有什么用
30,41.21400,滚动弹幕,25,0xffffff,0,f358b73c,44499299394387973,这是滴胶。。
31,40.72200,滚动弹幕,25,0xffffff,0,1922e53a,44493247034163203,我还用你
32,40.72200,滚动弹幕,25,0xffffff,0,1922e53a,44493244104441861,这个我也能做
33,34.71800,顶端弹幕,25,0xe70012,0,8770c644,44488076061310981,《热   熔   胶》
34,51.63000,滚动弹幕,25,0xffffff,0,2f4bc5f7,44482241937539079,热熔胶：我不是我没有
35,61.10700,滚动弹幕,25,0xffffff,0,d093a77b,44477392634773507,怀孕不怕毒么
36,55.20200,滚动弹幕,25,0xffffff,0,8beef87c,44437484657442821,啊这
37,44.87900,滚动弹幕,25,0xffffff,0,201250f0,44413050889437187,你可拉倒吧
38,76.23800,滚动弹幕,25,0xffffff,0,e6375f01,44407832882708485,当然喜欢
39,9.77900,滚动弹幕,25,0xffffff,0,e6375f01,44407795130826755,我在想怎么凑一套纠结好久
40,39.89500,滚动弹幕,25,0xffffff,0,5ced9ab0,44344947690700805,神他妈热熔胶哈哈哈
41,79.41900,顶端弹幕,25,0xe70012,0,e86d5a70,44302724300800007,……我是女生我就喜欢收到手工品
42,78.01600,滚动弹幕,25,0xffffff,0,6c21bf,44255534420328453,送给女友，也就送走了女友
43,73.21000,滚动弹幕,25,0xffffff,0,c3e2fdb7,44252577210564615,这就是不必要的消费
44,76.24200,滚动弹幕,25,0xffffff,0,945230a,44222560710688771,随机
45,77.29900,顶端弹幕,25,0xffffff,0,7633baf8,44175507277742085,不一定
46,1.65900,顶端弹幕,25,0xffffff,0,7633baf8,44175456481050631,好看
47,80.03500,滚动弹幕,25,0xffffff,0,bf3f8e7d,44141808006463493,弹幕戾气是不是太重了？有人不喜欢当然也有人喜欢啊
48,71.11500,滚动弹幕,25,0xffffff,0,bf3f8e7d,44141775195471877,喜欢+1
49,74.16700,滚动弹幕,25,0xffffff,0,8a7424dc,44135678023827463,买这个给女友？坐等分手
50,8.84800,滚动弹幕,25,0xffffff,0,5abf243f,44129112407670791,装饰
51,14.06300,底端弹幕,25,0xe70012,0,71aea0bc,44126224402874439,装饰品
52,57.13900,滚动弹幕,25,0xffffff,0,9670faaa,44041037622018055,1元一个我要一个
53,26.10100,滚动弹幕,25,0xffffff,0,7f0886ea,44040149885517827,没空看啊
54,52.70200,滚动弹幕,25,0xffffff,0,e5876ab8,44038288844521479,筋斗云？
55,40.87100,滚动弹幕,25,0xffffff,0,6521342c,44038106264895491,我以为云制作形态是每个随机
56,4.10400,滚动弹幕,25,0xffffff,0,cb8fb717,44032217471516679,真～云买家
57,57.69100,滚动弹幕,25,0xffffff,0,6fea407,44030558308663299,这是滴胶啊！
58,57.94800,滚动弹幕,25,0xffffff,0,79d59b9a,44024706501181443,这和盲盒一样的
59,25.49700,滚动弹幕,25,0xffffff,0,903fc832,43998011574452229,还能吃
60,5.45900,滚动弹幕,25,0xffffff,0,8398da98,43991606513106947,出现了，用处怪!
61,53.16100,滚动弹幕,25,0xffffff,0,5fea3a73,43988193742159879,老营销号了
62,39.13900,滚动弹幕,25,0xffffff,0,228ac034,43982170248183811,你确定是热熔胶而不是ab胶？？
63,8.69000,滚动弹幕,25,0xffffff,0,12b1252e,43973631166382085,没啥用
64,71.32000,滚动弹幕,25,0xffffff,0,e48b34de,43968837603819525,装逼文艺
65,58.14900,滚动弹幕,25,0xffffff,0,91b96a81,43941787835301891,大便
66,56.29600,滚动弹幕,25,0xffffff,0,d376c62c,43912346627735555,额
67,76.20100,滚动弹幕,25,0xffffff,0,30ea98f,43911351309959175,我就很喜欢啊
68,63.53100,滚动弹幕,25,0xffffff,0,7dc8bce3,43907408973529093,这么大，嘴都放不进去吧
69,39.14200,滚动弹幕,25,0xffffff,0,2fdd7b51,43907170653175815,铁扫把有什么用途呢
70,72.16900,滚动弹幕,25,0xffffff,0,aa5238fe,43895170266562567,女生不送化妆品电子产品 送这个能喜欢才怪
71,55.36500,滚动弹幕,25,0xffffff,0,e3d77096,43890425721782277,三岁一下还是危险，会咬，太小还可能吞下去，谨慎的妈妈都不会给低龄宝宝买这个
72,58.65900,滚动弹幕,25,0xffffff,0,e935977,43887842849456133,气泡也很美
73,56.91900,滚动弹幕,25,0xffffff,0,e935977,43887837551525895,气泡也没
74,77.96800,滚动弹幕,25,0xffffff,0,1e594aca,43870474225582085,我不信滴交有这么大的销量
75,34.48500,滚动弹幕,25,0xffffff,0,29b723d4,43867167859933187,这应该是营销号鼻祖了
76,21.03600,滚动弹幕,25,0xffffff,0,4e5d2f52,43866745737314307,。。。
77,16.90500,滚动弹幕,25,0xffffff,0,4e5d2f52,43866743589830659,我也在学这个
78,67.15700,滚动弹幕,25,0xffffff,0,6956e481,43864882647924743,说实话 我是女生 反正我个人是真的喜欢这个 比送什么投射灯好多了
79,45.46800,滚动弹幕,25,0xffffff,0,5f0edd0b,43863890928861191,热熔胶？
80,22.65600,滚动弹幕,25,0xffffff,0,8ba35806,43863726522630147,因为那才是真的自由
81,22.65600,滚动弹幕,25,0xffffff,0,8ba35806,43863717781176325,我宁愿看真的云
82,39.65700,滚动弹幕,25,0xffffff,0,17adb281,43862784472514565,这算卖假货吗
83,7.82700,滚动弹幕,25,0xffffff,0,f41c072b,43862298975010819,赶海那个大庆么？
84,77.71500,滚动弹幕,25,0xffffff,0,c6691d6b,43861825322745861,白给都不要。
85,77.79400,滚动弹幕,25,0xffffff,0,2eaf309a,43860950445981699,这有什么好骂的？
86,86.00000,滚动弹幕,25,0xffffff,0,f0c8552f,43859590461784071,圆圆的更好看
87,26.80100,滚动弹幕,25,0xffffff,0,b9e817,43858436767612933,这样能做20万？
88,71.73400,滚动弹幕,25,0xffffff,0,9f81ac4f,43857805049331719,不信
