,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,361.87600,滚动弹幕,25,0xffffff,0,1aa21540,46691184505520131,哈哈
2,440.60500,滚动弹幕,25,0xffffff,0,e37480d2,46673420911378437,过劳肥就是这么来的 男生就是狂吃 我就是
3,194.67600,滚动弹幕,25,0xffffff,0,d46d87f,46671533774995463,卷
4,189.84400,滚动弹幕,25,0xffffff,0,fc0ac32f,46664115566411781,因为劳动光荣
5,444.16900,滚动弹幕,25,0xffffff,0,a7c55008,46663058541510661,哈哈哈哈哈哈哈李佳琦可还行
6,112.01900,滚动弹幕,25,0xffffff,0,749e4db3,46661614259142659,我真不觉得她疯，她难道没在说实话吗
7,67.64600,滚动弹幕,25,0xffffff,0,749e4db3,46661582738423815,是真的，物欲淡了感觉很多东西其实也没必要
8,479.70400,滚动弹幕,25,0xffffff,0,cbc7b6ff,46659576715542533,处女币献上
9,69.13200,滚动弹幕,25,0xffffff,0,27833726,46658923353079813,电纸
10,42.12400,滚动弹幕,25,0xffffff,0,27833726,46658909221945347,娘胎pk
11,442.22000,滚动弹幕,25,0xffffff,0,facd8985,46658903361978375,真实了
12,273.36600,滚动弹幕,25,0xffffff,0,b580eee2,46656531476774915,多巴胺获取的太简单了，在这样就废了
13,428.69800,滚动弹幕,25,0xffffff,0,fb33aa17,46655213605486599,真实
14,249.30000,滚动弹幕,25,0xffffff,0,6572e19d,46655137786101763,真是这样
15,354.41100,滚动弹幕,25,0xffffff,0,9abe41f5,46652914279645189,大明白
16,347.16000,顶端弹幕,25,0xe70012,0,9f593382,46652366669217795,他只够永动一年就不动了
17,145.55900,滚动弹幕,25,0xffffff,0,9f593382,46652249111789575,pdd
18,56.35500,顶端弹幕,25,0xfef102,0,543fc2a6,46644143375515653,无欲则刚！！！
19,483.51200,滚动弹幕,25,0xffffff,0,447955a0,46637138606292997,打工人联合起来！
20,272.75400,滚动弹幕,25,0xffffff,0,447955a0,46637027932766211,今天我也放弃奋斗了
21,455.65700,滚动弹幕,25,0xffffff,0,e860dc9a,46632249742852101,卧槽正在报复性熬夜的考公人在此
22,88.22000,滚动弹幕,25,0xffffff,0,57191fe3,46631910775455749,我猜是拼多多产品经理
23,165.44800,滚动弹幕,25,0xffffff,0,e2a4379b,46630287791620101,一天有多少个小时来着？
24,500.48500,滚动弹幕,25,0xffffff,0,84b0620c,46630179168059399,爱你
25,190.86100,滚动弹幕,25,0xffffff,0,15634552,46629019840937987,推荐读一下《人类简史》
26,248.60500,滚动弹幕,25,0xffffff,0,721b4932,46628427678089223,我也想离职，可我下不了决心啊
27,225.32600,滚动弹幕,25,0xffffff,0,721b4932,46628415473713159,我也是
28,152.54800,滚动弹幕,25,0xffffff,0,44d68564,46625730296545283,阿里的么
29,68.24600,滚动弹幕,25,0xffffff,0,b94fdfc4,46624153618350085,那是黑厂！
30,280.70000,滚动弹幕,25,0xffffff,0,dfac2e8f,46619453270523909,别哭 我们都一样
31,368.82500,滚动弹幕,25,0xffffff,0,96cb62fd,46618628087349251,我经常工作完第一个走，刚开始有点亏心，久了就习惯了，还很爽
32,451.38900,滚动弹幕,25,0xffffff,0,83707348,46617104944201733,拼多多和得物吗？
33,31.31900,滚动弹幕,25,0xffffff,0,dbdbf3e7,46616322047475715,up好可爱，我又可以了
34,310.38100,滚动弹幕,25,0xffffff,0,9b0ab87,46609247866716163,施工单位表示很淦
35,152.74100,滚动弹幕,25,0xffffff,0,9b0ab87,46609165214285827,哈哈
36,143.33000,滚动弹幕,25,0xffffff,0,9fe3b0e8,46607665450713091,这不是jump老师说的嘛哈哈哈
37,256.70000,滚动弹幕,25,0xffffff,0,c447241f,46606267538472967,对的，很累
38,490.40000,滚动弹幕,25,0xffffff,0,e68e966f,46604770671591431,阿婆主就是现在的我自己，
39,160.87800,滚动弹幕,25,0xffffff,0,a6d15f57,46604747009425415,Pdd
40,214.09300,滚动弹幕,25,0xffffff,0,483c974b,46602373075304455,拼多多
41,315.72100,滚动弹幕,25,0xffffff,0,b60077b1,46600930935177223,985也是一样
