,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,9.27700,滚动弹幕,25,0xffffff,0,66440bc3,45903145378250757,因为压根不富
2,0.35800,滚动弹幕,25,0xffffff,0,66e9ee8e,45897076506099719,因为没多少头发了
3,7.61900,滚动弹幕,25,0xffffff,0,1ca71979,45888973283786757,没时间
4,0.49900,顶端弹幕,25,0xe70012,0,a7fa5d1c,45815002603978759,我和他们炫头发
5,12.14100,滚动弹幕,25,0xffffff,0,e327face,45810050111897603,放屁 因为程序员的钱都用来植发了
6,14.67500,滚动弹幕,25,0xffffff,0,502bbbcd,45756423111966725,因为没钱
7,9.89500,滚动弹幕,25,0xffffff,0,f62efa4d,45705616786194437,不是炫发量和发际线吗
8,4.05900,滚动弹幕,25,0xe70012,0,7da2268d,45667113690464261,因为敲代码挣的钱都拿去植发了（doge）
9,1.42000,顶端弹幕,25,0xe70012,0,cfd95d30,45666222884257795,应该炫头发
10,13.39700,滚动弹幕,25,0xffffff,0,f0a5cd28,45663544801755139,因为穷
11,9.09300,滚动弹幕,25,0xffffff,0,42308480,45646533307662339,因为买不起房啊
12,11.03000,滚动弹幕,25,0xffffff,0,c1d73771,45632870662799367,炫富要出镜，会暴露发际线的。
13,9.54200,滚动弹幕,25,0xfef102,0,e7fd743d,45608445016539139,我给你看看我的显卡吧？ 我也想炫，但没人懂
14,0.15900,滚动弹幕,25,0xffffff,0,e7fd743d,45608425838084103,程序员的富你看不懂
15,13.21900,滚动弹幕,25,0xffffff,0,c609c6c2,45530561231454211,p，真正的炫富是打开g站，几万星
16,10.95900,滚动弹幕,25,0xffffff,0,5c2ff041,45523431354531847,你认识的程序员跟我认识的不太一样 大师
17,3.05900,滚动弹幕,25,0xffffff,0,50ebe9f,45509930568908803,人家炫富你看不懂，adobe的软件一年几千块钱
18,4.26900,滚动弹幕,25,0xffffff,0,d5c1860d,45485688742739971,没时间
19,0.72500,滚动弹幕,25,0xffffff,0,e85b15e1,45471192522424325,没富可炫
20,14.67500,滚动弹幕,25,0xffffff,0,8fe92216,45434688061833221,因为头发没了
21,3.37900,滚动弹幕,25,0xe2027f,0,2211d348,45409396702838791,没没没，是才花几十万种植的头发
22,9.93900,滚动弹幕,25,0xffffff,0,913d388b,45392379303690243,炫了个寂寞，没人懂
23,11.09500,滚动弹幕,25,0xffffff,0,12e4d693,45384201555935239,都去植发了
24,0.43600,滚动弹幕,25,0xffffff,0,8e1f3f3e,45369267603898375,理工男一般是比较低调的
25,9.97800,滚动弹幕,25,0xffffff,0,cf2fe10d,45357273410699271,因为不富
26,7.07500,滚动弹幕,25,0xffffff,0,617fc0d4,45351563022041095,不是炫头发吗
27,10.49000,滚动弹幕,25,0xffffff,0,74783fe2,45334578599559171,因为没多少钱啊
28,10.81900,滚动弹幕,25,0xffffff,0,e1121c57,45324237240008709,这算下来，和车房都不是一个数量级。各种配置拉满也用不了半套房
29,3.06100,滚动弹幕,25,0xffffff,0,b2e84f16,45316953023709189,血汗钱炫啥？
30,0.63300,滚动弹幕,25,0xffffff,0,c6a9db76,45315084256280579,我心思几万的电脑几千的键盘能和房车比？
31,3.70000,滚动弹幕,25,0xffffff,0,e3fafd13,45314690967928837,炫发量
32,11.47700,滚动弹幕,25,0xffffff,0,fe664718,45309299323830279,应该要炫秀发
33,2.29700,滚动弹幕,25,0xffffff,0,fe664718,45309293634781191,不是程序员我也一个电脑几万一个键盘几千
34,0.25400,滚动弹幕,25,0xffffff,0,935fa1ce,45280105530916871,不应该是一头秀发两万块吗
35,3.05900,滚动弹幕,25,0xffffff,0,20273561,45247799390896131,程序员也不富啊
36,11.43800,滚动弹幕,25,0xffffff,0,f4c30420,45223672091246595,不是植发？
37,14.67500,滚动弹幕,25,0xffffff,0,66da99e7,45179431606026247,你没看见他向你展示那一头秀发？
38,3.76500,滚动弹幕,25,0xffffff,0,5071c372,45173162240376837,程序员007那有时间炫富
39,3.18200,滚动弹幕,25,0xffffff,0,b3e1c8c,45159715732193287,炫头发？？？？
