,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,30.39900,滚动弹幕,25,0xffffff,0,9cee0b2f,45787558002556931,直属领导:你踏马别问我
2,13.77900,滚动弹幕,25,0xffffff,0,9cee0b2f,45787540550582277,她？那不冲突了，办事可以下了班办
3,56.35900,滚动弹幕,25,0xffffff,0,bb04ef03,45614840942166023,公务员考试的正确答案现实中永远不会出现
4,2.77900,滚动弹幕,25,0xffffff,0,7126360d,45609694497603591,她，懂了
5,21.32100,滚动弹幕,25,0xffffff,0,7058f1c7,45609444292165637,不要脸，不要脸，不要脸
6,36.33900,滚动弹幕,25,0xffffff,0,7309f5a6,45608949602844677,想的挺美
7,43.23900,滚动弹幕,25,0xffffff,0,e4b65dd2,45608121479462919,真nm机器人一样
8,64.74500,滚动弹幕,25,0xffffff,0,238397d,45605667810574343,哈哈哈
9,6.64900,滚动弹幕,25,0xffffff,0,7ed154cf,45599319247028227,你被开除了
10,30.32000,滚动弹幕,25,0xffffff,0,fd8b2003,45589024040026117,这么答你完了
11,57.92700,滚动弹幕,25,0xffffff,0,6ace80bc,45587877663866883,两个人都是你的直属领导
12,7.39900,滚动弹幕,25,0xffffff,0,b9e40cae,45582010668285957,当然是陪她
13,24.78700,滚动弹幕,25,0xffffff,0,565dc8ec,45581499451310083,直接领导直接neng死你
14,44.07900,滚动弹幕,25,0xffffff,0,bcfe4018,45580088452317191,放屁
15,51.03900,滚动弹幕,25,0xffffff,0,b3a76d3b,45579650537095173,同事：我可谢谢你吧
16,64.59300,滚动弹幕,25,0xffffff,0,d880037,45577577354493955,被开除了
17,51.04100,滚动弹幕,25,0xffffff,0,42358c22,45577362483445765,小兄弟，答题可以这么答，事可不能这么做
18,60.56000,滚动弹幕,25,0xffffff,0,1a04c771,45577134347386883,死定了
19,40.35900,滚动弹幕,25,0xffffff,0,36a054e6,45573953563918339,气球踢的好
20,10.49900,滚动弹幕,25,0xfef102,0,f2dc5dcc,45569576708079623,她，那这是没没问题啊
21,13.43200,顶端弹幕,25,0xe70012,0,a690ca74,45559875167584263,知道公务员天天扯什么王八犊子了吧
22,1.19600,滚动弹幕,25,0xffffff,0,5aced27a,45559675007533061,付局长小鞋子来了
23,19.54300,滚动弹幕,25,0xffffff,0,3210a36,45552536936513539,高阿
24,10.56100,滚动弹幕,25,0xffffff,0,11db866c,45543679526961159,这他么一辈子都不会
25,51.11500,滚动弹幕,25,0xffffff,0,578011b,45543671338631171,我天，面试这么难。。。
26,53.89700,滚动弹幕,25,0xffffff,0,15549814,45539979456151555,专业甩锅官话
27,0.01600,滚动弹幕,25,0xffffff,0,2afbad73,45538137944358919,甩锅侠
28,40.35900,滚动弹幕,25,0xffffff,0,151ded20,45534835135479815,甩锅，呵呵
29,66.28400,滚动弹幕,25,0xffffff,0,978ed7b8,45534160173924359,呵呵，看这题出的，居心不良。
30,41.79100,滚动弹幕,25,0xffffff,0,32b97cea,45529060117839879,你直属领导能上你这个当？
31,32.10100,滚动弹幕,25,0xffffff,0,67aebda9,45528229571198983,仿皮
32,41.45300,滚动弹幕,25,0xffffff,0,b58c0651,45527628859834375,开掉？你以为开一个公务员那么简单吗
33,25.99900,滚动弹幕,25,0xffffff,0,23c98b53,45525445523275779,小道消息是真是假关你啥事
34,45.75900,滚动弹幕,25,0xffffff,0,cccb7cae,45523872317440007,这回答不行
35,41.94700,滚动弹幕,25,0xffffff,0,278dd59,45519601657184259,看了吗，当公务员考的东西都是这样的，
36,44.56300,滚动弹幕,25,0xffffff,0,927375f9,45518464310312967,甩锅？
37,11.21000,滚动弹幕,25,0xffffff,0,cde57bc2,45514528185647109,难办？那就别办了！
38,15.61600,滚动弹幕,25,0xffffff,0,568f4687,45500777068756999,你的直属领导真惨
39,63.89900,滚动弹幕,25,0xffffff,0,568f4687,45500767010291715,甩的好远
40,27.35800,滚动弹幕,25,0xffffff,0,8eecb401,45497128795504643,NB
41,25.84100,滚动弹幕,25,0xffffff,0,9b7698e3,45495600663756807,优柔寡断，这考生pass
42,42.76100,滚动弹幕,25,0xffffff,0,c372c2c5,45493856290471939,会被开除
43,63.29200,滚动弹幕,25,0xffffff,0,c372c2c5,45493831735443463,建议学和珅
44,18.09700,滚动弹幕,25,0xffffff,0,c372c2c5,45493808052830211,直接开掉
45,43.93900,滚动弹幕,25,0xffffff,0,4c94d148,45493573857050631,直接领导：好家伙，直接卖
46,34.49900,滚动弹幕,25,0xffffff,0,4c94d148,45493558256861189,直属领导：关我屁事，别牵连我
47,18.21600,顶端弹幕,25,0xe70012,0,befa93ed,45493289612214279,这点我就要扣你分，给了题目，你给我否决掉前提条件？
48,65.99800,滚动弹幕,25,0xffffff,0,9c309237,45491070718443527,应该进国足
49,43.68500,滚动弹幕,25,0x9843,0,df5352c2,45487819872272387,国足需要你。。。。
50,7.29500,滚动弹幕,25,0xffffff,0,9f4c5ace,45486755679830019,办啥事啊
51,15.37500,滚动弹幕,25,0xffffff,0,c1ef375,45485854447632391,好，你们科室都...
52,27.24300,滚动弹幕,25,0xffffff,0,c57cd445,45484108112986119,甩锅给直属领导即可
53,42.21700,滚动弹幕,25,0xffffff,0,c20bfc2a,45482222420492293,太极的的高手
54,3.66600,滚动弹幕,25,0xffffff,0,d3373a8b,45481225083682823,只要不想当官，一个都不鸟！
55,6.45400,滚动弹幕,25,0xffffff,0,e4b38fdd,45478085197299719,你当别人缺心眼儿呢？
56,57.82600,滚动弹幕,25,0xffffff,0,c8f52da0,45475067012317191,甩锅可以
57,19.98000,滚动弹幕,25,0xffffff,0,1df4aed7,45472286263738373,好家伙。直接把领导拿出来挡枪
58,62.40200,滚动弹幕,25,0xffffff,0,d8a5dba9,45459222380412935,你完了！甩锅没有责任心要你何用？
59,45.88900,滚动弹幕,25,0xffffff,0,4a95806f,45457062348455939,你的答题只能上电视，不是现实，正负也不可能不合至少面和心不和
60,53.39900,滚动弹幕,25,0xffffff,0,800dd49,45456658645647363,我面试碰到类似的题，原地炸裂。
61,6.10500,滚动弹幕,25,0xffffff,0,d3d30430,45453796396498951,干公务员的都这样……没救了
62,2.40600,滚动弹幕,25,0xffffff,0,b4011732,45452045055950855,首先局长不可能越级给你安排工作，真当自己是香饽饽啊
63,65.09800,滚动弹幕,25,0xffffff,0,fc66c193,45450212425072645,同事：去你的吗
64,59.14800,滚动弹幕,25,0xffffff,0,decaf5d3,45450015227248645,不粘锅
65,47.29800,滚动弹幕,25,0xffffff,0,decaf5d3,45450008979832839,标准踢皮球
66,8.07600,滚动弹幕,25,0xffffff,0,edf7d592,45449700332011527,直属领导哭了
67,22.94200,滚动弹幕,25,0xffffff,0,df642525,45449227060903941,国外会有这种奴役回答嘛
68,13.20700,滚动弹幕,25,0xffffff,0,dfdf8a6a,45437167045967875,我的叔叔是不会为难我的
69,19.11900,滚动弹幕,25,0xffffff,0,45021a20,45435660695240711,我陪她
70,25.94400,滚动弹幕,25,0xffffff,0,a375e2db,45431668996046851,送文件直接安排别人自己和副局长出去就完了
71,59.15900,滚动弹幕,25,0xffffff,0,1f74959b,45431440585785347,同事：不愿意，没时间！
72,22.37700,滚动弹幕,25,0xffffff,0,5d2b291f,45430374303531013,好像包贝尔…
73,53.73900,滚动弹幕,25,0xffffff,0,fe6cd00f,45428276972748803,别说出来啊
74,47.83500,滚动弹幕,25,0xffffff,0,9ce8ece9,45426643373654021,直接领导说：你看着办
75,44.51100,滚动弹幕,25,0xffffff,0,9ce8ece9,45426635157536773,这不是叫人瞒上欺同吗？
76,64.80300,滚动弹幕,25,0xffffff,0,48778125,45426209279442951,瞎掰
77,62.26700,滚动弹幕,25,0xffffff,0,f8a5afb8,45421197197312005,工作这么弄这辈子升不上去
78,48.16700,滚动弹幕,25,0xffffff,0,dccd3f57,45413186444197893,好锅 好甩 好嗨哟
79,22.62200,滚动弹幕,25,0xffffff,0,9044bdae,45407183548973059,请假啊
80,25.58000,滚动弹幕,25,0xffffff,0,1b87db1a,45404927492096005,找死
81,30.66500,滚动弹幕,25,0xffffff,0,6cefd181,45403838745149443,夜不干了
82,9.50500,滚动弹幕,25,0xffffff,0,55e5492c,45403189748432903,你只能成为牺牲品！
83,24.35300,滚动弹幕,25,0xffffff,0,aa75e92a,45403015023689731,你再叫我做事?
84,47.20400,滚动弹幕,25,0xffffff,0,50943726,45402277652463623,直属领导：我招谁了
85,50.91900,滚动弹幕,25,0xffffff,0,2c657a8f,45401516024004615,这是甩锅给直属领导啊，666，公务员
86,9.82500,滚动弹幕,25,0xe70012,0,b68d7d67,45400428089704451,这点小事都还要找我怎么当上正副局长的
87,22.61900,滚动弹幕,25,0xffffff,0,e5aeb394,45399149940047877,你可以这样说，你在教我做事啊？！
88,35.33100,滚动弹幕,25,0xffffff,0,f14fa83f,45397836523634695,放屁
89,15.64200,滚动弹幕,25,0xffffff,0,65cd4379,45396906916446211,一边去
90,66.66400,滚动弹幕,25,0xffffff,0,96be64b6,45395146244096003,玛德都下班了还叫干活，转手都给举报了
91,6.51900,滚动弹幕,25,0xffffff,0,387b0548,45391182380400643,人情世故啊
92,23.04000,滚动弹幕,25,0xffffff,0,edea4573,45390227563872259,放屁
93,46.95300,滚动弹幕,25,0xffffff,0,303a42cf,45388519809482759,老踢皮球了
94,31.34800,滚动弹幕,25,0xffffff,0,303a42cf,45388499775913989,好家伙刚进来就这么油以后还得了？
95,31.34800,滚动弹幕,25,0xffffff,0,303a42cf,45388485398364163,老油子了
96,49.87300,滚动弹幕,25,0xffffff,0,9d559cbf,45386223854288901,帅锅啊
97,61.25900,滚动弹幕,25,0xffffff,0,fe247f20,45381274268860423,马屁精
98,51.06500,滚动弹幕,25,0xffffff,0,742611d3,45380609760559107,公务员考这个？现实里正局和副局关系不好的概率小得可怜
99,66.00200,滚动弹幕,25,0xffffff,0,b548e8d8,45366932554645511,居然要领导背锅
100,58.82700,滚动弹幕,25,0xffffff,0,bd2f4b6e,45361715003523077,你甩锅第一
101,33.29900,滚动弹幕,25,0xffffff,0,837225da,45361570559557639,还没上班就这么会打官腔真不好啊
102,53.64000,滚动弹幕,25,0xffffff,0,f257f207,45360245856796677,这是不可能的
103,63.97500,滚动弹幕,25,0xffffff,0,60912cf1,45359696330096645,同事老工具人了
104,11.90000,滚动弹幕,25,0xffffff,0,60912cf1,45359656419196933,当然是陪她了
105,14.49600,滚动弹幕,25,0xffffff,0,64ea31b2,45358057956835333,说白了就是甩锅
106,22.88500,滚动弹幕,25,0xffffff,0,3cf95ce4,45356237640957959,嗯嗯
107,29.99200,滚动弹幕,25,0xffffff,0,8bb40ad1,45355423025332229,好，你被开除了
108,1.48300,滚动弹幕,25,0xffffff,0,649bb023,45355188047314951,这就是爷爷不考公务员的原因
109,10.35900,滚动弹幕,25,0xffffff,0,ec8a9e61,45353634596126723,打一顿
110,40.97900,滚动弹幕,25,0xffffff,0,54bd936b,45352082644402183,眼睛没瞎
111,34.03900,滚动弹幕,25,0xffffff,0,54bd936b,45352078985396229,牛逼
112,30.11700,滚动弹幕,25,0xffffff,0,a6b3a6c4,45351580292612101,长得可爱
113,59.00300,滚动弹幕,25,0xffffff,0,ddf0566f,45350106575667203,这人废了
114,14.06100,滚动弹幕,25,0xffffff,0,419e31c3,45349576770584581,这倒霉题
115,21.58500,滚动弹幕,25,0xffffff,0,d3c304da,45349148056092679,让他滚
116,51.87800,滚动弹幕,25,0xffffff,0,11a53606,45348087057088519,垃圾，
117,50.47500,滚动弹幕,25,0xffffff,0,69053262,45347067754184709,凉了
118,36.19900,滚动弹幕,25,0xffffff,0,65c7fd9c,45346381966082051,国考不考这些，一般服务单位考的都是正经事件处理
119,60.25000,滚动弹幕,25,0xffffff,0,b30663d8,45345518389297157,玩得了一时，玩不了一世。
120,10.32900,滚动弹幕,25,0xffffff,0,2167bf09,45324027475001349,qnmb，不上了
