,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,6.42400,滚动弹幕,25,0xffffff,0,6186e2a5,45638541361283075,不错不错
2,61.37900,滚动弹幕,25,0xffffff,0,308e9b4,45597814953607173,woooo学到了学到了
3,2.16800,滚动弹幕,25,0xffffff,0,ade6fb06,45569385858334725,可是麻烦啊
4,62.43900,滚动弹幕,25,0xffffff,0,ca4a414,45535949076561927,跨列居中
5,31.78800,滚动弹幕,25,0xe70012,0,ff0cb1e2,45534878516117511,这声音是鼻孔堵了？
6,63.59500,滚动弹幕,25,0xffffff,0,a85a74af,45531677360390147,nb
7,62.08500,滚动弹幕,25,0xffffff,0,63471b78,45530444689047559,学到了
8,14.47900,滚动弹幕,25,0xffffff,0,12474edf,45496049038000131,3q
9,48.83100,滚动弹幕,25,0xffffff,0,432d26c5,45492450642362373,学到了，谢谢～
10,61.91200,滚动弹幕,25,0xffffff,0,f40e19b3,45486984272019461,斯国一
11,0.53800,滚动弹幕,25,0xffffff,0,3d0dcba9,45476424848506887,太好用了
12,57.44600,滚动弹幕,25,0xffffff,0,3021a02f,45475272256389125,可以
13,64.69000,滚动弹幕,25,0xffffff,0,c23d1948,45474120409808901,ohhhhhhhh
14,38.54800,滚动弹幕,25,0xffffff,0,a2b2f2a1,45458046623678467,最后写表头啊
15,3.67600,滚动弹幕,25,0xffffff,0,413da1b1,45448481755627525,学会了
16,42.18700,滚动弹幕,25,0xffffff,0,28f9cc,45445577140862979,公开处决
17,28.94400,滚动弹幕,25,0xffffff,0,4bd59fca,45437191520780291,这什么单位？
18,64.69000,滚动弹幕,25,0xffffff,0,d443faa6,45429349388124163,学会了
19,3.94500,滚动弹幕,25,0xffffff,0,ebdd3cda,45404898006138885,谢谢
20,65.00000,滚动弹幕,25,0xffffff,0,aa07ab44,45402819687088135,讲究
21,17.58200,滚动弹幕,25,0xffffff,0,c98524ee,45396950487400453,这个我们信息技术课学过
22,59.30000,滚动弹幕,25,0xffffff,0,86731c47,45388374435954695,好厉害
23,0.19800,滚动弹幕,25,0xffffff,0,2efa53bd,45387302568984583,oh
24,5.36800,滚动弹幕,25,0xffffff,0,ae4636ef,45386938906574851,有快捷键吗这个
25,16.44600,滚动弹幕,25,0xffffff,0,11db866c,45363217250123779,学废了
26,0.23800,滚动弹幕,25,0xffffff,0,3f86bfee,45356718308720645,学到了！
27,7.60500,滚动弹幕,25,0xffffff,0,e93d054c,45311321505267715,这声音好像我微机老师
28,30.47900,滚动弹幕,25,0xffffff,0,1b2cb53d,45308541232742405,跨列居中
29,21.18000,滚动弹幕,25,0xffffff,0,62cf6acc,45294140817145859,对！
30,51.79400,滚动弹幕,25,0xffffff,0,6a6c2acc,45293647753117703,这基本工资好高啊
31,35.17900,滚动弹幕,25,0xffffff,0,793580cc,45272616661942279,工资发的不少啊
32,17.39300,滚动弹幕,25,0xffffff,0,d47b153b,45269179123630085,我全看工资去了
33,64.69000,滚动弹幕,25,0xffffff,0,595aa173,45265701296930819,学会的
34,34.57900,滚动弹幕,25,0xffffff,0,e9c6061e,45259338071146501,先删了，做完再插
35,60.14300,滚动弹幕,25,0xffffff,0,3b25d88c,45225929288450051,居然都是女名字
36,10.77800,滚动弹幕,25,0xffffff,0,e92e6ec6,45211568710877187,直接关注
37,61.99300,滚动弹幕,25,0xffffff,0,a09a31d7,45203937416970243,ctrl+shift+↓
38,28.64700,滚动弹幕,25,0xffffff,0,b38f615c,45203002319962119,有没有跨行居中的方法，同一列下如何不合并能居中
39,2.73600,滚动弹幕,25,0xffffff,0,17149838,45202728144601093,可以
40,12.35900,滚动弹幕,25,0xffffff,0,c90cf1e,45180771705028615,学到了，谢谢
41,52.48300,滚动弹幕,25,0xffffff,0,b35e6be4,45179383335354375,学到了！！！
42,26.94200,滚动弹幕,25,0xffffff,0,80cfe87e,45177972334264325,学会了。已三连
43,58.95300,滚动弹幕,25,0xffffff,0,43070c78,45175790731526149,牛皮
44,31.25400,滚动弹幕,25,0xffffff,0,ef35e540,45175091046121477,对
45,12.93200,滚动弹幕,25,0xffffff,0,ef35e540,45175081524527107,哟哟哟
46,58.38900,滚动弹幕,25,0xffffff,0,6a7c2368,45167895247323139,妙啊
47,10.26200,滚动弹幕,25,0xffffff,0,40dbeb5c,45158373390811143,慢慢看
48,59.05700,滚动弹幕,25,0xffffff,0,3ae9cbf,45157123898736645,最后插入个表头不就行了
49,33.72600,滚动弹幕,25,0xffffff,0,2aad2367,45150634098819075,赵亦瑶为什么工资这么高
50,58.24600,滚动弹幕,25,0xffffff,0,39201702,45133262141521925,漂亮
51,21.48400,滚动弹幕,25,0xffffff,0,39201702,45133242878132227,妙呀！！！！
52,61.93900,滚动弹幕,25,0xffffff,0,39201702,45133217742192645,秒呀
53,59.31800,滚动弹幕,25,0xffffff,0,cea3cc0b,45113140434173957,跨列居中
54,61.75700,滚动弹幕,25,0xffffff,0,4bd94a25,45111176275689475,不是啊这个实发工资总和就不一样了
55,10.61600,滚动弹幕,25,0xffffff,0,637551dd,45044605528309767,学费了
56,1.23000,滚动弹幕,25,0xffffff,0,fb756967,45034024687632387,学费了
57,43.01000,滚动弹幕,25,0xffffff,0,8fadd0df,45029693001826307,看工资
58,32.34400,滚动弹幕,25,0xffffff,0,e140b49d,45029674852024327,我想认识赵亦瑶
59,4.71700,滚动弹幕,25,0xffffff,0,5f3ac225,45019490457485315,学会了！！
60,29.17000,滚动弹幕,25,0xffffff,0,89f9f100,44999264762331143,我淦，我就叫姜露
61,63.20100,滚动弹幕,25,0xffffff,0,a5c5839b,44991274035970051,学到了！！
62,0.00000,滚动弹幕,25,0xffffff,0,d84c23f,44987868689989637, 太慢了
63,5.72000,滚动弹幕,25,0xffffff,0,3bcf1e4b,44979366314639365,学到了
64,0.74400,滚动弹幕,25,0xffffff,0,263486a4,44971037945757699,原来是这样
65,18.85600,滚动弹幕,25,0xffffff,0,1e3ebe8a,44949454150172679,学到了，谢谢
66,7.01400,滚动弹幕,25,0xffffff,0,464805d6,44946388785037317,学会了
67,0.00000,滚动弹幕,25,0xffffff,0,3fe3326d,44945954072690695,太好了
68,13.98500,滚动弹幕,25,0xffffff,0,469e5156,44909283203612675,学会了
69,0.00000,滚动弹幕,25,0xffffff,0,6db6f78f,44907036051243015,这个点赞
70,7.41700,滚动弹幕,25,0xffffff,0,bbd5b8aa,44864188155166727,学废了
71,27.27100,滚动弹幕,25,0xffffff,0,a65fa28d,44861175655039043,学到了
72,60.74000,滚动弹幕,25,0xffffff,0,99b8faa8,44854170272923651,高级
73,26.86500,顶端弹幕,25,0xa0ea,0,e148a617,44847158188310535,噢噢
74,14.69800,顶端弹幕,25,0xe70012,0,e148a617,44847151816638467,喔
75,18.11900,滚动弹幕,25,0xffffff,0,4978b617,44846383237169159,感谢
76,64.69000,滚动弹幕,25,0xffffff,0,9b6aa84f,44785216913408005,学废了
77,7.57600,滚动弹幕,25,0xffffff,0,a8e3dd28,44767786285662211,赞点了点了
78,32.80600,滚动弹幕,25,0xffffff,0,a8e3dd28,44767765189361667,对！
79,31.06200,滚动弹幕,25,0xffffff,0,25480864,44763770096451591,跨列居中
80,56.85800,滚动弹幕,25,0xffffff,0,23a835cb,44753863577174019,6666
81,4.39400,滚动弹幕,25,0xffffff,0,9892db8d,44746783226593283,牛
82,4.08300,滚动弹幕,25,0xffffff,0,a701245b,44728847319433221,初中表格
83,23.53200,滚动弹幕,25,0xffffff,0,685b5b9d,44723223590862851,原来一个同事叫朱颖，跳楼了……
84,63.48300,滚动弹幕,25,0xffffff,0,657b742d,44721749978775555,原来如此
85,14.39500,滚动弹幕,25,0xffffff,0,3c5c1b22,44667668663369731,学到了，谢谢
86,42.36900,滚动弹幕,25,0xffffff,0,52058cbe,44637233898586117,谢谢！谢谢！已三连
87,10.96500,滚动弹幕,25,0xffffff,0,9136cbbe,44636518939099139,有用
88,17.90400,滚动弹幕,25,0xffffff,0,a98b0e30,44633560622039045,学到了，感谢！
89,57.82600,滚动弹幕,25,0xffffff,0,5c703833,44631096319541251,学到了，跨列居中
90,65.00000,滚动弹幕,25,0xffffff,0,a9f37c91,44628235086987271,学到了
91,7.62600,滚动弹幕,25,0xffffff,0,1f6abf32,44619456886341639,学到了
92,58.34400,滚动弹幕,25,0xffffff,0,a82fa969,44606090378739719,工资好高
93,48.55900,滚动弹幕,25,0xffffff,0,4cd6c6e4,44605216467714055,眉页
94,63.61500,滚动弹幕,25,0xffffff,0,8a995446,44596508047704069,学习了！！！
95,64.37900,滚动弹幕,25,0xffffff,0,7547289d,44595757518946307,原来跨列居中是这么用的！
96,1.64000,滚动弹幕,25,0xffffff,0,17315603,44590623965052933,妙啊
97,33.77300,滚动弹幕,25,0xffffff,0,5b65dd65,44587010545418247,是啊
98,63.07200,滚动弹幕,25,0xffffff,0,348e7cc,44574189796458503,get
99,28.89200,滚动弹幕,25,0xffffff,0,bb4a8423,44557481068724227,应该是有幸身亡
100,64.69000,滚动弹幕,25,0xffffff,0,3d989b84,44548615344488455,学会了
101,35.29900,滚动弹幕,25,0xffffff,0,af7ffbd9,44546685418340359,跨列居中
102,31.14900,滚动弹幕,25,0xffffff,0,b878d313,44546096016916485,基本工资你这开玩笑吧
103,42.31800,滚动弹幕,25,0xffffff,0,a70ebb8f,44543398945226755,我都做完了再合并
104,50.15800,滚动弹幕,25,0xffffff,0,d3a93efc,44539567859040261,好羡慕
105,33.01900,滚动弹幕,25,0xffffff,0,227dc124,44538172869705731,跨单元格居中
106,64.69000,滚动弹幕,25,0xffffff,0,f41a24e5,44530379361091589,学到了跨列居中
107,64.69000,滚动弹幕,25,0xffffff,0,abdb301e,44529167770320901,6666
108,3.32900,滚动弹幕,25,0xffffff,0,30ebfc57,44528923269136389,好有用哦，感谢
109,44.22900,滚动弹幕,25,0xffffff,0,d732c155,44528705353547845,我只想去这个公司上班
110,64.56300,滚动弹幕,25,0xffffff,0,f49af899,44527490687827973,哇，学到了
111,7.36200,滚动弹幕,25,0xffffff,0,203d042a,44527317268037635,学会啦！
112,64.69000,滚动弹幕,25,0xffffff,0,e83af3a7,44526481552441349,学会了
113,13.24500,滚动弹幕,25,0xffffff,0,b42073e4,44524557083607045,666
114,62.89700,滚动弹幕,25,0xffffff,0,874dbaca,44523686787022853,多谢
115,36.14900,滚动弹幕,25,0xffffff,0,b6ef4a07,44523431414202375,好好看好好学
116,62.55700,滚动弹幕,25,0xffffff,0,13b3b8f7,44523075709435909,哦吼
117,57.24900,滚动弹幕,25,0xffffff,0,fcdf1269,44522894630846469,点个赞咯？
118,45.31200,滚动弹幕,25,0xffffff,0,219391b7,44522171790786565,工资好高
119,49.51100,滚动弹幕,25,0xffffff,0,b381e62f,44517681619009543,跨列居中
120,0.65700,滚动弹幕,25,0xffffff,0,e1e5e834,44502606542798853,学会了
121,59.58000,滚动弹幕,25,0xffffff,0,b691a461,44479346465308675,赞都给你
122,64.61300,滚动弹幕,25,0xffffff,0,dd3e4089,44479055263694851,不错！
123,38.52600,滚动弹幕,25,0xffffff,0,d3f64cf2,44477081290014723,跨列
124,61.83400,滚动弹幕,25,0xffffff,0,a5e9ce9b,44450317614972931,太好用了
125,60.40800,滚动弹幕,25,0xffffff,0,5bd10655,44420933413240835,学到了！！谢谢！
126,45.44800,滚动弹幕,25,0xffffff,0,5bd10655,44420911936831495,转IT吧，工资比他多头发比他少
127,60.75900,滚动弹幕,25,0xffffff,0,d096659f,44411288603852805,谢谢，学到了
128,65.00000,滚动弹幕,25,0xffffff,0,98ecdf18,44409038223966211,原来如此！
129,57.41000,滚动弹幕,25,0xffffff,0,90903f19,44408440236277763,！！！！
130,64.55000,滚动弹幕,25,0xffffff,0,9cd7d682,44407897314033669,学到了
131,26.59600,滚动弹幕,25,0xffffff,0,9cd7d682,44407876355096581,对！！
132,41.14400,滚动弹幕,25,0xffffff,0,ae8f958a,44407607613456391,好多工资好羡慕
133,20.18900,滚动弹幕,25,0xffffff,0,8398d135,44405922795094023,是的
134,9.33000,滚动弹幕,25,0xffffff,0,b44b7032,44405318688964615,实用
