,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,29.29700,滚动弹幕,25,0xffffff,0,65c1a593,45949399028727811,支持
2,11.37800,滚动弹幕,25,0xffffff,0,65c1a593,45949389545406467,好
3,40.77100,滚动弹幕,25,0xffffff,0,3b65f3b2,45786450996232197,加油
4,42.17300,滚动弹幕,25,0xfef102,0,77106db7,45770499513384967,加油！！！！！！
5,33.00700,滚动弹幕,25,0xffffff,0,a6431cc3,45761701668716549,加油
6,25.45400,滚动弹幕,25,0xffffff,0,c7736149,45761179083079683,加油
7,49.45200,滚动弹幕,25,0xffffff,0,329ec083,45761072415113221,加油
8,47.10200,滚动弹幕,25,0xffffff,0,9d489639,45760774739591175,就奔马儿我币了
9,10.80800,滚动弹幕,25,0xffffff,0,b9a52810,45760290867380227,加油！
10,32.19700,滚动弹幕,25,0xffffff,0,3f4a0eba,45760145990352903,支持
11,29.84700,滚动弹幕,25,0xffffff,0,3ebfcb0b,45759969445281799,卖个好价钱得了，干嘛闹成这样
12,56.26600,滚动弹幕,25,0xffffff,0,76d207f,45759725538115591,可以哦，换血吧
13,54.13300,滚动弹幕,25,0xffffff,0,25480864,45759680565739527,然后，被野蛮人收购了。
14,58.00000,滚动弹幕,25,0xffffff,0,c6f1bf3e,45759520563527683,无耻阿里
15,0.74200,滚动弹幕,25,0xffffff,0,7d49f3c8,45759239270432773,加油
16,42.28200,滚动弹幕,25,0xffffff,0,c8a91373,45759114775625731,你申请专利了没？小心内裤都输没得穿
17,6.18400,滚动弹幕,25,0xffffff,0,d1c393a8,45759051198365701,加油
18,31.73000,滚动弹幕,25,0xffffff,0,1de74ee9,45759023539552259,加油
19,17.62300,滚动弹幕,25,0xffffff,0,8aed1bff,45759000098635781,干的漂亮
20,47.87500,滚动弹幕,25,0xffffff,0,990cfd99,45758916158029827,放心 过两天拿钱砸得你没脾气
21,32.85500,滚动弹幕,25,0xffffff,0,28af0f93,45758852908974083,阿里必糊，资本家必倒
22,58.00000,滚动弹幕,25,0xffffff,0,43c42f54,45758804712751109,好多产品经理都是会对着一个现成网站说：“照着这个抄”
23,31.66000,滚动弹幕,25,0xffffff,0,c5d92a3e,45758719599837187,在事情没有水落石出前还是不要妄下结论的好。
24,41.56800,滚动弹幕,25,0xffffff,0,839d492d,45758709049065477,珠海的呀
25,26.40500,滚动弹幕,25,0xffffff,0,ed3b7050,45758674978734087,加油
26,50.15000,滚动弹幕,25,0xffffff,0,4794fc2c,45758645835661315,上去上去，大家都看着
27,48.05400,滚动弹幕,25,0xffffff,0,62033f88,45758624632406019,珠海的？
28,41.91900,滚动弹幕,25,0xffffff,0,69fc755c,45758621458890755,加油
29,40.20000,滚动弹幕,25,0xffffff,0,931bf824,45758621420617735,收购了吧。开个好价钱
30,48.16300,滚动弹幕,25,0xffffff,0,1a8ef206,45758549386592259,加油
31,47.48300,滚动弹幕,25,0xffffff,0,dbfc5eca,45758536230633477,小心呀，别被他们打死了
32,52.24300,滚动弹幕,25,0xffffff,0,7e094fbe,45758501864079365,加油，关注了
33,41.58600,滚动弹幕,25,0xffffff,0,7e38f288,45758472255438855,腾讯:这事儿我熟啊
34,58.00000,滚动弹幕,25,0xffffff,0,f6328c92,45758453341749253,持续关注
35,46.25900,滚动弹幕,25,0xffffff,0,f153545e,45758403319955461,支持你 加油
36,38.94500,滚动弹幕,25,0xffffff,0,38f9d811,45758383269609475,王侯将相宁有种乎？
37,13.68300,滚动弹幕,25,0xffffff,0,dea7322b,45758366939611205,老马学小马
38,33.71600,滚动弹幕,25,0xffffff,0,c7d039bb,45758352423124999,保护
39,25.21700,滚动弹幕,25,0xffffff,0,c7d039bb,45758348070486021,保护
40,18.21600,滚动弹幕,25,0xffffff,0,c7d039bb,45758344234795013,保护
41,57.37700,滚动弹幕,25,0xffffff,0,be344588,45758325558607875,会不会杭州必胜客？
42,2.01900,滚动弹幕,25,0xffffff,0,5b1a8358,45758286509637639,腾讯:花点钱，哪怕是花点钱！
43,3.77600,滚动弹幕,25,0xffffff,0,11345563,45758238210129927,可以的
44,17.62500,滚动弹幕,25,0xffffff,0,d26a2f7c,45758216954970115,支持
45,20.41500,滚动弹幕,25,0xffffff,0,759cb6d4,45758136345690119,干得漂亮
46,57.37700,滚动弹幕,25,0xffffff,0,3b8b015e,45758082965831683,加油
47,10.98200,滚动弹幕,25,0xffffff,0,65e887e6,45758067948650499,看看评论，这个世界被资本玩儿成啥样了！
48,14.02000,滚动弹幕,25,0xffffff,0,f34f3cb1,45758048396378119,干得漂亮
49,37.23000,滚动弹幕,25,0xffffff,0,378a4396,45757966510456837,好！
50,39.07700,滚动弹幕,25,0xffffff,0,b54727de,45757859804741639,腾讯？？？暗示说呢
